600006 东风汽车 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.02	3.04	2.95	2.96	2051310	6424732.000
01/05/2012	2.94	2.97	2.91	2.93	2426135	7437452.000
01/06/2012	2.93	2.94	2.88	2.93	2229517	6785674.000
01/09/2012	2.94	3.03	2.91	3.03	3292310	10260935.000
01/10/2012	3.04	3.15	3.02	3.14	5998715	19310584.000
01/11/2012	3.16	3.16	3.09	3.11	3688736	11948160.000
01/12/2012	3.10	3.13	3.07	3.09	2389079	7724553.000
01/13/2012	3.09	3.11	3.00	3.03	2866721	9096331.000
01/16/2012	3.03	3.03	2.97	2.99	1633779	5118969.000
01/17/2012	3.00	3.14	2.97	3.12	4397039	14108027.000
01/18/2012	3.13	3.16	3.07	3.07	4524652	14664388.000
01/19/2012	3.07	3.13	3.04	3.12	3546978	11451110.000
01/20/2012	3.12	3.15	3.10	3.14	3378952	11022664.000
01/30/2012	3.14	3.15	3.09	3.10	2426328	7879031.000
01/31/2012	3.09	3.11	3.05	3.07	1732907	5552186.000
02/01/2012	3.10	3.10	3.06	3.07	1657182	5313027.000
02/02/2012	3.06	3.11	3.05	3.11	2745908	8814950.000
02/03/2012	3.10	3.14	3.08	3.12	3514623	11398627.000
02/06/2012	3.12	3.14	3.11	3.12	3002703	9771812.000
02/07/2012	3.12	3.12	3.05	3.06	2943827	9425372.000
02/08/2012	3.07	3.12	3.05	3.12	3338209	10762285.000
02/09/2012	3.12	3.17	3.11	3.14	6389715	20857744.000
02/10/2012	3.14	3.18	3.11	3.17	6056908	19940556.000
02/13/2012	3.16	3.19	3.13	3.19	4081522	13471672.000
02/14/2012	3.18	3.19	3.12	3.12	9364195	30601306.000
02/15/2012	3.13	3.31	3.12	3.25	13802216	46020420.000
02/16/2012	3.22	3.25	3.18	3.22	6453390	21615860.000
02/17/2012	3.23	3.29	3.21	3.26	5060748	17106022.000
02/20/2012	3.29	3.31	3.25	3.25	4257035	14497716.000
02/21/2012	3.25	3.27	3.21	3.26	2946429	9915455.000
02/22/2012	3.25	3.30	3.24	3.30	6233227	21236188.000
02/23/2012	3.31	3.33	3.26	3.28	6620995	22616392.000
02/24/2012	3.29	3.33	3.27	3.33	5937560	20392108.000
02/27/2012	3.46	3.68	3.46	3.68	23236261	88201584.000
02/28/2012	3.76	4.05	3.70	3.90	67929517	271109152.000
02/29/2012	3.83	3.83	3.67	3.73	29167152	112621712.000
03/01/2012	3.71	3.75	3.67	3.70	12932010	49659060.000
03/02/2012	3.72	3.79	3.68	3.79	16219919	62920936.000
03/05/2012	3.78	3.79	3.71	3.72	13228020	51126872.000
03/06/2012	3.71	3.71	3.60	3.62	14139250	53169684.000
03/07/2012	3.59	3.71	3.58	3.63	11995396	45418504.000
03/08/2012	3.67	3.67	3.58	3.65	8787731	33047278.000
03/09/2012	3.63	3.68	3.61	3.65	6560736	24711316.000
03/12/2012	3.65	3.67	3.61	3.64	6479716	24381784.000
03/13/2012	3.64	3.65	3.59	3.64	6608810	24762368.000
03/14/2012	3.67	3.68	3.45	3.49	15747066	58276988.000
03/15/2012	3.48	3.49	3.31	3.39	11127447	39249512.000
03/16/2012	3.38	3.44	3.37	3.44	6903503	24458134.000
03/19/2012	3.42	3.45	3.38	3.45	6242400	22205426.000
03/20/2012	3.45	3.45	3.37	3.40	4764420	16825392.000
03/21/2012	3.42	3.43	3.32	3.38	4194072	14733476.000
03/22/2012	3.37	3.42	3.36	3.40	2971139	10465962.000
03/23/2012	3.39	3.39	3.30	3.31	4331180	15000701.000
03/26/2012	3.30	3.34	3.29	3.32	2460153	8463179.000
03/27/2012	3.32	3.39	3.32	3.34	3693952	12861800.000
03/28/2012	3.33	3.33	3.18	3.19	4592749	15483388.000
03/29/2012	3.19	3.19	3.11	3.13	4171521	13665530.000
03/30/2012	3.12	3.18	3.11	3.17	3238010	10620417.000
04/05/2012	3.17	3.27	3.17	3.24	4231809	14208541.000
04/06/2012	3.30	3.41	3.28	3.33	7867408	27363560.000
04/09/2012	3.31	3.31	3.25	3.26	3558971	12130234.000
04/10/2012	3.25	3.31	3.18	3.30	3783775	12736715.000
04/11/2012	3.25	3.33	3.22	3.30	5317046	18138024.000
04/12/2012	3.31	3.36	3.29	3.35	6497354	22513960.000
04/13/2012	3.37	3.45	3.36	3.42	9365720	33104550.000
04/16/2012	3.41	3.43	3.37	3.40	4887613	17239316.000
04/17/2012	3.37	3.45	3.34	3.35	5209434	18368052.000
04/18/2012	3.35	3.44	3.34	3.43	5720586	20213312.000
04/19/2012	3.48	3.61	3.45	3.49	12277063	44750580.000
04/20/2012	3.47	3.53	3.44	3.51	6268106	22713016.000
04/23/2012	3.51	3.55	3.43	3.45	5225607	18949348.000
04/24/2012	3.41	3.47	3.29	3.38	6586158	23103854.000
