600052 浙江广厦 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.29	3.32	3.12	3.12	3819071	12757217.000
01/05/2012	3.11	3.11	3.00	3.01	3377684	10816833.000
01/06/2012	3.01	3.04	2.89	3.03	2811690	8765492.000
01/09/2012	3.01	3.15	2.99	3.15	4148633	13375834.000
01/10/2012	3.14	3.28	3.11	3.26	5997962	20075084.000
01/11/2012	3.26	3.27	3.20	3.23	2996279	10105289.000
01/12/2012	3.22	3.32	3.19	3.23	3924167	13330528.000
01/13/2012	3.21	3.24	3.08	3.08	2630609	8631125.000
01/16/2012	3.06	3.09	3.02	3.02	1825100	5833789.000
01/17/2012	3.03	3.18	3.01	3.17	2784319	9069126.000
01/18/2012	3.18	3.22	3.12	3.16	3630669	12050641.000
01/19/2012	3.16	3.22	3.14	3.20	2424881	8070722.000
01/20/2012	3.20	3.25	3.17	3.25	2503018	8421010.000
01/30/2012	3.24	3.27	3.19	3.20	1702000	5740932.000
01/31/2012	3.19	3.21	3.10	3.17	2324590	7616707.000
02/01/2012	3.14	3.19	3.10	3.11	1547430	5087676.000
02/02/2012	3.12	3.17	3.10	3.16	1953189	6386730.000
02/03/2012	3.16	3.25	3.14	3.22	2889825	9674765.000
02/06/2012	3.22	3.25	3.20	3.24	2188665	7371988.000
02/07/2012	3.24	3.24	3.15	3.17	2142806	7118209.000
02/08/2012	3.17	3.25	3.17	3.25	2706125	9084517.000
02/09/2012	3.24	3.38	3.22	3.32	6567447	22683824.000
02/10/2012	3.31	3.44	3.29	3.37	7798812	27507536.000
02/13/2012	3.31	3.34	3.22	3.32	4826001	16544297.000
02/14/2012	3.31	3.39	3.27	3.37	4493209	15617706.000
02/15/2012	3.36	3.43	3.33	3.42	4235510	14916388.000
02/16/2012	3.42	3.46	3.37	3.41	4087057	14529141.000
02/17/2012	3.43	3.44	3.36	3.39	3019682	10672471.000
02/20/2012	3.43	3.54	3.42	3.52	11328649	41205248.000
02/21/2012	3.51	3.56	3.45	3.54	6181567	22519034.000
02/22/2012	3.52	3.67	3.49	3.62	9318308	35056260.000
02/23/2012	3.61	3.65	3.56	3.60	4077980	15291377.000
02/24/2012	3.61	3.97	3.57	3.97	32225216	129880840.000
02/27/2012	3.98	4.13	3.93	4.10	39639017	165733696.000
02/28/2012	4.05	4.09	3.92	4.02	11522183	47656532.000
02/29/2012	3.94	3.96	3.79	3.82	10471234	42061344.000
03/01/2012	3.78	4.21	3.78	4.06	23811384	99544656.000
03/02/2012	4.04	4.48	4.00	4.48	25076354	111689912.000
03/05/2012	4.62	4.90	4.61	4.75	44229022	216842192.000
03/06/2012	4.69	4.81	4.58	4.78	24844965	120796104.000
03/07/2012	4.65	4.83	4.58	4.71	25151200	122555248.000
03/08/2012	4.75	4.76	4.61	4.72	17992992	86899400.000
03/09/2012	4.71	4.82	4.64	4.72	17613077	85751416.000
03/12/2012	4.72	4.73	4.50	4.70	18456028	88251312.000
03/13/2012	4.66	4.77	4.58	4.72	11591124	56066724.000
03/14/2012	4.72	4.90	4.23	4.32	31080507	148498864.000
03/15/2012	4.25	4.29	3.87	4.01	23513290	99101568.000
03/16/2012	4.01	4.11	3.91	4.07	17950021	74519784.000
03/19/2012	4.04	4.22	3.95	4.18	16732336	70707120.000
03/20/2012	4.14	4.22	4.02	4.08	15050173	64115588.000
03/22/2012	4.07	4.50	4.02	4.38	32015200	142804752.000
03/23/2012	4.34	4.34	4.15	4.19	15625429	68383968.000
03/26/2012	4.17	4.19	4.03	4.12	8220826	34723236.000
03/27/2012	4.11	4.15	4.04	4.05	6188785	26163230.000
