600072 钢构工程 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	15.67	16.08	14.98	15.01	4737889	74197024.000
01/05/2012	14.76	15.01	13.98	14.00	6556563	94674872.000
01/06/2012	13.98	14.32	13.48	14.14	4636366	64277072.000
01/09/2012	14.16	15.22	13.86	15.07	7239550	105707768.000
01/10/2012	15.07	15.93	14.98	15.72	8935494	139124128.000
01/11/2012	15.68	16.29	15.56	15.79	8256788	131457496.000
01/12/2012	15.78	16.86	15.68	16.22	9115108	148759504.000
01/13/2012	16.13	16.21	15.29	15.50	6249485	98455096.000
01/16/2012	15.28	15.66	14.93	14.97	3876357	59243664.000
01/17/2012	14.97	15.95	14.88	15.92	8770611	136455152.000
01/18/2012	15.92	16.36	15.62	15.69	8001586	127978152.000
01/19/2012	15.68	15.94	15.63	15.69	5186613	81842016.000
01/20/2012	15.63	16.04	15.58	15.86	6903492	109755304.000
01/30/2012	15.86	15.97	15.53	15.56	3685804	57918028.000
01/31/2012	15.56	15.88	15.43	15.86	3804778	59753324.000
02/01/2012	15.87	15.96	15.41	15.49	4076532	64057368.000
02/02/2012	15.48	15.85	15.48	15.80	3764350	59088976.000
02/03/2012	15.78	16.75	15.71	16.26	10462674	170786224.000
02/06/2012	16.20	16.33	15.88	16.19	6915493	111838824.000
02/07/2012	16.08	16.14	15.80	16.04	5024792	80351360.000
02/08/2012	15.93	16.63	15.92	16.48	8501298	138729792.000
02/09/2012	16.48	17.17	16.33	17.08	12444400	208648784.000
02/10/2012	16.89	17.05	16.58	16.75	9051562	152635824.000
02/13/2012	16.55	16.90	16.45	16.69	6722299	111982880.000
02/14/2012	16.70	16.96	16.57	16.68	6397617	107308560.000
02/15/2012	16.68	17.08	16.47	16.98	9643871	162766304.000
02/16/2012	16.86	17.17	16.63	16.84	7542031	127411984.000
02/17/2012	16.97	17.47	16.78	17.07	14408364	247163488.000
02/20/2012	17.23	17.71	17.01	17.28	15821678	275763808.000
02/21/2012	17.26	17.88	17.18	17.78	14159502	249409920.000
02/22/2012	17.73	18.25	17.53	18.09	15268109	272946752.000
02/23/2012	17.97	18.26	17.74	17.79	15566211	280397504.000
02/24/2012	17.79	17.92	17.43	17.86	11363141	201371120.000
02/27/2012	18.04	18.18	17.75	17.80	11613322	209012448.000
02/28/2012	17.71	18.13	17.69	18.11	11101792	199301120.000
02/29/2012	18.12	18.32	17.75	17.79	10088325	181714784.000
03/01/2012	17.68	18.31	17.64	18.02	10088714	182170352.000
03/02/2012	17.98	18.57	17.89	18.52	13894290	254155776.000
03/05/2012	18.90	19.80	18.64	18.85	22884235	437502336.000
03/06/2012	18.63	18.82	18.09	18.49	11653965	215582544.000
03/07/2012	18.13	19.51	18.09	18.99	17968670	340506976.000
03/08/2012	18.98	19.16	18.63	18.93	12448437	234642000.000
03/09/2012	19.04	19.51	18.89	19.20	18365735	353418592.000
