600081 东风科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.02	6.08	5.76	5.78	688497	4514948.000
01/05/2012	5.70	5.77	5.49	5.49	924201	5785694.000
01/06/2012	5.49	5.52	5.26	5.50	931807	5573363.000
01/09/2012	5.50	5.84	5.41	5.83	1308308	8236910.000
01/10/2012	5.82	6.23	5.77	6.15	1672790	11134787.000
01/11/2012	6.15	6.26	6.08	6.18	2203938	14944587.000
01/12/2012	6.18	6.34	6.14	6.18	1373186	9379778.000
01/13/2012	6.18	6.22	5.80	5.92	1731038	11367113.000
01/16/2012	5.87	5.87	5.58	5.59	749006	4764271.000
01/17/2012	5.57	6.01	5.57	5.98	1105461	7128172.000
01/18/2012	6.04	6.16	5.86	5.88	1138691	7534244.000
01/19/2012	5.87	6.07	5.86	6.02	986964	6522133.000
01/20/2012	6.02	6.17	5.99	6.13	1067523	7175793.000
01/30/2012	6.18	6.22	6.07	6.10	827194	5588195.000
01/31/2012	6.11	6.14	6.01	6.13	531583	3555409.000
02/01/2012	6.07	6.20	6.00	6.02	731500	4891840.000
02/02/2012	6.02	6.16	6.00	6.15	837511	5611539.000
02/03/2012	6.15	6.31	6.11	6.29	1544892	10570247.000
02/06/2012	6.23	6.45	6.23	6.39	1685966	11715971.000
02/07/2012	6.32	6.34	6.15	6.19	1405487	9608673.000
02/08/2012	6.19	6.40	6.15	6.39	1452802	10056380.000
02/09/2012	6.41	6.58	6.35	6.48	1845884	13124891.000
02/10/2012	6.49	6.58	6.43	6.58	1770079	12626383.000
02/13/2012	6.50	6.72	6.47	6.69	1838653	13316145.000
02/14/2012	6.69	6.71	6.57	6.66	1490209	10792537.000
02/15/2012	6.66	6.83	6.56	6.83	2395382	17552200.000
02/16/2012	6.81	6.97	6.76	6.84	2410463	17983648.000
02/17/2012	6.85	7.59	6.74	7.57	5863192	45935440.000
02/20/2012	7.43	7.61	7.30	7.33	5332650	43005896.000
02/21/2012	7.27	7.36	7.01	7.35	3633376	28278648.000
02/22/2012	7.27	7.43	7.20	7.39	3188010	25251960.000
02/23/2012	7.36	7.43	7.24	7.29	2327876	18484052.000
02/24/2012	7.31	7.43	7.20	7.38	2803390	22239140.000
02/27/2012	7.38	7.84	7.38	7.41	4599273	37855716.000
