600088 中视传媒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	13.92	14.23	13.23	13.25	7557196	106101272.000
01/05/2012	13.03	13.52	12.51	12.90	10230684	134883824.000
01/06/2012	12.81	13.14	12.65	13.10	5233882	68877952.000
01/09/2012	12.96	13.67	12.91	13.63	9460069	128847216.000
01/10/2012	13.54	14.24	13.46	14.18	12140861	172335312.000
01/11/2012	14.14	14.93	13.92	14.40	14259336	209900192.000
01/12/2012	14.24	14.59	14.14	14.20	6255035	91092904.000
01/13/2012	14.26	14.39	12.84	13.01	10864334	150052432.000
01/16/2012	12.70	12.94	12.44	12.46	5313330	68856680.000
01/17/2012	12.49	13.39	12.18	13.26	6777300	88891808.000
01/18/2012	13.25	13.62	12.42	12.58	10356862	138129120.000
01/19/2012	12.54	12.63	11.77	12.04	12849717	158137120.000
01/20/2012	12.06	12.51	12.06	12.25	9409065	117883576.000
01/30/2012	12.29	12.43	12.16	12.24	4888820	61346296.000
01/31/2012	12.19	12.71	11.87	12.68	8932017	112527840.000
02/01/2012	12.54	12.66	12.25	12.28	6130448	77870312.000
02/02/2012	12.37	13.04	12.24	12.91	13132307	170355200.000
02/03/2012	12.77	13.92	12.64	13.39	17530613	238582320.000
02/06/2012	13.30	13.55	13.14	13.22	10448193	141774720.000
02/07/2012	13.12	13.48	13.01	13.05	12714051	171654848.000
02/08/2012	13.04	13.54	12.92	13.46	9905417	133722824.000
02/09/2012	13.46	13.82	13.34	13.47	11065491	153461392.000
02/10/2012	13.44	13.80	13.30	13.54	8402267	115873944.000
02/13/2012	13.34	13.84	13.23	13.69	11824645	163483392.000
02/14/2012	13.67	13.72	13.38	13.52	6274506	86524896.000
02/15/2012	13.46	14.48	13.46	14.41	18996789	271698912.000
02/16/2012	14.38	14.74	14.13	14.31	14468704	212671152.000
02/17/2012	14.31	14.42	13.95	14.26	7570523	109420096.000
02/20/2012	14.49	14.70	14.31	14.33	8626295	127357232.000
02/21/2012	14.29	15.59	14.24	15.45	19610687	300836064.000
02/22/2012	15.26	16.18	15.19	15.80	20410689	323404928.000
02/23/2012	15.63	15.91	15.29	15.61	11465753	181902400.000
02/24/2012	15.51	16.49	15.44	15.94	14909850	242727328.000
02/27/2012	15.94	16.18	15.75	15.78	12375000	200555248.000
02/28/2012	15.77	15.86	15.44	15.68	8985467	142749776.000
02/29/2012	15.79	16.12	15.37	15.42	11804454	189305136.000
03/01/2012	15.28	15.59	15.21	15.36	5987217	93778648.000
03/02/2012	15.36	15.79	15.36	15.74	6946047	110050792.000
03/05/2012	15.86	16.05	15.69	15.92	9613984	155344368.000
03/06/2012	15.83	16.00	15.39	15.43	8848745	140777376.000
03/07/2012	15.24	15.59	15.14	15.25	6395436	99913488.000
03/08/2012	15.27	15.94	15.27	15.77	8982068	142805616.000
03/09/2012	15.81	16.02	15.68	15.89	9936841	160460528.000
03/12/2012	15.94	17.24	15.84	16.38	15093723	253873376.000
03/13/2012	16.25	16.52	16.01	16.30	8486159	139726976.000
03/14/2012	16.30	16.44	15.04	15.23	12184180	196213520.000
03/15/2012	15.19	15.31	14.77	14.84	7230045	110205416.000
03/16/2012	14.85	15.50	14.52	15.43	9777605	150145456.000
03/19/2012	15.52	16.72	15.45	15.85	10904478	176455648.000
03/20/2012	15.85	15.85	15.26	15.28	5355589	84123248.000
03/21/2012	15.35	15.79	15.30	15.66	16768406	265269104.000
03/22/2012	15.57	15.64	15.12	15.26	6146754	95591952.000
03/23/2012	15.18	15.96	15.03	15.70	13308132	210835424.000
03/26/2012	15.62	15.62	15.08	15.32	7824704	121485280.000
03/27/2012	15.36	15.43	14.96	15.00	5966833	92037752.000
03/28/2012	14.89	14.89	13.94	14.00	6917465	101266256.000
03/29/2012	13.76	13.92	13.23	13.58	6226646	86184800.000
03/30/2012	13.57	13.73	12.76	13.07	6573186	88821360.000
04/05/2012	13.07	13.79	13.06	13.74	5978336	82244320.000
04/06/2012	13.64	14.09	13.59	13.98	6997812	99101552.000
04/09/2012	13.91	13.91	13.48	13.49	3513832	48860084.000
04/10/2012	13.33	13.88	13.33	13.85	4376897	60925124.000
04/11/2012	13.63	13.92	13.54	13.82	3519752	49460832.000
04/12/2012	13.87	14.33	13.84	14.22	6679919	96259880.000
04/13/2012	14.21	14.51	14.10	14.27	4624676	67322080.000
04/16/2012	14.09	14.57	14.06	14.40	3792486	55571556.000
04/17/2012	14.43	14.64	14.15	14.37	5172948	75952744.000
04/18/2012	14.33	14.73	14.33	14.57	4508824	66896012.000
04/19/2012	14.50	14.72	14.24	14.36	4460212	65756080.000
04/20/2012	14.27	14.68	14.25	14.50	5476110	80543600.000
04/23/2012	14.45	14.45	13.42	13.62	9138168	128611248.000
04/24/2012	13.49	13.74	13.19	13.69	5027768	69029856.000
04/25/2012	13.64	13.94	13.39	13.83	5769702	80432744.000
04/26/2012	13.87	14.06	13.54	13.57	4277931	60004424.000
04/27/2012	13.59	13.88	13.59	13.63	4306010	60163788.000
05/02/2012	13.52	13.61	12.74	13.18	11293863	151216080.000
05/03/2012	13.06	13.18	12.86	12.99	5994850	79362760.000
05/04/2012	13.00	13.23	12.99	13.17	4177003	55868532.000
05/07/2012	13.06	13.27	12.99	13.25	4567904	61074144.000
05/08/2012	13.37	13.83	13.36	13.63	9739016	134953744.000
05/09/2012	13.54	13.54	13.24	13.25	4615234	62750412.000
05/10/2012	13.23	13.56	13.23	13.38	3677790	50230000.000
05/14/2012	13.44	13.53	13.19	13.25	3278504	44551472.000
05/15/2012	13.05	13.19	12.84	13.18	2630606	34951748.000
05/16/2012	13.21	13.21	12.77	12.83	2466759	32561688.000
05/17/2012	12.86	13.24	12.83	13.15	3146464	42008564.000
05/18/2012	13.03	13.13	12.82	12.85	2534610	33363596.000
05/21/2012	12.92	12.92	12.54	12.68	2721504	35343580.000
05/22/2012	12.67	12.94	12.67	12.91	2085804	27363150.000
05/23/2012	12.94	12.95	12.61	12.74	3067709	39956716.000
05/24/2012	12.75	13.23	12.30	12.98	8069512	105105752.000
05/25/2012	12.96	13.18	12.85	12.93	5828706	77290632.000
05/28/2012	12.79	12.96	12.42	12.89	3556606	46086292.000
05/29/2012	12.92	13.09	12.79	13.02	4484277	59301344.000
05/30/2012	13.10	13.10	12.88	12.92	2474147	32501852.000
05/31/2012	12.79	13.19	12.69	12.99	3869107	50768996.000
06/01/2012	12.93	13.06	12.92	12.97	2042766	26879608.000
06/04/2012	12.72	12.82	12.41	12.42	2853128	36495920.000
06/05/2012	12.41	12.56	12.34	12.48	2021593	25478104.000
06/06/2012	12.50	12.61	12.13	12.28	2592920	32426012.000
06/07/2012	12.41	12.47	12.11	12.16	1833512	22782136.000
06/08/2012	12.23	12.36	12.09	12.25	3112512	38574792.000
06/11/2012	12.25	12.58	12.24	12.46	2782822	35093104.000
06/12/2012	12.39	12.41	12.24	12.27	1520413	18967554.000
06/13/2012	12.26	12.56	12.26	12.50	1864676	23502188.000
06/14/2012	12.48	12.62	12.40	12.49	2119582	26888648.000
06/15/2012	12.50	12.53	12.12	12.26	2782463	34705496.000
06/18/2012	12.33	12.49	12.29	12.41	2252917	28316802.000
06/19/2012	12.41	12.60	12.40	12.45	2977696	37804224.000
06/20/2012	12.45	12.51	12.26	12.27	2195274	27545208.000
06/21/2012	12.34	12.38	12.03	12.08	2128795	26194152.000
06/25/2012	12.07	12.12	11.66	11.67	1973342	23742736.000
06/26/2012	11.67	11.67	11.42	11.57	1567962	18368646.000
06/27/2012	11.62	11.69	11.46	11.47	1369379	16147277.000
06/28/2012	11.47	11.52	11.04	11.06	2129982	24451540.000
06/29/2012	11.05	11.20	10.81	11.17	3657843	40931848.000
07/02/2012	11.17	11.22	11.04	11.15	2314778	26188624.000
07/03/2012	11.19	11.45	11.10	11.26	2348738	26888632.000
07/04/2012	11.29	11.30	11.05	11.09	1827188	20616120.000
07/05/2012	11.10	11.10	10.59	10.60	2974506	32454088.000
07/06/2012	10.72	10.93	10.51	10.85	2669990	29106380.000
07/09/2012	10.77	10.78	10.51	10.52	2096474	22710484.000
07/10/2012	10.52	10.97	10.50	10.87	4380277	47995728.000
07/11/2012	10.85	11.10	10.73	10.92	2873243	31865852.000
07/12/2012	10.91	11.05	10.70	11.02	2765432	30630958.000
07/13/2012	11.03	11.09	10.85	10.92	1701158	18939532.000
07/16/2012	10.98	10.98	10.32	10.33	2751329	29489892.000
07/17/2012	10.33	10.48	10.26	10.43	1450797	15296285.000
07/18/2012	10.37	10.49	10.18	10.45	1491518	15644985.000
07/19/2012	10.42	10.87	10.38	10.74	3832870	41646552.000
07/20/2012	10.69	10.78	10.38	10.46	3563563	38225004.000
07/23/2012	10.41	10.61	10.22	10.44	2050522	21768128.000
07/24/2012	10.32	10.77	10.29	10.71	3539344	38135392.000
07/25/2012	10.76	11.22	10.74	10.99	7251878	80986760.000
07/26/2012	10.95	11.02	10.68	10.83	3745747	41176560.000
07/27/2012	10.91	10.99	10.77	10.85	2584367	28528088.000
07/30/2012	10.88	10.90	10.24	10.26	3460130	36762208.000
07/31/2012	10.26	10.27	9.82	9.93	2361500	23874566.000
08/01/2012	9.92	10.21	9.90	10.05	1747498	17848784.000
08/02/2012	10.08	10.09	9.86	10.02	1420842	14417780.000
08/03/2012	10.06	10.44	9.93	10.28	2481498	25780056.000
08/06/2012	10.23	10.50	10.08	10.45	2675499	28151270.000
08/07/2012	10.63	11.51	10.63	11.51	4617380	53618420.000
08/08/2012	12.09	12.28	11.56	12.03	18733277	226297376.000
08/09/2012	11.87	12.19	11.64	11.95	10926566	131871248.000
08/10/2012	11.82	12.00	11.68	11.81	5751973	68976112.000
08/13/2012	11.63	11.76	11.28	11.32	5186176	60483096.000
