600099 林海股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.21	5.23	4.98	5.10	814473	4203778.000
01/05/2012	5.05	5.15	4.86	4.88	943623	4770485.000
01/06/2012	4.93	4.93	4.67	4.85	633770	3067735.000
01/09/2012	4.86	5.05	4.78	5.04	1055440	5298197.000
01/10/2012	5.05	5.41	5.05	5.35	2114000	11232371.000
01/11/2012	5.30	5.45	5.27	5.36	1522633	8218685.000
01/12/2012	5.33	5.75	5.31	5.45	2308472	12876781.000
01/13/2012	5.45	5.46	5.07	5.14	1911243	10074869.000
01/16/2012	5.09	5.12	4.97	4.98	873756	4442215.000
01/17/2012	4.98	5.30	4.96	5.29	1235747	6422952.000
01/18/2012	5.29	5.37	5.17	5.19	1161265	6206832.000
01/19/2012	5.19	5.27	5.15	5.20	1033442	5439311.000
01/20/2012	5.22	5.36	5.18	5.28	717414	3825826.000
01/30/2012	5.33	5.34	5.25	5.31	537959	2878229.000
01/31/2012	5.31	5.33	5.20	5.31	421260	2242403.000
02/01/2012	5.32	5.48	5.26	5.45	1648907	8932750.000
02/02/2012	5.45	5.69	5.38	5.65	2662266	14857231.000
02/03/2012	5.64	5.82	5.54	5.80	2750475	15737122.000
02/06/2012	5.75	5.81	5.69	5.79	1908021	11062733.000
02/07/2012	5.74	5.78	5.55	5.59	1089805	6214271.000
02/08/2012	5.60	5.74	5.53	5.72	1088938	6213483.000
02/09/2012	5.72	5.79	5.56	5.65	2914781	16691351.000
02/10/2012	5.58	5.73	5.58	5.67	1744417	9967193.000
02/13/2012	5.68	5.83	5.61	5.81	2113288	12283568.000
02/14/2012	5.80	5.90	5.78	5.88	1873836	11026845.000
02/15/2012	5.90	6.03	5.80	5.99	2283557	13664499.000
02/16/2012	5.99	6.19	5.97	6.15	3008285	18438676.000
02/17/2012	6.19	6.31	5.96	6.10	2951991	18319536.000
02/20/2012	6.14	6.18	5.93	6.02	3945213	24014048.000
02/21/2012	5.97	6.20	5.96	6.11	3926601	24067456.000
02/22/2012	6.16	6.24	6.07	6.13	2839687	17588850.000
02/23/2012	6.13	6.17	6.06	6.10	1621279	9987254.000
02/24/2012	6.09	6.20	6.05	6.19	2550834	15800213.000
02/27/2012	6.20	6.35	6.19	6.21	3073437	19411252.000
02/28/2012	6.21	6.33	6.12	6.29	2849892	17896024.000
02/29/2012	6.28	6.52	6.20	6.24	3687843	23706424.000
03/01/2012	6.21	6.32	6.13	6.25	1610515	10107994.000
03/02/2012	6.25	6.34	6.18	6.33	1558916	9869588.000
03/05/2012	6.33	6.41	6.23	6.24	2114154	13437689.000
03/06/2012	6.22	6.30	6.17	6.27	1101816	6936354.000
03/07/2012	6.25	6.29	6.17	6.24	1303209	8186394.000
03/08/2012	6.27	6.75	6.24	6.71	6036373	39583436.000
03/09/2012	6.60	7.25	6.58	7.14	10058403	69213040.000
03/12/2012	7.04	7.13	6.92	6.96	4816779	33877492.000
03/13/2012	6.95	6.95	6.73	6.93	4373564	30108364.000
03/14/2012	6.94	6.94	6.36	6.44	3062781	20675406.000
03/15/2012	6.47	6.67	6.31	6.65	2797165	18257596.000
03/16/2012	6.62	6.72	6.45	6.68	2088716	13931437.000
03/19/2012	6.66	6.84	6.57	6.74	1672710	11368007.000
03/20/2012	6.77	6.77	6.40	6.41	2706197	17751804.000
03/21/2012	6.36	6.44	6.23	6.33	1720676	10998415.000
03/22/2012	6.33	6.42	6.28	6.33	1100725	7040934.000
03/23/2012	6.28	6.67	6.28	6.47	2918021	19205530.000
03/26/2012	6.40	6.47	6.16	6.30	1789153	11408019.000
03/27/2012	6.32	6.40	6.20	6.27	1111129	7031788.000
03/28/2012	6.21	6.32	5.86	5.87	1314399	7988790.000
03/29/2012	5.85	5.86	5.56	5.67	1295402	7450188.000
03/30/2012	5.65	5.76	5.60	5.68	821694	4702810.000
04/05/2012	5.72	5.83	5.67	5.81	2350840	13587815.000
04/06/2012	5.76	5.88	5.69	5.86	1417424	8302986.000
04/09/2012	5.84	5.87	5.70	5.74	900999	5260325.000
04/10/2012	5.74	5.75	5.48	5.74	1351980	7657200.000
04/11/2012	5.65	5.78	5.61	5.73	1950001	11178917.000
04/12/2012	5.72	5.96	5.71	5.91	2529348	14884108.000
04/13/2012	5.91	6.31	5.88	6.24	3639022	22454052.000
04/16/2012	6.15	6.23	5.97	6.13	2856508	17544984.000
04/17/2012	6.09	6.14	6.02	6.12	1524592	9332255.000
04/18/2012	6.10	6.34	6.07	6.29	2617344	16362934.000
04/19/2012	6.25	6.33	6.19	6.23	1317090	8332673.000
04/20/2012	6.18	6.33	6.17	6.24	1248347	7867816.000
04/23/2012	6.21	6.26	6.05	6.07	2040834	12638478.000
04/24/2012	6.02	6.12	5.76	5.97	1788582	10682403.000
04/25/2012	5.95	6.22	5.93	6.16	2005351	12315509.000
