600103 青山纸业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.14	3.17	3.08	3.08	2755373	8622485.000
01/05/2012	3.04	3.06	2.89	2.89	5053663	15115861.000
01/06/2012	2.90	2.92	2.78	2.89	4690510	13316537.000
01/09/2012	2.90	3.05	2.82	3.02	9742344	28700848.000
01/10/2012	2.99	3.12	2.98	3.12	12346729	37877144.000
01/11/2012	3.12	3.15	3.06	3.09	8880964	27471096.000
01/12/2012	3.07	3.12	3.05	3.07	5733274	17655878.000
01/13/2012	3.06	3.08	2.97	2.99	6371072	19180150.000
01/16/2012	2.96	3.00	2.94	2.95	3734700	11135991.000
01/17/2012	2.97	3.08	2.95	3.08	4901987	14866848.000
01/18/2012	3.08	3.10	3.00	3.01	6206984	18992442.000
01/19/2012	3.00	3.06	3.00	3.02	3878213	11713807.000
01/20/2012	3.03	3.06	3.01	3.04	3239235	9837325.000
01/30/2012	3.06	3.08	3.03	3.07	3964270	12129551.000
01/31/2012	3.05	3.06	3.00	3.04	2304443	6971677.000
02/01/2012	3.03	3.06	2.99	3.00	3389807	10209181.000
02/02/2012	3.01	3.04	2.99	3.04	4203683	12666536.000
02/03/2012	3.03	3.09	3.00	3.06	7608202	23221236.000
02/06/2012	3.06	3.11	3.05	3.09	7746970	23858492.000
02/07/2012	3.08	3.08	3.02	3.05	4791302	14558704.000
02/08/2012	3.04	3.10	3.02	3.10	6897544	21240888.000
02/09/2012	3.10	3.15	3.08	3.12	10041170	31371782.000
02/10/2012	3.11	3.25	3.10	3.19	19248403	61088952.000
02/13/2012	3.14	3.20	3.10	3.15	11026434	34732928.000
02/14/2012	3.13	3.34	3.13	3.27	25230663	81943600.000
02/15/2012	3.26	3.30	3.20	3.29	14528830	47325388.000
02/16/2012	3.28	3.37	3.24	3.29	13510624	44640448.000
02/17/2012	3.28	3.32	3.22	3.23	8035322	26122578.000
02/20/2012	3.26	3.29	3.22	3.24	8274278	26834084.000
02/21/2012	3.23	3.25	3.17	3.24	5365786	17227468.000
02/22/2012	3.25	3.28	3.22	3.27	8547091	27863744.000
02/23/2012	3.26	3.60	3.24	3.60	51720199	177612192.000
02/24/2012	3.77	3.77	3.56	3.74	61996136	228044256.000
02/27/2012	3.70	4.11	3.67	4.11	114805160	455357824.000
02/28/2012	4.08	4.15	3.97	4.05	92216648	373021888.000
02/29/2012	4.02	4.12	3.99	4.08	85990959	348689056.000
03/01/2012	4.05	4.26	4.02	4.20	109450133	453057760.000
03/02/2012	4.22	4.32	4.01	4.16	90439143	373892736.000
03/05/2012	4.16	4.21	4.05	4.07	66096930	270327072.000
03/06/2012	4.05	4.08	3.99	4.04	39891223	161103888.000
03/07/2012	4.00	4.04	3.91	3.96	36256678	144561552.000
03/08/2012	3.96	4.01	3.92	3.97	33154545	131427600.000
03/09/2012	4.00	4.01	3.93	3.97	25491759	100856184.000
03/12/2012	3.96	3.99	3.91	3.94	19478991	76767688.000
03/13/2012	3.94	3.96	3.85	3.96	31456485	122950656.000
03/14/2012	3.96	4.03	3.60	3.67	51587909	200655104.000
03/15/2012	3.65	3.69	3.46	3.55	28775381	102502376.000
03/16/2012	3.54	3.72	3.51	3.69	22545437	81546304.000
03/19/2012	3.66	3.69	3.59	3.66	13511940	49283756.000
03/20/2012	3.63	3.64	3.55	3.56	13527635	48573148.000
03/21/2012	3.58	3.62	3.51	3.60	11165154	39963868.000
03/22/2012	3.60	3.63	3.52	3.59	11648834	41879820.000
03/23/2012	3.59	3.59	3.49	3.51	10870204	38320116.000
03/26/2012	3.51	3.59	3.49	3.54	10370944	36830060.000
03/27/2012	3.56	3.62	3.52	3.57	12108661	43406008.000
03/28/2012	3.55	3.58	3.36	3.37	14421772	49559724.000
03/29/2012	3.35	3.41	3.25	3.34	13299907	44300680.000
03/30/2012	3.38	3.38	3.28	3.34	7632501	25408496.000
04/05/2012	3.37	3.43	3.33	3.41	9115589	30922288.000
04/06/2012	3.42	3.48	3.37	3.45	13827733	47478624.000
04/09/2012	3.43	3.48	3.38	3.42	9935896	34155736.000
04/10/2012	3.41	3.44	3.25	3.41	12817605	42889960.000
04/11/2012	3.37	3.43	3.34	3.41	10178433	34556280.000
04/12/2012	3.42	3.58	3.40	3.55	24635959	86589192.000
04/13/2012	3.56	3.66	3.53	3.55	21364672	76365992.000
04/16/2012	3.51	3.63	3.50	3.58	12089877	43224468.000
04/17/2012	3.56	3.63	3.48	3.50	12039572	42698792.000
04/18/2012	3.50	3.58	3.45	3.57	15063577	53053364.000
