600117 西宁特钢 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.58	6.62	6.24	6.27	3192678	20629268.000
01/05/2012	6.24	6.36	6.16	6.24	3835008	24135388.000
01/06/2012	6.22	6.38	6.08	6.34	3365001	20861236.000
01/09/2012	6.33	6.81	6.25	6.75	6832458	44926228.000
01/10/2012	6.70	7.10	6.68	7.04	9740492	67652840.000
01/11/2012	7.00	7.44	6.93	7.07	9485015	68274352.000
01/12/2012	6.98	7.13	6.90	7.01	6502260	45676840.000
01/13/2012	6.99	7.06	6.65	6.77	7548774	51608744.000
01/16/2012	6.68	6.93	6.62	6.64	4884008	33120946.000
01/17/2012	6.66	7.31	6.64	7.22	10039417	70672848.000
01/18/2012	7.19	7.42	7.03	7.16	8880815	64359340.000
01/19/2012	7.14	7.39	7.06	7.34	10949689	79321976.000
01/20/2012	7.33	7.40	7.26	7.31	6956614	51100360.000
01/30/2012	7.38	7.41	7.10	7.14	5188300	37410980.000
01/31/2012	7.13	7.17	6.91	7.11	4087184	28821852.000
02/01/2012	7.09	7.14	6.87	6.91	4590230	32163960.000
02/02/2012	6.96	7.15	6.87	7.14	4115608	29023040.000
02/03/2012	7.12	7.22	7.06	7.17	5741114	41094556.000
02/06/2012	7.18	7.26	7.14	7.24	6248198	45021936.000
02/07/2012	7.19	7.35	7.09	7.14	7579589	54710036.000
02/08/2012	7.09	7.39	7.08	7.38	9290651	67621192.000
02/09/2012	7.39	7.62	7.35	7.46	11423050	85431416.000
02/10/2012	7.41	7.67	7.37	7.47	10427301	78678000.000
02/13/2012	7.36	7.59	7.26	7.43	7202817	53526488.000
02/14/2012	7.42	7.46	7.31	7.37	6343467	46760776.000
02/15/2012	7.35	7.59	7.34	7.49	6649563	49844824.000
02/16/2012	7.47	7.67	7.44	7.64	12041280	91525624.000
02/17/2012	7.64	7.69	7.49	7.55	5709906	43254668.000
02/20/2012	7.64	7.73	7.52	7.55	8161449	62192692.000
