600122 宏图高科 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.06	4.11	3.92	3.93	8540890	35239776.000
01/05/2012	3.88	3.94	3.80	3.81	6462606	25817068.000
01/06/2012	3.82	3.90	3.72	3.86	5300519	20811704.000
01/09/2012	3.87	4.04	3.82	4.02	9763309	40113480.000
01/10/2012	4.04	4.19	3.99	4.16	17368751	73950512.000
01/11/2012	4.17	4.23	4.07	4.13	13625158	58273108.000
01/12/2012	4.13	4.19	4.04	4.07	14250748	60284288.000
01/13/2012	4.07	4.11	3.89	3.92	12277314	50518456.000
01/16/2012	3.89	3.99	3.85	3.89	4939975	19960296.000
01/17/2012	3.88	4.12	3.87	4.11	11251609	46699440.000
01/18/2012	4.12	4.19	4.02	4.03	10975330	46360064.000
01/19/2012	4.03	4.18	3.99	4.14	13864368	58699756.000
01/30/2012	4.17	4.18	4.08	4.09	6533730	27866466.000
01/31/2012	4.09	4.11	4.03	4.11	5428423	22796464.000
02/01/2012	4.07	4.14	4.05	4.07	5215209	22030284.000
02/02/2012	4.07	4.13	4.05	4.13	6627827	28054192.000
02/03/2012	4.12	4.23	4.11	4.19	14537943	62641840.000
02/06/2012	4.17	4.32	4.16	4.29	16190936	70738520.000
02/07/2012	4.25	4.32	4.12	4.12	15028775	65162396.000
02/08/2012	4.14	4.28	4.11	4.27	13901827	60437176.000
02/09/2012	4.24	4.34	4.24	4.30	18124031	80174224.000
02/10/2012	4.26	4.34	4.25	4.28	14374688	63534336.000
02/13/2012	4.24	4.36	4.22	4.33	14374468	63810368.000
02/14/2012	4.34	4.34	4.27	4.29	8850558	39192204.000
02/15/2012	4.29	4.47	4.27	4.43	20907738	94518624.000
02/16/2012	4.44	4.58	4.37	4.44	31817161	146730800.000
02/17/2012	4.43	4.48	4.35	4.40	11297289	51124280.000
02/20/2012	4.45	4.48	4.38	4.38	14180970	64729728.000
02/21/2012	4.38	4.40	4.27	4.40	14885233	66539704.000
02/22/2012	4.40	4.49	4.37	4.49	20519238	93832592.000
02/23/2012	4.48	4.51	4.41	4.47	17697215	81272368.000
02/24/2012	4.47	4.57	4.43	4.55	20266551	93838872.000
02/27/2012	4.56	4.68	4.53	4.56	29637417	140475808.000
02/28/2012	4.55	4.56	4.44	4.50	16473145	76276544.000
02/29/2012	4.47	4.49	4.40	4.41	10975090	50140824.000
03/01/2012	4.40	4.63	4.38	4.58	28446960	133032528.000
03/02/2012	4.58	4.61	4.52	4.61	25211782	118557016.000
03/05/2012	4.62	4.71	4.58	4.61	25052735	119519616.000
03/06/2012	4.60	4.60	4.49	4.51	14499605	67582952.000
03/07/2012	4.46	4.69	4.44	4.61	27230815	128863424.000
03/08/2012	4.62	4.72	4.59	4.68	23908790	114746944.000
03/09/2012	4.73	4.77	4.67	4.72	19636163	95105296.000
03/12/2012	4.72	4.92	4.67	4.84	31890601	157533184.000
03/13/2012	4.82	4.87	4.76	4.82	21505082	106203496.000
03/14/2012	4.86	4.88	4.46	4.57	29078578	141058176.000
03/15/2012	4.56	4.60	4.36	4.42	22013649	100895720.000
03/16/2012	4.43	4.62	4.40	4.61	18904501	87383768.000
03/19/2012	4.58	4.64	4.50	4.62	12254949	57801544.000
03/20/2012	4.60	4.60	4.47	4.49	12913710	59934328.000
03/21/2012	4.50	4.54	4.37	4.48	14281151	65392472.000
03/22/2012	4.47	4.51	4.42	4.46	7226704	33185244.000
03/23/2012	4.44	4.62	4.41	4.59	26067620	121499872.000
03/26/2012	4.59	4.67	4.51	4.61	23299473	109981224.000
03/27/2012	4.63	4.67	4.49	4.51	20484564	96757152.000
03/28/2012	4.48	4.48	4.32	4.32	14107826	63739680.000
03/29/2012	4.28	4.31	4.17	4.20	11012715	48341736.000
03/30/2012	4.11	4.22	4.11	4.16	8376942	35924416.000
04/05/2012	4.17	4.31	4.15	4.27	8410706	36764288.000
04/06/2012	4.27	4.32	4.23	4.31	7771859	34224700.000
04/09/2012	4.29	4.30	4.23	4.23	4351680	19113416.000
04/10/2012	4.22	4.30	4.12	4.29	8247599	35753184.000
04/11/2012	4.23	4.33	4.20	4.29	8016638	35341608.000
04/12/2012	4.29	4.36	4.23	4.34	15818811	70341296.000
04/13/2012	4.38	4.44	4.35	4.41	15933471	72220184.000
04/16/2012	4.37	4.49	4.35	4.47	12322472	56290664.000
04/17/2012	4.46	4.49	4.33	4.34	10878702	49379684.000
04/18/2012	4.34	4.65	4.34	4.52	20082879	92170032.000
04/19/2012	4.51	4.55	4.44	4.48	14023629	64885008.000
04/23/2012	4.54	4.63	4.47	4.49	26843135	125573936.000
04/24/2012	4.46	4.56	4.29	4.52	19651609	90061816.000
04/25/2012	4.52	4.80	4.50	4.69	38638464	185548304.000
04/26/2012	4.72	4.81	4.61	4.73	27782778	134671600.000
04/27/2012	4.72	4.75	4.63	4.67	14907165	71886616.000
05/02/2012	4.73	4.79	4.68	4.73	16410140	79702840.000
05/03/2012	4.73	4.74	4.64	4.67	10958752	52731160.000
05/04/2012	4.65	4.73	4.64	4.71	10944368	52757068.000
05/07/2012	4.69	4.71	4.61	4.71	13207335	63308188.000
05/08/2012	4.68	4.82	4.65	4.80	20723131	101305712.000
05/09/2012	4.77	4.77	4.68	4.69	14108566	68437144.000
05/10/2012	4.70	4.73	4.59	4.67	12892612	61822000.000
05/11/2012	4.67	4.69	4.57	4.59	8327076	39541352.000
05/14/2012	4.63	4.63	4.53	4.53	10221590	48069384.000
05/15/2012	4.51	4.53	4.35	4.46	12800162	58239736.000
05/16/2012	4.46	4.51	4.38	4.40	6992853	32019796.000
05/17/2012	4.39	4.54	4.39	4.48	9994261	46039024.000
05/18/2012	4.46	4.51	4.35	4.41	8495160	38819656.000
05/21/2012	4.40	4.48	4.37	4.44	4494137	20448394.000
05/22/2012	4.45	4.50	4.44	4.49	6087325	28040994.000
05/23/2012	4.48	4.51	4.41	4.46	5660860	25976288.000
05/24/2012	4.44	4.46	4.38	4.40	5414135	24610660.000
05/25/2012	4.39	4.42	4.32	4.34	7597840	34089264.000
05/28/2012	4.32	4.41	4.25	4.41	6015869	26908072.000
