600128 弘业股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	9.45	9.50	8.89	8.92	2488581	24117924.000
01/05/2012	8.92	9.13	8.54	8.72	2428540	22659726.000
01/06/2012	8.63	8.92	8.54	8.88	2015531	18522180.000
01/09/2012	8.89	9.81	8.77	9.56	3568801	34692540.000
01/10/2012	9.78	9.89	9.54	9.85	5354074	54630968.000
01/11/2012	9.79	10.20	8.82	9.89	4964090	51503904.000
01/12/2012	9.76	9.92	9.58	9.71	3285674	33473940.000
01/13/2012	9.65	9.76	9.34	9.47	2885135	28661000.000
01/16/2012	9.46	9.46	8.94	9.04	1721028	16676443.000
01/17/2012	9.11	9.71	9.05	9.69	2564894	25377536.000
01/18/2012	9.84	10.03	9.32	9.33	3606455	36459596.000
01/19/2012	9.35	9.50	9.16	9.35	2302253	22600062.000
01/20/2012	9.37	9.54	9.34	9.47	2283101	22586504.000
01/30/2012	9.52	9.52	9.32	9.33	2268182	22343864.000
01/31/2012	9.34	9.40	9.23	9.40	1433532	14012612.000
02/01/2012	9.30	9.48	9.22	9.27	1566022	15349265.000
02/02/2012	9.26	9.45	9.20	9.43	1731714	16978402.000
02/03/2012	9.42	9.79	9.35	9.69	4332014	43686456.000
02/06/2012	9.65	9.89	9.65	9.76	3175111	32428852.000
02/07/2012	9.72	9.76	9.44	9.51	2748728	27595998.000
02/08/2012	9.53	9.90	9.41	9.83	3295474	33522628.000
02/09/2012	9.86	10.60	9.82	10.31	8660020	92455968.000
02/10/2012	10.31	10.76	10.24	10.34	5423527	59020712.000
02/13/2012	10.23	10.49	10.12	10.36	3266408	35108036.000
02/14/2012	10.35	10.95	10.35	10.66	7137607	79564024.000
02/15/2012	10.66	10.84	10.44	10.76	5694138	63324016.000
02/16/2012	10.72	10.84	10.56	10.65	2996507	33340574.000
02/17/2012	10.69	10.80	10.43	10.48	2109791	23249752.000
02/20/2012	10.69	10.83	10.53	10.55	4042467	44939420.000
02/21/2012	10.64	10.64	10.39	10.60	6240702	68251704.000
02/22/2012	10.64	10.80	10.55	10.79	7109521	79276144.000
02/23/2012	10.79	10.87	10.52	10.61	7260367	80840816.000
02/24/2012	10.58	10.85	10.54	10.81	6785504	76004992.000
02/27/2012	10.85	11.09	10.76	10.78	8051507	91621800.000
02/28/2012	10.74	10.79	10.50	10.62	4674459	51944728.000
02/29/2012	10.67	10.96	10.61	10.63	5543169	62324516.000
03/01/2012	10.64	10.96	10.56	10.94	6885814	77381992.000
03/02/2012	10.92	11.24	10.87	11.08	7710816	88819400.000
03/05/2012	11.10	11.19	10.87	10.98	6008747	68820504.000
03/06/2012	10.94	10.96	10.54	10.56	8850397	98656840.000
03/07/2012	10.44	10.88	10.37	10.76	6893165	76889024.000
03/08/2012	10.72	11.09	10.72	10.93	8842280	100660312.000
03/09/2012	10.94	11.43	10.83	11.35	13377889	156555104.000
03/12/2012	11.25	11.54	11.18	11.28	9045841	106673840.000
03/13/2012	11.18	11.44	11.16	11.40	4847242	56968880.000
03/14/2012	11.49	11.50	10.55	10.67	11990810	138643488.000
03/15/2012	10.62	10.72	10.21	10.52	7834508	85262176.000
03/16/2012	10.54	10.68	10.40	10.67	5884064	64908576.000
03/19/2012	10.66	10.94	10.55	10.84	7075772	79568632.000
03/20/2012	10.77	10.80	10.44	10.44	4898043	54046592.000
03/21/2012	10.54	10.62	10.33	10.53	3634113	39778928.000
03/22/2012	10.48	10.51	10.33	10.38	3289960	35743172.000
03/23/2012	10.32	10.41	10.12	10.18	3623779	38781548.000
03/26/2012	10.15	10.42	10.04	10.26	3720846	39849100.000
