600148 长春一东 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	8.15	8.16	7.68	7.72	329710	2694934.000
01/05/2012	7.73	7.79	7.25	7.26	336400	2596973.000
01/06/2012	7.26	7.60	7.05	7.48	329109	2447661.000
01/09/2012	7.49	7.83	7.11	7.82	605514	4753181.000
01/10/2012	7.75	8.29	7.69	8.18	750026	6168325.000
01/12/2012	8.06	8.26	7.96	8.19	593581	4945392.000
01/13/2012	8.11	8.15	7.71	7.92	523265	4244619.000
01/16/2012	7.60	8.14	7.60	7.71	337709	2740039.000
01/17/2012	7.70	8.12	7.61	8.12	320861	2624346.000
01/18/2012	8.13	8.40	8.07	8.15	832729	7007820.000
01/19/2012	8.13	8.34	8.08	8.18	471562	3954583.000
01/20/2012	8.18	8.25	8.15	8.22	361301	3041477.000
01/30/2012	8.25	8.37	8.14	8.21	422405	3563763.000
01/31/2012	8.25	8.25	8.07	8.14	249600	2079162.000
02/01/2012	8.14	8.20	8.00	8.05	254301	2109789.000
02/02/2012	8.08	8.24	8.03	8.23	236698	1971007.000
02/03/2012	8.25	8.55	8.16	8.46	765433	6588554.000
02/06/2012	8.41	8.58	8.40	8.48	434170	3776197.000
02/07/2012	8.45	8.45	8.25	8.27	342788	2912570.000
02/08/2012	8.31	8.60	8.22	8.52	557986	4804806.000
02/09/2012	8.47	8.88	8.47	8.63	885626	7859230.000
02/10/2012	8.60	8.77	8.57	8.66	600941	5320420.000
02/13/2012	8.73	8.89	8.60	8.75	675849	6057611.000
02/14/2012	8.75	8.90	8.70	8.75	636665	5711994.000
02/15/2012	8.79	8.96	8.65	8.95	797185	7215430.000
02/16/2012	8.95	9.11	8.81	9.07	1137157	10415244.000
02/17/2012	9.08	9.30	8.94	9.19	1167205	10896714.000
02/20/2012	9.37	9.40	9.12	9.14	1071218	10149057.000
02/21/2012	9.14	9.20	8.86	9.19	994246	9158552.000
02/22/2012	9.14	9.27	9.10	9.22	1061598	9963648.000
02/23/2012	9.30	9.44	9.07	9.42	1202156	11372865.000
02/24/2012	9.36	9.48	9.30	9.41	900873	8644057.000
02/27/2012	9.41	9.68	9.41	9.43	1390739	13579112.000
02/28/2012	9.30	9.48	9.30	9.35	1037649	9927700.000
02/29/2012	9.35	9.35	9.07	9.08	840200	7929634.000
03/01/2012	9.03	9.27	8.98	9.18	605504	5680850.000
03/02/2012	9.20	9.40	9.18	9.40	704274	6704811.000
03/05/2012	9.41	9.83	9.41	9.61	2120118	20973464.000
03/06/2012	9.62	9.99	9.50	9.80	2683997	26668528.000
03/07/2012	9.74	10.15	9.65	10.00	2495717	25370280.000
03/08/2012	10.13	10.20	9.89	10.01	2142866	21896032.000
03/09/2012	10.10	10.10	9.91	10.02	1410766	14395520.000
03/12/2012	10.15	10.15	9.93	10.00	1169698	11953939.000
03/13/2012	9.98	10.05	9.83	9.99	1115481	11296552.000
03/14/2012	10.00	10.04	9.03	9.27	1823859	18169120.000
03/15/2012	9.26	9.49	9.05	9.12	1075109	10146439.000
03/16/2012	9.24	9.36	9.10	9.32	982412	9269191.000
03/19/2012	9.31	10.27	9.28	10.27	2049878	21011084.000
03/20/2012	10.40	11.22	10.27	10.49	5934426	64682240.000
03/21/2012	10.49	11.48	10.49	11.24	6198793	70063568.000
03/22/2012	10.78	11.19	10.56	10.89	3172525	34967472.000
03/23/2012	10.65	10.79	10.31	10.43	2029450	21782812.000
03/26/2012	10.43	10.67	10.20	10.66	1689252	17955280.000
03/27/2012	10.66	10.73	10.24	10.38	1415304	15144259.000
03/28/2012	10.30	10.30	9.60	9.61	1584181	15860347.000
03/29/2012	9.56	9.60	9.07	9.37	1163577	11118068.000
03/30/2012	9.44	9.50	9.12	9.24	951545	9087072.000
04/05/2012	9.28	9.98	9.17	9.86	1636963	16102894.000
04/06/2012	9.80	9.94	9.65	9.92	1374974	13765185.000
04/09/2012	9.80	10.02	9.61	9.62	1104004	11062765.000
04/10/2012	9.60	9.89	9.13	9.86	1271889	12273828.000
04/11/2012	9.78	10.41	9.63	10.34	2355757	24152244.000
04/12/2012	10.34	10.45	10.13	10.38	2215475	23269848.000
04/13/2012	10.35	10.41	10.14	10.24	1491304	15624911.000
04/16/2012	10.12	10.40	10.02	10.30	1252430	13133835.000
04/17/2012	10.24	10.26	9.80	9.87	1275064	13036529.000
04/18/2012	9.90	10.14	9.83	10.09	1013828	10343972.000
04/19/2012	10.10	10.58	10.10	10.52	2465819	26168122.000
04/20/2012	10.52	10.58	10.37	10.51	1459410	15566642.000
04/23/2012	10.43	10.98	10.40	10.80	3204404	35061928.000
04/24/2012	10.65	10.77	9.80	10.52	2050493	21758340.000
04/25/2012	10.71	11.18	10.62	10.86	2572551	28462794.000
04/26/2012	10.72	10.86	10.40	10.52	1332023	14338753.000
04/27/2012	10.52	10.83	10.30	10.30	1156212	12453886.000
05/02/2012	10.35	10.68	10.00	10.04	1644884	16970808.000
05/03/2012	10.02	10.18	9.75	10.17	1470246	14896224.000
05/04/2012	10.11	10.15	9.94	10.01	981172	10040797.000
05/07/2012	9.90	10.02	9.78	10.01	914601	9233468.000
05/08/2012	10.02	10.26	10.00	10.19	1352979	14021875.000
05/09/2012	10.21	10.37	10.10	10.25	1517210	15862531.000
05/11/2012	10.20	10.20	9.86	9.87	1338887	13576986.000
05/14/2012	9.98	9.98	9.67	9.68	745227	7476302.000
05/15/2012	9.65	9.82	9.55	9.81	456837	4518394.000
05/16/2012	9.89	9.89	9.52	9.56	509800	5029273.000
05/17/2012	9.65	9.88	9.57	9.80	796175	7934803.000
05/18/2012	9.78	10.80	9.54	10.70	1080220	11134317.000
05/21/2012	10.25	10.67	9.62	10.11	1617478	16634224.000
05/22/2012	9.91	10.02	9.88	9.97	1202102	12171838.000
05/23/2012	9.93	9.95	9.70	9.83	644921	6444374.000
05/24/2012	9.79	9.86	9.57	9.60	681664	6744597.000
05/25/2012	9.55	9.66	9.48	9.50	351423	3430656.000
05/28/2012	9.43	9.65	9.20	9.60	609406	5868824.000
05/29/2012	9.63	9.85	9.51	9.77	862196	8588704.000
05/30/2012	9.85	9.85	9.70	9.79	704976	7027690.000
05/31/2012	9.79	9.79	9.61	9.64	451400	4462570.000
06/01/2012	9.60	9.79	9.60	9.65	445449	4399838.000
06/04/2012	9.40	9.65	9.30	9.30	581840	5607530.000
06/05/2012	9.27	9.57	9.23	9.30	472008	4496219.000
06/06/2012	9.40	9.49	9.21	9.25	239553	2281370.000
06/07/2012	9.47	9.47	8.94	8.99	483367	4523506.000
06/08/2012	9.17	9.17	8.81	8.98	353969	3240787.000
06/11/2012	9.05	9.09	8.90	9.02	558197	5130579.000
06/12/2012	9.06	9.06	8.77	8.78	462200	4188528.000
06/13/2012	8.80	8.91	8.72	8.89	611817	5516455.000
06/14/2012	8.87	9.03	8.87	8.98	772578	7058177.000
06/15/2012	8.96	8.98	8.80	8.91	567014	5148990.000
06/18/2012	8.94	9.00	8.86	8.98	303454	2757664.000
06/19/2012	8.89	9.01	8.84	8.87	325585	2948561.000
06/20/2012	8.87	8.93	8.83	8.88	270000	2434125.000
06/21/2012	8.87	8.91	8.66	8.74	370970	3293454.000
06/25/2012	8.75	8.76	8.36	8.38	365610	3186030.000
06/26/2012	8.21	8.48	8.21	8.34	309923	2634473.000
06/27/2012	8.34	8.46	8.19	8.36	179486	1527041.000
06/28/2012	8.34	8.44	8.16	8.16	332902	2790089.000
06/29/2012	8.11	8.26	8.11	8.20	313844	2611639.000
07/02/2012	8.48	8.49	8.21	8.26	321073	2731810.000
07/03/2012	8.25	8.35	7.91	8.24	319279	2677258.000
07/04/2012	8.25	8.30	8.13	8.21	368782	3070102.000
07/05/2012	8.17	8.17	7.77	7.85	726165	5858232.000
07/06/2012	7.85	7.98	7.61	7.91	709663	5598407.000
07/09/2012	7.83	7.83	7.57	7.57	491661	3839306.000
07/10/2012	7.60	7.65	7.46	7.56	363601	2795205.000
07/11/2012	7.61	7.65	7.55	7.61	163099	1261252.000
07/12/2012	7.51	7.80	7.51	7.77	508752	3973956.000
07/13/2012	7.76	7.83	7.63	7.67	441125	3465334.000
07/16/2012	7.67	7.74	7.47	7.48	361768	2773126.000
07/17/2012	7.46	7.59	7.38	7.58	280833	2145896.000
07/18/2012	7.58	8.10	7.51	7.93	1075714	8592812.000
07/19/2012	7.91	8.08	7.77	7.99	789916	6386166.000
07/20/2012	7.99	8.02	7.86	7.91	575520	4653920.000
07/23/2012	7.81	7.90	7.81	7.87	214649	1718143.000
07/24/2012	7.87	7.95	7.81	7.90	301067	2416142.000
07/25/2012	7.86	7.97	7.81	7.93	362008	2914878.000
07/26/2012	7.91	7.97	7.78	7.82	408900	3281470.000
07/27/2012	7.89	7.89	7.64	7.72	679909	5339683.000
07/30/2012	7.67	7.70	7.46	7.49	317946	2442869.000
07/31/2012	7.54	7.55	7.32	7.37	312399	2362692.000
08/01/2012	7.29	7.56	7.27	7.49	237185	1799125.000
08/02/2012	7.51	7.54	7.32	7.43	195618	1476663.000
08/03/2012	6.91	8.19	6.87	8.01	1188592	9585635.000
08/06/2012	7.93	8.15	7.86	8.01	826900	6710901.000
08/07/2012	7.99	8.10	7.90	8.09	805848	6604147.000
