600150 中国船舶 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	19.90	20.18	19.41	19.43	2444417	63952752.000
01/05/2012	19.40	19.56	18.87	18.93	2449583	61930264.000
01/06/2012	18.94	19.20	18.65	19.14	1944995	48539728.000
01/09/2012	19.22	19.99	19.16	19.93	3824440	98977448.000
01/10/2012	19.99	20.78	19.83	20.72	5502400	147691504.000
01/11/2012	20.72	20.87	20.38	20.47	5035769	136471920.000
01/12/2012	20.26	20.90	20.18	20.49	3812510	103609000.000
01/13/2012	20.49	20.61	19.89	19.95	2954598	78347632.000
01/16/2012	19.95	20.18	19.50	19.57	2120142	55536880.000
01/17/2012	19.65	20.77	19.50	20.73	4499642	120446736.000
01/18/2012	20.60	21.02	20.49	20.52	4541550	124135936.000
01/19/2012	20.52	20.95	20.38	20.83	4232286	115760816.000
01/20/2012	21.01	21.91	20.95	21.62	7883224	223712640.000
01/30/2012	21.58	21.62	21.02	21.03	4024035	112600288.000
01/31/2012	20.96	21.43	20.88	21.43	2811427	78477392.000
02/01/2012	21.26	21.54	20.78	20.90	3074819	85522376.000
02/02/2012	20.99	21.24	20.81	21.20	2797719	77654192.000
02/03/2012	21.23	21.71	21.23	21.57	4729931	134286544.000
02/06/2012	21.72	21.72	21.33	21.49	3000625	84842016.000
02/07/2012	21.40	21.40	20.82	20.95	2857429	79108104.000
02/08/2012	20.88	21.51	20.87	21.42	3177849	88770560.000
02/09/2012	21.57	21.60	21.28	21.50	3777762	106775328.000
02/10/2012	21.41	21.70	21.35	21.43	3742606	105965328.000
02/13/2012	21.26	21.63	21.10	21.41	2878181	81081128.000
02/14/2012	21.37	21.76	21.31	21.60	3867273	109843920.000
02/15/2012	21.59	22.13	21.39	22.03	5192111	149401120.000
02/16/2012	21.90	22.17	21.53	21.77	4663046	134043864.000
02/17/2012	22.00	22.15	21.72	21.87	4252504	122808664.000
02/20/2012	22.26	22.27	21.87	21.87	3841430	111550656.000
02/21/2012	21.90	22.07	21.56	21.93	3104898	89066400.000
02/22/2012	21.91	22.22	21.81	22.19	5190574	150612512.000
02/23/2012	22.14	22.31	22.03	22.20	5190508	151501184.000
02/24/2012	22.22	22.63	22.05	22.53	6560870	192843936.000
02/27/2012	22.53	23.09	22.49	22.67	8924171	268293088.000
02/28/2012	22.66	22.97	22.50	22.90	5959896	178060240.000
02/29/2012	22.93	23.41	22.80	22.94	7041163	213853328.000
03/01/2012	22.83	23.40	22.77	23.07	5053805	153762080.000
03/02/2012	23.10	23.95	23.07	23.93	8034855	249317152.000
03/05/2012	24.35	26.32	24.35	25.24	16764382	558851008.000
03/06/2012	25.25	26.24	24.65	25.93	15922417	532202944.000
03/07/2012	25.64	28.33	25.34	27.90	28045777	1001696000.000
03/08/2012	27.91	27.99	27.20	27.67	17806096	643667968.000
03/09/2012	27.80	29.45	27.42	28.94	24478441	918962752.000
03/12/2012	28.95	29.82	28.21	29.29	19166588	728447616.000
03/13/2012	29.30	30.47	28.70	29.00	22273786	864184832.000
03/14/2012	29.03	29.10	26.97	27.42	25538103	943838464.000
03/15/2012	27.38	27.83	26.72	27.43	18510123	665659712.000
03/16/2012	27.41	27.76	26.66	27.56	13605258	488099776.000
03/19/2012	27.53	27.56	26.80	27.47	11357042	406162304.000
03/20/2012	27.24	27.26	26.26	26.42	11631935	408164096.000
03/21/2012	26.53	27.14	26.37	26.78	10795867	379237824.000
03/22/2012	27.15	28.32	27.15	28.00	18262748	667717248.000
03/23/2012	27.53	27.79	26.64	26.90	10269730	365174144.000
03/26/2012	26.90	27.06	25.80	26.06	7402532	255346160.000
03/27/2012	26.14	26.71	26.03	26.17	5392616	186566032.000
03/28/2012	26.01	26.01	24.64	24.67	9524765	314519040.000
03/29/2012	24.37	24.57	23.64	23.79	8051370	255190752.000
03/30/2012	23.78	24.57	23.77	24.53	8363704	267259568.000
04/05/2012	24.53	25.87	24.34	25.63	8406573	278919840.000
04/06/2012	25.64	26.18	25.15	25.53	7289314	246670080.000
04/09/2012	25.49	25.55	24.95	25.01	4881440	161972688.000
04/10/2012	24.86	25.68	23.73	25.64	6675753	216882992.000
04/11/2012	25.12	26.23	24.93	25.93	8563358	290205824.000
04/12/2012	25.93	26.27	25.64	26.13	7416982	253780896.000
04/13/2012	26.09	26.25	25.70	25.87	6072018	207198784.000
04/16/2012	25.27	25.32	24.57	24.88	9290713	304673728.000
04/17/2012	24.80	25.22	24.47	24.70	5718727	186345840.000
04/18/2012	25.00	25.43	24.80	25.36	7700410	255343600.000
04/19/2012	25.33	25.48	25.00	25.11	5117422	169753520.000
04/20/2012	25.03	25.64	24.92	25.62	7319912	243073888.000
04/23/2012	26.14	28.21	26.06	28.21	24983528	898593024.000
04/24/2012	28.00	29.55	27.15	27.44	31497290	1170515456.000
04/25/2012	27.07	27.68	26.49	27.17	13572041	483805120.000
04/26/2012	27.03	29.63	26.45	28.84	21074869	773836288.000
04/27/2012	28.52	29.17	28.07	28.21	13309472	498598944.000
05/02/2012	28.95	29.15	27.87	28.03	11473237	427026176.000
05/03/2012	27.80	28.22	27.57	27.89	7352007	268945280.000
05/04/2012	27.87	28.50	27.49	28.42	9661484	355164896.000
