600165 新日恒力 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.08	3.10	2.74	2.74	12230896	87069720.000
01/05/2012	2.58	2.58	2.46	2.46	6818186	42176920.000
01/06/2012	2.46	2.58	2.31	2.56	8377529	51030872.000
01/09/2012	2.47	2.63	2.47	2.62	4644580	30040972.000
01/10/2012	2.62	2.85	2.59	2.74	5605328	38201520.000
01/11/2012	2.72	2.78	2.69	2.74	2909599	19899240.000
01/12/2012	2.72	2.79	2.68	2.69	2660602	18198440.000
01/13/2012	2.69	2.70	2.54	2.54	3105667	20206020.000
01/16/2012	2.52	2.61	2.50	2.56	2025013	12944156.000
01/17/2012	2.56	2.69	2.53	2.68	2724227	17842328.000
01/18/2012	2.64	2.73	2.63	2.64	2124823	14221325.000
01/19/2012	2.68	2.68	2.60	2.62	1652588	10892697.000
01/20/2012	2.63	2.70	2.62	2.68	1689565	11264759.000
01/30/2012	2.70	2.70	2.65	2.66	1020421	6835323.000
01/31/2012	2.66	2.74	2.64	2.68	1480766	9995879.000
02/01/2012	2.68	2.69	2.64	2.64	928662	6186683.000
02/02/2012	2.64	2.68	2.63	2.68	1074735	7142359.000
02/03/2012	2.68	2.79	2.68	2.76	2700279	18505546.000
02/06/2012	2.76	2.80	2.73	2.76	1918429	13223219.000
02/07/2012	2.76	2.76	2.66	2.68	1730726	11652255.000
02/08/2012	2.67	2.76	2.66	2.75	1895164	12875424.000
02/09/2012	2.75	2.80	2.74	2.76	3032680	20989110.000
02/10/2012	2.76	2.80	2.73	2.77	2360649	16347135.000
02/13/2012	2.76	2.83	2.73	2.81	3019957	21070340.000
02/14/2012	2.80	2.82	2.78	2.80	1677680	11742128.000
02/15/2012	2.80	2.91	2.80	2.88	4275110	30670874.000
02/16/2012	2.87	2.90	2.82	2.87	3209275	23010496.000
02/17/2012	2.87	2.90	2.84	2.86	1963370	14065322.000
02/20/2012	2.88	2.89	2.81	2.82	2669269	19138792.000
02/21/2012	2.83	2.87	2.79	2.84	2672821	18898036.000
02/22/2012	2.86	2.99	2.84	2.93	5551709	40438368.000
02/23/2012	2.92	2.94	2.88	2.91	4188097	30413916.000
02/24/2012	2.90	2.95	2.89	2.94	4176741	30486478.000
02/27/2012	2.94	2.99	2.92	2.94	4471537	33065624.000
02/28/2012	2.94	2.94	2.88	2.91	2854427	20760368.000
02/29/2012	2.90	2.98	2.88	2.91	2666411	19536336.000
03/01/2012	2.91	2.94	2.88	2.92	1892362	13798682.000
03/02/2012	2.91	2.97	2.91	2.96	3710191	27324232.000
03/05/2012	2.98	3.00	2.95	2.99	3541483	26319624.000
03/06/2012	2.99	3.01	2.92	2.92	2885293	21295810.000
03/07/2012	2.89	2.95	2.88	2.90	2819385	20525190.000
03/08/2012	2.90	2.96	2.90	2.96	2672441	19629404.000
03/09/2012	2.96	3.03	2.95	2.99	3400497	25453890.000
03/12/2012	2.99	3.01	2.95	3.00	2785032	20755408.000
03/13/2012	3.00	3.13	2.98	3.05	6849915	52419136.000
03/14/2012	3.04	3.24	2.98	3.16	16297158	126976920.000
03/15/2012	3.16	3.22	3.06	3.15	16400386	129758272.000
03/16/2012	3.11	3.16	3.08	3.13	7765400	60605800.000
03/19/2012	3.13	3.22	3.02	3.08	8191971	62988436.000
03/20/2012	3.04	3.06	2.91	2.92	6364785	47109328.000
03/21/2012	2.94	2.94	2.82	2.89	3947909	28453840.000
03/22/2012	2.90	2.92	2.87	2.92	2082926	15105809.000
03/23/2012	2.90	2.90	2.83	2.86	1607257	11543264.000
03/26/2012	2.86	2.90	2.83	2.85	1335678	9551647.000
03/27/2012	2.87	2.88	2.83	2.86	2250784	16061384.000
03/28/2012	2.84	2.88	2.72	2.75	2591165	18037872.000
03/29/2012	2.74	2.84	2.68	2.71	2629628	18053112.000
03/30/2012	2.72	2.77	2.68	2.75	2258386	15398240.000
04/05/2012	2.73	2.86	2.73	2.82	2991517	20958132.000
04/06/2012	2.82	2.83	2.79	2.81	2091018	14641823.000
04/09/2012	2.79	2.81	2.78	2.78	1631280	11397493.000
04/10/2012	2.76	2.78	2.66	2.75	1924417	13130195.000
04/11/2012	2.70	2.78	2.70	2.78	1760664	12098090.000
04/12/2012	2.80	2.86	2.78	2.85	3452363	24393764.000
04/13/2012	2.86	2.88	2.83	2.86	3064424	21905124.000
04/16/2012	2.84	2.90	2.82	2.88	2619034	18741228.000
04/17/2012	2.85	2.89	2.82	2.82	1812762	12894549.000
04/18/2012	2.83	2.90	2.81	2.88	3673899	26319644.000
04/19/2012	2.88	2.98	2.88	2.91	3771590	27513892.000
04/20/2012	2.89	2.93	2.86	2.91	3256566	23574490.000
04/23/2012	2.89	2.92	2.84	2.85	2625581	18890892.000
04/24/2012	2.88	2.88	2.68	2.75	3464020	24012608.000
04/25/2012	2.76	3.02	2.70	2.96	8628941	62932352.000
04/26/2012	2.93	2.97	2.86	2.89	3562502	25894222.000
04/27/2012	2.89	2.92	2.80	2.80	2942270	21062528.000
05/02/2012	2.83	2.86	2.77	2.84	2633297	18581404.000
05/03/2012	2.83	2.86	2.80	2.85	1676607	11909210.000
05/04/2012	2.85	2.89	2.85	2.88	1953774	14033899.000
05/07/2012	2.85	2.87	2.79	2.83	2375406	16737299.000
05/09/2012	2.83	2.84	2.74	2.78	1933374	13375659.000
05/10/2012	2.76	2.84	2.76	2.78	1339861	9340228.000
05/11/2012	2.79	2.79	2.68	2.70	2882471	19616846.000
05/14/2012	2.72	2.77	2.68	2.70	1654918	11260083.000
05/15/2012	2.70	2.88	2.70	2.77	2004311	13776752.000
05/16/2012	2.74	2.79	2.70	2.73	1310684	8958501.000
05/17/2012	2.72	2.77	2.69	2.76	1594628	10939571.000
05/18/2012	2.75	2.78	2.71	2.73	1295649	8893385.000
05/21/2012	2.73	2.79	2.72	2.74	2156015	14877248.000
05/22/2012	2.76	2.78	2.74	2.76	1306235	9026848.000
05/23/2012	2.76	2.78	2.74	2.77	1437437	9926374.000
05/24/2012	2.77	2.78	2.73	2.74	1202396	8278318.000
05/25/2012	2.72	2.75	2.62	2.63	2013203	13444956.000
05/28/2012	2.62	2.69	2.57	2.66	1352009	8875627.000
05/29/2012	2.66	2.72	2.65	2.71	1218815	8234558.000
05/30/2012	2.70	2.78	2.69	2.72	1239467	8449480.000
05/31/2012	2.70	2.78	2.68	2.73	1585248	10860526.000
06/01/2012	2.73	2.76	2.72	2.74	1523431	10434031.000
06/04/2012	2.70	2.76	2.63	2.64	1559600	10455215.000
06/05/2012	2.65	2.67	2.62	2.63	994514	6551512.000
06/06/2012	2.65	2.66	2.61	2.63	563010	3699809.000
06/07/2012	2.67	2.67	2.58	2.60	1110699	7257698.000
06/08/2012	2.61	2.65	2.58	2.59	868892	5647543.000
06/11/2012	2.60	2.62	2.58	2.60	798707	5193610.000
06/12/2012	2.61	2.66	2.60	2.60	953995	6255925.000
06/13/2012	2.68	2.68	2.61	2.65	871519	5747474.000
06/14/2012	2.67	2.67	2.62	2.63	893436	5896177.000
06/15/2012	2.65	2.66	2.59	2.63	985210	6469154.000
06/18/2012	2.66	2.67	2.61	2.67	1152214	7643585.000
06/19/2012	2.65	2.74	2.65	2.66	1394448	9394513.000
06/20/2012	2.66	2.66	2.62	2.63	1078209	7120519.000
06/21/2012	2.62	2.62	2.54	2.54	1209899	7768629.000
06/25/2012	2.56	2.56	2.36	2.42	1130746	7005721.000
06/26/2012	2.44	2.44	2.32	2.40	959471	5702480.000
06/27/2012	2.40	2.42	2.37	2.38	997361	5998688.000
06/28/2012	2.40	2.42	2.38	2.39	988340	5921397.000
06/29/2012	2.39	2.42	2.37	2.42	654251	3935185.000
