600170 上海建工 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	1.38	1.38	1.27	1.28	4850129	42191176.000
01/06/2012	1.22	1.28	1.21	1.27	3462909	28569760.000
01/09/2012	1.27	1.37	1.25	1.36	5844126	50790908.000
01/10/2012	1.36	1.44	1.34	1.43	9679136	87814472.000
01/11/2012	1.43	1.43	1.39	1.42	7252835	65970760.000
01/12/2012	1.44	1.51	1.44	1.45	10439315	97964960.000
01/13/2012	1.42	1.44	1.38	1.39	5997509	54350820.000
01/16/2012	1.37	1.41	1.35	1.38	2614454	23508952.000
01/17/2012	1.37	1.49	1.37	1.49	8963967	83312064.000
01/18/2012	1.48	1.50	1.44	1.45	6086118	57069888.000
01/19/2012	1.46	1.49	1.44	1.46	5531046	51965360.000
01/20/2012	1.48	1.49	1.45	1.49	4663657	43993112.000
01/30/2012	1.47	1.50	1.46	1.46	4457808	41946504.000
01/31/2012	1.46	1.47	1.41	1.45	3270932	30261940.000
02/01/2012	1.44	1.46	1.41	1.41	2147300	19722680.000
02/02/2012	1.42	1.45	1.42	1.45	2893865	26630764.000
02/03/2012	1.44	1.48	1.44	1.48	5034020	47058968.000
02/06/2012	1.48	1.49	1.46	1.48	4887704	46000128.000
02/07/2012	1.46	1.46	1.44	1.45	3494405	32408368.000
02/08/2012	1.45	1.50	1.44	1.50	7496610	70710928.000
02/09/2012	1.50	1.54	1.49	1.51	6907349	66479220.000
02/10/2012	1.50	1.55	1.50	1.53	7060820	68442696.000
02/13/2012	1.51	1.59	1.49	1.58	8857282	86146544.000
02/14/2012	1.57	1.59	1.54	1.56	5859241	57635172.000
02/15/2012	1.56	1.58	1.53	1.57	5572578	54752536.000
02/16/2012	1.58	1.59	1.56	1.57	4591890	45302452.000
02/17/2012	1.58	1.58	1.53	1.54	4306823	42168748.000
02/20/2012	1.58	1.58	1.54	1.54	4457157	43841372.000
02/21/2012	1.55	1.56	1.52	1.55	3442314	33504094.000
02/22/2012	1.55	1.61	1.55	1.60	8065954	80353944.000
02/23/2012	1.60	1.61	1.58	1.59	6316522	63092832.000
02/24/2012	1.59	1.65	1.58	1.65	10226580	103857360.000
02/27/2012	1.67	1.69	1.64	1.64	10490071	108532752.000
02/28/2012	1.65	1.66	1.61	1.65	7523234	76799056.000
02/29/2012	1.63	1.64	1.59	1.60	6195230	62384164.000
03/01/2012	1.60	1.62	1.59	1.60	3233545	32435238.000
03/02/2012	1.61	1.65	1.61	1.65	5286066	53859096.000
03/05/2012	1.66	1.67	1.64	1.64	5330402	54757292.000
03/06/2012	1.66	1.77	1.65	1.71	17186981	182126912.000
03/07/2012	1.68	1.72	1.66	1.68	7772954	81187920.000
03/08/2012	1.70	1.77	1.70	1.75	10160817	109081440.000
03/09/2012	1.77	1.82	1.73	1.81	12556301	136902960.000
03/12/2012	1.82	1.86	1.80	1.83	9469526	105231360.000
03/13/2012	1.83	1.83	1.78	1.81	7754800	85290480.000
03/14/2012	1.82	1.83	1.65	1.68	12935956	140255968.000
03/15/2012	1.68	1.72	1.63	1.66	7248770	74905312.000
03/16/2012	1.69	1.73	1.67	1.73	7070124	74272816.000
03/19/2012	1.74	1.78	1.72	1.77	6489034	69976312.000
03/20/2012	1.77	1.77	1.69	1.70	5125101	54350928.000
03/21/2012	1.71	1.77	1.70	1.76	6442977	68916072.000
03/22/2012	1.75	1.80	1.74	1.77	6219979	67500904.000
03/23/2012	1.77	1.77	1.68	1.72	5429634	57653636.000
03/26/2012	1.71	1.81	1.71	1.81	9215322	99994472.000
03/27/2012	1.95	2.00	1.89	1.92	27321914	319198048.000
03/28/2012	1.91	2.06	1.90	2.00	30123102	360061856.000
03/29/2012	1.97	2.06	1.93	2.00	21114140	253263216.000
03/30/2012	2.00	2.03	1.90	1.96	13345250	157645728.000
04/05/2012	1.95	2.18	1.94	2.14	19926303	247759504.000
04/06/2012	2.13	2.20	2.09	2.19	17242548	219262240.000
04/09/2012	2.19	2.23	2.12	2.13	13492343	173036272.000
04/10/2012	2.11	2.14	2.02	2.13	13635269	168581952.000
04/11/2012	2.09	2.16	2.07	2.11	10028391	125597928.000
04/12/2012	2.11	2.21	2.08	2.20	13614223	173874400.000
04/13/2012	2.19	2.23	2.16	2.16	10731597	138010864.000
04/17/2012	2.17	2.31	2.17	2.24	16827275	222450640.000
04/18/2012	2.25	2.29	2.22	2.27	10104772	133641496.000
04/19/2012	2.27	2.29	2.23	2.27	7437467	98544504.000
04/20/2012	2.26	2.28	2.23	2.27	8335875	110210128.000
04/23/2012	2.27	2.29	2.14	2.15	13993465	181147584.000
04/24/2012	2.14	2.22	2.12	2.20	9921229	127413040.000
04/25/2012	2.18	2.23	2.15	2.21	7807774	101028600.000
04/26/2012	2.21	2.46	2.21	2.42	24692836	338123136.000
05/02/2012	2.45	2.70	2.40	2.60	22031701	326864512.000
05/03/2012	2.58	2.67	2.56	2.62	14115766	211062976.000
05/04/2012	2.60	2.92	2.58	2.92	34554689	549047936.000
05/07/2012	2.94	3.26	2.94	3.26	58268913	1022929920.000
05/08/2012	3.26	3.50	3.13	3.19	75495461	1376100736.000
05/09/2012	3.14	3.20	3.06	3.16	39320588	687359872.000
05/10/2012	3.21	3.40	3.17	3.20	54329382	490638976.000
05/11/2012	3.05	3.08	2.84	2.84	100050671	818074240.000
05/14/2012	2.83	2.90	2.78	2.83	55916911	445946592.000
05/15/2012	2.77	2.90	2.70	2.89	57710583	458271520.000
