600177 雅戈尔 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.76	6.82	6.54	6.55	4854541	45477288.000
01/05/2012	6.51	6.54	6.19	6.32	6124904	55355772.000
01/06/2012	6.34	6.44	6.30	6.39	3022876	27378544.000
01/09/2012	6.45	6.66	6.31	6.65	4493276	41266932.000
01/10/2012	6.65	7.10	6.60	7.07	7914283	75940552.000
01/11/2012	7.09	7.22	7.02	7.05	2958678	28966068.000
01/12/2012	7.00	7.25	7.00	7.18	4449538	43945888.000
01/13/2012	7.21	7.27	6.99	7.06	3598279	35254544.000
01/16/2012	6.91	7.05	6.68	6.72	3421134	32657474.000
01/17/2012	6.72	7.23	6.48	7.09	6453473	61505352.000
01/18/2012	7.05	7.30	6.97	7.00	8132012	80367168.000
01/19/2012	7.06	7.25	7.01	7.15	2839076	27945864.000
01/20/2012	7.18	7.30	7.12	7.25	2760415	27438232.000
01/30/2012	7.26	7.27	7.00	7.08	3217069	31567858.000
01/31/2012	7.08	7.19	6.87	7.03	4890574	47695836.000
02/01/2012	7.03	7.17	6.90	6.92	3834822	37424536.000
02/02/2012	6.97	7.13	6.88	7.10	4890796	47330800.000
02/03/2012	7.11	7.19	7.00	7.15	4206939	41207776.000
02/06/2012	7.17	7.18	7.00	7.09	2824736	27666704.000
02/07/2012	7.02	7.05	6.84	6.89	2634989	25377696.000
02/08/2012	6.90	7.21	6.90	7.20	5055386	49651816.000
02/09/2012	7.20	7.23	7.10	7.23	3624138	35843496.000
02/10/2012	7.16	7.47	7.16	7.26	6899270	69332064.000
02/13/2012	7.18	7.43	7.17	7.33	4750925	47687664.000
02/14/2012	7.35	7.40	7.14	7.23	3533045	35103488.000
02/15/2012	7.20	7.33	7.11	7.29	3634881	36117632.000
02/16/2012	7.23	7.37	7.16	7.21	4279854	42617392.000
02/17/2012	7.28	7.32	7.16	7.18	4846184	48212184.000
02/20/2012	7.27	7.31	7.18	7.21	5531130	55005960.000
02/21/2012	7.24	7.27	7.01	7.10	10028203	98258184.000
02/22/2012	7.14	7.35	7.05	7.33	27136319	268504800.000
02/23/2012	7.30	7.47	7.29	7.37	13101107	131898320.000
02/24/2012	7.39	7.74	7.36	7.66	28492416	292277280.000
02/27/2012	7.72	7.81	7.58	7.60	23962519	249558768.000
02/28/2012	7.62	7.88	7.49	7.65	17754145	184219728.000
02/29/2012	7.62	7.65	7.20	7.26	18938605	191369296.000
03/01/2012	7.26	7.41	7.25	7.31	10999416	110426352.000
03/02/2012	7.33	7.81	7.33	7.72	27201601	281751072.000
03/05/2012	7.80	7.93	7.54	7.60	22909112	239113504.000
03/06/2012	7.59	7.69	7.44	7.45	17301201	177168288.000
03/07/2012	7.37	7.54	7.34	7.49	9784708	99324496.000
03/08/2012	7.51	7.80	7.46	7.70	16918329	175943600.000
03/09/2012	7.73	7.75	7.59	7.74	10812697	112184664.000
03/12/2012	7.74	7.94	7.69	7.78	22931076	241042256.000
03/13/2012	7.74	8.06	7.70	7.97	20406182	216685840.000
03/14/2012	8.05	8.12	7.74	7.75	24411607	259999120.000
03/15/2012	7.78	7.95	7.70	7.76	20868895	219579568.000
03/16/2012	7.76	8.17	7.74	8.15	26446349	281269120.000
03/19/2012	8.12	8.40	7.99	8.35	27478504	300006976.000
03/20/2012	8.30	8.35	8.02	8.07	16264098	176659424.000
03/21/2012	8.08	8.17	7.79	8.00	19292796	205675824.000
03/22/2012	8.01	8.07	7.82	7.88	9036294	95917240.000
03/23/2012	7.86	7.90	7.46	7.50	11285232	116905544.000
03/26/2012	7.48	7.58	7.39	7.57	7538672	76774064.000
03/27/2012	7.51	7.54	7.02	7.10	28095693	278851136.000
03/28/2012	7.03	7.12	6.83	6.87	13634015	131559000.000
03/29/2012	6.84	7.01	6.81	6.92	8501591	81743104.000
03/30/2012	6.92	7.11	6.86	6.97	8328992	80593528.000
04/05/2012	6.97	7.20	6.91	7.10	15001128	146135680.000
04/06/2012	7.05	7.11	6.85	6.90	15897189	153990368.000
04/09/2012	6.90	6.91	6.64	6.66	10227613	96495320.000
04/10/2012	6.66	6.78	6.48	6.77	11371927	105861208.000
04/11/2012	6.65	6.92	6.61	6.83	16753234	159303840.000
04/12/2012	6.85	7.20	6.77	7.16	21351454	207479456.000
04/13/2012	7.13	7.20	6.96	7.15	15453379	151628720.000
04/16/2012	7.13	7.38	7.12	7.24	16174199	161118800.000
04/17/2012	7.28	7.28	7.01	7.02	7772555	76250296.000
04/18/2012	7.05	7.33	6.98	7.26	15077249	149850848.000
04/19/2012	7.29	7.32	7.18	7.24	11545765	114901528.000
04/23/2012	7.40	7.62	7.29	7.45	27351859	277765664.000
04/24/2012	7.35	7.85	7.35	7.71	31567640	325712160.000
04/25/2012	7.70	7.73	7.44	7.70	29089352	298828160.000
04/26/2012	7.62	7.75	7.38	7.44	22330651	227684144.000
04/27/2012	7.44	7.52	7.38	7.47	7674674	77924216.000
05/02/2012	7.69	7.69	7.49	7.59	20810673	213778064.000
05/03/2012	7.59	7.60	7.36	7.44	13556185	137738528.000
