600187 国中水务 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.00	4.04	3.69	3.72	3190061	31084312.000
01/05/2012	3.68	3.74	3.34	3.38	4984244	43773284.000
01/06/2012	3.31	3.45	3.18	3.43	3851449	31830734.000
01/09/2012	3.42	3.56	3.32	3.54	4655878	40335452.000
01/10/2012	3.50	3.67	3.49	3.65	6000934	54055708.000
01/11/2012	3.62	3.78	3.55	3.65	5733472	52688648.000
01/12/2012	3.60	4.01	3.59	3.96	12311060	119076352.000
01/13/2012	3.90	3.93	3.67	3.68	9003377	86302280.000
01/16/2012	3.59	3.80	3.40	3.57	5757249	52821748.000
01/17/2012	3.56	3.76	3.52	3.76	6079729	55593696.000
01/18/2012	3.82	3.82	3.60	3.62	5382520	49814656.000
01/19/2012	3.60	3.66	3.56	3.59	3296721	29691896.000
01/20/2012	3.59	3.70	3.59	3.62	2619915	23940566.000
01/30/2012	3.67	3.67	3.52	3.53	2812213	25285416.000
01/31/2012	3.53	3.58	3.45	3.52	2098320	18336908.000
02/01/2012	3.50	3.81	3.49	3.70	6478699	59191360.000
02/02/2012	3.64	3.74	3.62	3.72	5001209	46144164.000
02/03/2012	3.71	3.77	3.64	3.75	4352105	40566216.000
02/06/2012	3.74	3.82	3.74	3.81	4777586	45087788.000
02/07/2012	3.79	3.79	3.67	3.69	3360050	31248750.000
02/08/2012	3.68	3.77	3.64	3.76	4444608	41386576.000
02/09/2012	3.74	4.08	3.72	3.86	9808985	95447872.000
02/10/2012	3.80	3.90	3.79	3.85	6604770	63447444.000
02/13/2012	3.78	3.92	3.76	3.85	5521662	53259860.000
02/14/2012	3.86	3.88	3.79	3.84	4380323	41882480.000
02/15/2012	3.96	4.14	3.86	4.04	12346595	123070144.000
02/16/2012	3.98	4.36	3.97	4.14	13786489	142898304.000
02/17/2012	3.89	4.27	3.83	4.12	62081411	614109440.000
02/20/2012	4.00	4.06	3.94	3.98	35315529	354084128.000
02/21/2012	3.94	3.96	3.82	3.95	23475035	228451040.000
02/22/2012	3.93	4.00	3.90	3.99	21630644	214162928.000
02/23/2012	4.00	4.06	3.91	3.95	23833081	236338080.000
02/24/2012	3.94	4.02	3.91	4.02	25346062	252468032.000
02/27/2012	4.04	4.17	4.01	4.09	37194411	380606272.000
02/28/2012	4.06	4.24	4.01	4.16	38290957	395047200.000
02/29/2012	4.12	4.18	4.02	4.04	21751205	222927232.000
03/01/2012	4.03	4.11	4.00	4.06	12149212	123338168.000
03/02/2012	4.06	4.17	4.06	4.15	17596113	180899792.000
03/05/2012	4.16	4.18	4.08	4.09	14148838	145586336.000
03/06/2012	4.06	4.09	3.94	3.97	15266192	152368784.000
03/07/2012	3.89	3.98	3.87	3.92	10119632	99463232.000
03/08/2012	3.93	4.00	3.93	3.96	9750808	96524256.000
03/09/2012	3.98	4.01	3.95	4.01	9221473	91971224.000
03/12/2012	4.02	4.03	3.96	4.00	8874104	88514848.000
03/13/2012	4.00	4.09	3.97	4.08	15820678	160202352.000
03/14/2012	4.10	4.11	3.68	3.75	22008815	216790432.000
03/15/2012	3.75	3.79	3.51	3.56	14766454	133956360.000
03/16/2012	3.58	3.65	3.52	3.64	7987872	72044568.000
03/19/2012	3.63	3.71	3.58	3.69	11306396	102974496.000
03/20/2012	3.69	3.69	3.54	3.54	9904614	89182640.000
03/21/2012	3.58	3.60	3.50	3.58	8272486	73455800.000
03/22/2012	3.59	3.65	3.55	3.62	8516420	76919808.000
03/23/2012	3.60	3.61	3.51	3.54	6894395	61139968.000
03/26/2012	3.50	3.54	3.38	3.45	6879491	59469568.000
03/27/2012	3.47	3.49	3.39	3.40	5611533	48234712.000
03/28/2012	3.42	3.42	3.22	3.24	9362388	76535824.000
03/29/2012	3.21	3.24	3.12	3.19	8880647	70487640.000
03/30/2012	3.19	3.21	3.04	3.08	7350377	57324520.000
