600216 浙江医药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	10.30	10.40	9.92	9.93	2880524	57226964.000
01/05/2012	9.85	9.92	9.62	9.66	2348163	44765480.000
01/06/2012	9.65	9.75	9.18	9.57	3341235	61894108.000
01/09/2012	9.30	10.05	9.30	9.92	5490120	105565136.000
01/10/2012	9.95	10.55	9.86	10.52	7397406	148778944.000
01/11/2012	10.56	10.73	10.42	10.56	6805613	140238192.000
01/12/2012	10.49	10.66	10.48	10.55	3335694	68682408.000
01/13/2012	10.55	10.60	10.03	10.12	3582333	71667768.000
01/16/2012	10.02	10.06	9.86	9.87	1643903	32094716.000
01/17/2012	9.87	10.55	9.74	10.49	3488881	70044952.000
01/18/2012	10.49	10.62	10.08	10.19	5193572	105424800.000
01/19/2012	10.20	10.60	10.18	10.46	4567616	92713544.000
01/20/2012	10.52	11.00	10.47	10.91	7230252	150343552.000
01/30/2012	10.90	10.91	10.64	10.68	4305010	89987680.000
01/31/2012	10.63	10.73	10.50	10.60	2451953	50544984.000
02/01/2012	10.55	10.66	10.26	10.31	4215989	86072904.000
02/02/2012	10.31	10.56	10.30	10.56	2826242	57393152.000
02/03/2012	10.55	10.86	10.41	10.78	5387697	111770864.000
02/06/2012	10.79	11.16	10.75	11.12	9903142	212390080.000
02/07/2012	10.97	11.04	10.72	10.77	5177958	109140800.000
02/08/2012	10.65	11.11	10.55	11.03	5909640	124576456.000
02/09/2012	11.03	11.28	10.91	11.17	6786874	146696464.000
02/10/2012	11.29	11.96	11.29	11.54	10873754	244264384.000
02/13/2012	11.24	12.00	11.15	11.69	9116102	206267504.000
02/14/2012	11.77	11.92	11.46	11.69	6750787	152567472.000
02/15/2012	11.72	11.84	11.61	11.80	5040826	114498696.000
02/16/2012	11.87	12.28	11.80	11.99	9619127	223538880.000
02/17/2012	12.12	12.16	11.83	11.91	3965756	91360384.000
02/20/2012	12.16	12.17	11.59	11.61	8942972	203529776.000
02/21/2012	11.62	11.68	11.35	11.68	5099347	113935896.000
02/22/2012	11.63	12.25	11.63	12.22	12196018	283253088.000
02/23/2012	12.23	12.37	12.07	12.35	9099802	214870544.000
02/24/2012	12.28	12.63	12.19	12.58	6864383	163312704.000
02/27/2012	12.86	12.91	12.47	12.52	9352786	228480768.000
02/29/2012	12.52	12.70	12.13	12.17	7438591	176453344.000
03/01/2012	12.09	12.32	12.05	12.17	3007807	70605488.000
03/02/2012	12.20	12.43	12.18	12.42	4058732	96328080.000
03/05/2012	12.45	12.56	12.07	12.27	6550109	155543408.000
03/06/2012	12.18	12.21	11.88	11.95	5498676	127327640.000
03/07/2012	11.80	12.01	11.67	11.81	4270012	97692840.000
03/08/2012	11.81	12.10	11.81	12.04	4375164	101312568.000
03/09/2012	12.11	12.38	11.98	12.33	5764278	135287440.000
03/12/2012	12.46	12.67	12.35	12.57	7605705	183340192.000
03/13/2012	12.52	12.62	12.41	12.58	4741722	114241400.000
03/14/2012	12.77	13.12	11.91	12.32	13669413	336258336.000
03/15/2012	12.25	12.55	11.86	12.45	7263445	172379904.000
03/16/2012	12.52	12.90	12.46	12.88	7808143	190903040.000
03/19/2012	12.91	13.13	12.86	13.07	7369974	184198416.000
03/20/2012	13.01	13.01	12.44	12.48	6636810	161442880.000
03/21/2012	12.57	12.71	12.20	12.42	4979368	119645736.000
03/22/2012	12.46	12.50	12.23	12.31	2400419	57075832.000
03/23/2012	12.30	12.30	11.91	12.00	4277086	99836544.000
03/26/2012	11.91	12.08	11.88	11.91	3830075	88614560.000
03/27/2012	12.00	12.05	11.87	11.90	2437019	56250824.000
03/28/2012	11.90	11.90	11.37	11.38	3471601	77620280.000
03/29/2012	11.39	11.41	10.86	10.98	4549962	97955336.000
03/30/2012	10.96	11.07	10.80	10.93	2025211	43132380.000
04/05/2012	11.06	11.34	10.97	11.32	3619145	78514200.000
04/06/2012	11.34	11.42	11.23	11.33	2234088	49021116.000
04/09/2012	11.28	11.40	11.13	11.16	1526960	33304872.000
04/10/2012	11.16	11.36	10.86	11.32	2161377	46491496.000
04/11/2012	11.19	11.41	11.11	11.27	2072635	45325516.000
04/12/2012	11.32	11.57	11.13	11.57	4762633	105186016.000
04/13/2012	11.57	11.68	11.47	11.63	3571756	80056928.000
04/16/2012	11.47	11.47	11.24	11.37	6137863	135058640.000
04/17/2012	11.29	11.45	11.23	11.25	2653659	58228608.000
04/18/2012	11.28	11.62	11.18	11.58	4637902	102565104.000
04/19/2012	11.55	11.63	11.51	11.58	3146961	70532832.000
04/20/2012	11.62	11.82	11.50	11.78	3766755	85146512.000
04/23/2012	11.75	11.83	11.58	11.65	3165892	71535056.000
04/24/2012	11.57	11.71	11.13	11.42	4978889	109888440.000
04/25/2012	11.34	11.50	11.26	11.39	3689583	81410872.000
04/26/2012	11.72	12.46	11.72	12.13	10221587	239173168.000
04/27/2012	12.18	12.39	12.10	12.27	6643194	157211808.000
05/02/2012	12.46	12.70	12.30	12.40	12978912	311491904.000
05/03/2012	12.46	12.67	12.37	12.65	10323100	248954048.000
05/04/2012	12.64	12.72	12.43	12.65	6478111	156943664.000
05/07/2012	12.61	12.89	12.56	12.88	10399892	255342992.000
05/08/2012	12.87	12.90	12.65	12.67	5960254	146092480.000
05/09/2012	12.53	12.53	12.28	12.36	5728211	136465088.000
05/10/2012	12.31	12.72	12.31	12.56	5513279	133407712.000
05/11/2012	12.56	12.60	12.40	12.46	4320770	103970848.000
05/14/2012	12.58	12.85	12.35	12.47	7419497	180412016.000
05/15/2012	12.35	12.40	12.11	12.36	4851795	114508784.000
05/16/2012	12.30	12.34	12.06	12.08	3371083	79179912.000
05/17/2012	12.13	12.36	12.10	12.30	3291256	77729304.000
05/18/2012	12.17	12.17	11.85	11.95	3950773	91643408.000
05/21/2012	11.95	12.08	11.71	11.97	2612116	60119308.000
05/22/2012	12.00	12.29	12.00	12.20	4620231	108551472.000
05/23/2012	12.15	12.55	12.11	12.54	5570663	132406328.000
05/24/2012	12.47	12.61	12.35	12.39	3847726	92421120.000
05/25/2012	12.36	12.45	12.13	12.19	2590091	61343644.000
05/28/2012	12.14	12.37	11.91	12.37	2796192	65467148.000
05/29/2012	12.37	12.52	12.27	12.48	3773638	90203048.000
05/30/2012	12.48	12.85	12.48	12.85	8320972	203169248.000
05/31/2012	12.77	13.06	12.71	12.82	9773570	242500480.000
06/01/2012	12.93	12.95	12.52	12.66	5499020	134711680.000
06/04/2012	12.47	12.62	12.21	12.24	5078715	121536208.000
06/05/2012	12.24	13.28	12.22	13.06	15611789	387422464.000
06/06/2012	13.16	13.23	12.82	12.96	9490489	237359488.000
06/07/2012	13.14	13.18	12.78	12.83	8279956	206589760.000
06/08/2012	12.92	12.92	12.58	12.59	5602208	136894816.000
06/11/2012	12.61	12.94	12.61	12.93	5098135	125711680.000
06/12/2012	12.89	12.89	12.66	12.74	3498948	85929768.000
06/13/2012	12.78	13.34	12.77	13.29	9562315	241446688.000
06/14/2012	13.30	13.35	12.99	13.06	6420027	162177408.000
06/15/2012	13.12	13.53	13.10	13.47	11567982	297095328.000
06/18/2012	13.57	14.05	13.52	13.59	11453557	302193856.000
06/19/2012	13.52	13.85	13.42	13.43	8319083	217356816.000
06/20/2012	13.46	13.49	13.05	13.12	6797714	172574928.000
06/25/2012	12.95	13.34	12.86	12.92	5257997	132548336.000
06/26/2012	12.95	13.02	12.38	12.52	6320224	153131568.000
06/28/2012	12.65	13.12	12.64	12.95	8381036	207937536.000
06/29/2012	12.82	13.15	12.75	13.10	6081358	152280624.000
07/02/2012	13.27	13.46	13.13	13.32	7104070	181649840.000
07/03/2012	13.35	13.65	13.16	13.23	6400967	164539904.000
07/04/2012	13.27	13.33	12.84	13.02	7092488	177042624.000
07/05/2012	12.91	12.94	12.60	12.76	3782749	90479096.000
07/06/2012	12.83	13.32	12.74	13.24	5328702	130422616.000
07/09/2012	13.09	13.50	13.02	13.06	6343613	157797600.000
07/10/2012	12.96	13.02	12.60	12.62	5540784	132617448.000
07/11/2012	12.62	13.02	12.52	13.01	3912840	93762448.000
07/12/2012	12.88	13.38	12.83	13.15	8549596	211153952.000
07/13/2012	13.07	13.30	12.93	13.16	4399291	108011080.000
07/16/2012	13.10	13.23	12.68	12.70	4335870	105006256.000
07/17/2012	12.67	12.84	12.30	12.38	6069022	142880224.000
07/18/2012	12.30	12.49	12.02	12.40	4178108	96373096.000
07/19/2012	12.36	12.60	12.18	12.27	6294019	146465216.000
07/20/2012	12.24	12.27	11.97	12.05	6018602	137049184.000
07/23/2012	11.85	12.22	11.72	12.06	3531137	79342696.000
07/24/2012	11.95	12.34	11.88	12.20	3573235	81943216.000
07/25/2012	12.17	12.34	12.02	12.05	2359313	53927200.000
07/26/2012	12.05	12.18	11.88	11.93	2918369	66041308.000
07/27/2012	11.98	12.06	11.74	11.89	3094944	69073984.000
07/30/2012	11.86	11.98	11.79	11.84	1408430	31424832.000
07/31/2012	11.80	11.90	11.15	11.36	5166747	111550968.000
08/01/2012	11.30	11.63	11.29	11.50	2661643	57558448.000
08/02/2012	11.52	11.66	11.36	11.42	2280001	49304548.000
08/03/2012	11.46	11.70	11.42	11.68	3694246	80768784.000
08/06/2012	11.72	12.01	11.64	12.00	3879609	86802336.000
08/07/2012	12.02	12.06	11.88	12.02	4002938	90107448.000
08/08/2012	12.49	12.71	12.20	12.23	11162878	261550368.000
08/09/2012	12.26	12.41	12.08	12.33	6284359	144655904.000
08/10/2012	12.33	12.48	12.24	12.29	3731616	86593344.000
08/13/2012	12.28	12.28	12.08	12.10	3564479	81488352.000
08/14/2012	12.08	12.32	12.02	12.30	3135039	71867064.000
08/15/2012	12.28	12.28	12.08	12.10	2100234	47905208.000
08/16/2012	12.10	12.28	12.05	12.24	2650340	60792104.000
08/17/2012	12.20	12.25	11.80	11.97	4707374	106270952.000
08/20/2012	11.82	11.90	11.63	11.85	3983746	87991456.000
08/21/2012	11.86	12.12	11.81	12.00	2956592	66722368.000
08/22/2012	12.02	12.26	11.95	12.16	3551112	80962672.000
08/23/2012	12.17	12.28	12.01	12.12	2377667	54096308.000
08/24/2012	12.06	12.10	11.91	12.07	2459059	55503560.000
08/27/2012	11.96	12.24	11.96	12.07	4854269	110775760.000
08/28/2012	11.92	12.01	11.50	11.62	6007421	132461840.000
08/29/2012	11.63	11.77	11.52	11.53	1925699	42234400.000
08/30/2012	11.57	11.86	11.53	11.61	3352458	73843040.000
08/31/2012	11.59	11.75	11.32	11.42	3050637	66013456.000
09/03/2012	11.40	11.62	11.35	11.57	2413133	52372592.000
09/04/2012	11.62	11.67	11.21	11.25	2875904	61908368.000
09/05/2012	11.23	11.38	11.21	11.37	2219495	47261960.000
09/06/2012	11.39	11.43	11.26	11.40	1944358	41656880.000
09/07/2012	11.48	12.06	11.48	11.96	6470246	144140656.000
09/10/2012	11.91	12.07	11.86	11.99	3961689	89139160.000
09/11/2012	11.95	11.96	11.78	11.87	2580140	57443240.000
09/12/2012	11.95	12.05	11.83	12.01	2795386	62867792.000
09/13/2012	11.97	12.11	11.80	11.81	2534232	57046684.000
09/14/2012	11.96	11.96	11.77	11.85	2570397	57299744.000
09/17/2012	11.85	11.85	11.47	11.48	2771274	60911312.000
09/18/2012	11.52	11.54	11.38	11.44	1817725	39210120.000
09/19/2012	11.48	11.50	11.29	11.46	1913234	41137120.000
09/20/2012	11.46	11.46	11.01	11.02	3451884	72794256.000
09/21/2012	11.01	11.12	10.90	10.90	1785901	37098568.000
09/24/2012	10.82	10.93	10.57	10.90	2734611	55378696.000
09/25/2012	10.74	10.98	10.74	10.82	1400283	28761052.000
09/26/2012	10.80	10.89	10.56	10.62	2411662	48603308.000
09/27/2012	10.62	11.00	10.59	10.92	2644216	54182608.000
09/28/2012	10.80	11.06	10.77	11.05	3637420	75343376.000
10/08/2012	11.07	11.17	10.99	11.10	1840887	38426052.000
10/09/2012	11.02	11.35	11.02	11.35	2991918	63676160.000
10/10/2012	11.31	11.37	11.25	11.36	1705337	36349748.000
10/11/2012	11.31	11.31	11.11	11.11	2668100	56438936.000
10/12/2012	11.21	11.31	11.07	11.17	1347468	28434048.000
10/15/2012	11.17	11.31	11.13	11.21	1692601	35757276.000
10/16/2012	11.17	11.31	11.13	11.18	2439754	51669448.000
10/17/2012	11.18	11.28	11.12	11.21	2193807	46347388.000
10/18/2012	11.26	11.41	11.22	11.37	3012268	64309156.000
10/19/2012	11.35	11.46	11.23	11.25	2597675	55408160.000
10/22/2012	11.22	11.36	11.15	11.33	1950521	41536700.000
10/23/2012	11.30	11.34	11.11	11.11	2661272	56227384.000
10/24/2012	11.07	11.15	11.01	11.08	1557781	32570716.000
10/25/2012	11.03	11.16	10.94	10.95	1888470	39334240.000
10/26/2012	10.95	11.00	10.67	10.73	2326181	47377412.000
10/29/2012	10.75	10.91	10.69	10.78	1250215	25523582.000
10/30/2012	10.79	10.91	10.75	10.81	1408591	28802672.000
10/31/2012	10.57	10.83	10.52	10.81	2164204	43760064.000
11/01/2012	10.81	11.16	10.79	11.05	3629238	75746464.000
11/02/2012	11.08	11.18	10.97	11.09	1883204	39256196.000
11/05/2012	11.05	11.22	11.05	11.15	1703394	35847376.000
11/06/2012	11.15	11.18	10.93	11.05	1486062	30892920.000
11/07/2012	11.06	11.10	10.95	10.97	1645639	34137464.000
11/08/2012	10.91	10.91	10.65	10.65	1678034	34180816.000
11/09/2012	10.68	10.82	10.66	10.73	1396159	28316216.000
11/12/2012	10.66	10.76	10.57	10.66	2369855	47741696.000
11/13/2012	10.67	10.70	10.43	10.45	2537001	50501592.000
11/14/2012	10.45	10.52	10.37	10.48	1210396	23931424.000
11/15/2012	10.44	10.52	10.30	10.30	1567415	30902492.000
11/16/2012	10.30	10.33	10.17	10.21	1522176	29480572.000
11/19/2012	10.21	10.33	10.16	10.31	2026018	39389228.000
11/20/2012	10.35	10.40	10.30	10.32	1146950	22460052.000
11/21/2012	10.37	10.45	10.21	10.42	1165003	22762656.000
11/22/2012	10.35	10.36	10.23	10.29	1163151	22672960.000
11/23/2012	10.32	10.40	10.25	10.25	1755251	34289960.000
11/26/2012	10.24	10.27	9.88	9.97	3707757	70547704.000
11/27/2012	9.88	9.95	9.76	9.78	1711866	31941426.000
11/28/2012	9.78	9.83	9.63	9.82	1913443	35449896.000
11/29/2012	9.82	9.96	9.78	9.85	1250796	23410456.000
11/30/2012	9.85	9.92	9.77	9.89	1191255	22274032.000
12/03/2012	9.80	9.95	9.62	9.64	1820147	33846176.000
12/04/2012	9.64	9.72	9.48	9.70	2610053	47700112.000
12/05/2012	9.70	10.13	9.68	10.02	3341939	63189124.000
12/06/2012	10.07	10.08	9.85	9.93	2384752	44954408.000
12/07/2012	9.89	10.19	9.89	10.18	4327181	82821768.000
12/10/2012	10.24	10.35	10.13	10.28	3717963	72132296.000
12/11/2012	10.28	10.28	10.13	10.16	2441348	47153032.000
12/12/2012	10.13	10.20	10.10	10.14	2216062	42537568.000
12/13/2012	10.13	10.15	9.91	9.92	2303321	43834408.000
12/14/2012	9.92	10.38	9.92	10.38	10907629	211611120.000
12/17/2012	10.38	10.55	10.35	10.42	6673436	131972032.000
12/18/2012	10.41	10.56	10.38	10.48	4811769	95370064.000
12/19/2012	10.45	10.46	10.35	10.41	3846300	75681096.000
12/20/2012	10.36	10.43	10.28	10.37	3721740	72862192.000
12/21/2012	10.42	10.60	10.37	10.51	5400466	107486264.000
12/24/2012	10.47	10.76	10.46	10.68	5131246	103282144.000
12/25/2012	10.73	11.09	10.69	11.01	8267174	170511104.000
12/26/2012	10.97	11.07	10.92	11.05	4809995	99791360.000
12/27/2012	11.07	11.08	10.90	10.90	4763474	98605152.000
12/28/2012	10.88	11.03	10.88	10.96	3688635	76283320.000
12/31/2012	11.01	11.22	10.99	11.14	5334341	111803912.000
01/04/2013	11.25	11.28	10.90	10.95	6047989	126153448.000
01/07/2013	10.97	11.16	10.96	11.07	4667788	97392384.000
01/08/2013	11.03	11.40	11.03	11.31	7641454	162792832.000
01/09/2013	11.25	11.39	11.15	11.22	5036875	106980192.000
01/10/2013	11.25	11.32	11.18	11.27	4828195	102463384.000
01/11/2013	11.27	11.32	10.91	10.96	5197664	108982184.000
01/14/2013	10.96	11.55	10.96	11.46	9704091	207884960.000
01/15/2013	11.48	11.96	11.46	11.86	10588066	234438240.000
01/16/2013	11.82	11.82	11.58	11.78	7606338	167732416.000
01/17/2013	11.81	11.96	11.60	11.63	5028327	111223680.000
01/18/2013	11.67	11.78	11.57	11.77	4422518	97503320.000
01/21/2013	11.78	11.82	11.66	11.81	4418921	97790136.000
01/22/2013	11.79	11.81	11.53	11.59	5365474	117849640.000
01/23/2013	11.56	11.67	11.41	11.53	3677209	79730488.000
