600218 全柴动力 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	13.68	13.76	13.48	13.49	641770	8856538.000
01/05/2012	13.48	13.49	13.28	13.31	1244926	16917900.000
01/06/2012	13.27	13.37	13.26	13.30	1555093	21022440.000
01/09/2012	13.33	13.70	13.30	13.63	836908	11508645.000
01/10/2012	13.63	14.07	13.44	14.01	1937386	27382256.000
01/11/2012	13.89	14.10	13.89	13.91	1798595	25575672.000
01/12/2012	13.91	14.00	13.74	13.75	991710	13926968.000
01/13/2012	13.73	13.78	13.28	13.30	1239000	17000292.000
01/16/2012	13.28	13.43	12.76	12.77	1077783	14326879.000
01/17/2012	12.81	13.26	12.41	13.22	2084004	27222896.000
01/18/2012	13.21	13.22	12.57	12.65	1653102	21598988.000
01/19/2012	12.63	12.81	12.45	12.69	1397783	17964380.000
01/20/2012	12.66	12.91	12.63	12.81	1040040	13547638.000
01/30/2012	12.82	12.98	12.78	12.88	927072	12152264.000
01/31/2012	12.86	13.01	12.86	12.92	457387	6004868.000
02/01/2012	12.94	13.47	12.92	13.28	1851874	24992104.000
02/02/2012	13.35	14.23	13.35	14.04	3813835	53444660.000
02/03/2012	13.98	14.19	13.90	14.06	2534425	36035884.000
02/06/2012	14.03	14.03	13.80	13.90	1226066	17302170.000
02/07/2012	13.84	14.06	13.76	13.80	1628410	22932788.000
02/08/2012	13.79	14.13	13.79	14.04	1986490	28233952.000
02/09/2012	14.03	14.06	13.89	13.93	784339	11124771.000
02/10/2012	13.98	14.09	13.86	13.99	551763	7837592.000
02/13/2012	13.87	13.96	13.76	13.81	1700975	23919732.000
02/14/2012	13.87	14.06	13.77	13.80	1707524	24008256.000
02/15/2012	13.85	13.96	13.66	13.86	1275094	17932466.000
02/16/2012	13.86	13.93	13.73	13.82	1148910	16141790.000
02/17/2012	13.82	13.85	13.68	13.71	867178	12097581.000
02/20/2012	13.93	13.93	13.76	13.79	1622797	22807572.000
02/21/2012	13.87	13.87	13.59	13.76	1020698	14239281.000
02/22/2012	13.76	14.23	13.70	14.21	3718445	53104648.000
02/23/2012	14.24	14.47	14.13	14.15	3222361	46772320.000
02/24/2012	14.27	15.08	14.16	14.77	4425762	65733596.000
02/27/2012	14.79	15.10	14.54	14.59	3516818	53059628.000
02/28/2012	14.59	14.74	14.49	14.61	1261372	18723968.000
02/29/2012	14.54	14.74	14.36	14.40	1364313	20144558.000
03/01/2012	14.38	14.53	14.36	14.51	947349	13873039.000
03/02/2012	14.50	14.70	14.49	14.62	1405134	20796796.000
03/05/2012	14.62	14.86	14.48	14.79	2503431	37127228.000
03/06/2012	14.77	14.77	14.55	14.61	1463493	21756852.000
03/07/2012	14.51	14.73	14.50	14.67	1847142	27444822.000
03/08/2012	14.64	14.78	14.59	14.68	2203280	32881472.000
03/09/2012	14.73	14.93	14.70	14.83	1188609	17871546.000
03/12/2012	14.87	14.95	14.76	14.81	1851871	27892280.000
03/13/2012	14.80	14.97	14.78	14.96	2130942	32144890.000
03/14/2012	14.92	15.12	14.63	14.66	3940628	59464176.000
03/15/2012	14.75	14.78	14.40	14.59	2312104	34224776.000
03/16/2012	14.53	14.94	14.53	14.93	1884454	28185118.000
03/19/2012	14.95	15.18	14.85	15.16	1903812	29033670.000
03/20/2012	15.11	15.27	14.93	15.25	1928275	29522200.000
03/21/2012	15.18	16.10	15.18	15.59	4495216	71465656.000
03/22/2012	15.75	15.96	15.49	15.57	3071537	48925224.000
03/23/2012	15.56	15.62	15.08	15.17	2116538	32872884.000
03/26/2012	15.08	15.29	15.07	15.25	957432	14771241.000
03/27/2012	15.31	15.36	15.03	15.12	1134713	17524860.000
03/28/2012	15.13	15.38	15.01	15.05	2707685	41730592.000
03/29/2012	14.95	15.06	14.68	14.93	2353150	35473836.000
03/30/2012	14.91	15.05	14.86	14.95	922630	13980121.000
04/05/2012	14.94	15.13	14.81	15.12	1103332	16837166.000
04/06/2012	15.07	15.58	15.07	15.47	1832566	28611852.000
04/09/2012	15.40	15.52	15.18	15.19	797901	12413634.000
04/10/2012	15.14	15.30	15.00	15.28	919986	14138878.000
04/11/2012	15.03	15.26	15.03	15.16	874740	13423720.000
04/12/2012	15.09	15.27	15.04	15.27	1226909	18872020.000
04/13/2012	15.27	15.31	15.18	15.22	904012	13969257.000
