600241 时代万恒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.15	5.15	4.87	4.88	183015	1580352.000
01/05/2012	4.87	4.93	4.56	4.63	279889	2277921.000
01/06/2012	4.48	4.65	4.44	4.61	214495	1685706.000
01/09/2012	4.63	4.83	4.53	4.80	301626	2464918.000
01/10/2012	4.80	5.07	4.80	5.01	624345	5347654.000
01/11/2012	5.01	5.13	4.94	5.07	460360	4005319.000
01/12/2012	5.08	5.13	4.98	5.03	378802	3309871.000
01/13/2012	5.04	5.10	4.80	4.87	422614	3587945.000
01/16/2012	4.81	4.88	4.70	4.74	169822	1406084.000
01/17/2012	4.77	5.02	4.70	4.97	465549	3937424.000
01/18/2012	5.05	5.05	4.89	4.91	591652	5098367.000
01/19/2012	4.87	5.00	4.87	4.98	340248	2911431.000
01/20/2012	5.14	5.14	4.98	5.03	337844	2932425.000
01/30/2012	5.03	5.07	4.92	4.98	264628	2291440.000
01/31/2012	5.03	5.03	4.93	5.01	163208	1404180.000
02/01/2012	5.01	5.07	4.99	5.04	264335	2299352.000
02/02/2012	5.10	5.11	4.99	5.10	364691	3188033.000
02/03/2012	5.11	5.21	5.05	5.21	499527	4434682.000
02/06/2012	5.22	5.31	5.16	5.25	452392	4094317.000
02/07/2012	5.19	5.25	5.07	5.11	299098	2648848.000
02/08/2012	5.15	5.25	5.14	5.24	379752	3405539.000
02/09/2012	5.23	5.37	5.21	5.30	614940	5617499.000
02/10/2012	5.33	5.35	5.24	5.30	315688	2892331.000
02/13/2012	5.31	5.45	5.24	5.45	739969	6831338.000
02/14/2012	5.44	5.48	5.38	5.43	612018	5719941.000
02/15/2012	5.40	5.54	5.32	5.48	376316	3533537.000
02/16/2012	5.48	5.57	5.37	5.49	480814	4531811.000
02/17/2012	5.53	5.54	5.39	5.48	456399	4312067.000
02/20/2012	5.57	5.59	5.47	5.47	453701	4331014.000
02/21/2012	5.51	5.57	5.40	5.54	448686	4246810.000
02/22/2012	5.55	5.63	5.46	5.61	863700	8287131.000
02/23/2012	5.63	5.68	5.56	5.64	683029	6611303.000
02/24/2012	5.66	5.88	5.59	5.75	1300009	12776505.000
02/27/2012	5.70	5.83	5.70	5.73	843790	8390852.000
02/28/2012	5.74	5.75	5.64	5.69	430100	4218609.000
02/29/2012	5.64	5.71	5.61	5.62	333506	3248002.000
03/01/2012	5.64	5.72	5.63	5.70	282912	2765963.000
03/02/2012	5.74	5.80	5.68	5.79	419760	4149511.000
03/05/2012	5.81	5.87	5.78	5.81	511453	5111874.000
03/06/2012	5.78	5.83	5.63	5.72	405107	3980878.000
03/07/2012	5.60	5.75	5.58	5.58	445201	4338927.000
03/08/2012	5.58	5.75	5.58	5.68	894804	8746742.000
03/09/2012	5.72	5.83	5.70	5.83	642549	6386144.000
03/12/2012	5.80	5.89	5.75	5.87	665346	6653580.000
03/13/2012	5.87	5.97	5.81	5.95	745008	7561096.000
03/14/2012	6.01	6.13	5.51	5.60	1431741	14492446.000
03/15/2012	5.55	5.67	5.34	5.51	866990	8225403.000
