600251 冠农股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	8.85	8.96	8.53	8.54	3527802	65095440.000
01/05/2012	8.36	8.46	7.93	8.00	3768898	65077980.000
01/06/2012	7.93	8.01	7.44	7.80	4259541	69445712.000
01/10/2012	8.27	8.63	8.27	8.63	5472381	98468480.000
01/11/2012	9.11	9.47	8.96	9.06	17219448	332254368.000
01/12/2012	8.91	9.32	8.81	9.13	10005346	190469696.000
01/13/2012	9.03	9.51	8.82	9.14	10969907	212174064.000
01/16/2012	9.05	9.44	8.89	8.90	7915134	153399152.000
01/17/2012	8.81	9.84	8.64	9.62	10978071	215140496.000
01/18/2012	9.52	9.89	9.29	9.46	11267880	228798128.000
01/19/2012	9.46	9.60	9.20	9.49	6300699	124846752.000
01/20/2012	9.52	9.52	8.82	9.31	12017998	232069552.000
01/30/2012	9.31	9.31	9.06	9.12	4851867	93708032.000
01/31/2012	9.12	9.19	8.99	9.15	3816451	73025424.000
02/01/2012	9.03	9.33	9.03	9.11	4570380	88393824.000
02/02/2012	9.30	9.56	9.26	9.33	9547239	188601152.000
02/03/2012	9.35	9.82	9.28	9.69	9500377	191154800.000
02/06/2012	9.74	9.74	9.51	9.60	6020872	121205760.000
02/07/2012	9.51	9.51	9.21	9.26	4939497	96758168.000
02/08/2012	9.22	9.67	9.18	9.63	6551612	130614528.000
02/09/2012	9.63	9.92	9.57	9.73	7087505	145266880.000
02/10/2012	9.73	10.00	9.57	9.83	8756414	179983584.000
02/13/2012	9.72	9.89	9.59	9.79	7224274	147788624.000
02/14/2012	9.79	9.83	9.56	9.64	5247456	106510160.000
02/15/2012	9.66	9.92	9.49	9.90	12011561	245352144.000
02/16/2012	9.90	9.99	9.67	9.78	9326190	192359264.000
02/17/2012	9.85	9.89	9.60	9.67	6543718	133213464.000
02/20/2012	9.80	9.84	9.61	9.62	7310465	149055056.000
02/21/2012	9.62	9.82	9.49	9.80	7359278	149193696.000
02/22/2012	9.79	9.93	9.67	9.91	11514395	237702608.000
02/23/2012	9.93	10.09	9.83	9.99	11924249	249395488.000
02/24/2012	9.99	10.32	9.92	10.30	13317681	282523360.000
02/27/2012	10.30	10.71	10.15	10.18	15142272	331667936.000
02/28/2012	10.19	10.62	10.17	10.44	12897066	280567840.000
02/29/2012	10.37	10.62	10.30	10.40	8418006	184249216.000
03/01/2012	10.40	10.58	10.25	10.38	6973768	151433184.000
03/02/2012	10.35	10.62	10.35	10.62	9163225	201646336.000
03/05/2012	10.69	10.77	10.48	10.52	7914182	175345440.000
03/06/2012	10.52	10.60	10.17	10.20	6525839	141034096.000
03/07/2012	10.09	10.21	9.94	9.98	6173837	130438064.000
03/08/2012	10.04	10.22	9.96	10.15	5056644	107127256.000
03/09/2012	10.22	10.49	10.22	10.45	6311799	136876736.000
03/12/2012	10.45	10.61	10.32	10.61	7223107	158254080.000
03/13/2012	10.62	10.97	10.45	10.92	9966469	223487456.000
03/14/2012	10.92	11.17	10.12	10.34	15077906	339545376.000
03/15/2012	10.27	10.42	9.86	9.94	7413400	156836704.000
03/16/2012	9.93	10.34	9.93	10.27	7263347	154637840.000
03/19/2012	10.24	10.59	10.13	10.58	6806964	147985184.000
03/20/2012	10.58	10.58	10.14	10.15	5479951	118157616.000
03/21/2012	10.22	10.43	10.01	10.29	7365909	157327984.000
03/22/2012	10.20	10.24	9.92	9.95	6438286	135265216.000
03/23/2012	9.81	9.88	9.50	9.57	5665060	114923976.000
03/26/2012	9.55	9.74	9.50	9.65	3417316	69013392.000
03/27/2012	9.75	9.84	9.31	9.36	6726316	134623488.000
03/28/2012	9.27	9.28	8.70	8.77	5274621	99590136.000
03/29/2012	8.76	8.80	8.51	8.62	4114707	75230432.000
03/30/2012	8.71	8.77	8.51	8.63	2764490	50368500.000
04/05/2012	8.67	9.04	8.62	9.03	3613376	67502152.000
04/06/2012	9.01	9.23	8.94	9.13	4082174	78172144.000
04/09/2012	9.13	9.17	8.95	9.04	3061911	58379748.000
04/10/2012	8.72	8.90	8.39	8.79	7839258	142336896.000
04/11/2012	8.62	8.76	8.52	8.63	4956881	90056704.000
04/12/2012	8.66	8.99	8.63	8.96	5668528	105380432.000
04/13/2012	8.96	9.11	8.87	9.06	5198782	98808104.000
04/16/2012	9.04	9.04	8.92	8.97	3685988	69758504.000
04/17/2012	8.97	9.12	8.89	8.90	4145552	78694448.000
04/18/2012	8.92	9.14	8.84	9.09	4934659	93967472.000
04/19/2012	9.09	9.17	8.96	8.98	4168809	79660520.000
04/20/2012	8.99	9.14	8.93	9.13	4972559	94905016.000
04/23/2012	9.17	9.17	8.84	8.85	4965505	93692416.000
04/24/2012	8.74	8.94	8.55	8.67	3693784	67953712.000
04/25/2012	8.71	8.86	8.66	8.83	2963742	54903852.000
04/26/2012	8.83	9.11	8.81	9.04	4339161	81955416.000
04/27/2012	9.04	9.06	8.87	8.89	2378808	44784800.000
05/02/2012	9.10	9.83	8.96	9.70	15699256	316799616.000
05/03/2012	9.55	9.99	9.53	9.89	11468575	236302416.000
05/04/2012	9.82	9.94	9.67	9.89	6640637	136837744.000
05/07/2012	9.81	9.81	9.62	9.76	5644843	115223464.000
05/09/2012	9.66	9.66	9.42	9.46	5096623	102075120.000
05/10/2012	9.52	9.65	9.47	9.55	4650899	93457032.000
05/11/2012	9.50	10.20	9.50	9.90	10613410	221286656.000
05/14/2012	9.97	10.24	9.82	10.02	9538519	200953152.000
05/15/2012	9.96	10.23	9.78	10.21	7468183	156827184.000
05/16/2012	10.16	10.21	9.85	9.86	5747131	120725560.000
05/17/2012	9.82	10.05	9.69	9.96	4559673	94733816.000
05/18/2012	9.82	9.89	9.62	9.62	4197620	85716696.000
05/21/2012	9.66	9.76	9.47	9.64	3579897	72193592.000
05/22/2012	9.77	10.05	9.67	10.00	5000616	103832160.000
05/23/2012	9.90	10.12	9.77	10.09	6154365	128938112.000
05/24/2012	9.99	10.10	9.77	9.80	3856232	80106608.000
05/25/2012	9.80	9.84	9.50	9.55	3900882	79099112.000
05/28/2012	9.56	9.69	9.31	9.60	4996824	99751696.000
05/29/2012	9.57	9.95	9.46	9.95	6135902	125182576.000
05/30/2012	9.96	9.96	9.77	9.83	3830700	79025712.000
05/31/2012	9.76	10.22	9.65	10.12	8632337	181691408.000
06/01/2012	10.07	10.16	9.96	10.08	5168743	108846296.000
06/04/2012	9.87	10.00	9.57	9.57	5373867	110461472.000
06/05/2012	9.56	9.66	9.37	9.39	4340984	86842160.000
06/06/2012	9.40	9.54	9.12	9.18	4077627	80137232.000
06/07/2012	9.31	9.41	9.14	9.23	2748602	53682504.000
06/08/2012	9.35	9.41	8.99	9.04	3784873	73187872.000
06/11/2012	9.04	9.35	9.02	9.26	2640123	51054672.000
06/12/2012	9.17	9.22	9.07	9.13	1773064	34130916.000
06/13/2012	9.19	9.41	9.17	9.36	2410209	47181800.000
06/14/2012	9.46	9.61	9.27	9.41	3428752	67983272.000
06/15/2012	9.36	9.63	9.31	9.47	3705399	73781312.000
06/18/2012	9.63	10.21	9.61	10.00	9878980	206267568.000
06/19/2012	9.88	10.00	9.79	9.84	4203041	87158064.000
06/20/2012	9.87	10.05	9.78	9.90	4315498	89812072.000
06/21/2012	9.87	10.00	9.67	9.76	4792660	98866176.000
06/25/2012	9.60	9.86	9.54	9.60	2981232	60677296.000
06/26/2012	9.51	9.78	9.37	9.76	4142719	83075408.000
06/27/2012	9.73	9.89	9.69	9.77	4653871	95769416.000
06/28/2012	9.87	9.96	9.75	9.76	3953213	81686632.000
06/29/2012	9.84	9.84	8.75	8.96	11400449	214537776.000
07/02/2012	8.94	9.14	8.91	8.94	4812417	90766776.000
07/03/2012	8.98	9.02	8.68	8.78	4970771	92091528.000
07/04/2012	8.85	8.99	8.79	8.93	3149833	58603616.000
07/05/2012	8.87	8.87	8.63	8.65	3892574	70950984.000
07/06/2012	8.74	8.94	8.64	8.90	3153226	58107320.000
07/09/2012	8.79	8.92	8.69	8.71	2972825	54770196.000
07/10/2012	8.48	8.73	8.48	8.62	2087893	37694488.000
07/11/2012	8.68	8.84	8.60	8.84	2093111	38381188.000
07/12/2012	8.79	9.15	8.76	8.98	3789284	71170392.000
07/13/2012	8.97	9.06	8.85	8.90	2142477	40010244.000
07/16/2012	8.93	8.94	8.54	8.57	2390725	43501924.000
07/17/2012	8.57	8.75	8.49	8.73	2171064	39332204.000
07/18/2012	8.72	8.83	8.55	8.82	1830532	33245840.000
07/19/2012	8.83	9.04	8.78	8.88	3647145	68289336.000
07/20/2012	8.88	9.10	8.87	8.99	3983596	75155984.000
07/23/2012	9.42	9.81	9.22	9.46	11445044	226420928.000
07/24/2012	9.27	9.55	9.22	9.43	5266706	103164816.000
07/25/2012	9.35	9.62	9.27	9.44	5184059	102612128.000
07/26/2012	9.44	9.61	9.33	9.46	4804731	95190408.000
07/27/2012	9.51	9.55	9.20	9.23	3446751	67156104.000
07/30/2012	9.18	9.59	9.18	9.34	4918567	96752720.000
07/31/2012	9.29	9.38	9.02	9.14	3942691	75452232.000
08/01/2012	9.14	9.42	9.07	9.41	3423437	66408080.000
08/02/2012	9.50	9.58	9.21	9.31	2809856	54813860.000
08/03/2012	9.34	9.47	9.25	9.47	2742404	53720656.000
08/06/2012	9.39	9.87	9.36	9.79	6256007	125487976.000
08/07/2012	9.73	9.83	9.66	9.79	4296544	87169128.000
08/08/2012	9.76	9.82	9.60	9.64	3879265	78553680.000
08/09/2012	9.61	9.96	9.48	9.84	5500962	111685936.000
08/10/2012	9.84	10.02	9.67	9.69	3022273	61848616.000
08/13/2012	9.75	9.98	9.59	9.69	5159424	105248072.000
08/14/2012	9.56	9.68	9.39	9.62	5997970	118977648.000
08/15/2012	9.64	9.69	9.50	9.59	2555365	50999344.000
08/16/2012	9.58	9.64	9.44	9.51	2178129	43339364.000
