600260 凯乐科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.44	5.44	5.11	5.12	6972703	37543316.000
01/05/2012	5.10	5.26	5.02	5.08	6110307	31998324.000
01/06/2012	5.06	5.15	4.88	5.10	6912507	35392440.000
01/09/2012	5.10	5.40	4.98	5.36	8579206	46055024.000
01/10/2012	5.38	5.60	5.32	5.59	11904451	66687488.000
01/11/2012	5.60	5.61	5.47	5.53	8696627	49006192.000
01/12/2012	5.54	5.63	5.44	5.49	6907948	38902960.000
01/13/2012	5.50	5.55	5.21	5.24	7806633	42431768.000
01/16/2012	5.18	5.31	5.15	5.18	4837989	25715332.000
01/17/2012	5.19	5.57	5.15	5.56	9024214	49627564.000
01/18/2012	5.56	5.65	5.42	5.45	7355817	41418216.000
01/19/2012	5.41	5.59	5.41	5.55	5012818	28127942.000
01/20/2012	5.55	5.63	5.51	5.54	4977440	28248096.000
01/30/2012	5.56	5.58	5.35	5.37	5988135	33300112.000
01/31/2012	5.36	5.45	5.30	5.44	4258393	23291352.000
02/01/2012	5.42	5.48	5.26	5.29	4793652	26148302.000
02/02/2012	5.29	5.41	5.27	5.39	4851218	26391542.000
02/03/2012	5.37	5.59	5.37	5.52	8727483	48773788.000
02/06/2012	5.50	5.73	5.47	5.66	11362117	64922312.000
02/07/2012	5.62	5.62	5.47	5.49	6687849	37643012.000
02/08/2012	5.46	5.70	5.40	5.66	7597969	43264236.000
02/09/2012	5.65	5.79	5.62	5.74	12158848	70752104.000
02/10/2012	5.71	5.80	5.66	5.73	8097029	47171236.000
02/13/2012	5.68	5.82	5.60	5.81	10023608	58622024.000
02/14/2012	5.84	5.98	5.73	5.84	11668023	69437528.000
02/15/2012	5.80	6.05	5.77	6.01	12432166	75314256.000
02/16/2012	6.01	6.08	5.95	6.07	12036325	73726168.000
02/17/2012	6.06	6.12	5.87	6.11	12160104	74283368.000
02/20/2012	6.20	6.28	6.07	6.20	11861917	74069368.000
02/21/2012	6.18	6.50	6.15	6.39	19981774	128759496.000
02/22/2012	6.41	7.04	6.41	6.84	40645302	280528480.000
02/23/2012	6.91	7.09	6.82	6.98	32004379	225486128.000
02/24/2012	7.00	7.24	6.88	7.14	28450444	204494128.000
02/27/2012	7.12	7.23	7.01	7.08	24398418	176174304.000
02/28/2012	7.04	7.33	7.02	7.03	25670180	186584928.000
02/29/2012	7.00	7.66	6.85	7.40	40828950	302865376.000
03/01/2012	7.35	7.69	7.35	7.47	25184204	192100624.000
03/02/2012	7.43	7.57	7.30	7.54	19824167	149590784.000
03/05/2012	7.54	8.08	7.54	7.89	29447812	235095840.000
03/06/2012	7.93	8.03	7.74	7.99	21281639	170218160.000
03/07/2012	7.89	8.30	7.50	7.53	41466001	330696896.000
03/08/2012	7.56	8.07	7.49	8.05	38361413	304137984.000
03/09/2012	8.08	8.25	7.92	8.21	30772791	252455344.000
03/12/2012	8.24	8.59	8.01	8.20	34115861	285033120.000
03/13/2012	8.17	8.28	7.98	8.12	21292017	175120320.000
03/14/2012	8.07	8.89	8.07	8.30	57303839	491703616.000
03/15/2012	8.38	8.50	8.01	8.26	33120327	278866688.000
03/16/2012	8.20	9.10	8.20	9.10	62092865	552235392.000
03/19/2012	9.27	9.62	9.13	9.26	57563901	542298368.000
03/20/2012	9.20	9.32	8.89	9.03	31887920	291556768.000
03/21/2012	9.04	9.13	8.55	8.86	35656226	317476480.000
03/22/2012	8.85	9.13	8.73	8.81	29244551	264406256.000
03/23/2012	8.74	8.75	8.21	8.33	32908907	282388416.000
03/26/2012	8.35	8.68	8.31	8.64	21106906	181082080.000
03/27/2012	8.64	8.67	8.22	8.25	18758438	160874448.000
03/28/2012	8.20	8.45	8.10	8.32	26169372	218898432.000
03/29/2012	8.29	8.45	8.13	8.19	20381848	170915408.000
03/30/2012	8.18	8.24	7.67	7.74	34340098	274119552.000
04/05/2012	7.85	8.52	7.78	8.52	25726999	215144128.000
04/06/2012	9.13	9.38	8.91	9.38	55235925	512368736.000
04/09/2012	9.50	9.62	8.95	9.06	85528643	809677056.000
04/10/2012	8.92	9.13	8.62	9.06	65184853	583945856.000
04/11/2012	8.89	9.80	8.78	9.35	76155311	715082048.000
04/12/2012	9.20	9.41	8.92	9.37	47276332	439442688.000
04/13/2012	9.36	9.89	9.21	9.51	54142979	525260480.000
04/16/2012	9.40	9.45	9.11	9.18	44574105	417038688.000
04/17/2012	9.20	10.11	9.05	9.80	103078904	1014601600.000
04/18/2012	9.59	10.03	9.48	9.96	75716843	745806272.000
04/19/2012	9.87	9.96	9.45	9.61	56218647	548695744.000
