600268 国电南自 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.07	7.34	6.98	7.03	6331553	48179896.000
01/05/2012	7.01	7.13	6.66	6.75	2813564	20626602.000
01/06/2012	6.74	6.89	6.48	6.88	3318110	23523796.000
01/09/2012	6.94	7.28	6.79	7.27	4618289	34990780.000
01/10/2012	7.21	7.64	7.21	7.57	5898968	46752844.000
01/11/2012	7.61	7.71	7.44	7.60	3978029	31844076.000
01/12/2012	7.60	7.66	7.48	7.52	2959338	23648144.000
01/13/2012	7.49	7.62	7.14	7.27	3585779	27977756.000
01/16/2012	7.11	7.21	6.78	6.81	2376944	17733120.000
01/17/2012	6.89	7.29	6.69	7.26	3915025	29222078.000
01/18/2012	7.28	7.36	7.07	7.16	3696827	28352524.000
01/19/2012	7.16	7.40	7.07	7.35	2832418	21833628.000
01/20/2012	7.37	7.48	7.31	7.43	2842845	22328920.000
01/30/2012	7.44	7.54	7.34	7.37	2438050	19169408.000
01/31/2012	7.38	7.38	7.13	7.34	1606842	12401541.000
02/01/2012	7.35	7.49	7.28	7.33	2119930	16603098.000
02/02/2012	7.42	7.59	7.27	7.58	3382574	26644188.000
02/03/2012	7.67	7.94	7.59	7.93	7340893	60391768.000
02/06/2012	7.91	8.00	7.73	7.81	5212804	43202032.000
02/07/2012	7.79	7.79	7.57	7.64	2997784	24225836.000
02/08/2012	7.64	7.87	7.54	7.84	3861142	31592784.000
02/09/2012	7.83	7.95	7.77	7.82	4290825	35659120.000
02/10/2012	7.82	7.89	7.76	7.81	3115804	25730548.000
02/13/2012	7.76	7.89	7.65	7.83	3857011	31750378.000
02/14/2012	7.85	7.88	7.76	7.82	2359151	19450224.000
02/15/2012	7.72	8.11	7.72	8.08	5824308	48849356.000
02/16/2012	8.06	8.16	7.91	8.02	5323573	45150608.000
02/17/2012	8.04	8.09	7.91	7.99	2644359	22323068.000
02/20/2012	8.12	8.15	7.91	7.93	3850934	32642228.000
02/21/2012	7.93	8.01	7.82	8.01	3833766	32061320.000
02/22/2012	8.04	8.32	8.03	8.31	6788238	58703896.000
02/23/2012	8.33	8.39	8.19	8.29	5420857	47265092.000
02/24/2012	8.31	8.41	8.24	8.40	5089427	44763220.000
02/27/2012	8.41	8.51	8.31	8.31	7774582	68984488.000
02/28/2012	8.26	8.30	8.05	8.16	6229559	53503352.000
02/29/2012	8.06	8.16	8.00	8.02	5250396	44662240.000
03/01/2012	7.98	8.13	7.97	8.05	3244515	27529012.000
03/02/2012	8.08	8.34	8.04	8.32	5955073	51703404.000
03/05/2012	8.33	8.87	8.33	8.72	14549193	132739608.000
03/06/2012	8.71	9.12	8.66	9.07	15146517	141116400.000
03/07/2012	8.98	9.25	8.76	8.86	9817338	93216648.000
03/08/2012	8.86	9.11	8.81	8.91	5672729	53198328.000
