600284 浦东建设 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.63	5.66	5.44	5.47	1940025	14697182.000
01/05/2012	5.49	5.49	5.23	5.26	1629760	11940598.000
01/06/2012	5.27	5.37	5.19	5.33	1355432	9821621.000
01/09/2012	5.34	5.63	5.25	5.62	2569256	19396360.000
01/10/2012	5.62	5.89	5.55	5.84	5434493	42745364.000
01/11/2012	5.85	5.91	5.77	5.85	3649855	28910184.000
01/12/2012	5.85	6.14	5.84	5.86	5157029	41729776.000
01/17/2012	5.58	6.11	5.49	6.09	6688061	52979228.000
01/18/2012	6.04	6.10	5.82	5.85	4664166	37697944.000
01/19/2012	5.83	5.94	5.79	5.87	2234838	17803912.000
01/20/2012	5.85	5.98	5.85	5.95	2274894	18259252.000
01/30/2012	6.01	6.02	5.88	5.88	2203712	17774376.000
01/31/2012	5.94	5.94	5.82	5.90	1782091	14214067.000
02/01/2012	5.94	5.94	5.78	5.82	1492790	11872261.000
02/02/2012	5.81	5.92	5.81	5.91	1628408	12988903.000
02/03/2012	5.89	6.13	5.89	6.07	4544849	37148568.000
02/06/2012	6.07	6.13	6.02	6.05	2258009	18544378.000
02/07/2012	6.02	6.04	5.89	6.00	2538601	20458856.000
02/08/2012	5.98	6.15	5.94	6.15	3437276	28289164.000
02/09/2012	6.15	6.24	6.11	6.22	3358894	28081180.000
02/10/2012	6.21	6.31	6.14	6.19	3845502	32390168.000
02/13/2012	6.18	6.79	6.06	6.67	13953450	122041248.000
02/14/2012	6.65	6.87	6.54	6.77	9408560	84685888.000
02/15/2012	6.73	6.90	6.64	6.80	5718481	52082696.000
02/16/2012	6.80	6.86	6.69	6.72	6188494	56054196.000
02/17/2012	6.72	6.86	6.65	6.72	4147628	37470716.000
02/20/2012	6.78	6.90	6.69	6.76	5474538	49673204.000
02/21/2012	6.74	6.81	6.56	6.78	4439665	39764896.000
02/22/2012	6.74	7.15	6.74	7.01	8518960	79341008.000
02/23/2012	7.01	7.06	6.85	6.92	5154669	47750676.000
02/24/2012	6.93	7.10	6.86	7.01	5877972	54947320.000
02/27/2012	7.11	7.36	7.01	7.22	9589076	91542616.000
02/28/2012	7.18	7.21	6.98	7.01	5883948	55492672.000
02/29/2012	6.99	7.00	6.86	6.89	5081307	46827164.000
03/01/2012	6.85	6.93	6.83	6.86	1822722	16754953.000
03/02/2012	6.86	7.06	6.86	7.05	3395906	31630652.000
03/05/2012	7.05	7.14	6.95	6.98	3608904	33835972.000
03/06/2012	7.02	7.12	6.89	7.08	7415099	69536504.000
03/07/2012	7.00	7.06	6.91	6.94	3858079	35917952.000
03/08/2012	6.94	7.28	6.94	7.27	8805785	83566944.000
03/09/2012	7.27	7.64	7.24	7.59	14138519	139892640.000
03/12/2012	7.59	7.59	7.35	7.54	7579242	75088568.000
03/13/2012	7.50	7.59	7.41	7.59	4451971	44200792.000
03/14/2012	7.62	7.64	7.10	7.35	8650134	84841576.000
03/15/2012	7.35	7.35	7.08	7.13	4573496	43547288.000
03/16/2012	7.13	7.34	7.02	7.31	5577120	53474344.000
03/19/2012	7.32	7.34	7.16	7.30	3666056	35310232.000
03/20/2012	7.30	7.30	7.03	7.13	3881469	36741644.000
03/21/2012	7.14	7.22	6.98	7.07	2281319	21494368.000
03/22/2012	7.07	7.14	7.02	7.11	1842121	17352366.000
03/23/2012	7.06	7.10	6.88	6.90	2142557	19969936.000
03/26/2012	6.96	6.96	6.86	6.89	1195143	10999029.000
03/28/2012	6.89	6.94	6.59	6.61	2590705	23378716.000
03/29/2012	6.56	6.61	6.44	6.45	1401071	12241521.000
04/05/2012	6.51	6.77	6.46	6.74	2134411	19077964.000
04/06/2012	6.73	6.82	6.67	6.79	1877745	16969284.000
04/09/2012	6.74	6.77	6.56	6.57	1314253	11728748.000
04/10/2012	6.51	6.86	6.49	6.85	3202914	28763208.000
04/11/2012	6.73	7.07	6.73	7.06	4614683	42946200.000
04/12/2012	7.04	7.14	6.89	7.13	4243792	39865188.000
04/13/2012	7.17	7.39	7.08	7.26	6561354	63160312.000
04/16/2012	7.26	7.55	7.15	7.37	6188020	60421568.000
04/17/2012	7.39	7.94	7.39	7.39	13052725	132041784.000
04/18/2012	7.28	7.54	7.19	7.49	7611364	74556320.000
04/19/2012	7.52	7.67	7.36	7.46	5545231	55309336.000
04/20/2012	7.42	7.62	7.34	7.54	5467986	54234996.000
04/23/2012	7.54	7.76	7.39	7.43	7595740	76347648.000
04/24/2012	7.34	7.54	7.05	7.34	6351227	61386832.000
