600300 维维股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.65	3.68	3.60	3.60	6483815	24994924.000
01/05/2012	3.56	3.65	3.46	3.49	5836182	21782160.000
01/06/2012	3.49	3.54	3.41	3.53	3828176	14128189.000
01/09/2012	3.53	3.68	3.47	3.68	7840702	29822616.000
01/10/2012	3.67	3.88	3.65	3.82	16711061	66620692.000
01/11/2012	3.82	3.82	3.74	3.78	9150611	36475664.000
01/12/2012	3.76	3.84	3.74	3.78	7730145	30934696.000
01/13/2012	3.81	3.83	3.55	3.57	11521875	44640936.000
01/16/2012	3.54	3.55	3.47	3.48	5229042	19444084.000
01/17/2012	3.48	3.69	3.48	3.68	6142269	23433134.000
01/18/2012	3.70	3.70	3.57	3.59	6636591	25600224.000
01/19/2012	3.60	3.66	3.57	3.64	4718263	18075128.000
01/20/2012	3.66	3.72	3.64	3.69	5720090	22297580.000
01/30/2012	3.70	3.71	3.65	3.67	4442589	17300978.000
01/31/2012	3.68	3.72	3.66	3.70	3181917	12404996.000
02/01/2012	3.70	3.75	3.65	3.67	4841591	18950890.000
02/02/2012	3.67	3.73	3.67	3.73	4768530	18648532.000
02/03/2012	3.73	3.81	3.69	3.79	10757315	42785728.000
02/06/2012	3.79	3.89	3.75	3.86	11149240	44828392.000
02/07/2012	3.82	3.82	3.74	3.79	8058585	32081804.000
02/08/2012	3.77	3.87	3.74	3.86	9340641	37653092.000
02/09/2012	3.87	3.97	3.83	3.85	14374633	59030064.000
02/10/2012	3.85	3.91	3.82	3.87	9425465	38474984.000
02/13/2012	3.86	3.99	3.83	3.94	14137115	58521284.000
02/14/2012	3.95	4.04	3.93	4.00	13313235	55793188.000
02/15/2012	4.00	4.05	3.95	4.02	11897658	50145424.000
02/16/2012	4.02	4.04	3.92	3.96	13275743	55557476.000
02/17/2012	3.98	3.99	3.89	3.95	8510352	35327976.000
02/20/2012	3.98	4.01	3.93	3.94	8111067	33854104.000
02/21/2012	3.95	4.02	3.91	4.02	11231974	47044272.000
02/22/2012	4.01	4.07	3.96	4.06	15266859	64693696.000
02/23/2012	4.08	4.12	4.02	4.06	14777706	63159868.000
02/24/2012	4.04	4.22	4.02	4.15	21849467	94933064.000
02/27/2012	4.16	4.25	4.13	4.18	21302477	93599168.000
02/28/2012	4.15	4.21	4.08	4.16	13030352	56740976.000
02/29/2012	4.16	4.16	4.02	4.04	10664812	45718588.000
03/01/2012	4.01	4.14	4.01	4.09	10104926	43296084.000
03/02/2012	4.09	4.16	4.07	4.15	11677713	50676552.000
03/05/2012	4.16	4.42	4.14	4.29	27094018	121696544.000
03/06/2012	4.26	4.31	4.19	4.23	12038663	53606544.000
03/07/2012	4.19	4.38	4.14	4.31	20624792	92816824.000
03/08/2012	4.30	4.51	4.30	4.44	27045218	125983280.000
03/09/2012	4.91	4.91	4.91	4.91	19609228	100399248.000
03/12/2012	5.42	5.42	5.42	5.42	6378811	35912704.000
03/13/2012	5.98	5.98	5.61	5.98	51342867	316241600.000
03/14/2012	6.60	6.60	6.49	6.60	152122751	1035282176.000
03/16/2012	7.07	7.28	6.79	7.28	38624503	284753696.000
03/19/2012	7.88	7.98	7.43	7.49	188746331	1482402944.000
03/20/2012	7.61	7.76	7.41	7.68	132694810	1038745024.000
03/21/2012	7.55	7.59	7.05	7.28	135971167	1024392704.000
03/22/2012	7.28	7.37	7.14	7.19	77684533	579103936.000
03/23/2012	7.16	7.19	6.83	7.05	105543563	763306112.000
03/26/2012	7.07	7.12	6.65	6.74	96896170	687438848.000
03/27/2012	6.73	6.89	6.56	6.66	85567102	593921408.000
03/28/2012	6.58	6.73	6.44	6.61	85441553	582458176.000
03/29/2012	6.59	6.65	6.32	6.49	73172682	489295968.000
03/30/2012	6.48	6.52	5.82	5.82	91295291	576239936.000
04/05/2012	5.65	6.19	5.58	5.98	115839786	703217536.000
04/06/2012	5.91	6.60	5.89	6.60	168118962	1117750912.000
04/09/2012	6.54	6.95	6.44	6.81	162029570	1113777792.000
04/10/2012	6.62	7.04	6.52	6.99	121075905	844420416.000
04/11/2012	6.83	6.99	6.75	6.82	76812354	541858432.000
04/12/2012	6.85	7.35	6.62	7.27	137324530	991797440.000
04/13/2012	7.12	7.31	6.89	7.08	109614078	803217344.000
04/16/2012	6.99	7.20	6.86	6.88	75576746	547562240.000
04/17/2012	6.77	7.14	6.70	6.86	82143887	588637632.000
04/18/2012	6.88	6.94	6.65	6.81	80414463	563018304.000
04/20/2012	6.73	6.86	6.56	6.68	59222022	409441248.000
04/23/2012	6.72	6.73	6.44	6.47	45263307	306441024.000
04/24/2012	6.39	6.96	6.29	6.93	84537455	583994304.000
04/25/2012	6.85	6.96	6.73	6.81	62345179	438740768.000
04/26/2012	6.79	7.02	6.52	6.98	80893409	566857216.000
04/27/2012	7.08	7.17	6.74	6.85	78859882	566528192.000
05/02/2012	6.89	6.97	6.75	6.83	45696610	322860896.000
05/03/2012	6.78	7.53	6.64	7.53	127611219	958787968.000
05/04/2012	7.47	7.74	7.39	7.51	109337372	849780864.000
05/07/2012	7.39	8.11	7.35	7.88	110509095	887223488.000
05/08/2012	7.79	8.43	7.72	8.23	104535436	869199424.000
05/09/2012	8.10	8.40	8.01	8.15	80633395	676501760.000
05/10/2012	8.07	8.43	7.95	8.13	79381593	667714944.000
05/11/2012	8.07	8.96	8.01	8.96	150806284	1337533824.000
05/14/2012	8.96	9.14	8.68	8.87	157151930	1434336896.000
05/15/2012	8.75	9.13	8.59	8.91	110680355	1010901440.000
05/16/2012	8.87	9.64	8.08	9.00	167994257	1520805248.000
05/17/2012	8.67	9.23	8.56	9.02	135807035	1245278720.000
05/18/2012	9.01	9.23	8.16	8.87	162147536	1460069376.000
05/21/2012	8.69	9.04	8.44	8.88	133704201	1208543104.000
05/22/2012	8.88	8.96	8.39	8.55	121615804	1075267328.000
05/23/2012	8.47	8.68	8.19	8.50	98966872	854028608.000
05/24/2012	8.41	8.68	8.26	8.27	73471333	636404352.000
05/25/2012	8.19	8.31	7.83	7.85	70072844	578008448.000
05/28/2012	7.69	7.78	7.36	7.68	62979616	492209728.000
05/29/2012	7.59	8.02	7.57	7.92	57415940	465276416.000
05/30/2012	7.94	8.22	7.93	8.02	39180981	323893984.000
05/31/2012	8.82	8.84	8.51	8.84	112967226	1009647744.000
06/01/2012	8.96	9.75	8.91	9.73	189216728	1821670144.000
06/04/2012	9.77	9.85	8.98	9.01	139426353	1342758528.000
06/05/2012	9.08	9.26	8.70	8.73	97069385	888698880.000
06/06/2012	8.93	9.36	8.84	9.08	88367251	820800448.000
06/07/2012	9.19	9.24	8.72	8.86	57110286	520377568.000
06/08/2012	8.87	8.90	8.44	8.55	61590278	543818560.000
06/11/2012	8.52	8.82	8.24	8.77	60965894	534928640.000
06/12/2012	8.64	8.90	8.62	8.67	34201897	305096640.000
06/13/2012	8.72	9.49	8.59	9.28	89488734	833037184.000
06/14/2012	9.23	9.77	9.17	9.34	93740802	903608704.000
06/15/2012	9.36	9.56	9.04	9.29	66784593	630283776.000
06/18/2012	9.29	9.85	9.14	9.74	92360388	896931904.000
06/19/2012	9.73	9.91	9.55	9.65	76861011	759918848.000
06/20/2012	9.63	9.72	9.30	9.38	65867674	635215360.000
06/21/2012	9.38	9.42	9.16	9.34	41868490	396055296.000
06/25/2012	9.42	9.70	9.12	9.20	60643604	579059776.000
06/26/2012	9.01	9.21	8.74	9.06	45755135	419707392.000
06/27/2012	9.05	9.41	8.97	9.23	60458754	566822848.000
06/28/2012	9.23	9.50	9.13	9.14	55088146	522443008.000
06/29/2012	9.00	9.39	8.96	9.32	48057396	450792352.000
07/02/2012	9.45	9.94	9.31	9.58	98701995	966644224.000
07/03/2012	9.46	10.31	9.42	10.24	146099127	1473010304.000
07/04/2012	10.09	10.28	9.98	10.08	97671429	1000580224.000
07/05/2012	10.04	10.20	9.74	10.10	88773059	899593728.000
07/06/2012	10.10	10.40	10.03	10.20	102166506	1060196608.000
07/09/2012	10.14	10.14	9.62	9.64	82957973	833312448.000
07/10/2012	9.49	9.83	9.46	9.52	50512882	494902240.000
07/11/2012	9.44	9.95	9.38	9.94	59198453	581810560.000
07/12/2012	10.09	10.56	9.98	10.10	113790725	1183501952.000
07/13/2012	10.00	10.24	9.97	10.05	58037634	594788032.000
