600306 *ST商城 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	12.59	12.65	11.95	12.02	710201	8669758.000
01/05/2012	11.97	12.10	11.20	11.49	560880	6536886.000
01/06/2012	11.65	11.65	11.36	11.46	347304	3985552.000
01/09/2012	11.36	11.96	11.36	11.78	662336	7781818.000
01/10/2012	11.68	12.36	11.68	12.29	1147692	13950056.000
01/11/2012	12.29	12.95	12.10	12.69	1648907	20806756.000
01/12/2012	12.58	12.77	12.37	12.65	974678	12202873.000
01/13/2012	12.62	12.62	12.10	12.19	867058	10664969.000
01/16/2012	12.20	12.20	11.68	11.75	507422	6036271.000
01/18/2012	12.27	12.56	11.76	11.93	937024	11524660.000
01/19/2012	11.77	12.33	11.77	12.26	1054124	12781592.000
01/20/2012	12.26	12.39	12.15	12.19	655000	8045531.000
01/30/2012	12.30	12.38	12.09	12.16	463086	5633415.000
01/31/2012	12.16	12.38	12.01	12.34	656706	8040490.000
02/01/2012	12.38	12.38	12.11	12.21	519125	6379583.000
02/02/2012	12.25	12.38	12.13	12.29	702208	8597806.000
02/03/2012	12.38	12.58	12.23	12.53	1465312	18260692.000
02/06/2012	12.56	12.70	12.48	12.61	983080	12380660.000
02/07/2012	12.60	12.85	12.41	12.77	1791764	22615160.000
02/08/2012	12.68	12.90	12.52	12.82	1638067	20908460.000
02/09/2012	12.63	12.93	12.50	12.92	2887549	36789976.000
02/10/2012	12.89	13.21	12.86	13.06	2458364	32204964.000
02/13/2012	13.07	13.42	12.93	13.38	2522068	33515454.000
02/14/2012	13.36	13.67	13.31	13.66	1596941	21558528.000
02/15/2012	13.73	14.05	13.36	13.54	4804070	65294348.000
02/16/2012	13.48	13.50	13.28	13.30	2162217	28880912.000
02/17/2012	13.15	13.64	13.15	13.64	2320983	31136102.000
02/20/2012	13.75	14.80	13.75	14.15	3278685	46852464.000
02/21/2012	14.10	14.33	13.88	14.16	1436881	20311044.000
02/22/2012	14.11	14.29	14.06	14.14	1498269	21185866.000
02/23/2012	14.08	14.30	13.93	14.04	1022865	14410689.000
02/24/2012	13.98	14.06	13.87	13.98	1536366	21421648.000
02/27/2012	14.05	14.19	13.92	13.95	1587581	22235408.000
02/28/2012	13.90	13.93	13.40	13.51	1378644	18784554.000
02/29/2012	13.41	13.72	13.40	13.49	1036517	14076496.000
03/01/2012	13.48	13.75	13.46	13.61	945588	12925641.000
03/02/2012	13.53	13.96	13.51	13.74	906558	12475490.000
03/05/2012	13.70	14.28	13.70	14.14	2010108	28409968.000
03/06/2012	14.16	14.30	13.89	13.89	1093224	15336041.000
03/07/2012	13.91	13.91	13.60	13.78	1441626	19812728.000
03/08/2012	13.83	14.37	13.64	14.16	2108097	29651122.000
03/09/2012	14.09	14.36	14.06	14.17	2245668	31872310.000
03/12/2012	14.25	14.28	14.06	14.10	1324862	18782576.000
03/13/2012	14.00	14.18	13.90	13.91	1660580	23244820.000
03/14/2012	13.95	14.01	12.92	12.95	2644621	35903128.000
03/15/2012	12.95	13.10	12.53	12.68	1694903	21658232.000
03/16/2012	12.69	13.06	12.69	12.87	1040046	13436731.000
03/19/2012	12.99	13.59	12.89	13.57	2059327	27427872.000
03/20/2012	13.55	13.95	13.40	13.46	2090070	28605858.000
03/21/2012	13.70	13.70	13.30	13.40	865960	11693896.000
03/22/2012	13.33	13.57	13.33	13.40	551124	7394055.000
03/23/2012	13.32	13.47	13.10	13.14	419749	5550989.000
03/26/2012	13.21	13.48	12.85	12.98	405892	5278632.000
03/27/2012	12.99	13.07	12.55	12.67	621734	7944299.000
03/28/2012	12.72	12.84	12.00	12.08	953852	11752302.000
03/29/2012	12.00	12.13	11.60	11.64	779729	9236531.000
03/30/2012	11.66	12.18	11.60	12.10	1015803	12080632.000
04/05/2012	12.13	12.42	11.94	12.40	834709	10210897.000
04/06/2012	12.41	12.59	12.24	12.31	650820	8099102.000
04/09/2012	12.38	12.45	11.90	11.94	858175	10367453.000
04/10/2012	12.10	12.48	11.31	12.24	1240070	14653139.000
04/11/2012	12.12	12.25	11.78	12.12	1446117	17284576.000
04/12/2012	12.00	12.37	11.94	12.26	1941675	23748858.000
04/13/2012	12.35	12.60	12.22	12.42	1201298	14867413.000
04/16/2012	12.32	12.41	12.06	12.20	1032508	12665260.000
04/17/2012	12.20	12.30	11.64	11.91	1573673	18757580.000
04/18/2012	11.75	12.17	11.73	12.08	1063280	12808788.000
04/19/2012	12.10	12.10	11.80	11.91	1341984	15985325.000
04/20/2012	11.95	12.14	11.86	12.06	1552101	18597200.000
04/23/2012	12.06	12.10	11.66	11.78	1234460	14654775.000
04/24/2012	11.69	11.89	11.40	11.49	1762850	20393992.000
04/25/2012	11.49	11.72	11.45	11.63	1140547	13232569.000
04/26/2012	11.69	11.93	11.55	11.75	2019096	23807684.000
04/27/2012	11.97	12.93	11.89	12.59	4936185	62358152.000
05/02/2012	12.46	12.94	12.31	12.64	3155292	40192008.000
05/03/2012	12.38	12.82	12.38	12.71	2005999	25369412.000
05/04/2012	12.63	12.93	12.42	12.78	2544316	32209788.000
05/07/2012	12.60	13.20	12.60	12.88	2622821	33933724.000
05/08/2012	12.97	12.97	12.50	12.62	1825565	23081000.000
05/09/2012	12.49	12.59	12.30	12.51	1375262	17026980.000
05/10/2012	12.50	12.68	12.31	12.42	852901	10617370.000
05/11/2012	12.48	12.48	11.91	11.97	1280402	15628101.000
05/14/2012	12.00	12.13	11.73	11.73	1341100	15905430.000
05/15/2012	11.65	11.95	11.62	11.90	1326771	15581225.000
05/16/2012	11.88	11.88	10.74	11.68	1307779	15207365.000
05/17/2012	11.76	11.92	11.53	11.69	1331809	15588286.000
05/18/2012	11.69	11.69	11.22	11.32	1362959	15573874.000
05/21/2012	11.34	11.34	11.01	11.08	1150086	12798063.000
05/23/2012	11.21	11.50	11.12	11.49	2253152	25361906.000
05/24/2012	11.45	11.63	11.38	11.48	905475	10415287.000
05/25/2012	11.58	11.58	10.50	11.39	1025201	11623892.000
05/28/2012	11.29	11.43	11.01	11.39	890258	9958386.000
05/29/2012	11.30	11.81	11.30	11.74	2069502	24161268.000
05/30/2012	11.69	11.95	11.69	11.89	1631193	19344854.000
05/31/2012	11.75	12.45	11.72	12.01	1150892	13887559.000
06/01/2012	11.98	12.40	11.97	12.01	1617230	19669752.000
06/04/2012	11.90	11.90	11.44	11.46	919399	10734746.000
06/05/2012	11.43	11.89	11.43	11.57	1580324	18417120.000
06/06/2012	11.58	11.74	11.40	11.57	987173	11411268.000
06/07/2012	11.55	11.73	11.32	11.49	1061501	12228852.000
06/08/2012	11.59	11.68	11.32	11.42	606373	6921691.000
06/11/2012	11.35	12.08	11.31	11.72	1832915	21635720.000
06/12/2012	11.92	11.92	11.57	11.73	1780690	20791200.000
06/13/2012	11.85	11.90	11.70	11.88	1006340	11895293.000
06/14/2012	11.84	11.98	11.60	11.85	777561	9213682.000
06/15/2012	11.70	11.98	11.70	11.86	645496	7663856.000
06/18/2012	11.99	12.16	11.89	11.95	853250	10241966.000
06/19/2012	11.90	12.00	11.51	11.68	723259	8564961.000
06/20/2012	11.77	12.70	11.65	12.39	4764130	58925568.000
06/21/2012	12.28	12.65	12.11	12.43	2240702	27879274.000
06/25/2012	12.30	12.60	11.85	11.88	1367600	16742063.000
06/26/2012	11.85	11.88	11.25	11.47	1780300	20524840.000
06/27/2012	11.30	11.55	11.26	11.36	502450	5724655.000
06/28/2012	11.41	11.51	11.22	11.22	666301	7526867.000
