600307 酒钢宏兴 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.65	3.69	3.53	3.54	4503668	16763649.000
01/05/2012	3.47	3.52	3.35	3.38	5319143	19096760.000
01/06/2012	3.38	3.50	3.34	3.47	4267884	15273269.000
01/09/2012	3.47	3.62	3.46	3.61	4513783	16725456.000
01/10/2012	3.64	3.80	3.60	3.79	8218309	31749394.000
01/11/2012	3.80	3.98	3.75	3.86	12976538	52407504.000
01/12/2012	3.83	3.89	3.78	3.81	5740432	22806006.000
01/13/2012	3.84	3.84	3.66	3.69	5069582	19678576.000
01/16/2012	3.65	3.82	3.65	3.70	4265320	16574894.000
01/18/2012	4.05	4.08	3.85	3.87	20056191	82055432.000
01/19/2012	3.85	4.02	3.85	3.99	9480018	39088196.000
01/20/2012	4.00	4.12	3.96	4.08	6445490	27025740.000
01/30/2012	4.08	4.13	3.94	3.97	4515924	18735246.000
01/31/2012	3.98	4.00	3.83	3.87	7121173	28654540.000
02/01/2012	3.89	3.92	3.81	3.82	3276512	13140198.000
02/02/2012	3.85	3.90	3.80	3.90	2863938	11489120.000
02/03/2012	3.87	3.93	3.86	3.93	3965190	16061621.000
02/06/2012	3.95	3.97	3.89	3.93	3521968	14346293.000
02/07/2012	3.90	3.92	3.82	3.84	3695113	14831304.000
02/08/2012	3.84	3.98	3.80	3.95	5242774	21267984.000
02/09/2012	3.95	4.01	3.93	3.98	7662199	31610792.000
02/10/2012	3.95	4.10	3.94	4.00	10249972	42792168.000
02/13/2012	3.95	4.01	3.90	3.96	6986213	28655678.000
02/14/2012	3.97	3.98	3.93	3.97	4616437	18944190.000
02/15/2012	3.96	4.10	3.93	4.05	9563741	40132960.000
02/16/2012	4.01	4.07	3.96	4.02	6282783	26167970.000
02/17/2012	4.05	4.06	3.97	4.02	4344076	18066602.000
02/20/2012	4.05	4.09	3.98	4.00	6378886	26629844.000
02/21/2012	3.98	4.03	3.95	4.02	3798570	15722763.000
02/22/2012	4.02	4.07	3.99	4.07	10133208	42400404.000
02/23/2012	4.08	4.20	4.06	4.15	20645367	88375896.000
02/24/2012	4.12	4.22	4.06	4.20	18887297	81054344.000
02/27/2012	4.25	4.33	4.20	4.20	18324311	80921984.000
02/28/2012	4.15	4.60	4.14	4.50	25758179	116255648.000
03/01/2012	4.25	4.39	4.18	4.36	17076983	76353792.000
03/02/2012	4.30	4.40	4.28	4.40	15410263	69189304.000
03/05/2012	4.42	4.42	4.27	4.29	15819462	70721416.000
03/06/2012	4.26	4.29	4.14	4.15	13991316	60560296.000
03/07/2012	4.15	4.30	4.06	4.19	12659746	54709756.000
03/08/2012	4.18	4.23	4.15	4.18	9587506	41639236.000
03/09/2012	4.19	4.22	4.14	4.20	10130045	43801640.000
03/12/2012	4.19	4.21	4.13	4.17	11725720	50565288.000
03/13/2012	4.17	4.21	4.14	4.21	9519138	41199856.000
03/14/2012	4.23	4.45	4.14	4.17	34522274	153353408.000
03/15/2012	4.13	4.15	3.95	3.96	16054257	66789008.000
03/19/2012	4.01	4.08	3.97	4.06	10153441	42388940.000
03/20/2012	4.04	4.16	4.00	4.05	10907460	46192864.000
03/21/2012	4.08	4.10	3.99	4.04	7028865	29386084.000
03/22/2012	4.03	4.06	3.99	4.01	4946551	20589820.000
