600310 桂东电力 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.86	3.91	3.65	3.67	173621	2233995.000
01/05/2012	3.65	3.74	3.53	3.53	352453	4394899.000
01/06/2012	3.52	3.65	3.38	3.57	412243	4986918.000
01/09/2012	3.52	3.70	3.52	3.69	529405	6585812.000
01/10/2012	3.70	3.86	3.66	3.83	926658	12005890.000
01/11/2012	3.83	3.84	3.73	3.77	652850	8443079.000
01/12/2012	3.77	3.86	3.77	3.80	621720	8062452.000
01/13/2012	3.81	3.81	3.55	3.60	527727	6617801.000
01/16/2012	3.60	3.61	3.51	3.53	231911	2840904.000
01/17/2012	3.59	3.73	3.50	3.72	667590	8286033.000
01/18/2012	3.72	3.85	3.68	3.69	587247	7547496.000
01/19/2012	3.58	3.79	3.58	3.75	489354	6246808.000
01/20/2012	3.69	3.81	3.69	3.77	487164	6256167.000
01/30/2012	3.80	3.80	3.73	3.74	295252	3794400.000
01/31/2012	3.71	3.78	3.71	3.76	167990	2147212.000
02/01/2012	3.77	3.79	3.64	3.65	417261	5309297.000
02/02/2012	3.67	3.72	3.61	3.71	533386	6662857.000
02/03/2012	3.66	3.73	3.64	3.69	806802	10170318.000
02/06/2012	3.71	3.82	3.69	3.81	1443765	18497236.000
02/07/2012	3.80	3.80	3.65	3.67	991081	12563913.000
02/08/2012	3.67	3.83	3.62	3.82	1594338	20395860.000
02/09/2012	3.78	3.88	3.78	3.79	1808690	23513524.000
02/10/2012	3.81	3.93	3.79	3.88	1873955	24642042.000
02/13/2012	3.89	3.95	3.83	3.88	2089062	27508302.000
02/14/2012	3.88	3.90	3.82	3.84	1367401	17875628.000
02/15/2012	3.84	3.91	3.81	3.90	1420078	18710734.000
02/16/2012	3.88	3.99	3.84	3.99	2980832	39692788.000
02/17/2012	3.99	4.03	3.88	3.90	1649436	21968896.000
02/20/2012	3.94	3.96	3.86	3.87	1566221	20740880.000
02/21/2012	3.85	3.91	3.82	3.90	1169004	15379869.000
02/22/2012	3.90	4.02	3.89	4.00	2313862	31071192.000
02/23/2012	3.99	4.00	3.93	3.96	2103688	28304190.000
02/24/2012	3.98	4.06	3.96	4.05	2958850	40244824.000
02/27/2012	4.07	4.16	4.01	4.02	3041830	41997012.000
02/28/2012	4.01	4.08	3.94	4.06	3260343	44201128.000
02/29/2012	4.06	4.06	3.98	3.98	1596189	21670916.000
03/01/2012	3.94	4.04	3.94	4.00	942839	12768056.000
03/02/2012	4.00	4.08	3.99	4.08	1692355	23178968.000
03/05/2012	4.11	4.29	4.08	4.19	4686895	66197024.000
03/06/2012	4.19	4.21	4.09	4.11	2248051	31407320.000
03/07/2012	4.05	4.13	4.01	4.08	2009969	27640266.000
03/08/2012	4.09	4.32	4.08	4.25	3359290	47671888.000
03/09/2012	4.25	4.29	4.19	4.28	2122867	30366864.000
03/12/2012	4.27	4.31	4.20	4.25	1514386	21664472.000
03/13/2012	4.24	4.28	4.22	4.27	1725612	24644516.000
03/14/2012	4.28	4.42	4.10	4.11	3972317	56822760.000
03/15/2012	4.09	4.14	3.95	4.03	1869923	25402880.000
03/16/2012	4.04	4.13	3.98	4.12	1423677	19576090.000
03/19/2012	4.10	4.20	4.07	4.19	1228307	17144156.000
03/20/2012	4.20	4.25	4.06	4.07	1407159	19727420.000
03/21/2012	4.08	4.22	3.98	4.08	3048503	42191924.000
03/22/2012	4.08	4.08	3.94	4.01	1344983	18185734.000
03/23/2012	4.02	4.04	3.81	3.85	2077706	27710404.000
03/26/2012	3.85	3.90	3.79	3.85	934740	12202345.000
03/27/2012	3.88	3.94	3.86	3.88	1035940	13700764.000
03/28/2012	3.83	3.83	3.44	3.52	2579591	31783492.000
03/29/2012	3.46	3.55	3.42	3.44	1450721	17414238.000
03/30/2012	3.45	3.50	3.41	3.47	895456	10630979.000
04/05/2012	3.47	3.60	3.44	3.56	1066973	12973790.000
04/06/2012	3.54	3.65	3.53	3.64	1229062	15105092.000
04/09/2012	3.63	3.63	3.52	3.52	982821	11999408.000
04/10/2012	3.49	3.54	3.38	3.52	867017	10336738.000
04/11/2012	3.48	3.52	3.42	3.51	508768	6116838.000
04/12/2012	3.54	3.61	3.50	3.60	1364208	16669167.000
04/13/2012	3.64	3.69	3.61	3.63	1547642	19339104.000
04/16/2012	3.61	3.68	3.54	3.64	1873448	23104418.000
04/17/2012	3.63	3.68	3.59	3.63	1849069	23064952.000
04/18/2012	3.64	3.84	3.60	3.81	2360758	30103856.000
04/19/2012	3.81	3.88	3.76	3.82	1941267	25342652.000
04/20/2012	3.78	4.25	3.78	4.05	5055583	69187552.000
04/24/2012	4.02	4.14	3.78	3.91	6735699	89934616.000
04/25/2012	4.00	4.12	3.91	3.97	5356925	72583672.000
04/26/2012	3.97	4.07	3.90	3.93	3033150	40841468.000
04/27/2012	3.90	3.97	3.82	3.82	2593914	34153312.000
05/02/2012	3.91	3.95	3.85	3.91	3025412	40244468.000
05/03/2012	3.91	3.99	3.89	3.97	3000373	40184620.000
05/04/2012	3.94	4.00	3.89	3.96	2562404	34266484.000
05/07/2012	3.93	4.01	3.91	3.97	2904366	38940372.000
05/08/2012	3.97	3.98	3.86	3.87	2916447	38668856.000
05/09/2012	3.83	3.83	3.69	3.70	2684891	34283848.000
05/10/2012	3.72	3.77	3.66	3.73	1093495	13655671.000
05/11/2012	3.73	3.73	3.63	3.64	1608885	19900636.000
05/14/2012	3.68	3.75	3.64	3.70	2118139	26356404.000
05/15/2012	3.65	3.73	3.59	3.73	1283648	15790441.000
05/16/2012	3.73	3.81	3.68	3.69	1586001	20015948.000
05/17/2012	3.71	3.85	3.69	3.84	2547374	32470660.000
05/18/2012	3.84	3.97	3.78	3.80	2527261	32646244.000
05/21/2012	3.80	3.85	3.68	3.73	1023776	12864044.000
05/22/2012	3.74	3.81	3.73	3.80	1166146	14744882.000
05/23/2012	3.80	3.91	3.77	3.87	2152265	27834714.000
05/24/2012	3.79	3.85	3.79	3.80	919050	11758620.000
05/25/2012	3.77	3.88	3.76	3.79	1051075	13411306.000
05/28/2012	3.78	3.81	3.66	3.77	946347	11865232.000
05/29/2012	3.77	3.85	3.73	3.84	1658596	21170456.000
05/30/2012	3.84	3.90	3.81	3.88	1514753	19605136.000
05/31/2012	3.85	4.08	3.84	4.01	4174438	55543800.000
06/01/2012	4.05	4.05	3.92	3.95	2049998	27170394.000
06/04/2012	3.85	3.90	3.76	3.77	1443890	18523132.000
06/05/2012	3.80	3.87	3.69	3.79	1145807	14601661.000
06/06/2012	3.80	3.83	3.71	3.74	623849	7894527.000
06/07/2012	3.79	3.84	3.74	3.75	1392543	17702376.000
06/08/2012	3.83	3.84	3.73	3.80	1920724	24488186.000
06/11/2012	3.79	3.89	3.76	3.87	1222103	15753162.000
06/12/2012	3.87	3.94	3.85	3.85	1343640	17477584.000
06/13/2012	3.86	4.28	3.86	4.11	5193128	70727872.000
06/14/2012	4.11	4.25	4.03	4.08	3904628	53447628.000
06/15/2012	4.08	4.15	4.01	4.10	3201127	43533212.000
06/18/2012	4.17	4.20	4.07	4.14	2435744	33499420.000
06/19/2012	4.14	4.18	3.96	4.07	2313410	31212836.000
06/20/2012	4.05	4.05	3.99	4.00	933681	12520156.000
06/21/2012	3.95	4.01	3.82	3.84	1957730	25436932.000
06/25/2012	3.83	3.87	3.78	3.80	1039420	13291201.000
06/26/2012	3.80	3.81	3.74	3.76	1124167	14226418.000
06/27/2012	3.77	3.80	3.34	3.70	2367183	29235240.000
06/28/2012	3.62	3.71	3.55	3.56	1452919	17706556.000
06/29/2012	3.57	3.71	3.52	3.67	1420048	17405920.000
07/02/2012	3.72	3.76	3.65	3.68	944019	11722221.000
07/03/2012	3.68	3.71	3.59	3.64	1330999	16397767.000
07/04/2012	3.66	3.69	3.48	3.51	1909333	22964056.000
07/05/2012	3.52	3.52	3.39	3.40	1261374	14726276.000
07/06/2012	3.42	3.48	3.37	3.45	1527018	17713808.000
07/09/2012	3.41	3.44	3.22	3.27	1894166	21550828.000
07/10/2012	3.26	3.30	3.11	3.13	2225988	24149212.000
07/11/2012	3.12	3.15	3.05	3.08	2464807	26144658.000
07/12/2012	3.05	3.12	2.90	3.09	3488147	36081976.000
07/13/2012	3.03	3.06	3.01	3.02	1466755	15307170.000
07/16/2012	3.04	3.05	2.81	2.81	3238983	32195920.000
07/17/2012	2.82	2.88	2.78	2.86	1115199	10995178.000
07/18/2012	2.85	2.88	2.80	2.88	1483461	14641751.000
07/19/2012	2.87	3.08	2.82	3.01	3646142	37649400.000
07/20/2012	3.02	3.17	3.01	3.10	3663154	38921064.000
07/23/2012	3.05	3.07	2.99	3.04	1736781	18113924.000
07/24/2012	3.02	3.04	2.99	3.01	1604578	16687499.000
07/25/2012	3.01	3.03	2.92	2.94	1243446	12765598.000
07/26/2012	2.94	2.95	2.89	2.90	1722185	17386164.000
07/27/2012	2.92	2.92	2.85	2.87	1001757	10023191.000
07/30/2012	2.86	2.90	2.81	2.85	1377200	13613413.000
07/31/2012	2.84	2.89	2.82	2.86	1122547	11114878.000
08/01/2012	2.86	2.94	2.85	2.94	1912584	19232804.000
08/02/2012	2.92	2.97	2.88	2.92	1768412	17915060.000
08/03/2012	2.95	2.95	2.89	2.95	1267183	12825867.000
08/06/2012	2.93	3.03	2.92	3.01	1387115	14269351.000
08/07/2012	3.00	3.04	2.98	3.01	1415804	14663618.000
08/08/2012	3.00	3.14	3.00	3.04	2639946	27965464.000
08/09/2012	3.03	3.11	3.01	3.05	3046906	31924412.000
08/10/2012	3.07	3.14	3.04	3.12	3512595	37319908.000
