600311 荣华实业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	8.05	8.18	7.76	7.76	5480269	43782044.000
01/05/2012	7.78	7.94	7.60	7.64	4851600	37730816.000
01/06/2012	7.50	7.85	7.50	7.84	3935006	30274808.000
01/09/2012	7.88	8.23	7.75	8.19	7757777	62634008.000
01/10/2012	8.17	8.98	8.10	8.93	14998712	128002816.000
01/11/2012	8.88	9.00	8.64	8.82	12429224	109651104.000
01/12/2012	8.73	9.34	8.67	9.08	14671829	132873824.000
01/13/2012	9.09	9.20	8.61	8.80	10505482	93521904.000
01/16/2012	8.62	8.76	8.35	8.41	5758655	49423148.000
01/17/2012	8.42	9.25	8.42	9.25	16899839	152467232.000
01/18/2012	9.33	9.56	9.00	9.07	16688313	155430576.000
01/19/2012	9.09	9.93	8.97	9.63	20063221	191775056.000
01/20/2012	9.56	9.68	9.29	9.56	12665114	120504824.000
01/30/2012	9.89	10.52	9.89	10.08	30394890	312004064.000
01/31/2012	9.90	10.14	9.75	10.01	15858896	157554160.000
02/01/2012	10.01	10.26	9.70	9.79	16203649	162198528.000
02/02/2012	9.97	10.13	9.85	10.09	12278318	122758560.000
02/03/2012	10.26	10.26	10.01	10.11	12133093	122968320.000
02/06/2012	9.97	10.03	9.86	9.99	11102456	110248128.000
02/07/2012	9.87	9.90	9.60	9.79	10098248	98366864.000
02/08/2012	9.91	10.54	9.84	10.36	22574121	230090432.000
02/09/2012	10.20	10.29	10.05	10.23	15919484	162278880.000
02/10/2012	10.18	10.32	10.00	10.10	11204041	113891576.000
02/13/2012	9.98	10.21	9.86	10.09	8602288	86502040.000
02/14/2012	10.08	10.08	9.93	9.99	7145014	71374800.000
02/15/2012	10.01	10.24	9.95	10.18	10889627	110461712.000
02/16/2012	10.19	10.23	9.91	10.07	8594249	86722904.000
02/17/2012	10.10	10.16	9.96	10.12	6524005	65742536.000
02/20/2012	10.25	10.42	10.17	10.23	15699152	161803920.000
02/21/2012	10.20	10.34	10.00	10.32	12081475	123319128.000
02/22/2012	10.42	10.66	10.34	10.45	17931245	188315584.000
02/23/2012	10.46	10.69	10.42	10.56	18058814	190826608.000
02/24/2012	10.59	10.62	10.37	10.53	13860856	145350624.000
02/27/2012	10.57	10.68	10.48	10.49	16420317	173738240.000
02/28/2012	10.40	10.45	10.14	10.29	12439901	127971872.000
02/29/2012	10.30	11.32	10.28	10.89	44877465	493363488.000
03/01/2012	10.35	10.66	10.25	10.56	27917932	292166400.000
03/02/2012	10.53	10.72	10.51	10.66	14614646	155266432.000
03/05/2012	10.58	10.75	10.52	10.57	13032014	138352512.000
03/06/2012	10.52	10.53	10.21	10.29	11621582	120246920.000
03/07/2012	10.10	10.23	10.01	10.10	9522058	96456928.000
03/08/2012	10.16	10.42	10.16	10.32	9144356	94344104.000
03/09/2012	10.38	10.52	10.37	10.48	7868753	82212576.000
03/12/2012	10.48	10.60	10.41	10.54	9180079	96331800.000
03/13/2012	10.53	10.61	10.40	10.60	9513302	100200376.000
03/14/2012	10.60	10.85	10.10	10.19	22544867	237375168.000
03/15/2012	10.13	10.15	9.76	9.83	13085916	129869408.000
03/16/2012	9.90	10.13	9.85	10.08	7620822	76328864.000
03/19/2012	10.08	10.33	10.03	10.30	8708774	88545904.000
03/20/2012	10.29	10.29	10.00	10.04	7893818	79769784.000
03/21/2012	10.08	10.50	9.99	10.29	12955320	133079312.000
03/22/2012	10.30	10.40	10.20	10.25	6542976	67313320.000
03/23/2012	10.10	10.18	9.90	9.98	8063522	80653488.000
03/26/2012	10.08	10.14	9.96	10.07	4525992	45482756.000
03/27/2012	10.25	10.37	10.10	10.18	8325082	85308512.000
03/28/2012	10.10	10.10	9.55	9.57	9633071	94393112.000
03/29/2012	9.37	9.37	8.91	8.98	9539529	86872488.000
03/30/2012	8.96	9.13	8.66	8.80	6129032	54400656.000
04/05/2012	8.80	9.08	8.60	9.03	6014742	53562532.000
04/06/2012	9.08	9.19	9.00	9.11	4563952	41440208.000
04/09/2012	9.10	9.31	8.91	9.12	6224814	57198500.000
04/10/2012	9.14	9.26	8.95	9.25	4746495	43238004.000
04/11/2012	9.20	9.51	9.10	9.44	9495089	88860432.000
04/12/2012	9.35	9.52	9.31	9.51	8544394	80551696.000
04/13/2012	9.58	9.75	9.50	9.67	8493813	81751840.000
04/16/2012	9.50	9.55	9.40	9.51	6208508	58833984.000
04/17/2012	9.51	9.53	9.31	9.35	4746066	44680584.000
04/18/2012	9.40	9.79	9.34	9.68	11402839	110278576.000
04/19/2012	9.63	9.77	9.55	9.59	6888121	66300016.000
04/20/2012	9.54	9.70	9.54	9.67	6287474	60574116.000
04/23/2012	9.66	9.68	9.32	9.46	6596547	62801928.000
04/24/2012	9.36	9.40	8.92	9.17	7928754	72722088.000
04/25/2012	9.21	9.66	9.20	9.36	8464641	80065232.000
04/27/2012	9.24	9.59	9.24	9.41	6310435	59811488.000
05/02/2012	9.64	10.05	9.44	9.80	14665784	143428384.000
05/03/2012	9.75	9.88	9.68	9.72	6851647	66972776.000
05/04/2012	9.67	9.82	9.62	9.75	7333628	71420112.000
05/07/2012	9.76	10.20	9.72	10.08	15646549	156536288.000
05/08/2012	10.05	10.05	9.86	9.92	9316460	92473440.000
05/09/2012	9.78	9.78	9.50	9.51	9594366	92099696.000
05/10/2012	9.40	9.78	9.40	9.64	6924237	66771312.000
05/11/2012	9.61	9.63	9.27	9.33	8305889	78341144.000
05/14/2012	9.45	9.46	9.10	9.18	6008274	55904036.000
05/15/2012	9.03	9.16	8.98	9.14	5431571	49137128.000
05/16/2012	9.10	9.19	9.05	9.07	3635748	33201144.000
05/17/2012	9.18	9.30	9.06	9.27	6166112	56663176.000
05/18/2012	9.33	9.47	9.13	9.17	6953106	64799832.000
05/21/2012	9.20	9.36	9.18	9.27	4274273	39628056.000
05/22/2012	9.32	9.37	9.24	9.34	4934551	45906296.000
05/23/2012	9.27	9.27	9.02	9.10	7054099	64336540.000
05/24/2012	9.10	9.15	8.98	9.01	4983703	45072332.000
05/25/2012	9.02	9.06	8.79	8.87	6331527	56383204.000
05/28/2012	8.83	9.04	8.70	9.02	5110438	45389756.000
05/29/2012	9.02	9.18	9.00	9.13	9465841	86274400.000
05/30/2012	9.10	9.10	8.94	9.03	7288079	65586360.000
05/31/2012	8.98	9.08	8.89	9.02	6310031	56897208.000
06/01/2012	9.00	9.09	8.91	8.96	5001371	44994544.000
06/04/2012	9.28	9.35	9.00	9.01	14693104	134628480.000
06/05/2012	8.91	8.97	8.72	8.82	8199474	72218856.000
06/06/2012	8.80	9.27	8.80	9.06	16336773	148664672.000
06/07/2012	9.16	9.16	8.89	8.91	7973071	71901560.000
06/08/2012	8.85	8.85	8.68	8.72	7763798	67816848.000
06/11/2012	8.73	8.85	8.73	8.82	4149961	36500200.000
06/12/2012	8.78	8.78	8.63	8.66	4638858	40328032.000
06/13/2012	8.70	8.79	8.65	8.75	5860531	51017084.000
06/14/2012	8.75	8.78	8.65	8.67	5345175	46602108.000
06/15/2012	8.75	8.75	8.56	8.69	4821224	41721080.000
06/18/2012	8.72	8.79	8.68	8.74	4158652	36325488.000
06/19/2012	8.71	8.72	8.58	8.61	4576292	39503580.000
06/20/2012	8.63	8.65	8.51	8.55	3409097	29221552.000
06/21/2012	8.37	8.44	8.25	8.29	4976301	41355480.000
06/25/2012	8.24	8.24	8.01	8.06	4537475	36741840.000
06/26/2012	8.30	8.53	8.30	8.38	12113077	101986336.000
06/27/2012	8.30	8.30	8.11	8.14	6775387	55357744.000
06/28/2012	8.15	8.17	7.88	7.89	5318393	42735756.000
06/29/2012	7.77	8.00	7.68	8.00	5403809	42487596.000
07/02/2012	8.18	8.20	8.01	8.04	4254545	34496484.000
07/03/2012	8.01	8.13	7.94	8.06	3735998	30013862.000
07/04/2012	8.12	8.17	8.01	8.02	3409699	27540142.000
07/05/2012	7.97	7.99	7.75	7.79	3821381	29910708.000
07/06/2012	7.90	8.03	7.79	8.01	4807564	37980280.000
07/09/2012	7.88	7.94	7.79	7.79	3929127	30895724.000
07/10/2012	7.77	7.86	7.62	7.65	3192856	24555114.000
07/11/2012	7.64	7.80	7.58	7.74	2385485	18404350.000
07/12/2012	7.73	7.98	7.61	7.95	6202979	48716760.000
07/13/2012	7.90	7.98	7.85	7.86	3374000	26681636.000
07/16/2012	7.89	7.96	7.60	7.65	3901385	30361964.000
07/17/2012	7.64	7.87	7.64	7.86	4701404	36714900.000
07/18/2012	7.83	8.00	7.68	7.98	5167055	40420592.000
07/19/2012	7.93	8.11	7.88	8.02	7546494	60626640.000
07/20/2012	8.02	8.09	7.92	7.95	4165977	33308778.000
07/23/2012	7.88	7.94	7.77	7.83	3020538	23672422.000
07/24/2012	7.79	7.93	7.75	7.87	3638232	28612908.000
07/25/2012	7.88	7.92	7.79	7.81	3258174	25614352.000
07/26/2012	7.90	8.47	7.88	8.12	15525515	126899592.000
07/27/2012	8.16	8.25	8.03	8.21	8817445	71906064.000
07/30/2012	8.24	8.24	7.80	7.86	7907983	63285648.000
07/31/2012	7.86	8.00	7.78	7.90	4907068	38767100.000
08/01/2012	7.90	8.11	7.80	8.05	6900006	54961908.000
08/02/2012	7.96	7.99	7.74	7.78	6023878	47166056.000
08/03/2012	7.80	7.88	7.70	7.85	4036453	31500856.000
08/06/2012	7.90	8.09	7.86	8.09	7092585	56817972.000
08/07/2012	8.09	8.44	8.07	8.24	12769822	105728544.000
08/08/2012	8.17	8.35	8.11	8.21	7758282	63873628.000
08/09/2012	8.14	8.30	8.12	8.27	6107984	50206416.000
08/10/2012	8.29	8.29	8.10	8.18	5048490	41232552.000
08/13/2012	8.15	8.35	8.12	8.14	7382316	60872996.000
08/14/2012	7.98	8.05	7.75	7.99	8421515	66420824.000
08/15/2012	7.97	7.97	7.81	7.84	3257950	25597116.000
08/16/2012	7.86	7.90	7.82	7.85	2253119	17707896.000
08/17/2012	7.92	7.95	7.82	7.90	3056194	24095816.000
08/20/2012	7.85	7.90	7.73	7.84	2737558	21369892.000
