600321 国栋建设 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/05/2012	1.95	1.97	1.87	1.87	1169056	4607525.000
01/06/2012	1.85	1.87	1.72	1.80	3101550	11343188.000
01/09/2012	1.79	1.88	1.76	1.87	2186904	8249164.000
01/10/2012	1.87	1.97	1.87	1.97	3427664	13511616.000
01/11/2012	1.97	2.01	1.96	1.98	3474430	14069294.000
01/12/2012	1.98	2.05	1.97	1.99	4149219	17061538.000
01/13/2012	2.01	2.02	1.88	1.90	2904349	11514269.000
01/16/2012	1.90	1.94	1.84	1.84	1050800	4083205.000
01/17/2012	1.80	1.95	1.80	1.95	2000332	7789127.000
01/18/2012	1.95	1.99	1.92	1.94	1395390	5559465.000
01/19/2012	1.91	1.96	1.88	1.92	1371641	5418069.000
01/20/2012	1.92	1.97	1.90	1.97	1480989	5908374.000
01/30/2012	1.98	1.99	1.95	1.95	818820	3285800.000
01/31/2012	1.95	1.95	1.92	1.95	725444	2877984.000
02/01/2012	1.93	1.96	1.92	1.92	750191	2973158.000
02/02/2012	1.91	1.95	1.91	1.95	671477	2668978.000
02/03/2012	1.99	2.02	1.95	1.99	1922613	7846334.000
02/06/2012	2.02	2.02	1.98	2.00	1722493	7070681.000
02/07/2012	2.00	2.00	1.96	1.97	941919	3810824.000
02/08/2012	1.96	2.02	1.95	2.01	2379464	9710366.000
02/09/2012	2.02	2.05	2.00	2.03	2563091	10652221.000
02/10/2012	2.04	2.10	2.03	2.05	2391025	10090452.000
02/13/2012	2.03	2.06	2.00	2.03	2751926	11428798.000
02/14/2012	2.04	2.10	2.03	2.08	3205566	13607591.000
02/15/2012	2.08	2.12	2.08	2.12	3020015	12997252.000
02/16/2012	2.12	2.20	2.09	2.14	5308882	23383200.000
02/17/2012	2.14	2.17	2.11	2.13	2675872	11700708.000
02/20/2012	2.15	2.17	2.13	2.14	2340731	10275179.000
02/21/2012	2.12	2.16	2.12	2.16	1733599	7575896.000
02/22/2012	2.15	2.34	2.15	2.31	7692195	35361460.000
02/23/2012	2.26	2.31	2.26	2.27	6795040	31681372.000
02/24/2012	2.26	2.29	2.23	2.28	3448310	15953796.000
02/27/2012	2.30	2.31	2.26	2.26	3393324	15817296.000
02/28/2012	2.25	2.25	2.20	2.23	3314342	15052265.000
02/29/2012	2.22	2.23	2.19	2.20	2028007	9150991.000
03/01/2012	2.20	2.22	2.17	2.21	1540730	6918679.000
03/02/2012	2.22	2.26	2.21	2.26	2240882	10243675.000
03/05/2012	2.26	2.29	2.25	2.27	2423549	11257439.000
03/06/2012	2.26	2.27	2.20	2.22	1641848	7452685.000
03/07/2012	2.21	2.30	2.18	2.29	3716642	17151470.000
03/08/2012	2.29	2.33	2.27	2.30	3862593	18187204.000
03/09/2012	2.29	2.33	2.26	2.30	2623695	12235241.000
03/12/2012	2.30	2.40	2.28	2.37	6259294	29988284.000
03/13/2012	2.36	2.43	2.35	2.40	6423945	31458778.000
03/14/2012	2.64	2.64	2.33	2.39	15691983	80775568.000
03/15/2012	2.35	2.36	2.20	2.21	7188245	33473796.000
03/16/2012	2.23	2.35	2.22	2.33	4634472	21690340.000
03/19/2012	2.33	2.50	2.31	2.46	6174893	30667916.000
03/20/2012	2.47	2.47	2.36	2.36	3564711	17460728.000
03/21/2012	2.38	2.42	2.29	2.34	3303545	15681969.000
03/22/2012	2.38	2.38	2.31	2.33	1723279	8207666.000
03/23/2012	2.34	2.39	2.29	2.32	2443562	11671837.000
03/26/2012	2.32	2.36	2.30	2.35	1882467	8967308.000
03/27/2012	2.37	2.41	2.33	2.34	2421626	11750377.000
03/28/2012	2.34	2.34	2.19	2.23	2970690	13641157.000
03/29/2012	2.21	2.22	2.11	2.14	2254424	9950522.000
03/30/2012	2.15	2.21	2.05	2.14	1529430	6707492.000
04/05/2012	2.15	2.20	2.10	2.18	1959421	8640027.000
04/06/2012	2.21	2.24	2.17	2.23	1272313	5761402.000
04/09/2012	2.22	2.23	2.18	2.18	735721	3300261.000
04/10/2012	2.18	2.19	2.12	2.19	1240101	5465351.000
04/11/2012	2.17	2.25	2.14	2.24	1783813	8052552.000
04/12/2012	2.25	2.28	2.22	2.27	1402570	6460567.000
04/13/2012	2.27	2.32	2.26	2.29	2176830	10194621.000
04/16/2012	2.28	2.38	2.28	2.36	3070733	14731282.000
04/17/2012	2.39	2.39	2.32	2.32	2299611	10952804.000
04/18/2012	2.36	2.43	2.34	2.42	5547709	27217320.000
04/19/2012	2.41	2.44	2.39	2.39	2877922	14113539.000
04/20/2012	2.64	2.64	2.64	2.64	11140970	59827008.000
04/23/2012	2.84	2.91	2.71	2.86	43567031	249014848.000
04/24/2012	2.78	2.85	2.66	2.80	19287815	108045840.000
04/25/2012	2.79	3.08	2.75	2.98	30445468	183061168.000
04/26/2012	2.94	3.07	2.90	3.04	14657685	88837408.000
04/27/2012	3.00	3.12	2.92	3.00	16011647	97532624.000
05/02/2012	3.08	3.08	2.83	2.91	19239645	113903840.000
05/03/2012	2.89	2.98	2.86	2.95	9921601	58764008.000
05/04/2012	2.94	3.13	2.90	3.02	17785866	109268560.000
05/07/2012	3.08	3.08	2.94	3.02	12779502	77728016.000
05/08/2012	3.01	3.04	2.94	2.99	11381972	68964968.000
05/09/2012	2.96	3.08	2.95	2.96	12227036	74766800.000
05/10/2012	2.97	3.02	2.95	2.98	6702167	40435076.000
05/11/2012	2.98	3.03	2.97	3.02	7650314	46661448.000
05/14/2012	3.02	3.04	2.94	2.94	9117203	55292136.000
05/16/2012	2.96	2.98	2.81	2.82	11986298	70002736.000
05/17/2012	2.82	2.87	2.79	2.85	6089903	35154812.000
05/18/2012	2.83	2.85	2.77	2.77	4167610	23848692.000
05/21/2012	2.76	2.85	2.76	2.82	2720499	15547572.000
05/22/2012	2.82	2.87	2.82	2.86	3461040	20074572.000
05/23/2012	2.86	2.86	2.77	2.84	3773356	21604978.000
05/24/2012	2.83	2.84	2.78	2.80	2796064	15933922.000
05/25/2012	2.78	2.82	2.75	2.76	2335340	13234587.000
05/28/2012	2.68	2.83	2.68	2.83	5815566	32705062.000
05/29/2012	2.82	2.90	2.81	2.88	8537863	49818272.000
05/30/2012	2.86	2.87	2.83	2.84	5135922	29736944.000
05/31/2012	2.83	2.87	2.81	2.85	3718349	21573612.000
06/01/2012	2.84	2.89	2.79	2.81	6072807	35027052.000
06/04/2012	2.72	2.74	2.55	2.57	11679684	62993344.000
06/05/2012	2.59	2.61	2.53	2.55	5354622	27983460.000
06/06/2012	2.56	2.57	2.49	2.51	5671407	29232420.000
06/07/2012	2.55	2.57	2.50	2.53	4746452	24542900.000
06/08/2012	2.55	2.56	2.50	2.54	3447619	17795424.000
06/11/2012	2.54	2.59	2.51	2.57	4040883	21001260.000
06/12/2012	2.55	2.55	2.52	2.53	3060038	15791206.000
06/13/2012	2.55	2.58	2.53	2.58	4855319	25322772.000
06/14/2012	2.57	2.62	2.56	2.59	4763902	25140668.000
06/15/2012	2.60	2.60	2.53	2.59	5380373	28160720.000
06/18/2012	2.61	2.66	2.59	2.62	5937858	31750412.000
06/19/2012	2.62	2.70	2.61	2.67	7031085	38203132.000
06/20/2012	2.69	2.74	2.67	2.73	8621276	47519720.000
06/21/2012	2.74	2.76	2.62	2.63	11861984	64728220.000
06/25/2012	2.65	2.67	2.54	2.56	6804691	36222892.000
06/26/2012	2.56	2.65	2.52	2.65	5394365	28400304.000
06/27/2012	2.64	2.65	2.52	2.53	7917223	41591836.000
06/28/2012	2.55	2.58	2.35	2.35	10729888	26835502.000
06/29/2012	2.29	2.35	2.26	2.33	14073754	33248424.000
07/02/2012	2.35	2.36	2.25	2.28	12667645	29760170.000
07/03/2012	2.28	2.51	2.27	2.39	24129948	59224864.000
07/04/2012	2.37	2.48	2.36	2.42	14179006	35056276.000
07/05/2012	2.40	2.41	2.31	2.35	10194817	24459816.000
07/06/2012	2.36	2.46	2.27	2.44	14484137	35245228.000
07/09/2012	2.39	2.44	2.32	2.34	11719658	28472284.000
07/10/2012	2.33	2.36	2.30	2.32	6124411	14546084.000
07/11/2012	2.32	2.35	2.31	2.33	5472422	13019424.000
07/12/2012	2.33	2.37	2.27	2.35	10050452	23862674.000
07/13/2012	2.34	2.38	2.33	2.35	6340599	15251694.000
07/16/2012	2.36	2.36	2.23	2.25	10534946	24523596.000
07/17/2012	2.23	2.28	2.22	2.26	6720043	15412138.000
07/18/2012	2.26	2.43	2.22	2.37	16613875	39547912.000
07/19/2012	2.35	2.39	2.30	2.36	13640475	32833460.000
07/20/2012	2.36	2.36	2.28	2.29	8506819	20209074.000
07/23/2012	2.29	2.31	2.25	2.28	8220821	19117772.000
07/24/2012	2.27	2.31	2.26	2.28	6015363	14050707.000
07/25/2012	2.27	2.28	2.24	2.25	7176800	16591978.000
07/26/2012	2.24	2.27	2.22	2.22	8341195	19128876.000
07/27/2012	2.23	2.24	2.18	2.18	7909826	17853804.000
