600331 宏达股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	8.43	8.48	8.06	8.08	5793215	48230964.000
01/05/2012	8.10	8.16	7.73	7.78	6475053	51478524.000
01/06/2012	7.68	7.94	7.62	7.91	4517594	35087452.000
01/09/2012	8.01	8.35	7.87	8.34	10620187	86977464.000
01/10/2012	8.34	9.17	8.31	9.17	25558902	225001920.000
01/11/2012	9.27	9.27	8.92	9.00	18145405	163932032.000
01/12/2012	9.00	9.40	8.95	9.17	22033531	202487984.000
01/13/2012	9.08	9.26	8.64	8.98	15048924	135256864.000
01/16/2012	8.86	8.99	8.60	8.61	8483627	74447512.000
01/17/2012	8.70	9.47	8.67	9.47	27852900	257973216.000
01/18/2012	9.65	9.77	9.16	9.21	33348648	317650624.000
01/19/2012	9.10	9.49	9.07	9.34	16515355	153691600.000
01/20/2012	9.42	9.48	9.20	9.37	11963444	111674648.000
01/30/2012	9.56	9.56	9.20	9.23	10358023	97199024.000
01/31/2012	9.22	9.30	9.03	9.23	7496681	68750680.000
02/01/2012	9.25	9.26	8.80	8.85	11218662	101169696.000
02/02/2012	8.90	9.08	8.78	9.07	12138852	108672328.000
02/03/2012	9.01	9.21	8.98	9.18	13538850	123387472.000
02/06/2012	9.24	9.34	9.04	9.12	11076167	101705736.000
02/07/2012	9.03	9.33	8.80	9.24	15392256	139409152.000
02/08/2012	9.13	9.83	9.08	9.66	28249072	268164352.000
02/09/2012	9.55	9.74	9.45	9.58	23592447	225875872.000
02/10/2012	9.56	9.82	9.50	9.59	18241459	176171472.000
02/13/2012	9.44	9.73	9.36	9.58	13221410	126221744.000
02/14/2012	9.58	9.65	9.46	9.57	10391938	99202312.000
02/15/2012	9.55	9.86	9.49	9.76	21225236	206748640.000
02/16/2012	9.76	10.17	9.68	9.95	28107061	280372864.000
02/17/2012	10.03	10.07	9.75	9.84	13391393	132208896.000
02/20/2012	10.01	10.14	9.77	9.81	16378478	163178272.000
02/21/2012	9.81	9.91	9.54	9.90	13515616	131621856.000
02/22/2012	9.90	10.07	9.85	10.00	17400743	173326784.000
02/23/2012	10.03	10.13	9.91	10.00	16308373	163249664.000
02/24/2012	10.00	10.24	9.89	10.19	23746598	239457792.000
