600355 精伦电子 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	2.06	2.08	2.01	2.01	698401	2858178.000
01/05/2012	1.99	2.02	1.96	1.97	774452	3073629.000
01/06/2012	1.94	1.98	1.90	1.97	1188915	4581791.000
01/09/2012	1.98	2.07	1.94	2.06	1060655	4302338.000
01/10/2012	2.06	2.16	2.04	2.15	2078600	8768007.000
01/11/2012	2.15	2.17	2.11	2.15	1172587	5013434.000
01/12/2012	2.15	2.17	2.11	2.15	896354	3847231.000
01/13/2012	2.14	2.15	2.05	2.06	1137548	4736641.000
01/16/2012	2.05	2.07	2.00	2.00	452500	1843698.000
01/17/2012	2.03	2.10	2.00	2.10	793360	3294649.000
01/18/2012	2.11	2.15	2.09	2.10	1012325	4282200.000
01/19/2012	2.12	2.20	2.10	2.20	4111887	18041778.000
01/20/2012	2.20	2.21	2.15	2.18	3658006	15894745.000
01/30/2012	2.18	2.21	2.16	2.18	1637730	7153107.000
01/31/2012	2.16	2.26	2.16	2.25	2979314	13223916.000
02/01/2012	2.27	2.28	2.19	2.21	2726226	12150999.000
02/02/2012	2.20	2.23	2.17	2.22	1952983	8607915.000
02/03/2012	2.21	2.29	2.19	2.28	3514916	15868587.000
02/06/2012	2.29	2.31	2.28	2.30	2643547	12116947.000
02/07/2012	2.30	2.32	2.22	2.26	2406837	10847500.000
02/08/2012	2.27	2.30	2.23	2.30	2072710	9395503.000
02/09/2012	2.29	2.31	2.27	2.29	2733404	12535625.000
02/10/2012	2.29	2.32	2.27	2.31	2338786	10766305.000
02/13/2012	2.29	2.39	2.28	2.37	3745882	17621032.000
02/14/2012	2.38	2.42	2.35	2.42	4050147	19313932.000
02/15/2012	2.42	2.51	2.39	2.48	4689869	23143924.000
02/16/2012	2.46	2.50	2.41	2.44	3910626	19174624.000
02/17/2012	2.46	2.47	2.40	2.43	2501537	12154843.000
02/20/2012	2.46	2.55	2.45	2.52	6027700	30343946.000
02/21/2012	2.50	2.53	2.40	2.52	3601456	17847968.000
02/22/2012	2.49	2.55	2.45	2.54	3013658	15178652.000
02/23/2012	2.53	2.56	2.48	2.50	2965803	14921444.000
02/24/2012	2.50	2.56	2.48	2.55	2870096	14564495.000
02/27/2012	2.55	2.58	2.53	2.54	3498458	17861064.000
02/28/2012	2.51	2.56	2.50	2.53	2716181	13728503.000
