600359 新农开发 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.25	7.34	7.05	7.11	6204680	44581232.000
01/05/2012	7.00	7.05	6.40	6.40	5207805	34971672.000
01/06/2012	6.31	6.75	6.07	6.70	4598610	29309992.000
01/09/2012	6.65	6.99	6.46	6.98	4819692	32854648.000
01/10/2012	7.03	7.68	7.03	7.68	6409215	48640544.000
01/11/2012	7.90	8.45	7.80	8.30	19285481	158930336.000
01/12/2012	8.09	8.27	7.97	8.17	9469588	76882432.000
01/13/2012	8.11	8.29	7.67	7.87	8317603	66343832.000
01/16/2012	7.63	8.11	7.63	7.78	5011086	39665228.000
01/17/2012	7.75	8.29	7.46	8.28	9190227	73356016.000
01/18/2012	8.25	8.30	7.79	7.90	7695860	62039864.000
01/19/2012	7.81	8.05	7.66	7.83	4184386	32793844.000
01/20/2012	7.90	8.25	7.90	8.05	6881226	55582976.000
01/30/2012	8.08	8.12	7.80	7.82	4072682	32221358.000
01/31/2012	7.82	7.82	7.28	7.59	5910373	44096836.000
02/01/2012	7.51	7.73	7.40	7.47	4690838	35448800.000
02/02/2012	7.63	8.22	7.62	8.22	7033058	57224004.000
02/03/2012	8.70	8.71	8.24	8.44	18066499	152641200.000
02/06/2012	8.36	8.58	8.25	8.54	11125934	93103312.000
02/07/2012	8.41	8.42	8.17	8.23	6392682	52922028.000
02/08/2012	8.23	8.45	8.13	8.41	7786306	64796308.000
02/09/2012	8.40	8.66	8.30	8.54	11157208	94577080.000
02/10/2012	8.44	9.27	8.31	9.01	17004662	150296080.000
02/13/2012	8.73	8.97	8.67	8.94	10141324	89720256.000
02/14/2012	8.94	8.95	8.69	8.78	5384537	47302400.000
02/15/2012	8.78	8.92	8.66	8.91	6770957	59705712.000
02/16/2012	8.90	9.05	8.70	8.80	8919204	79497656.000
02/17/2012	8.76	8.84	8.50	8.63	4886290	42288772.000
02/20/2012	8.81	8.90	8.67	8.73	4997198	43835184.000
02/21/2012	8.85	8.98	8.60	8.85	6138152	54159448.000
02/22/2012	8.76	8.96	8.71	8.94	7606531	67447704.000
02/23/2012	8.90	9.07	8.81	8.97	7630583	68211632.000
02/24/2012	8.97	9.00	8.80	8.99	7981937	71176920.000
02/27/2012	8.93	9.27	8.93	8.99	11378208	103749152.000
02/28/2012	9.00	9.69	8.95	9.46	18656432	173752960.000
02/29/2012	9.44	9.44	9.10	9.12	9688265	89458016.000
03/01/2012	9.08	9.49	9.03	9.45	9058252	84219144.000
03/02/2012	9.43	9.86	9.36	9.76	14051530	135195568.000
03/05/2012	9.80	10.16	9.65	10.00	13982156	138068288.000
03/06/2012	10.18	10.58	9.72	9.86	16542916	167659248.000
03/07/2012	9.66	9.86	9.38	9.57	8094199	77735592.000
03/08/2012	9.51	9.70	9.51	9.64	5851229	56243204.000
03/09/2012	9.71	9.97	9.70	9.81	5807867	56942776.000
03/12/2012	9.81	9.81	9.57	9.66	6022315	58018192.000
03/13/2012	9.66	9.70	9.47	9.63	5555354	53101980.000
