600362 江西铜业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	20.40	20.72	19.75	19.77	8707593	192523232.000
01/05/2012	19.72	19.94	19.37	19.42	5890376	126023864.000
01/06/2012	19.40	19.87	19.08	19.79	6029240	128002024.000
01/09/2012	19.86	20.96	19.52	20.93	14595674	326114784.000
01/10/2012	20.94	22.30	20.80	22.16	22050618	515798048.000
01/11/2012	22.17	22.24	21.60	21.95	16025061	379989056.000
01/12/2012	21.82	22.50	21.65	22.04	17891563	427241952.000
01/13/2012	22.20	22.53	21.25	21.64	17047461	402785344.000
01/16/2012	21.45	21.68	20.80	20.81	9553257	219772256.000
01/17/2012	20.95	23.07	20.85	23.07	27173946	658076416.000
01/18/2012	23.42	24.66	23.04	23.25	42241386	1081042432.000
01/19/2012	23.22	24.40	22.86	23.82	23208615	594991104.000
01/20/2012	24.10	24.36	23.70	24.16	17113603	442870880.000
01/30/2012	24.50	24.58	23.81	23.90	16412616	426371840.000
01/31/2012	23.91	24.05	23.35	23.64	9388549	238480256.000
02/01/2012	23.57	23.68	22.55	22.67	11748507	292281504.000
02/02/2012	22.80	23.68	22.70	23.65	12376795	308104032.000
02/03/2012	23.45	23.79	23.25	23.64	12707165	321716544.000
02/06/2012	23.96	24.09	23.20	23.39	12655306	322498400.000
02/07/2012	23.18	23.18	22.68	23.00	10377432	256013760.000
02/08/2012	22.95	25.48	22.92	25.48	51615074	1377370496.000
02/09/2012	25.40	25.51	24.77	24.94	33658406	906639808.000
02/10/2012	25.05	25.78	24.51	24.88	27598862	745072384.000
02/13/2012	24.20	25.09	24.10	24.68	20483939	540060480.000
02/14/2012	24.50	24.67	24.20	24.56	12313870	323256288.000
02/15/2012	24.43	25.55	24.43	24.98	24762427	665589312.000
02/16/2012	24.70	24.98	24.46	24.70	13851066	367158816.000
02/17/2012	24.85	25.15	24.35	24.69	10619340	281990048.000
02/20/2012	25.14	25.21	24.62	24.70	16795038	448197120.000
02/21/2012	24.62	25.05	24.20	25.04	16994613	448809024.000
02/22/2012	25.19	25.60	24.86	25.19	18283485	492131072.000
02/23/2012	25.10	25.58	25.02	25.22	21672750	587092672.000
02/24/2012	25.22	25.60	25.08	25.49	22844887	621530688.000
02/27/2012	25.72	26.29	25.51	25.53	29271692	810668224.000
02/28/2012	25.45	25.52	25.05	25.33	17847305	483255904.000
02/29/2012	25.23	25.78	25.03	25.18	18018140	490814624.000
03/01/2012	24.88	25.15	24.80	24.98	12228581	327544928.000
03/02/2012	25.05	25.65	25.05	25.51	15646941	426210944.000
03/05/2012	25.56	25.86	25.35	25.48	15984554	436913728.000
03/06/2012	25.27	25.38	24.60	24.63	19044700	506867264.000
03/07/2012	24.00	24.27	23.71	23.81	20880054	539492288.000
03/08/2012	23.91	24.57	23.80	24.29	14942171	388191104.000
03/09/2012	24.45	24.85	24.20	24.73	14723956	389046272.000
03/12/2012	24.90	25.20	24.71	24.94	16342918	437047840.000
03/13/2012	24.95	25.18	24.48	25.16	13025089	347040192.000
03/14/2012	25.40	25.70	23.88	24.10	27771996	737965248.000
03/15/2012	24.05	24.10	23.41	23.61	15276586	389997216.000
03/16/2012	23.85	24.12	23.45	24.08	12596249	323145152.000
03/19/2012	24.09	24.90	23.70	24.85	18540327	484690464.000
03/20/2012	24.73	24.78	24.10	24.15	12410481	324631616.000
03/21/2012	24.08	25.49	24.08	24.65	25545104	680471680.000
03/22/2012	24.64	24.64	24.01	24.09	11359339	295207744.000
03/23/2012	23.90	24.08	23.63	23.75	9418252	241063648.000
03/26/2012	23.77	24.48	23.77	24.06	8432469	217848624.000
03/27/2012	24.44	24.58	24.10	24.33	11011425	287660736.000
03/28/2012	24.05	24.05	22.86	22.89	17178832	431975904.000
03/29/2012	22.79	22.79	22.01	22.05	10672375	256848688.000
03/30/2012	22.14	22.49	21.85	22.11	6798177	163073456.000
04/05/2012	22.00	22.85	21.85	22.75	10985946	266408896.000
04/06/2012	22.75	22.94	22.52	22.89	8612634	211503568.000
04/09/2012	22.78	22.81	22.45	22.55	7769081	189888672.000
04/10/2012	22.49	22.81	22.00	22.79	8222570	199172480.000
04/11/2012	22.22	22.78	22.22	22.57	6361151	154842800.000
04/12/2012	22.60	23.27	22.60	23.19	12517526	310713152.000
04/13/2012	23.30	23.70	23.20	23.36	11427642	288711392.000
04/16/2012	23.07	23.30	22.91	23.03	6844149	170217472.000
04/17/2012	23.10	23.21	22.61	22.65	6617138	163164800.000
04/18/2012	22.89	23.58	22.89	23.50	12135016	304386624.000
04/19/2012	23.40	23.70	23.20	23.55	10610495	267903728.000
04/20/2012	23.44	23.85	23.25	23.80	9716430	247668256.000
04/23/2012	23.65	23.93	23.45	23.46	10648828	271380352.000
04/24/2012	23.39	23.65	22.86	23.35	9561604	239463536.000
04/25/2012	23.35	23.80	23.16	23.79	12010066	304217760.000
04/26/2012	23.86	24.49	23.86	24.21	17457591	455604448.000
