600371 万向德农 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	13.58	14.90	13.35	14.26	14403014	277242592.000
01/05/2012	14.02	14.30	12.79	12.79	11406747	208697968.000
01/06/2012	12.26	12.41	11.61	12.39	9159461	150160480.000
01/09/2012	12.15	13.20	12.07	12.88	8790176	152872496.000
01/10/2012	13.43	14.02	13.22	13.68	13417048	247552192.000
01/11/2012	13.39	14.99	13.21	14.74	15892861	304091744.000
01/12/2012	14.46	14.69	14.18	14.36	10334980	202519472.000
01/13/2012	14.40	14.97	13.05	13.24	14765659	278550016.000
01/16/2012	13.05	13.80	12.73	13.40	9645230	176231056.000
01/17/2012	13.35	14.37	12.63	14.16	12610148	233187360.000
01/18/2012	13.99	14.17	13.21	13.27	11224737	209572944.000
01/19/2012	13.13	13.27	12.59	12.81	8433451	148116320.000
01/20/2012	12.82	13.65	12.82	13.62	9729563	177750288.000
01/30/2012	13.74	13.84	12.90	13.27	10164396	184962880.000
01/31/2012	12.97	13.87	12.80	13.81	11354444	206799520.000
02/01/2012	13.64	14.33	13.55	13.80	13885851	264350304.000
02/02/2012	14.11	14.46	13.32	13.76	18127559	342628576.000
02/03/2012	13.58	13.80	13.43	13.62	8885750	164689568.000
02/06/2012	13.69	13.96	13.34	13.93	11352940	209984352.000
02/07/2012	13.73	14.30	13.66	14.19	16258521	310558432.000
02/08/2012	14.11	14.34	13.78	14.25	13078992	250773392.000
02/09/2012	14.11	14.68	14.00	14.11	14399765	280928096.000
02/10/2012	13.96	15.56	13.77	15.56	26800631	547177472.000
02/13/2012	15.39	16.08	15.28	15.87	18762101	398640160.000
02/14/2012	15.89	15.89	15.40	15.64	8762748	185755408.000
02/15/2012	15.62	16.02	15.32	15.55	12295688	260088096.000
02/16/2012	15.46	16.14	15.33	15.38	14092202	299997056.000
02/17/2012	15.37	15.52	14.98	15.14	10250107	211038768.000
02/20/2012	15.28	15.74	15.13	15.43	10013308	210007088.000
02/21/2012	15.28	15.61	14.52	15.40	10327269	213128704.000
02/22/2012	15.38	15.62	15.13	15.57	10295017	215853072.000
02/23/2012	15.50	15.76	15.24	15.28	9980468	208951536.000
02/24/2012	15.09	15.36	15.05	15.24	8710459	179870704.000
02/27/2012	15.18	16.75	15.05	15.84	18953443	410915200.000
02/28/2012	15.85	16.74	15.66	16.46	16780446	368434048.000
02/29/2012	16.47	16.53	15.70	15.77	10216040	221620176.000
03/01/2012	15.59	16.00	15.55	15.98	6109377	130878240.000
03/02/2012	15.88	16.70	15.88	16.37	11042240	245107808.000
03/05/2012	16.40	16.87	16.02	16.68	12667698	282132000.000
03/06/2012	16.67	16.85	16.19	16.21	8914421	199365184.000
03/07/2012	15.96	16.20	15.52	15.57	9257230	198933344.000
03/08/2012	15.56	15.80	15.52	15.74	6452203	137118208.000
03/09/2012	15.80	16.14	15.71	15.90	6421188	138277376.000
03/12/2012	15.91	15.99	15.49	15.69	6875543	146080608.000
03/13/2012	15.49	15.88	15.49	15.77	5790661	123518832.000
