600386 北巴传媒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.46	6.57	6.03	6.07	7081615	52011100.000
01/05/2012	5.95	6.16	5.83	5.97	5422487	37878888.000
01/06/2012	5.97	6.15	5.79	6.14	5061103	35378032.000
01/09/2012	6.10	6.46	6.01	6.45	6511225	47576424.000
01/10/2012	6.41	6.86	6.36	6.73	12230557	93761536.000
01/11/2012	6.73	7.20	6.56	6.82	12741498	100909216.000
01/12/2012	6.69	6.96	6.66	6.80	7386239	57851708.000
01/13/2012	6.79	6.89	6.28	6.29	8318000	62579000.000
01/16/2012	6.21	6.28	6.05	6.06	3741528	26722028.000
01/17/2012	6.06	6.62	6.06	6.55	5719390	42277552.000
01/18/2012	6.56	6.78	6.28	6.31	7154085	54036708.000
01/19/2012	6.32	6.38	6.06	6.25	4820193	34918076.000
01/20/2012	6.26	6.57	6.26	6.52	6937454	51717896.000
01/30/2012	6.51	6.90	6.45	6.79	10016393	76997400.000
01/31/2012	6.71	7.15	6.66	7.09	17057646	135609504.000
02/01/2012	6.95	7.01	6.76	6.85	11182160	88184584.000
02/02/2012	6.84	7.15	6.80	7.08	11834527	94698808.000
02/03/2012	7.00	7.18	6.94	7.01	11467123	92418808.000
02/06/2012	6.97	7.03	6.80	6.88	7516755	59549324.000
02/07/2012	6.85	6.98	6.71	6.78	8518419	66830512.000
02/08/2012	6.76	7.15	6.69	7.13	11536223	91955928.000
02/09/2012	7.09	7.25	7.02	7.08	15198436	123702800.000
02/10/2012	7.03	7.29	6.99	7.11	10822299	88081896.000
02/13/2012	7.02	7.33	6.98	7.25	11637649	95348000.000
02/14/2012	7.20	7.29	7.11	7.18	10182676	83699768.000
02/15/2012	7.20	7.43	7.11	7.30	11291059	93358992.000
02/16/2012	7.22	7.46	7.14	7.26	10630371	88222800.000
02/17/2012	7.29	7.30	7.08	7.14	5258065	42898756.000
02/20/2012	7.25	7.26	7.13	7.14	6022616	49350232.000
02/21/2012	7.23	7.37	7.05	7.36	14068932	115666136.000
02/22/2012	7.31	7.62	7.22	7.52	17805679	150083760.000
02/23/2012	7.46	7.59	7.36	7.44	10803567	91499752.000
02/24/2012	7.47	7.74	7.43	7.60	13870854	119597928.000
02/27/2012	7.67	7.82	7.57	7.58	11548167	100258384.000
02/28/2012	7.53	7.66	7.45	7.56	8315733	71279912.000
02/29/2012	7.64	7.88	7.46	7.47	11821709	102695600.000
03/01/2012	7.37	7.55	7.30	7.42	6629094	55755160.000
03/02/2012	7.45	7.64	7.42	7.60	5161514	44142128.000
03/05/2012	7.72	7.73	7.53	7.56	5909636	50852888.000
03/06/2012	7.54	7.61	7.37	7.40	5876268	49768328.000
03/07/2012	7.30	7.45	7.25	7.29	5808380	48402512.000
03/08/2012	7.32	8.12	7.32	8.12	25405659	225065120.000
03/09/2012	8.12	8.35	8.03	8.08	28657782	262422368.000
03/12/2012	8.09	8.25	7.96	8.11	13386932	121856128.000
03/13/2012	8.08	8.15	7.96	8.10	10885823	98677960.000
03/14/2012	8.16	8.16	7.50	7.55	15676646	139024960.000
03/15/2012	7.52	7.64	7.15	7.59	9551058	80526664.000
03/16/2012	7.54	8.45	7.43	8.45	20013821	181621520.000
03/19/2012	8.52	9.35	8.43	9.21	31369877	309992544.000
03/20/2012	9.00	9.18	8.70	8.87	32198854	319107264.000
03/21/2012	8.83	9.09	8.67	8.96	25839538	254859328.000
03/22/2012	8.85	8.93	8.51	8.74	11280917	109132352.000
03/23/2012	8.70	8.90	8.40	8.45	11792618	114159256.000
03/26/2012	8.41	9.19	8.40	8.64	8820487	85432464.000
03/27/2012	8.71	9.15	8.55	8.84	15662372	154952320.000
03/28/2012	8.70	8.96	8.19	8.36	14502504	137972736.000
03/29/2012	8.30	8.89	8.12	8.66	20728379	198441728.000
