600389 江山股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.82	3.92	3.73	3.73	987702	6645421.000
01/05/2012	3.69	3.79	3.56	3.73	462801	3004812.000
01/06/2012	3.73	3.85	3.63	3.84	455182	3001885.000
01/09/2012	3.85	4.15	3.75	4.03	1590106	10787398.000
01/10/2012	4.01	4.13	3.94	4.11	1586378	11191380.000
01/11/2012	4.09	4.12	3.99	4.05	1336248	9413539.000
01/12/2012	4.06	4.11	4.01	4.05	755868	5332970.000
01/13/2012	4.02	4.07	3.79	3.87	648563	4446824.000
01/16/2012	3.85	3.85	3.69	3.70	387750	2566626.000
01/17/2012	3.74	3.98	3.65	3.95	760117	5112791.000
01/18/2012	3.95	4.04	3.84	3.89	1017329	7020951.000
01/19/2012	3.79	3.95	3.79	3.87	499468	3400115.000
01/20/2012	3.89	3.97	3.87	3.93	533816	3660911.000
01/30/2012	3.99	4.13	3.91	4.06	1032541	7313531.000
01/31/2012	4.04	4.08	3.97	4.03	452436	3164081.000
02/01/2012	4.05	4.05	3.88	3.93	787153	5425912.000
02/02/2012	3.89	4.01	3.89	4.01	538852	3733454.000
02/03/2012	3.99	4.17	3.96	4.12	1437081	10219945.000
02/06/2012	4.09	4.51	4.07	4.42	3717380	28053182.000
02/07/2012	4.35	4.53	4.22	4.42	2565022	19378480.000
02/08/2012	4.36	4.46	4.27	4.44	1794202	13526117.000
02/09/2012	4.37	4.45	4.37	4.40	1155207	8773612.000
02/10/2012	4.40	4.46	4.37	4.40	1317426	10000619.000
02/13/2012	4.40	4.49	4.31	4.48	1911815	14468931.000
02/14/2012	4.45	4.52	4.37	4.42	981137	7458629.000
02/15/2012	4.39	4.55	4.39	4.51	1342931	10338363.000
02/16/2012	4.51	4.55	4.41	4.46	1508940	11597223.000
02/17/2012	4.44	4.54	4.41	4.47	971498	7463557.000
02/20/2012	4.52	4.61	4.45	4.45	1007222	7790286.000
02/21/2012	4.45	4.67	4.39	4.65	2143517	16722562.000
02/22/2012	4.60	5.19	4.60	5.19	8926268	76295824.000
02/23/2012	5.20	5.41	5.20	5.33	7586228	67720856.000
02/24/2012	5.25	5.32	5.21	5.31	2791788	24732608.000
02/27/2012	5.31	5.39	5.21	5.21	4361889	38789204.000
02/28/2012	5.14	5.22	4.99	5.11	3228797	27770472.000
02/29/2012	5.09	5.15	4.93	5.06	2107749	17924112.000
03/01/2012	4.99	5.11	4.99	5.05	1408614	12051860.000
03/02/2012	5.06	5.27	5.04	5.22	3322956	29142704.000
03/05/2012	5.21	5.31	5.06	5.10	2610184	22724476.000
03/06/2012	5.10	5.12	4.98	5.09	1180160	10030935.000
03/07/2012	5.03	5.10	4.94	5.05	871144	7435940.000
03/08/2012	5.06	5.11	5.01	5.09	1602705	13723106.000
03/09/2012	5.12	5.12	5.04	5.09	1229679	10573728.000
03/12/2012	5.09	5.21	5.08	5.16	2001137	17356384.000
03/13/2012	5.14	5.18	5.03	5.17	1770687	15300444.000
03/14/2012	5.19	5.24	4.59	4.62	3950602	33030120.000
03/15/2012	4.62	4.65	4.45	4.47	2274655	17591594.000
03/16/2012	4.49	4.59	4.48	4.58	1652872	12844236.000
03/19/2012	4.59	4.67	4.55	4.67	1228606	9706072.000
03/21/2012	4.55	4.65	4.50	4.62	1322739	10342523.000
03/22/2012	4.63	4.65	4.54	4.61	751547	5914881.000
03/23/2012	4.63	4.64	4.45	4.49	1047960	8138289.000
03/26/2012	4.51	4.51	4.34	4.42	927307	7033473.000
03/27/2012	4.47	4.61	4.44	4.53	1407125	10948054.000
