600408 安泰集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.06	4.08	3.91	3.98	5960781	23798164.000
01/05/2012	3.91	3.96	3.86	3.86	3785325	14787707.000
01/06/2012	3.86	3.88	3.71	3.84	3925241	14843184.000
01/09/2012	3.82	4.22	3.79	4.22	27871472	116665216.000
01/10/2012	4.43	4.63	4.30	4.53	55958546	248985776.000
01/11/2012	4.50	4.61	4.41	4.48	38738721	174381360.000
01/12/2012	4.42	4.49	4.31	4.43	28123666	123670352.000
01/13/2012	4.39	4.45	4.25	4.28	19585940	84853352.000
01/16/2012	4.26	4.44	4.15	4.16	15703047	67386088.000
01/17/2012	4.15	4.52	4.10	4.45	24386759	105529960.000
01/18/2012	4.41	4.47	4.26	4.31	18230539	79609144.000
01/19/2012	4.30	4.39	4.26	4.35	11648692	50610588.000
01/20/2012	4.36	4.42	4.32	4.33	9934305	43206760.000
01/30/2012	4.36	4.39	4.28	4.29	7715434	33469320.000
01/31/2012	4.25	4.30	4.20	4.28	6156172	26200692.000
02/01/2012	4.26	4.29	4.19	4.21	6155790	26058346.000
02/02/2012	4.23	4.37	4.20	4.33	10933689	47002432.000
02/03/2012	4.30	4.36	4.26	4.35	11005563	47506352.000
02/06/2012	4.35	4.45	4.34	4.39	11465793	50270048.000
02/07/2012	4.34	4.38	4.23	4.33	8529221	36712208.000
02/08/2012	4.32	4.76	4.30	4.76	31094715	142959408.000
02/09/2012	4.73	4.90	4.63	4.74	49851288	237454544.000
02/10/2012	4.68	4.84	4.66	4.78	24658909	116728096.000
02/13/2012	4.71	4.83	4.69	4.77	15074421	71857008.000
02/14/2012	4.75	4.96	4.70	4.90	28768700	139528304.000
02/15/2012	4.85	4.94	4.81	4.91	22370211	109313040.000
02/16/2012	4.91	4.95	4.82	4.84	15718661	76633872.000
02/17/2012	4.83	4.90	4.74	4.77	12104410	57959744.000
02/20/2012	4.84	4.89	4.76	4.78	11261491	54392328.000
02/21/2012	4.78	4.89	4.74	4.89	19136887	92669000.000
02/22/2012	4.89	4.93	4.83	4.91	20186019	98514440.000
02/23/2012	4.90	5.15	4.84	5.06	34312438	170793616.000
02/24/2012	5.01	5.11	4.98	5.04	25591194	129173576.000
02/27/2012	5.06	5.15	4.99	5.00	20104640	102000864.000
02/28/2012	4.96	5.00	4.83	4.88	20885832	102118344.000
02/29/2012	4.88	4.95	4.81	4.83	13238478	64447772.000
03/01/2012	4.81	4.90	4.80	4.86	8735082	42421832.000
03/02/2012	4.86	5.04	4.86	4.96	15784963	78279688.000
03/05/2012	5.02	5.06	4.90	4.91	12060765	59795824.000
03/06/2012	4.90	4.91	4.79	4.80	11717735	56667900.000
03/07/2012	4.71	4.82	4.69	4.73	10179530	48403624.000
03/08/2012	4.76	4.86	4.75	4.81	8936423	42880524.000
03/09/2012	4.83	4.94	4.82	4.90	11624540	56851888.000
03/12/2012	4.90	4.93	4.82	4.87	10508134	51176952.000
03/13/2012	4.87	5.10	4.85	4.99	21845441	108714512.000
03/14/2012	5.00	5.00	4.60	4.65	24592225	119179624.000
03/15/2012	4.63	4.71	4.50	4.55	11127366	50901208.000
03/16/2012	4.55	4.65	4.52	4.64	8501440	39054932.000
03/19/2012	4.63	4.70	4.56	4.69	8887493	41250396.000
03/20/2012	4.72	4.83	4.64	4.65	13644600	64675572.000
03/21/2012	4.65	4.84	4.56	4.77	18911536	89716072.000
03/22/2012	4.76	4.76	4.64	4.68	9912219	46410128.000
03/23/2012	4.63	4.68	4.54	4.59	6737165	31053332.000
03/26/2012	4.60	4.61	4.51	4.56	5006503	22872990.000
03/27/2012	4.58	4.62	4.53	4.54	4732144	21645340.000
03/28/2012	4.54	4.54	4.22	4.27	9164116	39857296.000
03/29/2012	4.23	4.28	4.12	4.13	5471572	23023680.000
03/30/2012	4.13	4.18	4.08	4.13	4738316	19553174.000
04/06/2012	4.24	4.30	4.22	4.25	8272781	35250104.000
04/09/2012	4.20	4.27	4.18	4.18	4300838	18197894.000
04/10/2012	4.17	4.39	4.15	4.30	8230436	35223760.000
04/11/2012	4.24	4.33	4.22	4.27	5266808	22518668.000
04/12/2012	4.30	4.50	4.29	4.39	14101888	62215952.000
04/13/2012	4.45	4.50	4.38	4.44	12514647	55469940.000
04/16/2012	4.43	4.48	4.38	4.45	9974764	44176772.000
04/17/2012	4.43	4.48	4.35	4.36	7969919	35255760.000
04/18/2012	4.39	4.55	4.37	4.49	11165023	49899488.000
04/19/2012	4.47	4.55	4.45	4.50	7833135	35207440.000
04/20/2012	4.48	4.53	4.39	4.50	12755166	56872024.000
04/23/2012	4.47	4.50	4.37	4.43	9436863	41828268.000
04/24/2012	4.40	4.45	4.17	4.30	11317638	48620936.000
04/25/2012	4.30	4.60	4.23	4.56	23033045	102111168.000
04/26/2012	4.55	4.69	4.46	4.55	21615233	98880288.000
04/27/2012	4.56	4.56	4.40	4.42	9758461	43570404.000
05/02/2012	4.50	4.68	4.42	4.59	19832181	90751008.000
05/03/2012	4.58	4.69	4.56	4.61	14161367	65551496.000
05/04/2012	4.62	4.62	4.52	4.57	9135642	41694120.000
05/07/2012	4.52	4.73	4.50	4.71	21362695	99449744.000
05/08/2012	4.70	4.71	4.62	4.66	10422988	48525364.000
05/09/2012	4.64	4.64	4.50	4.52	8871762	40362832.000
05/10/2012	4.51	4.59	4.48	4.52	6069973	27498692.000
05/14/2012	4.59	4.59	4.42	4.44	6394237	28883828.000
05/15/2012	4.39	4.42	4.31	4.40	7173949	31274336.000
05/16/2012	4.42	4.42	4.30	4.31	5049621	21980132.000
05/17/2012	4.31	4.38	4.26	4.36	6251931	27071444.000
05/18/2012	4.30	4.34	4.26	4.28	5280188	22689512.000
05/21/2012	4.27	4.35	4.24	4.30	4175449	17944440.000
05/22/2012	4.30	4.42	4.30	4.39	6244633	27172784.000
05/23/2012	4.38	4.38	4.27	4.33	5500092	23751898.000
05/24/2012	4.30	4.35	4.27	4.28	4559755	19623328.000
05/25/2012	4.28	4.31	4.17	4.20	4959295	20956828.000
05/28/2012	4.19	4.25	4.11	4.24	4250049	17772486.000
05/29/2012	4.23	4.40	4.21	4.34	7855619	33913600.000
05/30/2012	4.32	4.34	4.29	4.31	4809075	20732872.000
05/31/2012	4.28	4.39	4.25	4.34	7781630	33865544.000
06/01/2012	4.32	4.37	4.30	4.32	4512676	19555340.000
06/04/2012	4.26	4.26	4.10	4.11	6736728	28144108.000
06/05/2012	4.12	4.15	4.05	4.11	3589316	14713924.000
06/06/2012	4.13	4.17	4.06	4.11	3864028	15877246.000
06/07/2012	4.15	4.15	4.04	4.05	4430498	18186280.000
06/08/2012	4.10	4.11	4.03	4.04	3182710	12943860.000
06/11/2012	4.05	4.11	4.01	4.10	3276244	13349403.000
06/12/2012	4.09	4.09	4.01	4.05	3055455	12347332.000
06/13/2012	4.05	4.10	4.03	4.09	9541644	38741688.000
06/14/2012	4.07	4.13	4.04	4.07	9120298	37169596.000
06/15/2012	4.08	4.11	4.01	4.05	6867074	27817600.000
06/18/2012	4.08	4.09	4.04	4.06	4032839	16397425.000
06/19/2012	4.06	4.06	4.00	4.01	5268021	21154280.000
06/20/2012	4.02	4.04	3.96	3.99	3365705	13489671.000
06/21/2012	3.96	3.98	3.87	3.88	5231596	20380692.000
06/25/2012	3.88	3.89	3.74	3.74	4595720	17484404.000
06/26/2012	3.73	3.77	3.69	3.75	2928010	10936397.000
06/27/2012	3.76	3.79	3.73	3.75	2939778	11047837.000
06/28/2012	3.75	3.77	3.61	3.61	3593080	13254057.000
06/29/2012	3.59	3.64	3.52	3.63	3665455	13165380.000
07/02/2012	3.65	3.73	3.65	3.67	3829093	14147878.000
07/03/2012	3.67	3.71	3.61	3.65	4176288	15228457.000
07/04/2012	3.67	3.70	3.63	3.65	3232400	11841802.000
07/05/2012	3.63	3.63	3.52	3.54	3195374	11351435.000
07/06/2012	3.55	3.62	3.48	3.60	4660584	16536785.000
07/09/2012	3.60	3.60	3.47	3.48	4250707	15105369.000
07/10/2012	3.47	3.51	3.43	3.47	2738989	9509925.000
07/11/2012	3.49	3.54	3.45	3.54	3386069	11874672.000
07/12/2012	3.54	3.74	3.48	3.66	7970529	29040692.000
07/13/2012	3.60	3.75	3.59	3.67	6263235	23047108.000
07/16/2012	3.67	3.67	3.50	3.53	4156021	14852300.000
07/17/2012	3.52	3.62	3.47	3.57	4413717	15784271.000
07/18/2012	3.57	3.61	3.50	3.60	3471928	12339851.000
07/19/2012	3.58	3.67	3.57	3.65	6098723	22167288.000
07/20/2012	3.64	3.67	3.57	3.59	3985171	14368002.000
07/23/2012	3.52	3.95	3.52	3.80	20694812	79428552.000
07/24/2012	3.70	4.18	3.69	4.00	29328408	115664936.000
07/25/2012	3.92	3.97	3.82	3.88	15719511	60990016.000
07/26/2012	3.86	3.92	3.79	3.80	9580245	36913668.000
07/27/2012	3.80	3.95	3.77	3.85	11636503	45118008.000
07/30/2012	3.85	3.89	3.68	3.73	8568338	32337168.000
07/31/2012	3.72	3.72	3.48	3.56	7963163	28461180.000
08/01/2012	3.55	3.69	3.53	3.65	5369729	19542876.000
08/02/2012	3.65	3.67	3.58	3.65	4533897	16437855.000
08/03/2012	3.66	3.75	3.60	3.73	6012758	22112976.000
08/06/2012	3.69	3.88	3.67	3.84	9614324	36557192.000
08/07/2012	3.83	3.88	3.77	3.85	9209344	35224080.000
08/08/2012	3.84	4.00	3.80	3.88	15118900	59120472.000
08/09/2012	3.83	3.89	3.79	3.87	8631378	33183796.000
08/10/2012	3.86	3.91	3.78	3.80	8150663	31172852.000
08/13/2012	3.80	3.80	3.68	3.69	5150835	19250772.000
08/14/2012	3.68	3.79	3.61	3.76	5892403	21828568.000
