600410 华胜天成 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.66	5.74	5.36	5.41	12134938	119409544.000
01/05/2012	5.36	5.36	4.99	5.13	9520453	86487512.000
01/06/2012	5.13	5.26	5.02	5.24	5300788	48165992.000
01/09/2012	5.22	5.45	5.14	5.43	9210811	86528160.000
01/10/2012	5.43	5.75	5.39	5.69	12167525	119205816.000
01/11/2012	5.64	5.94	5.60	5.69	21722848	220610544.000
01/13/2012	5.62	5.62	5.21	5.24	15416464	146162112.000
01/16/2012	5.13	5.21	5.05	5.11	4720089	42775072.000
01/17/2012	5.12	5.43	5.12	5.42	8435321	78669176.000
01/18/2012	5.43	5.58	5.21	5.30	8977375	85591368.000
01/19/2012	5.32	5.37	5.18	5.34	5226818	48907976.000
01/20/2012	5.36	5.45	5.31	5.43	7385369	70030192.000
01/30/2012	5.43	5.47	5.34	5.42	4288124	40847428.000
01/31/2012	5.36	5.39	5.22	5.36	6192768	57742552.000
02/01/2012	5.29	5.39	5.24	5.30	4108520	38459884.000
02/02/2012	5.27	5.44	5.27	5.42	5160720	48658816.000
02/03/2012	5.39	5.66	5.37	5.59	12784992	124634432.000
02/06/2012	5.57	5.75	5.54	5.70	11724892	116604896.000
02/07/2012	5.63	5.64	5.49	5.55	6015225	58968152.000
02/08/2012	5.54	5.74	5.49	5.72	8123466	80701672.000
02/09/2012	5.72	5.91	5.69	5.81	12404292	126783408.000
02/10/2012	5.78	5.84	5.72	5.79	7709188	78279784.000
02/13/2012	5.72	6.01	5.68	5.96	10767891	111367656.000
02/14/2012	5.93	5.99	5.80	5.86	6799364	70022384.000
02/15/2012	5.86	6.04	5.84	5.97	12841638	134177576.000
02/16/2012	5.99	6.22	5.97	6.08	14988180	160085600.000
02/17/2012	6.11	6.13	5.91	6.00	7495349	78948744.000
02/20/2012	6.10	6.21	6.00	6.00	9147024	97718416.000
02/21/2012	5.99	6.19	5.84	6.18	14771604	155514288.000
02/22/2012	6.12	6.52	6.11	6.47	27262477	303401920.000
02/23/2012	6.40	6.55	6.30	6.50	21083103	236660704.000
02/24/2012	6.46	6.55	6.36	6.49	13540059	152774192.000
02/27/2012	6.46	6.71	6.44	6.46	20222308	231443712.000
02/28/2012	6.41	6.44	6.25	6.35	12482886	138575808.000
02/29/2012	6.33	6.38	6.22	6.23	8787996	96687648.000
03/01/2012	6.20	6.37	6.18	6.29	6878680	75883376.000
03/02/2012	6.31	6.46	6.28	6.43	8737951	97282480.000
03/05/2012	6.43	6.46	6.37	6.39	6746853	75664832.000
03/06/2012	6.36	6.58	6.28	6.55	19608711	222024016.000
03/07/2012	6.46	6.65	6.40	6.42	12274943	139966656.000
03/08/2012	6.46	6.53	6.42	6.47	7423614	84088992.000
03/09/2012	6.53	6.62	6.49	6.59	9616928	110215328.000
03/12/2012	6.61	6.84	6.53	6.81	15411267	179319360.000
03/13/2012	6.76	6.91	6.74	6.83	15550652	185468560.000
03/14/2012	6.84	6.87	6.33	6.44	22489372	260741440.000
03/15/2012	6.39	6.48	6.17	6.29	13764608	150928496.000
03/16/2012	6.29	6.52	6.28	6.52	16364414	184495200.000
03/19/2012	6.52	6.68	6.41	6.65	16260470	187013776.000
03/20/2012	6.59	6.63	6.36	6.51	14566965	165881552.000
03/21/2012	6.53	6.57	6.28	6.47	6848151	77045496.000
03/22/2012	6.46	6.47	6.31	6.39	5037468	56116892.000
03/23/2012	6.36	6.36	6.12	6.12	7167505	77901168.000
03/26/2012	6.10	6.16	6.00	6.07	3636811	38832432.000
03/27/2012	6.11	6.19	6.03	6.05	3945715	42268096.000
03/28/2012	6.03	6.03	5.66	5.67	6152053	62742936.000
03/29/2012	5.64	5.72	5.50	5.52	4311336	42573412.000
03/30/2012	5.60	5.60	5.45	5.54	3738590	36268476.000
04/05/2012	5.55	5.76	5.53	5.75	5281247	52633752.000
04/06/2012	5.73	5.89	5.70	5.81	5052643	51543672.000
04/09/2012	5.81	5.81	5.61	5.63	4346784	43563324.000
04/10/2012	5.59	5.80	5.47	5.78	4912454	48614544.000
04/11/2012	5.69	5.84	5.63	5.81	4452079	45068688.000
04/12/2012	5.81	5.94	5.80	5.92	6362361	65610232.000
04/13/2012	5.96	6.02	5.90	5.98	6412187	67175536.000
04/16/2012	5.93	6.02	5.88	5.94	5327329	55446872.000
04/17/2012	5.93	6.14	5.82	5.87	9044365	94580600.000
04/18/2012	5.90	6.08	5.86	6.05	6931421	72851560.000
04/19/2012	6.04	6.11	5.99	6.08	6035663	63971224.000
04/20/2012	6.08	6.16	6.00	6.12	6154931	65734792.000
04/23/2012	6.11	6.15	5.89	5.94	6902423	72863872.000
04/24/2012	5.87	6.00	5.67	5.84	7133650	72914448.000
04/25/2012	5.79	5.96	5.79	5.92	4906333	50751244.000
04/26/2012	5.94	6.02	5.91	5.96	5034966	52706736.000
04/27/2012	5.95	6.14	5.93	6.09	8918426	94896864.000
05/02/2012	6.21	6.25	6.08	6.20	8749113	94525728.000
05/03/2012	6.15	6.26	6.15	6.24	6605591	71954888.000
05/04/2012	6.52	6.69	6.34	6.37	19611124	222892400.000
05/07/2012	6.25	6.51	6.23	6.48	11442551	127975792.000
05/09/2012	6.42	6.42	6.23	6.24	6950720	76733064.000
05/10/2012	6.24	6.49	6.24	6.33	6207180	69208016.000
05/11/2012	6.34	6.38	6.20	6.21	4286076	47218772.000
05/14/2012	6.28	6.34	6.19	6.22	4563582	50156912.000
05/15/2012	6.13	6.37	6.00	6.36	7591923	82200368.000
05/16/2012	6.31	6.36	6.16	6.16	4098698	44886888.000
05/17/2012	6.15	6.33	6.12	6.31	4614521	50587212.000
05/18/2012	6.24	6.32	6.19	6.22	4894854	53593552.000
05/21/2012	6.26	6.39	6.12	6.37	5798354	63659528.000
05/22/2012	6.42	6.50	6.37	6.49	12339815	139312880.000
05/23/2012	6.46	6.46	6.27	6.37	6703644	74773864.000
05/24/2012	6.43	6.58	6.28	6.48	14160265	160274528.000
05/25/2012	6.49	6.49	6.31	6.33	7651827	85570472.000
05/28/2012	6.28	6.28	6.04	6.22	7478844	80459256.000
05/29/2012	6.24	6.40	6.19	6.33	7628817	84255056.000
05/30/2012	6.28	6.43	6.27	6.38	6297156	70033976.000
05/31/2012	6.36	6.81	6.33	6.74	25892725	298704736.000
06/01/2012	6.67	6.72	6.47	6.50	18293810	210052672.000
06/04/2012	6.34	6.43	6.12	6.16	10194164	112361528.000
06/05/2012	6.24	6.38	6.16	6.31	7464481	81930376.000
06/06/2012	6.28	6.37	6.18	6.22	3904974	42819508.000
06/07/2012	6.31	6.34	6.15	6.18	3674577	40158980.000
06/08/2012	6.22	6.27	6.15	6.19	3501271	38081408.000
06/11/2012	6.19	6.37	6.15	6.33	4747016	52207320.000
06/12/2012	6.32	6.32	6.22	6.25	2336691	21093004.000
06/13/2012	6.27	6.35	6.17	6.32	5129805	46290300.000
06/14/2012	6.27	6.35	6.24	6.25	4134731	37473520.000
06/15/2012	6.27	6.31	6.18	6.25	3064125	27633860.000
06/18/2012	6.30	6.35	6.27	6.35	4111089	37416184.000
06/19/2012	6.32	6.34	6.25	6.29	3224539	29237540.000
06/20/2012	6.30	6.50	6.27	6.38	7997419	73955144.000
06/21/2012	6.38	6.42	6.20	6.20	4923874	44516712.000
06/25/2012	6.17	6.22	5.87	5.89	4973085	43389548.000
06/26/2012	5.89	5.91	5.79	5.85	3636539	30673024.000
06/27/2012	5.87	5.98	5.80	5.82	3347146	28464508.000
06/28/2012	5.82	5.88	5.54	5.54	4860477	39853872.000
06/29/2012	5.52	5.71	5.47	5.67	3626116	29253016.000
07/02/2012	5.70	5.75	5.65	5.70	3223286	26595874.000
07/03/2012	5.70	5.78	5.65	5.67	3702074	30630336.000
07/04/2012	5.70	5.77	5.64	5.65	2565722	21117782.000
07/05/2012	5.63	5.63	5.47	5.57	3641852	29147532.000
07/06/2012	5.63	5.77	5.47	5.72	3646486	29579588.000
07/09/2012	5.67	5.70	5.52	5.57	2812045	22801524.000
