600416 湘电股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.69	6.88	6.47	6.49	4447708	30795726.000
01/05/2012	6.36	6.47	6.09	6.10	4255243	27587068.000
01/06/2012	6.01	6.26	5.97	6.18	3784644	23945136.000
01/09/2012	6.20	6.77	6.11	6.71	5433532	36160976.000
01/10/2012	6.72	7.14	6.72	7.04	8172983	58125544.000
01/11/2012	7.06	7.06	6.82	6.96	6408515	45817264.000
01/12/2012	6.96	7.17	6.87	7.02	5007471	36252952.000
01/13/2012	7.06	7.74	6.68	7.74	15077778	112611160.000
01/16/2012	7.68	8.05	7.45	7.50	11465654	90253272.000
01/17/2012	7.64	7.85	7.19	7.83	19276780	149481568.000
01/18/2012	7.75	7.86	7.51	7.56	9888851	77989992.000
01/19/2012	7.51	7.63	7.39	7.52	6300001	48605632.000
01/20/2012	7.53	7.67	7.41	7.50	6699120	51654256.000
01/30/2012	7.49	7.75	7.42	7.50	6212282	48223316.000
01/31/2012	7.43	7.54	7.23	7.38	5150822	38947016.000
02/01/2012	7.36	7.49	7.15	7.17	5233619	39096192.000
02/02/2012	7.19	7.34	7.07	7.33	6783402	50225744.000
02/03/2012	7.29	7.51	7.24	7.47	6177786	46841596.000
02/06/2012	7.51	7.85	7.43	7.83	11306352	88476736.000
02/07/2012	7.74	7.75	7.46	7.52	5753192	44603888.000
02/08/2012	7.55	7.73	7.51	7.70	5814115	45469984.000
02/09/2012	7.71	7.83	7.62	7.71	7099846	56394988.000
02/10/2012	7.71	7.75	7.60	7.67	5701844	44809712.000
02/13/2012	7.56	7.76	7.49	7.71	5797930	45351168.000
02/14/2012	7.66	7.76	7.63	7.66	4594212	36136648.000
02/15/2012	7.64	8.00	7.64	7.94	10759030	86368456.000
02/16/2012	7.89	8.01	7.74	7.90	8490873	68587568.000
02/17/2012	7.92	8.26	7.80	8.14	12126365	99967216.000
02/20/2012	8.25	8.26	8.00	8.01	10673893	88907304.000
02/21/2012	7.99	8.18	7.86	8.13	7567351	62176864.000
02/22/2012	8.16	8.20	7.99	8.18	9411318	78154424.000
02/23/2012	8.18	8.27	8.03	8.12	7767110	64776360.000
02/24/2012	8.15	8.41	8.07	8.39	13697543	115773264.000
02/27/2012	8.39	8.49	8.26	8.28	12890394	110500976.000
02/28/2012	8.25	8.27	8.00	8.10	9380027	78077136.000
02/29/2012	8.07	8.18	7.97	8.01	5745150	47469440.000
03/01/2012	8.01	8.38	7.99	8.22	10316400	86678960.000
03/02/2012	8.24	8.87	8.24	8.79	26589494	233125360.000
03/05/2012	8.71	8.76	8.51	8.64	21192939	187593072.000
03/06/2012	8.58	9.10	8.37	8.88	19900420	177293664.000
03/07/2012	8.77	9.58	8.71	9.28	27259562	255645792.000
