600418 江淮汽车 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.23	5.27	4.93	4.95	7950613	46637776.000
01/06/2012	4.78	4.91	4.74	4.87	5624793	31423220.000
01/09/2012	4.91	5.20	4.81	5.19	8861841	51937904.000
01/10/2012	5.23	5.45	5.16	5.38	13370070	81930360.000
01/11/2012	5.38	5.50	5.28	5.36	12097953	74463344.000
01/12/2012	5.38	5.53	5.30	5.48	12741726	79154264.000
01/13/2012	5.44	5.48	5.24	5.36	13785429	84212192.000
01/16/2012	5.33	5.52	5.25	5.26	10160837	62673568.000
01/17/2012	5.21	5.69	5.20	5.65	15994650	99499704.000
01/18/2012	5.60	5.73	5.42	5.47	18363843	116194968.000
01/19/2012	5.48	5.56	5.34	5.47	13647142	85257792.000
01/20/2012	5.47	5.50	5.36	5.42	11348118	70220240.000
01/30/2012	5.43	5.43	5.27	5.29	7457341	45450584.000
01/31/2012	5.28	5.32	5.18	5.27	5750322	34553616.000
02/01/2012	5.28	5.31	5.13	5.18	7642089	45775528.000
02/02/2012	5.18	5.25	5.14	5.24	8349603	49768872.000
02/03/2012	5.22	5.30	5.18	5.28	10859753	65276448.000
02/06/2012	5.28	5.35	5.24	5.34	10258038	62164492.000
02/07/2012	5.31	5.31	5.09	5.14	10153034	60300972.000
02/09/2012	5.26	5.43	5.23	5.35	27582452	168679760.000
02/10/2012	5.33	5.49	5.29	5.37	17833934	109469664.000
02/13/2012	5.31	5.42	5.27	5.36	10649741	65258536.000
02/14/2012	5.37	5.40	5.31	5.37	10408829	63755344.000
02/15/2012	5.35	5.60	5.33	5.55	27041502	169537168.000
02/16/2012	5.57	5.58	5.45	5.52	14126522	88667952.000
02/17/2012	5.54	5.58	5.43	5.49	8135250	50923172.000
02/20/2012	5.55	5.58	5.47	5.48	11232697	70773152.000
02/21/2012	5.48	5.54	5.39	5.52	10161917	63388320.000
02/22/2012	5.52	5.74	5.47	5.70	23448089	150182112.000
02/23/2012	5.67	5.83	5.67	5.77	26872566	175706432.000
02/24/2012	5.77	5.88	5.68	5.83	14599464	95666368.000
02/27/2012	6.49	6.49	6.49	6.49	38298866	278049760.000
02/28/2012	6.53	6.97	6.50	6.77	92134315	689257664.000
02/29/2012	6.65	6.74	6.49	6.58	38614413	285014688.000
03/01/2012	6.53	6.78	6.49	6.68	28499568	211871136.000
03/02/2012	6.68	7.16	6.64	7.13	48080558	371062240.000
03/05/2012	7.16	7.20	6.91	6.97	36214006	282685792.000
03/06/2012	6.92	6.98	6.63	6.74	31745476	239037744.000
03/07/2012	6.63	7.09	6.52	6.96	41534035	316883232.000
03/08/2012	6.93	7.09	6.73	6.99	27909030	215082944.000
03/09/2012	6.95	7.07	6.89	6.99	16501689	127614744.000
