600420 现代制药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	9.57	9.65	9.31	9.35	398900	3927940.000
01/05/2012	9.25	9.31	9.10	9.19	549605	5249764.000
01/06/2012	9.19	9.20	8.85	9.19	611543	5754959.000
01/09/2012	9.09	9.54	9.09	9.48	656227	6370740.000
01/10/2012	9.51	9.83	9.45	9.83	789861	7944160.000
01/11/2012	9.80	9.89	9.61	9.66	913944	9203480.000
01/12/2012	9.60	9.78	9.55	9.70	664771	6664794.000
01/13/2012	9.72	9.73	9.35	9.40	729584	7151422.000
01/16/2012	9.31	9.48	9.19	9.21	301061	2914181.000
01/17/2012	9.25	9.74	9.15	9.70	925331	9088247.000
01/18/2012	9.72	9.79	9.43	9.47	867165	8641134.000
01/19/2012	9.46	9.54	9.30	9.49	790157	7730910.000
01/20/2012	9.55	9.62	9.41	9.61	718723	7090062.000
01/30/2012	9.62	9.63	9.49	9.49	437188	4332704.000
01/31/2012	9.59	9.59	9.33	9.40	656441	6386158.000
02/01/2012	9.45	9.45	9.28	9.29	400130	3888451.000
02/03/2012	9.36	9.72	9.36	9.69	1210123	12004747.000
02/06/2012	9.60	9.81	9.60	9.77	1201725	12097491.000
02/07/2012	9.78	9.78	9.38	9.45	1465064	14426034.000
02/08/2012	9.43	9.65	9.28	9.59	1737282	17054364.000
02/09/2012	9.65	9.90	9.62	9.86	2745390	27828132.000
02/10/2012	9.85	9.94	9.77	9.92	1927737	19686324.000
02/13/2012	9.90	10.16	9.80	10.14	2407434	25014170.000
02/14/2012	10.05	10.58	10.05	10.20	3113428	33154304.000
02/15/2012	10.16	10.47	10.09	10.45	2597028	27737544.000
02/16/2012	10.45	10.63	10.32	10.48	2635743	28578040.000
02/17/2012	10.53	10.70	10.42	10.59	2284145	24944878.000
02/20/2012	11.01	11.25	10.56	10.69	8689351	98227216.000
02/21/2012	10.63	10.63	10.25	10.60	3637619	39258360.000
02/22/2012	10.55	10.72	10.42	10.66	2826597	30861784.000
02/23/2012	10.67	10.80	10.50	10.64	2258040	24799196.000
02/24/2012	10.53	10.62	10.42	10.60	4266938	46395372.000
02/27/2012	10.63	10.85	10.58	10.63	4810079	53092392.000
02/28/2012	10.63	10.64	10.26	10.43	2855663	30861224.000
02/29/2012	10.40	10.55	10.35	10.37	1327505	14333082.000
03/01/2012	10.35	10.43	10.30	10.36	1799212	19285176.000
03/02/2012	10.44	10.51	10.35	10.46	2765903	29816562.000
03/05/2012	10.55	10.63	10.35	10.42	3633425	39327856.000
03/06/2012	10.42	10.48	10.25	10.30	1826167	19511372.000
03/07/2012	10.16	10.36	10.13	10.24	1511319	16068191.000
03/08/2012	10.34	10.47	10.25	10.46	2087255	22444768.000
03/09/2012	10.63	10.79	10.54	10.67	4328522	47701828.000
03/12/2012	10.66	10.96	10.66	10.95	4811659	53714816.000
03/13/2012	11.05	11.07	10.86	11.00	3805643	43088944.000
03/14/2012	11.06	11.53	10.77	10.99	10293963	118745656.000
03/15/2012	11.00	11.54	10.69	11.46	8778921	101145152.000
03/16/2012	11.48	11.71	11.26	11.71	8872346	105687824.000
03/19/2012	11.68	11.83	11.58	11.69	5390425	64974000.000
03/20/2012	11.69	11.70	11.21	11.22	4076734	47851176.000
03/21/2012	11.19	11.42	10.97	11.16	2736768	31505100.000
03/22/2012	11.16	11.39	11.02	11.29	1996401	23054076.000
03/23/2012	11.19	11.32	10.94	11.05	2096772	24113510.000
03/26/2012	10.98	11.21	10.92	11.18	1473943	16875844.000
03/27/2012	11.25	11.33	10.83	10.90	2374825	27196664.000
03/28/2012	10.89	10.90	10.35	10.36	2376428	25913740.000
03/29/2012	10.36	10.44	10.11	10.26	1558667	16589749.000
03/30/2012	10.30	10.43	10.15	10.35	949992	10150260.000
04/05/2012	10.25	10.75	10.25	10.70	1707508	18622860.000
04/06/2012	10.70	10.96	10.62	10.77	1807263	20080052.000
04/09/2012	10.79	10.95	10.56	10.57	1208563	13447951.000
04/10/2012	10.53	10.75	10.25	10.74	1512150	16370988.000
04/11/2012	10.50	10.75	10.48	10.64	1184747	13007379.000
04/12/2012	10.59	10.91	10.58	10.91	1508200	16821272.000
04/13/2012	10.90	11.20	10.83	11.07	2254954	25645304.000
04/16/2012	10.90	11.09	10.87	10.95	1142973	12934899.000
04/17/2012	11.01	11.21	10.89	11.05	2039527	23290976.000
04/18/2012	11.05	11.22	10.96	11.21	2371512	27224240.000
04/19/2012	11.22	11.30	10.97	11.07	2185697	25033994.000
04/20/2012	11.06	11.18	10.98	11.11	1658578	18993732.000
04/23/2012	11.00	11.19	10.63	10.73	2676524	30214508.000
04/24/2012	10.65	10.75	10.21	10.74	2760723	30025900.000
04/25/2012	10.68	10.83	10.56	10.77	1448972	16011994.000
04/26/2012	10.83	10.88	10.61	10.66	1613545	17824884.000
04/27/2012	10.66	10.76	10.62	10.68	978922	10814694.000
05/02/2012	10.85	10.93	10.71	10.90	1756007	19615830.000
05/03/2012	10.91	11.20	10.85	11.17	3154738	36051900.000
05/04/2012	11.13	11.20	10.99	11.13	2258373	25879876.000
05/07/2012	11.05	11.43	11.05	11.34	3063694	35699932.000
05/08/2012	11.35	11.39	11.11	11.16	1860231	21508664.000
05/09/2012	11.12	11.12	10.85	10.87	1589046	17995310.000
05/10/2012	10.84	11.17	10.84	10.96	1502038	17116124.000
05/11/2012	11.05	11.35	10.93	11.17	2464998	28307638.000
