600428 中远航运 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.08	4.10	3.94	3.95	3818570	15505594.000
01/05/2012	3.93	4.01	3.87	3.92	3474657	13907770.000
01/06/2012	3.93	3.97	3.85	3.96	2285585	9051515.000
01/09/2012	3.92	4.08	3.91	4.08	7913759	32301484.000
01/10/2012	4.07	4.23	4.05	4.20	15219359	64205432.000
01/11/2012	4.17	4.23	4.13	4.19	9348670	39484120.000
01/12/2012	4.16	4.28	4.15	4.24	10020886	42796012.000
01/13/2012	4.21	4.24	4.08	4.09	6485279	27115058.000
01/16/2012	4.06	4.07	3.98	3.98	4007460	16302938.000
01/17/2012	3.99	4.38	3.98	4.38	14737899	63922704.000
01/18/2012	4.55	4.76	4.37	4.41	33688519	155261984.000
01/19/2012	4.32	4.41	4.23	4.36	17526390	76411832.000
01/20/2012	4.34	4.39	4.23	4.35	10553706	46131748.000
01/30/2012	4.34	4.40	4.26	4.28	7300121	31855920.000
01/31/2012	4.25	4.30	4.17	4.25	6276759	26925316.000
02/01/2012	4.22	4.36	4.18	4.24	5745045	24858758.000
02/02/2012	4.26	4.38	4.22	4.34	10987502	47599024.000
02/03/2012	4.32	4.40	4.27	4.34	10374399	45549064.000
02/06/2012	4.36	4.42	4.34	4.38	11780410	52146792.000
02/07/2012	4.37	4.40	4.27	4.29	6814399	29890700.000
02/08/2012	4.30	4.41	4.25	4.40	11348336	49905912.000
02/09/2012	4.39	4.46	4.35	4.40	13829554	61735968.000
02/10/2012	4.41	4.49	4.38	4.42	10553214	47337560.000
02/13/2012	4.36	4.46	4.36	4.43	6865997	30626364.000
02/14/2012	4.43	4.47	4.38	4.43	6487498	29002768.000
02/15/2012	4.42	4.88	4.40	4.74	57876368	280457920.000
02/16/2012	4.65	4.70	4.51	4.60	45897721	213952736.000
02/17/2012	4.60	4.70	4.56	4.61	19999856	93810376.000
02/20/2012	4.67	4.69	4.57	4.62	9880542	46288308.000
02/21/2012	4.61	4.67	4.55	4.64	10456206	48788168.000
02/22/2012	4.62	4.70	4.61	4.69	14139152	66636216.000
02/23/2012	4.69	4.94	4.69	4.75	22240704	107831368.000
02/24/2012	4.75	4.87	4.70	4.80	15567286	75312400.000
02/27/2012	4.84	5.01	4.83	4.90	27697554	137662096.000
02/28/2012	4.93	5.17	4.93	5.01	27369234	139419200.000
02/29/2012	5.03	5.04	4.90	4.90	9975616	49841412.000
03/01/2012	4.86	5.19	4.86	5.05	19232290	97904072.000
03/02/2012	5.06	5.18	5.03	5.14	12482175	64550260.000
03/05/2012	5.15	5.15	5.05	5.05	10796930	55482120.000
03/06/2012	5.05	5.08	4.91	4.95	12402313	62251352.000
03/07/2012	4.85	4.97	4.85	4.88	8024811	39783440.000
03/08/2012	4.88	5.13	4.88	5.05	17160898	87342328.000
03/09/2012	5.09	5.13	5.04	5.08	10070610	51741764.000
03/12/2012	5.08	5.17	4.98	5.02	9473336	48347848.000
03/13/2012	5.02	5.06	4.95	5.03	10393646	52529412.000
03/14/2012	5.06	5.09	4.80	4.85	16087816	80476424.000
03/15/2012	4.84	4.87	4.60	4.69	11280377	53958716.000
03/16/2012	4.69	4.77	4.65	4.76	6591727	31424186.000
03/19/2012	4.76	4.81	4.69	4.79	5518064	26522816.000
03/20/2012	4.75	4.75	4.60	4.62	9959171	46796588.000
03/21/2012	4.62	4.79	4.58	4.67	16190425	76479904.000
03/22/2012	4.62	4.65	4.56	4.62	10937098	51006600.000
03/23/2012	4.60	4.68	4.57	4.60	9243019	43156080.000
03/26/2012	4.62	4.65	4.55	4.59	4198616	19448276.000
03/27/2012	4.64	4.67	4.59	4.63	4889932	22903228.000
03/28/2012	4.64	4.79	4.52	4.53	17298359	81942976.000
03/29/2012	4.45	4.50	4.31	4.38	7812392	34853300.000
04/05/2012	4.36	4.82	4.36	4.70	15338661	72146120.000
04/06/2012	4.70	4.80	4.62	4.70	11506736	54407120.000
04/09/2012	4.67	4.67	4.61	4.62	4368719	20464956.000
04/10/2012	4.56	4.83	4.56	4.81	11897567	56844228.000
04/11/2012	4.75	4.87	4.72	4.81	11800789	57373920.000
04/12/2012	4.80	4.86	4.77	4.84	8554529	41710028.000
04/13/2012	4.85	4.89	4.76	4.83	9389332	45648580.000
