600439 瑞贝卡 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.24	5.24	5.01	5.01	6585628	43153888.000
01/05/2012	4.92	4.96	4.71	4.74	6894586	42524208.000
01/06/2012	4.69	4.75	4.63	4.74	6752183	40603676.000
01/09/2012	4.78	5.02	4.67	5.00	11174922	69816928.000
01/10/2012	4.97	5.21	4.94	5.17	9866177	64370368.000
01/11/2012	5.18	5.28	5.13	5.22	7473134	49533608.000
01/12/2012	5.18	5.23	5.12	5.12	5717324	37735864.000
01/13/2012	5.09	5.13	4.83	4.92	6266926	39735344.000
01/16/2012	4.86	5.03	4.82	5.00	7266836	46331648.000
01/17/2012	4.96	5.30	4.92	5.29	8476242	55730032.000
01/18/2012	5.28	5.33	5.08	5.10	7719589	51060392.000
01/19/2012	5.09	5.22	5.06	5.16	3909287	25780554.000
01/20/2012	5.20	5.28	5.13	5.26	5679848	37911112.000
01/30/2012	5.25	5.28	5.11	5.15	4134264	27495368.000
01/31/2012	5.13	5.17	4.95	5.04	4098868	26285946.000
02/01/2012	5.04	5.13	4.98	5.00	3090897	19929212.000
02/02/2012	5.03	5.20	4.97	5.19	8726883	56573936.000
02/03/2012	5.18	5.34	4.98	5.32	12235965	81945640.000
02/06/2012	5.29	5.48	5.28	5.41	11083940	75900008.000
02/07/2012	5.35	5.36	5.21	5.24	7645421	51452384.000
02/08/2012	5.23	5.51	5.23	5.50	11912095	81948520.000
02/09/2012	5.48	5.58	5.42	5.45	9074966	63366212.000
02/10/2012	5.42	5.58	5.42	5.47	7807185	54690880.000
02/13/2012	5.42	5.56	5.38	5.49	7197531	50282376.000
02/14/2012	5.52	5.55	5.42	5.43	6142940	42642568.000
02/15/2012	5.40	5.58	5.39	5.55	12983489	90930080.000
02/16/2012	5.53	5.69	5.51	5.62	12394617	88345376.000
02/17/2012	5.71	5.86	5.62	5.66	17295145	125779688.000
02/20/2012	5.72	5.80	5.60	5.63	11751813	84779848.000
02/21/2012	5.63	5.71	5.56	5.65	13232461	94349312.000
02/22/2012	5.64	5.82	5.59	5.79	17714027	128658608.000
02/23/2012	5.78	5.82	5.70	5.76	11672708	85275144.000
02/24/2012	5.75	5.85	5.71	5.84	12853801	94512056.000
02/27/2012	5.84	6.00	5.78	5.82	16510107	122787480.000
02/28/2012	5.79	5.87	5.73	5.79	9009573	66075344.000
02/29/2012	5.78	5.81	5.69	5.73	6903451	50288184.000
03/01/2012	5.69	5.78	5.68	5.73	7678978	55915332.000
03/02/2012	5.75	5.95	5.73	5.90	22547785	167679152.000
03/05/2012	5.91	6.22	5.88	6.18	33024554	252850416.000
03/06/2012	6.08	6.22	6.03	6.11	26602809	205869936.000
03/07/2012	6.04	6.21	6.02	6.10	15716803	121672648.000
03/08/2012	6.14	6.28	6.09	6.16	10359183	80926656.000
03/09/2012	6.16	6.21	6.03	6.13	11130687	85794168.000
03/12/2012	6.13	6.24	6.08	6.22	10307604	80377392.000
03/13/2012	6.22	6.39	6.17	6.33	15222430	121394704.000
03/14/2012	6.34	6.37	5.75	5.87	18630193	143783120.000
03/15/2012	5.83	5.98	5.63	5.81	10286852	75877024.000
03/16/2012	5.80	6.05	5.80	6.01	9728753	73211904.000
03/19/2012	6.00	6.15	5.92	6.13	12353401	94607168.000
03/20/2012	6.08	6.11	5.84	5.87	9483500	71225200.000
03/21/2012	5.90	5.93	5.73	5.93	6825955	50480968.000
03/22/2012	5.91	6.08	5.87	6.01	11458234	87199344.000
03/23/2012	5.98	6.13	5.90	6.08	12217060	93395896.000
03/26/2012	6.07	6.21	5.97	6.19	15257708	118410904.000
03/27/2012	6.21	6.43	6.16	6.29	22417454	179137344.000
03/28/2012	6.22	6.22	5.92	5.96	13139511	100841760.000
03/29/2012	5.92	5.92	5.64	5.70	9100121	66799328.000
03/30/2012	5.75	5.81	5.63	5.71	5032023	36558888.000
04/05/2012	5.79	5.97	5.76	5.96	6865563	51321520.000
04/06/2012	5.93	6.10	5.92	5.97	6183931	47034280.000
04/09/2012	5.95	6.03	5.82	5.89	6246004	47024436.000
04/10/2012	5.83	5.93	5.70	5.92	7724737	56873532.000
04/12/2012	5.93	6.13	5.93	6.11	8995872	68841128.000
04/13/2012	6.13	6.23	6.08	6.16	10776219	83928000.000
04/16/2012	6.10	6.23	6.09	6.15	7082683	55220996.000
04/17/2012	6.15	6.22	6.06	6.12	6377264	49360672.000
04/18/2012	6.12	6.38	6.09	6.30	13516542	106722592.000
04/19/2012	6.27	6.48	6.13	6.42	20235859	160946368.000
04/20/2012	6.26	6.30	6.07	6.21	25467175	199167232.000
04/23/2012	6.16	6.18	5.96	5.97	10893616	83663824.000
04/24/2012	5.93	6.08	5.83	6.04	8891493	67171800.000
04/25/2012	6.04	6.15	5.97	6.13	7863195	60593848.000
04/26/2012	6.11	6.15	5.95	5.96	7686504	58894968.000
05/02/2012	6.07	6.10	5.94	6.09	9050306	69042120.000
05/03/2012	6.08	6.19	6.05	6.18	7481742	58038692.000
05/04/2012	6.18	6.22	6.12	6.20	6700938	52222824.000
05/07/2012	6.20	6.31	6.12	6.30	9528106	74777520.000
