600456 宝钛股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	18.33	18.44	17.11	17.14	3167712	57329512.000
01/05/2012	16.85	17.00	15.97	16.22	3639145	61290976.000
01/06/2012	16.19	16.65	15.98	16.62	2922878	48502648.000
01/09/2012	16.72	18.31	16.37	18.16	7820326	138873456.000
01/10/2012	18.20	19.04	18.05	18.84	9245551	174622800.000
01/11/2012	18.76	18.99	18.57	18.81	5790128	110142136.000
01/12/2012	18.80	19.85	18.59	19.36	8909470	173491600.000
01/13/2012	19.16	19.59	18.27	18.67	8491225	162397776.000
01/16/2012	18.33	18.55	17.31	17.35	4567259	83675520.000
01/17/2012	17.45	19.11	17.42	19.11	10413284	196799728.000
01/18/2012	19.50	20.39	18.91	19.05	12060138	240382512.000
01/19/2012	18.93	19.95	18.63	19.83	8691831	172048496.000
01/20/2012	19.85	20.07	19.41	19.99	6103547	122071944.000
01/30/2012	20.04	20.21	19.36	19.42	5416644	108496688.000
01/31/2012	19.72	20.23	19.55	19.85	7824554	157310848.000
02/01/2012	19.83	19.99	19.39	19.45	5369156	106562072.000
02/02/2012	19.50	20.07	19.35	20.06	6619579	132404224.000
02/03/2012	20.06	20.53	19.90	20.34	8029435	164592256.000
02/06/2012	20.45	20.62	19.97	20.27	6003813	123302080.000
02/07/2012	20.20	20.20	19.47	19.77	6658738	132757488.000
02/08/2012	19.62	21.25	19.57	20.95	10537004	218452272.000
02/09/2012	20.75	20.98	20.43	20.60	8387652	176010576.000
02/10/2012	20.64	21.19	20.51	20.69	6450631	136366912.000
02/13/2012	20.35	20.99	20.26	20.72	5581824	116885240.000
02/14/2012	20.72	21.18	20.55	21.12	7511090	159127568.000
02/15/2012	21.08	22.12	20.85	21.76	11398844	249283008.000
02/16/2012	21.76	22.21	21.30	21.92	9416822	206794144.000
02/17/2012	21.92	22.14	21.56	21.68	5286454	116613904.000
02/20/2012	22.25	22.35	21.67	21.70	6464335	143570880.000
