600486 扬农化工 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.09	7.15	6.93	6.96	549272	8013868.000
01/05/2012	6.93	6.98	6.51	6.53	1059572	14759839.000
01/06/2012	6.47	6.62	6.34	6.47	875973	11797794.000
01/09/2012	6.47	6.84	6.41	6.81	520056	7246175.000
01/10/2012	6.84	7.26	6.82	7.18	1164564	17075888.000
01/11/2012	7.21	7.24	7.08	7.17	1079429	15921213.000
01/12/2012	7.13	7.34	7.05	7.24	756548	11283588.000
01/13/2012	7.24	7.24	6.81	6.91	627052	9042821.000
01/16/2012	6.78	6.91	6.68	6.68	342229	4795284.000
01/17/2012	6.68	7.18	6.67	7.16	785385	11337314.000
01/18/2012	7.17	7.33	7.07	7.17	985610	14656464.000
01/19/2012	7.13	7.29	6.99	7.28	639546	9488523.000
01/20/2012	7.21	7.46	7.21	7.43	915278	13907046.000
01/30/2012	7.43	7.57	7.30	7.31	606422	9171598.000
01/31/2012	7.27	7.40	7.11	7.29	480586	7138885.000
02/01/2012	7.29	7.29	7.11	7.16	477200	7082711.000
02/02/2012	7.26	7.46	7.17	7.44	837394	12551976.000
02/03/2012	7.41	7.74	7.38	7.68	3333887	51772716.000
02/06/2012	7.58	7.79	7.56	7.74	3408666	53740224.000
02/07/2012	7.70	7.70	7.29	7.40	1596086	24469936.000
02/08/2012	7.46	7.67	7.38	7.65	1491500	23023914.000
02/09/2012	7.64	7.73	7.58	7.71	2382447	37334160.000
02/10/2012	7.71	7.77	7.61	7.68	1710138	26866172.000
02/13/2012	7.68	7.73	7.35	7.66	1218398	19011566.000
02/14/2012	7.66	7.70	7.57	7.62	900237	14044476.000
02/15/2012	7.62	7.72	7.54	7.67	3688194	57698148.000
02/16/2012	7.64	7.93	7.62	7.85	4879302	77800160.000
02/17/2012	7.88	7.93	7.51	7.67	2428256	38166792.000
02/20/2012	7.76	7.83	7.66	7.69	2207395	34855992.000
02/21/2012	7.64	7.83	7.57	7.81	1888079	29683132.000
02/22/2012	8.18	8.69	8.06	8.21	8553726	143451632.000
02/23/2012	8.19	8.37	8.06	8.13	4490759	74689200.000
02/24/2012	8.08	8.21	8.06	8.18	2537135	41914984.000
02/27/2012	8.18	8.45	8.18	8.20	3259742	54852696.000
02/28/2012	8.18	8.32	8.06	8.29	2795027	46406296.000
02/29/2012	8.29	8.40	8.16	8.18	2566929	43038576.000
03/01/2012	8.09	8.17	7.98	8.11	2237042	36780992.000
03/02/2012	8.06	8.32	8.06	8.31	2299960	38469588.000
03/05/2012	8.35	8.54	8.32	8.43	3634904	61934636.000
03/06/2012	8.41	8.47	8.22	8.31	3323508	56127696.000
03/07/2012	8.19	8.27	8.13	8.17	2098720	34836332.000
03/08/2012	8.21	8.34	8.17	8.27	1590878	26602488.000
03/09/2012	8.27	8.45	8.27	8.44	2455007	41563008.000
03/12/2012	8.43	8.52	8.28	8.41	2276299	38510200.000
03/13/2012	8.41	8.48	8.33	8.46	2429971	41402640.000
03/14/2012	8.57	8.82	8.16	8.23	6555990	113517904.000
03/15/2012	8.24	8.33	7.90	7.91	3215371	52646568.000
03/16/2012	7.95	8.13	7.88	8.13	2201112	35863380.000
03/19/2012	8.13	8.24	8.04	8.24	1882516	31156700.000
03/20/2012	8.23	8.23	7.93	7.94	1338133	21835678.000
03/21/2012	7.98	8.04	7.74	7.88	1793059	28759904.000
03/22/2012	7.88	7.93	7.74	7.84	822623	13106382.000
03/23/2012	7.79	7.90	7.73	7.84	941958	15009915.000
03/26/2012	7.84	7.88	7.77	7.84	455389	7258997.000
03/27/2012	7.86	7.95	7.76	7.81	590960	9476425.000
03/28/2012	7.70	7.79	7.32	7.36	1568791	24094750.000
03/29/2012	7.33	7.35	6.99	7.09	1389123	20439148.000
03/30/2012	7.10	7.16	6.97	7.11	779839	11399890.000
04/05/2012	7.08	7.33	7.08	7.33	796261	11867789.000
04/06/2012	7.30	7.61	7.29	7.48	1226904	18846182.000
04/09/2012	7.43	7.52	7.31	7.31	553060	8415229.000
04/10/2012	7.45	7.74	7.41	7.73	3202662	49795820.000
04/11/2012	7.63	8.02	7.56	7.94	2256922	36082592.000
04/12/2012	7.91	7.99	7.80	7.96	1642807	26467756.000
04/13/2012	8.00	8.06	7.93	7.96	1566550	25478110.000
04/16/2012	7.94	7.98	7.85	7.88	1100539	17742108.000
04/17/2012	7.88	8.23	7.84	8.13	2658593	43489444.000
04/18/2012	8.08	8.41	8.08	8.29	2453514	41174272.000
04/19/2012	8.23	8.40	8.12	8.16	1452889	24327864.000
04/20/2012	8.18	8.35	8.15	8.32	1380727	23184804.000
04/23/2012	8.32	8.53	8.30	8.46	2264158	38699764.000
04/24/2012	8.68	9.13	8.66	8.84	8533200	152594896.000
04/25/2012	8.85	9.42	8.56	9.17	5240991	95264232.000
04/26/2012	9.17	9.32	9.12	9.12	2578485	47524124.000
04/27/2012	9.12	9.17	8.91	9.13	1982314	36045532.000
05/02/2012	9.16	9.37	8.94	9.01	2407829	44055968.000
05/03/2012	8.94	9.26	8.91	9.24	3207319	58404384.000
05/04/2012	9.23	9.23	9.04	9.12	2052083	37437200.000
05/07/2012	9.00	9.44	8.99	9.33	3286356	60968264.000
05/09/2012	9.18	9.19	8.91	8.97	2195418	39927384.000
05/10/2012	8.97	9.16	8.92	9.03	2048314	37239016.000
05/11/2012	9.24	9.48	9.16	9.17	5417552	100847104.000
05/14/2012	9.24	9.24	8.89	8.96	2541387	46176932.000
05/15/2012	8.74	9.08	8.74	9.03	1937494	34898800.000
05/16/2012	9.03	9.06	8.91	8.92	957207	17268370.000
05/17/2012	8.96	9.01	8.77	8.98	1265374	22704372.000
05/18/2012	8.91	8.91	8.74	8.74	1881641	33194324.000
05/21/2012	8.76	8.83	8.59	8.67	500331	8765969.000
05/22/2012	8.68	9.00	8.68	8.96	1480453	26453698.000
05/23/2012	8.96	9.17	8.89	9.13	1512375	27534900.000
05/24/2012	9.12	9.26	9.08	9.13	1072394	19670590.000
05/25/2012	9.13	9.23	8.92	8.96	1158908	21067376.000
05/28/2012	8.86	8.96	8.74	8.92	2030099	35761688.000
05/29/2012	9.06	9.27	8.92	9.24	2273666	41057904.000
05/30/2012	9.24	9.24	9.08	9.15	1697724	30815622.000
05/31/2012	9.14	9.61	9.10	9.52	3025356	56288816.000
06/01/2012	9.47	9.56	9.32	9.42	2190400	40820884.000
06/04/2012	9.17	9.35	8.91	8.99	2472389	44648864.000
06/05/2012	8.96	9.12	8.75	8.81	2006113	35386572.000
06/06/2012	8.92	8.92	8.74	8.81	665192	11688781.000
06/07/2012	8.91	8.97	8.67	8.68	1051384	18420152.000
06/08/2012	8.74	8.82	8.64	8.70	704891	12276599.000
06/11/2012	8.71	8.82	8.64	8.82	1498762	26008832.000
06/12/2012	8.77	8.78	8.64	8.72	1420799	24677650.000
06/13/2012	8.71	8.88	8.67	8.84	1864867	32683360.000
06/14/2012	8.93	9.39	8.88	9.24	4566613	83289952.000
06/15/2012	9.21	9.36	9.09	9.32	2198945	40413312.000
06/18/2012	9.40	9.66	9.36	9.54	2860665	53942272.000
06/19/2012	9.46	9.74	9.41	9.46	1692354	31960520.000
06/20/2012	9.52	9.60	9.24	9.42	1291039	23961558.000
06/21/2012	9.40	9.43	9.20	9.35	931035	17132056.000
06/25/2012	9.35	9.55	9.23	9.24	1567209	29218664.000
06/26/2012	9.08	9.22	8.93	9.07	1413477	25476584.000
06/27/2012	8.99	9.21	8.96	8.97	884984	15958730.000
06/28/2012	9.02	9.06	8.84	8.92	1464025	26049422.000
06/29/2012	8.84	9.17	8.77	9.16	1629448	29017630.000
07/02/2012	9.20	9.52	9.11	9.45	2065621	38251332.000
07/03/2012	9.48	9.80	9.36	9.73	3808518	72684392.000
07/04/2012	9.76	9.78	9.41	9.61	1599708	30238172.000
07/05/2012	9.59	9.59	9.17	9.26	2211347	40757292.000
07/06/2012	9.31	10.09	9.31	9.99	5298794	101783296.000
