600498 烽火通信 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	12.64	12.77	12.45	12.52	3648513	98940520.000
01/05/2012	12.51	12.51	11.22	11.82	2207102	57340688.000
01/06/2012	11.78	11.82	11.12	11.59	3134361	77702936.000
01/09/2012	11.57	12.46	11.38	12.32	2185633	56891128.000
01/10/2012	12.32	12.87	12.27	12.72	2936470	80268720.000
01/11/2012	12.82	13.05	12.61	12.67	1888925	52168068.000
01/12/2012	12.66	12.82	12.45	12.59	2013564	54760484.000
01/13/2012	12.59	12.70	11.95	12.12	2373334	63236460.000
01/16/2012	11.98	12.07	11.47	11.65	2939785	74885648.000
01/17/2012	11.60	11.81	10.38	11.75	7916582	194130256.000
01/18/2012	11.79	11.84	11.23	11.44	4880211	123094104.000
01/19/2012	11.42	11.77	11.13	11.56	2409254	60411316.000
01/20/2012	11.57	12.46	11.57	12.25	3267631	85549344.000
01/30/2012	12.24	12.42	11.93	12.26	1187542	31517796.000
01/31/2012	12.21	12.57	12.10	12.36	1837992	49338524.000
02/01/2012	12.26	12.67	12.05	12.07	2046362	55226660.000
02/02/2012	12.20	12.47	12.10	12.46	1497516	40014356.000
02/03/2012	12.47	12.79	12.35	12.72	2164409	59414644.000
02/13/2012	13.47	13.57	12.69	12.92	6719499	187212432.000
02/14/2012	12.86	13.12	12.84	12.95	2475540	69254048.000
02/15/2012	12.95	13.12	12.82	13.07	1873945	52602088.000
02/16/2012	13.01	13.32	12.92	12.94	2804744	79309584.000
02/17/2012	12.95	13.26	12.95	13.13	2733932	77480400.000
02/20/2012	13.40	13.50	13.19	13.31	3686906	106011312.000
02/21/2012	13.37	13.75	13.37	13.70	4572398	133447392.000
02/22/2012	13.69	14.03	13.58	13.97	3965478	118657360.000
02/23/2012	13.97	14.02	13.70	13.91	3589034	106847352.000
02/24/2012	13.96	13.96	13.46	13.69	4966519	145414864.000
02/27/2012	13.68	13.89	13.42	13.54	5798470	169253632.000
02/28/2012	13.35	13.53	12.92	12.97	8774310	247931088.000
02/29/2012	12.97	13.13	12.90	13.02	3766645	105861088.000
03/01/2012	13.03	13.12	12.95	13.03	3090826	87032664.000
03/02/2012	13.13	13.42	13.13	13.27	7379077	211091840.000
03/05/2012	13.32	13.41	12.52	12.65	11486065	320442016.000
03/06/2012	12.50	12.61	12.30	12.36	5463356	147146080.000
03/07/2012	12.26	12.93	12.16	12.81	8113346	220734208.000
03/08/2012	12.80	13.05	12.72	12.88	4722742	131812920.000
03/09/2012	13.02	13.10	12.92	12.98	3498236	98184096.000
03/12/2012	13.03	13.37	13.03	13.18	5400592	154192096.000
03/13/2012	13.20	13.35	13.13	13.31	4715177	134646944.000
03/14/2012	13.41	13.44	12.42	12.56	5805694	163708992.000
03/15/2012	12.54	12.72	12.19	12.69	4099396	110463016.000
03/16/2012	12.69	13.15	12.67	13.11	3996714	112010952.000
03/19/2012	13.07	13.32	13.00	13.20	4344631	123933216.000
03/20/2012	13.13	13.25	12.77	12.79	3093776	86555128.000
03/21/2012	12.85	12.96	12.35	12.52	3002383	81772104.000
03/22/2012	12.57	12.57	12.27	12.30	2493501	66780976.000
03/23/2012	12.27	12.47	12.05	12.16	2327479	61955540.000
03/26/2012	12.10	12.32	11.97	12.26	1917987	50794060.000
03/27/2012	12.32	12.53	12.32	12.49	3619310	97515400.000
03/28/2012	12.55	12.59	11.97	12.14	3397275	91167456.000
03/29/2012	12.03	12.46	11.96	12.15	3142843	83306320.000
03/30/2012	12.47	12.47	12.17	12.33	2466369	65969048.000
