600506 香梨股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.10	7.13	6.94	6.96	584708	4127333.000
01/05/2012	6.97	6.98	6.61	6.61	966463	6462171.000
01/06/2012	6.51	6.67	6.28	6.56	1190737	7541635.000
01/09/2012	6.51	6.80	6.35	6.79	698782	4628915.000
01/10/2012	6.85	7.12	6.78	7.12	1510275	10625997.000
01/11/2012	7.11	7.12	7.00	7.07	839532	5926996.000
01/12/2012	7.08	7.19	7.05	7.17	864823	6160820.000
01/13/2012	7.19	7.24	6.93	7.02	706898	4985588.000
01/16/2012	7.01	7.03	6.85	6.85	373500	2603670.000
01/17/2012	6.96	7.12	6.85	7.12	760940	5373623.000
01/18/2012	7.10	7.21	7.08	7.10	415350	2964534.000
01/19/2012	7.10	7.16	7.00	7.10	363548	2572842.000
01/20/2012	7.10	7.38	7.09	7.32	590961	4284334.000
01/30/2012	7.28	7.44	7.25	7.41	528255	3886004.000
01/31/2012	7.40	7.45	7.22	7.43	651192	4782635.000
02/01/2012	7.50	7.50	7.25	7.32	781345	5761586.000
02/02/2012	7.38	7.41	7.23	7.37	573960	4203547.000
02/03/2012	7.36	7.50	7.33	7.47	765549	5703735.000
02/06/2012	7.45	7.72	7.42	7.69	1466191	11112485.000
02/07/2012	7.60	7.62	7.31	7.39	1040234	7737398.000
02/08/2012	7.38	7.57	7.34	7.52	625901	4669121.000
02/09/2012	7.52	7.68	7.48	7.61	895194	6824012.000
02/10/2012	7.71	7.99	7.60	7.99	2304911	18275636.000
02/13/2012	8.02	8.39	8.02	8.39	3204698	26714004.000
02/14/2012	8.45	8.68	8.36	8.46	2702696	22937964.000
02/15/2012	8.44	8.59	8.30	8.48	1410992	11894180.000
02/16/2012	8.52	8.90	8.47	8.74	2832938	24935036.000
02/17/2012	8.50	8.80	8.44	8.60	1306441	11248020.000
02/20/2012	8.65	8.87	8.58	8.76	1236441	10809297.000
02/21/2012	8.76	9.20	8.71	9.20	3264017	29764468.000
02/22/2012	9.25	9.34	9.06	9.20	2022993	18573756.000
02/23/2012	9.15	9.20	8.91	8.99	2060926	18606144.000
02/24/2012	8.98	9.07	8.83	8.94	1610286	14434168.000
02/27/2012	8.88	9.12	8.88	8.94	2806251	25268148.000
02/28/2012	8.84	9.03	8.77	8.84	1705398	15107538.000
02/29/2012	8.80	8.89	8.58	8.59	1431457	12405903.000
03/01/2012	8.52	9.02	8.52	9.02	2048408	18276472.000
03/02/2012	9.15	9.44	9.05	9.33	2908693	26922210.000
03/05/2012	9.34	9.54	9.18	9.35	1896487	17692392.000
03/06/2012	9.28	9.40	9.21	9.25	1285176	11923177.000
03/07/2012	9.25	9.25	9.04	9.05	1488900	13624295.000
03/08/2012	9.19	9.23	9.09	9.12	870951	7973139.000
03/09/2012	9.20	9.46	9.16	9.41	1256124	11751546.000
03/12/2012	9.40	9.54	9.29	9.46	741752	6992222.000
03/13/2012	9.47	9.50	9.33	9.48	662539	6235059.000
03/14/2012	9.42	9.49	9.01	9.08	1573702	14581603.000
03/15/2012	9.08	9.25	8.79	9.11	1094597	9881475.000
03/16/2012	9.11	9.24	9.11	9.17	536118	4915870.000
03/19/2012	9.16	9.36	9.09	9.22	755098	7000443.000
03/20/2012	9.28	9.36	9.16	9.24	745557	6914683.000
03/21/2012	9.29	9.30	9.18	9.26	710305	6558944.000
03/22/2012	9.13	9.71	9.12	9.45	1854442	17710320.000
03/23/2012	9.31	9.92	9.31	9.80	3173251	31013680.000
03/26/2012	9.81	10.07	9.58	9.61	2150442	21189964.000
03/27/2012	9.54	9.85	9.54	9.84	1204207	11719911.000
03/28/2012	9.85	9.90	9.35	9.35	1837806	17512660.000
03/29/2012	9.18	9.18	8.88	8.88	1213650	10856846.000
03/30/2012	8.86	8.90	8.48	8.56	1029401	8922715.000
