600518 康美药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.06	5.12	5.00	5.02	12125783	137190992.000
01/05/2012	5.00	5.09	4.78	4.85	16941924	187726176.000
01/06/2012	4.84	5.02	4.80	5.01	8618353	94732688.000
01/09/2012	5.06	5.35	4.89	5.32	15488237	176309824.000
01/10/2012	5.30	5.48	5.19	5.37	24182352	287054400.000
01/11/2012	5.39	5.39	5.27	5.33	13015937	154193088.000
01/12/2012	5.27	5.57	5.26	5.39	21909860	265158992.000
01/13/2012	5.40	5.44	5.15	5.20	11891716	139029872.000
01/16/2012	5.16	5.21	4.92	4.93	9839908	111672624.000
01/17/2012	4.93	5.31	4.78	5.25	14779149	167110400.000
01/18/2012	5.26	5.44	4.97	4.99	20878965	240449136.000
01/19/2012	4.97	5.10	4.96	5.04	12993320	146500576.000
01/20/2012	5.09	5.41	5.07	5.37	19461112	229566704.000
01/30/2012	5.39	5.42	5.28	5.35	9398036	112064392.000
01/31/2012	5.35	5.40	5.32	5.37	6150394	73292048.000
02/01/2012	5.37	5.51	5.35	5.39	10436867	126018968.000
02/02/2012	5.42	5.49	5.33	5.48	12775368	153406592.000
02/03/2012	5.47	5.58	5.44	5.55	13015260	158980960.000
02/06/2012	5.59	5.64	5.52	5.57	12578957	155311232.000
02/07/2012	5.56	5.56	5.32	5.40	9625224	116197408.000
02/08/2012	5.39	5.54	5.36	5.49	11352798	137449952.000
02/09/2012	5.49	5.64	5.48	5.62	16040763	198471520.000
02/10/2012	5.58	5.66	5.53	5.55	9547508	118064008.000
02/13/2012	5.53	5.64	5.44	5.63	13268694	163542848.000
02/14/2012	5.63	5.71	5.55	5.65	11397299	142237568.000
02/15/2012	5.64	5.70	5.60	5.64	9318454	116415920.000
02/16/2012	5.63	5.71	5.58	5.62	9309771	116328880.000
02/17/2012	5.65	5.68	5.55	5.60	6836932	84795096.000
02/20/2012	5.67	5.74	5.57	5.61	10255405	128535256.000
02/21/2012	5.63	5.66	5.49	5.61	6687481	82649024.000
02/22/2012	5.65	5.83	5.60	5.74	14637858	185103680.000
02/23/2012	5.75	5.95	5.75	5.84	14358101	185637008.000
02/24/2012	5.85	5.92	5.75	5.88	10272732	132396336.000
