600526 菲达环保 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.88	5.95	5.60	5.61	3270768	40089056.000
01/05/2012	5.54	5.54	5.02	5.03	4805028	53449600.000
01/06/2012	4.94	5.14	4.78	5.09	2728736	28578824.000
01/09/2012	5.10	5.34	4.98	5.31	3142290	34526124.000
01/10/2012	5.31	5.59	5.25	5.50	3907566	44862060.000
01/11/2012	5.45	5.79	5.41	5.54	4010851	47164900.000
01/12/2012	5.48	5.67	5.39	5.53	3300230	38504232.000
01/13/2012	5.48	5.58	5.11	5.15	3120651	34913244.000
01/16/2012	5.15	5.15	4.91	4.92	1583943	16840616.000
01/17/2012	4.90	5.25	4.90	5.24	2127018	22978660.000
01/18/2012	5.35	5.35	5.02	5.05	2304738	25286036.000
01/19/2012	5.00	5.18	4.99	5.08	1501095	16156768.000
01/20/2012	5.08	5.19	5.08	5.14	1578611	17206008.000
01/30/2012	5.15	5.29	5.12	5.14	1538090	16874208.000
01/31/2012	5.20	5.26	5.08	5.25	1471351	16137920.000
02/01/2012	5.25	5.38	5.21	5.29	2461900	27585556.000
02/02/2012	5.30	5.37	5.20	5.36	2314715	25879136.000
02/03/2012	5.34	5.39	5.29	5.39	2572666	29106040.000
02/06/2012	5.41	5.43	5.31	5.36	2176871	24665894.000
02/07/2012	5.31	5.35	5.21	5.25	1727743	19245420.000
02/08/2012	5.26	5.40	5.20	5.39	2208268	24773020.000
02/09/2012	5.35	5.55	5.33	5.43	4170417	47932256.000
02/10/2012	5.45	5.46	5.35	5.43	2715062	31011092.000
02/13/2012	5.39	5.54	5.31	5.45	2303177	26469308.000
02/14/2012	5.44	5.52	5.39	5.46	2385236	27456700.000
02/15/2012	5.45	5.66	5.40	5.55	4575829	53484344.000
02/16/2012	5.55	5.60	5.46	5.53	2864777	33416116.000
02/17/2012	5.54	5.58	5.43	5.48	2132454	24697292.000
02/20/2012	5.56	5.58	5.45	5.46	2741666	31910642.000
