600540 新赛股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.53	5.53	5.42	5.48	2010737	14324273.000
01/05/2012	5.42	5.42	5.17	5.31	2093668	14426099.000
01/06/2012	5.29	5.31	5.14	5.30	1250728	8482597.000
01/09/2012	5.23	5.51	5.23	5.50	1702290	12018633.000
01/10/2012	5.58	6.05	5.58	5.85	5071854	38293420.000
01/11/2012	5.77	6.04	5.70	5.87	5645153	43318340.000
01/12/2012	5.77	5.86	5.73	5.79	2686395	20248122.000
01/13/2012	5.78	5.92	5.56	5.62	2206427	16353301.000
01/16/2012	5.51	5.68	5.41	5.42	1740989	12573202.000
01/17/2012	5.38	5.75	5.31	5.70	2488685	18034796.000
01/18/2012	5.71	5.82	5.55	5.62	2290504	16974376.000
01/19/2012	5.62	5.68	5.49	5.58	1661761	12116547.000
01/20/2012	5.65	5.76	5.60	5.72	1774455	13163352.000
01/30/2012	5.77	5.77	5.61	5.62	1575330	11612522.000
01/31/2012	5.56	5.62	5.32	5.48	2674896	18913568.000
02/02/2012	5.60	5.99	5.60	5.68	5341184	39792260.000
02/03/2012	5.70	5.83	5.58	5.75	5216116	38699824.000
02/06/2012	5.85	5.85	5.69	5.77	3658246	27345308.000
02/07/2012	5.77	5.77	5.61	5.63	2098739	15438701.000
02/08/2012	5.64	5.76	5.59	5.76	3328425	24698824.000
02/09/2012	5.79	5.85	5.74	5.81	4647772	35054248.000
02/10/2012	5.80	6.02	5.77	5.92	8480530	65117968.000
02/13/2012	5.86	5.95	5.80	5.92	4995949	38144932.000
02/14/2012	5.88	5.92	5.82	5.87	2980483	22714672.000
02/15/2012	5.86	5.99	5.82	5.99	5644341	43536128.000
02/16/2012	5.99	6.10	5.88	5.96	6027720	47025008.000
02/17/2012	5.97	5.99	5.86	5.92	3922641	30230950.000
02/20/2012	6.00	6.03	5.91	5.92	3559697	27493526.000
02/21/2012	5.94	6.02	5.88	6.01	4062464	31503900.000
02/22/2012	6.00	6.18	5.96	6.12	7068046	55813248.000
02/23/2012	6.08	6.19	6.02	6.18	6761788	53790124.000
02/24/2012	6.15	6.22	6.09	6.20	6093018	48825392.000
02/27/2012	6.23	6.44	6.18	6.28	8362324	68554024.000
02/28/2012	6.24	6.53	6.24	6.43	13462303	111863400.000
02/29/2012	6.37	6.39	6.18	6.22	7071036	57657868.000
03/01/2012	6.18	6.48	6.16	6.46	9238049	76296656.000
03/02/2012	6.44	6.55	6.38	6.53	12225353	102970992.000
03/05/2012	6.59	6.83	6.41	6.71	15188580	130579744.000
03/06/2012	7.00	7.12	6.62	6.65	19621537	174738496.000
03/07/2012	6.47	6.56	6.38	6.47	9754251	81998320.000
03/08/2012	6.46	6.52	6.41	6.44	6546608	54872200.000
03/09/2012	6.47	6.60	6.45	6.51	5916635	50003828.000
03/12/2012	6.51	6.51	6.35	6.38	6589463	54750072.000
03/13/2012	6.38	6.42	6.33	6.42	4549650	37773088.000
03/14/2012	6.43	6.46	5.85	6.01	9192415	74509088.000
03/15/2012	6.02	6.05	5.69	5.77	5369492	40777896.000
03/16/2012	5.77	5.96	5.75	5.93	4716118	35963140.000
03/19/2012	5.99	6.11	5.95	6.04	4082965	31924192.000
03/20/2012	6.02	6.02	5.87	5.96	2798211	21533830.000
03/21/2012	5.96	6.02	5.87	6.00	3379330	26099284.000
03/22/2012	5.98	5.98	5.86	5.92	2197427	16902538.000
03/23/2012	5.92	5.93	5.71	5.75	2217128	16712894.000
03/26/2012	5.77	5.80	5.69	5.72	1341973	10030557.000
03/27/2012	5.77	5.81	5.71	5.75	1361864	10202355.000
03/28/2012	5.73	5.73	5.33	5.38	2844927	20343562.000
03/29/2012	5.32	5.38	5.06	5.14	5148819	34823476.000
03/30/2012	5.15	5.16	5.01	5.06	3654925	24194808.000
04/06/2012	5.21	5.57	5.15	5.57	13115976	91533712.000
04/09/2012	5.54	5.55	5.32	5.35	9027322	63858092.000
04/10/2012	5.24	5.48	5.23	5.46	4894487	34091704.000
04/11/2012	5.40	5.42	5.24	5.39	4691803	32623168.000
04/12/2012	5.35	5.50	5.35	5.48	5432476	38374604.000
04/13/2012	5.48	5.59	5.46	5.52	4712522	33828580.000
04/16/2012	5.49	5.58	5.44	5.51	4157780	29824128.000
04/17/2012	5.48	5.63	5.48	5.57	6140158	44437272.000
04/18/2012	5.51	5.66	5.46	5.65	5919335	42961972.000
04/19/2012	5.65	5.67	5.58	5.62	3517180	25651654.000
04/20/2012	5.61	5.68	5.58	5.67	4504447	33039904.000
04/23/2012	5.66	5.66	5.39	5.40	4338319	31189964.000
04/24/2012	5.38	5.45	5.12	5.29	4487051	30808354.000
04/25/2012	5.28	5.43	5.23	5.43	3439420	23934036.000
