600543 莫高股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	9.03	9.11	8.65	8.68	1771713	15780649.000
01/05/2012	8.57	8.71	8.12	8.20	2248145	19052084.000
01/06/2012	8.27	8.27	7.89	8.19	2298507	18568060.000
01/09/2012	8.16	8.48	8.06	8.44	2249160	18789182.000
01/10/2012	8.48	8.89	8.44	8.83	3168721	27799412.000
01/11/2012	8.84	8.85	8.63	8.75	2157430	18908854.000
01/12/2012	8.66	8.83	8.63	8.68	1582109	13846221.000
01/13/2012	8.68	8.77	8.29	8.41	1872415	15909967.000
01/16/2012	8.35	8.35	7.92	7.96	2164880	17600272.000
01/17/2012	8.01	8.38	7.91	8.25	2677261	21882036.000
01/18/2012	8.27	8.41	7.97	8.13	2560734	21038160.000
01/19/2012	8.02	8.25	7.87	8.02	1744641	14176381.000
01/20/2012	8.05	8.28	8.05	8.27	1990774	16402514.000
01/30/2012	8.27	8.37	8.13	8.26	1616555	13452794.000
01/31/2012	8.27	8.43	8.20	8.42	1507543	12589635.000
02/01/2012	8.41	8.54	8.30	8.33	1790841	15108029.000
02/02/2012	8.31	8.50	8.31	8.47	1797557	15232764.000
02/03/2012	8.49	8.60	8.39	8.52	1999129	17036356.000
02/06/2012	8.54	8.59	8.45	8.58	2122456	18191754.000
02/07/2012	8.52	8.52	8.30	8.33	1991948	16757687.000
02/08/2012	8.33	8.53	8.27	8.51	2414584	20413380.000
02/09/2012	8.51	8.67	8.38	8.65	3275141	28223828.000
02/10/2012	8.64	8.74	8.57	8.67	2671903	23212046.000
02/13/2012	8.64	8.83	8.55	8.73	2514479	21952564.000
02/14/2012	8.73	8.77	8.65	8.68	2021362	17628788.000
02/15/2012	8.69	8.82	8.59	8.81	2818271	24711220.000
02/16/2012	8.81	8.89	8.71	8.80	2625370	23202122.000
02/17/2012	8.80	8.97	8.72	8.81	2305696	20448488.000
02/20/2012	8.88	9.02	8.82	8.83	3101792	27780808.000
02/21/2012	8.83	9.00	8.73	8.99	2918388	26027424.000
02/22/2012	8.99	9.27	8.97	9.24	4861983	44669560.000
02/23/2012	9.24	9.59	9.19	9.38	5835291	55183456.000
02/24/2012	9.37	9.63	9.36	9.49	4412394	42119500.000
02/27/2012	9.49	9.59	9.38	9.40	3816212	36433844.000
02/28/2012	9.32	9.76	9.29	9.69	5528015	52842984.000
02/29/2012	9.69	9.75	9.50	9.52	3038046	29246524.000
03/01/2012	9.47	9.57	9.39	9.42	2684736	25488876.000
03/02/2012	9.44	9.61	9.44	9.54	1878751	17979958.000
03/05/2012	9.57	10.02	9.47	9.95	6066854	59466760.000
03/06/2012	9.92	10.41	9.82	9.94	6913979	70089712.000
03/07/2012	9.89	10.26	9.83	10.07	4869802	49436404.000
03/08/2012	10.02	10.22	10.02	10.08	3192093	32387948.000
03/09/2012	10.08	10.49	10.08	10.34	5212105	53906568.000
03/12/2012	10.37	10.46	10.14	10.26	4862689	50227972.000
03/13/2012	10.27	10.34	10.09	10.22	3759891	38353372.000
03/14/2012	10.23	10.49	9.64	9.71	6621855	67060852.000
03/15/2012	9.68	10.57	9.47	10.37	9802019	98406048.000
03/16/2012	10.49	11.05	10.35	10.90	12862907	138652544.000
03/19/2012	10.87	10.97	10.57	10.78	7372667	79526408.000
03/20/2012	10.78	10.95	10.62	10.80	6052271	65581004.000
03/21/2012	10.81	10.85	10.32	10.51	5264472	55660092.000
03/22/2012	10.47	10.72	10.39	10.56	3107153	32927224.000
03/23/2012	10.42	10.55	10.03	10.11	3869922	39792016.000
03/26/2012	10.12	10.27	9.96	10.25	2535281	25746820.000
03/27/2012	10.34	10.35	10.02	10.09	2719363	27771700.000
03/28/2012	10.02	10.07	9.37	9.50	4494535	43694268.000
03/29/2012	9.50	9.58	9.15	9.25	2588563	24368872.000
03/30/2012	9.29	9.39	9.08	9.36	1949358	18055516.000
04/05/2012	9.33	9.76	9.25	9.66	2906337	27892360.000
04/06/2012	9.62	10.03	9.62	9.76	3526609	34742044.000
04/09/2012	9.76	9.92	9.65	9.69	2039337	19997252.000
04/10/2012	9.65	9.83	9.29	9.75	2416944	23164306.000
04/11/2012	9.62	9.97	9.51	9.86	2763144	27239488.000
04/12/2012	9.87	10.03	9.79	10.00	2822358	28226108.000
04/13/2012	9.97	10.05	9.91	10.00	2329904	23299564.000
04/16/2012	9.97	10.44	9.93	10.29	4168137	42943140.000
04/17/2012	10.22	10.41	10.19	10.20	3097885	32024264.000
04/18/2012	10.26	10.46	10.17	10.43	2933334	30523028.000
04/19/2012	10.39	10.48	10.18	10.25	3030612	31288384.000
04/20/2012	10.22	10.35	10.18	10.31	2855725	29435552.000
04/23/2012	10.35	10.38	9.83	9.86	4385790	44420852.000
04/24/2012	9.77	9.97	9.46	9.76	3953914	38411572.000
04/25/2012	9.73	9.93	9.70	9.84	3508313	34670240.000
04/26/2012	9.80	9.90	9.68	9.83	2969242	29205704.000
04/27/2012	9.79	10.82	9.78	10.82	10257218	108358416.000
05/02/2012	11.22	11.74	11.01	11.13	22053456	250044800.000
05/03/2012	11.04	12.25	11.04	12.25	20924450	249428944.000
05/04/2012	12.84	13.39	12.41	12.46	43248867	555146624.000
05/07/2012	12.27	13.48	12.27	12.98	33552184	436736352.000
05/08/2012	12.73	12.92	12.57	12.86	17721412	226076208.000
05/09/2012	12.71	13.92	12.66	13.28	26917833	361010016.000
05/10/2012	13.19	13.73	13.00	13.66	19803365	265740800.000
