600548 深高速 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	2.66	2.73	2.64	2.68	1941759	7615888.000
01/05/2012	2.68	2.89	2.65	2.72	3395449	13548505.000
01/06/2012	2.73	2.74	2.61	2.69	1453266	5670381.000
01/09/2012	2.69	2.81	2.62	2.80	4186622	16575676.000
01/10/2012	2.78	2.91	2.75	2.88	4312300	17546798.000
01/11/2012	2.87	2.87	2.77	2.81	4617708	18696720.000
01/12/2012	2.79	2.83	2.75	2.80	2490019	10065882.000
01/13/2012	2.80	2.80	2.64	2.69	3564348	14075234.000
01/16/2012	2.63	2.72	2.61	2.66	1728184	6791945.000
01/17/2012	2.64	2.84	2.64	2.80	4264883	16986928.000
01/18/2012	2.79	2.82	2.71	2.73	3608600	14454838.000
01/19/2012	2.71	2.79	2.70	2.76	3457674	13829872.000
01/20/2012	2.76	2.81	2.74	2.81	3668244	14760290.000
01/30/2012	2.83	2.83	2.78	2.79	3463628	14008728.000
01/31/2012	2.77	2.81	2.75	2.80	1274464	5119325.000
02/01/2012	2.80	2.86	2.76	2.83	4782120	19439940.000
02/02/2012	2.83	2.88	2.81	2.87	3631132	14848412.000
02/03/2012	2.87	2.92	2.86	2.88	3704927	15299529.000
02/06/2012	2.85	2.89	2.84	2.88	2379215	9762083.000
02/07/2012	2.86	2.86	2.79	2.82	2357066	9569232.000
02/08/2012	2.82	2.86	2.80	2.86	5103038	20814020.000
02/09/2012	2.85	2.88	2.82	2.84	2242469	9174506.000
02/10/2012	2.84	2.88	2.84	2.85	2005721	8217935.000
02/13/2012	2.84	2.87	2.81	2.84	2189156	8929262.000
02/14/2012	2.83	2.85	2.78	2.84	2527846	10252456.000
02/15/2012	2.83	2.93	2.81	2.91	5124492	21210396.000
02/16/2012	2.91	2.93	2.86	2.88	2599848	10725798.000
02/17/2012	2.89	2.91	2.85	2.86	2488119	10241696.000
02/20/2012	2.91	2.91	2.84	2.85	2374701	9762513.000
02/21/2012	2.86	2.86	2.81	2.86	1960712	7984005.000
02/22/2012	2.86	2.90	2.84	2.90	2899302	11927624.000
02/23/2012	2.90	2.94	2.89	2.92	3821238	15870015.000
02/24/2012	2.93	3.01	2.91	2.98	5825059	24474012.000
02/27/2012	2.97	3.03	2.93	2.98	9256112	39221292.000
02/28/2012	2.98	3.00	2.94	2.99	3273758	13776499.000
02/29/2012	2.99	2.99	2.92	2.93	2682501	11231696.000
03/01/2012	2.92	2.95	2.90	2.93	2197748	9156170.000
03/02/2012	2.93	2.96	2.92	2.96	3650948	15267131.000
03/05/2012	2.97	2.99	2.90	2.91	6228059	25988212.000
03/06/2012	2.91	2.91	2.82	2.83	4065511	16637162.000
03/07/2012	2.80	2.87	2.79	2.82	2415863	9841338.000
03/08/2012	2.82	2.87	2.82	2.84	3425297	13998701.000
03/09/2012	2.86	2.90	2.84	2.88	3253490	13349445.000
03/12/2012	2.88	2.88	2.82	2.85	2571077	10525833.000
03/13/2012	2.85	2.89	2.83	2.89	2496089	10245398.000
03/14/2012	2.89	2.92	2.76	2.78	4714674	19336652.000
03/15/2012	2.76	2.78	2.70	2.70	3335121	13262675.000
03/16/2012	2.71	2.76	2.70	2.76	2098621	8321427.000
03/19/2012	2.75	2.77	2.71	2.76	1671203	6641914.000
03/20/2012	2.74	2.74	2.68	2.69	1644783	6495050.000
03/21/2012	2.70	2.73	2.67	2.73	2002550	7888719.000
03/22/2012	2.73	2.74	2.69	2.72	1346407	5324713.000
03/23/2012	2.70	2.72	2.66	2.68	2031795	7972797.000
03/26/2012	2.68	2.74	2.67	2.71	1135101	4477920.000
03/27/2012	2.72	2.73	2.69	2.70	841157	3319154.000
03/28/2012	2.70	2.72	2.59	2.62	3323026	12974825.000
03/29/2012	2.62	2.65	2.56	2.61	1955798	7513440.000
03/30/2012	2.61	2.69	2.58	2.66	2658094	10300041.000
04/05/2012	2.66	2.71	2.62	2.68	2977265	11643333.000
04/06/2012	2.68	2.70	2.64	2.66	1657474	6457594.000
04/09/2012	2.66	2.79	2.63	2.71	4320945	17175392.000
04/10/2012	2.68	2.70	2.62	2.70	1835666	7165522.000
04/11/2012	2.68	2.73	2.65	2.71	1579830	6228217.000
04/12/2012	2.70	2.79	2.70	2.77	2965189	11828098.000
04/13/2012	2.81	2.84	2.77	2.78	3733163	15087848.000
04/16/2012	2.78	2.84	2.73	2.81	3583557	14465907.000
04/17/2012	2.81	2.87	2.75	2.75	2627919	10629154.000
04/18/2012	2.76	2.83	2.76	2.82	2731313	11015396.000
04/19/2012	2.82	2.83	2.76	2.79	1838302	7397090.000
04/20/2012	2.78	2.81	2.76	2.81	2880995	11604378.000
04/23/2012	2.80	2.82	2.78	2.80	2000038	8079347.000
04/24/2012	2.78	2.83	2.74	2.82	5348167	21521180.000
04/25/2012	2.81	2.88	2.77	2.87	4059623	16527003.000
04/26/2012	2.87	2.87	2.81	2.84	2077236	8472753.000
04/27/2012	2.84	2.88	2.81	2.82	2840906	11561908.000
05/02/2012	2.85	2.90	2.84	2.88	3564553	14651625.000
05/03/2012	2.88	2.90	2.83	2.86	1799707	7386049.000
05/04/2012	2.85	2.87	2.80	2.85	2125309	8668361.000
05/07/2012	2.83	2.85	2.81	2.85	1621760	6610747.000
05/08/2012	2.85	2.85	2.82	2.84	1783717	7264561.000
05/09/2012	2.83	2.83	2.78	2.79	1790300	7237607.000
05/10/2012	2.78	2.80	2.76	2.78	878476	3532195.000
05/11/2012	2.78	2.79	2.75	2.76	1084780	4347773.000
05/14/2012	2.79	2.80	2.75	2.76	1556686	6236282.000
05/15/2012	2.76	2.77	2.71	2.75	1271140	5051186.000
05/16/2012	2.75	2.77	2.72	2.75	918053	3659404.000
05/17/2012	2.73	2.90	2.73	2.85	4290712	17511798.000
05/18/2012	2.82	3.03	2.81	2.86	8276752	34372288.000
05/21/2012	2.89	2.89	2.81	2.85	2842270	11607529.000
05/22/2012	2.86	2.87	2.81	2.84	3213415	13090604.000
05/23/2012	2.84	2.84	2.77	2.77	2957344	11943599.000
05/24/2012	2.76	2.79	2.74	2.76	2173350	8700986.000
05/25/2012	2.75	2.79	2.74	2.75	1285878	5151299.000
05/29/2012	2.80	2.85	2.77	2.84	2038210	8256798.000
05/30/2012	2.84	2.85	2.80	2.82	1396120	5667452.000
05/31/2012	2.81	2.83	2.79	2.82	1010949	4092798.000
06/01/2012	2.79	2.82	2.76	2.77	2300707	9273812.000
06/04/2012	2.74	2.74	2.69	2.70	2261806	8946883.000
