600567 山鹰纸业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	1.51	1.53	1.47	1.48	1792600	5845566.000
01/05/2012	1.48	1.48	1.43	1.45	1997842	6309894.000
01/06/2012	1.45	1.45	1.42	1.45	1492954	4656595.000
01/09/2012	1.45	1.52	1.44	1.51	6610747	21315376.000
01/10/2012	1.50	1.63	1.50	1.62	14908238	50711836.000
01/11/2012	1.63	1.75	1.61	1.71	23385067	85387248.000
01/12/2012	1.68	1.74	1.65	1.70	10472029	38375816.000
01/13/2012	1.69	1.70	1.56	1.64	11255147	39564648.000
01/16/2012	1.61	1.63	1.59	1.61	2599294	9079278.000
01/17/2012	1.60	1.71	1.59	1.69	8397548	30197540.000
01/18/2012	1.69	1.71	1.65	1.67	5917037	21474328.000
01/19/2012	1.66	1.69	1.64	1.67	3884656	13999038.000
01/20/2012	1.67	1.68	1.66	1.67	2652147	9591601.000
01/30/2012	1.68	1.68	1.65	1.65	3806433	13717950.000
01/31/2012	1.63	1.66	1.62	1.66	4732300	16789964.000
02/01/2012	1.65	1.69	1.65	1.69	5489625	19904788.000
02/02/2012	1.69	1.75	1.68	1.74	10070147	37482488.000
02/03/2012	1.75	1.76	1.73	1.75	6318839	23788280.000
02/06/2012	1.75	1.83	1.74	1.78	11199049	43265024.000
02/07/2012	1.78	1.78	1.75	1.77	6924803	26393538.000
02/08/2012	1.77	1.85	1.76	1.85	12262079	48230352.000
02/09/2012	1.85	1.87	1.83	1.85	8518982	33999188.000
02/10/2012	1.85	1.93	1.85	1.92	10356526	42301244.000
02/13/2012	1.90	1.95	1.88	1.94	8266148	34264748.000
02/14/2012	1.93	2.12	1.93	2.05	28608257	124911960.000
02/15/2012	2.05	2.05	2.02	2.05	11645635	51153420.000
02/16/2012	2.05	2.10	2.01	2.04	7398669	32724988.000
02/17/2012	2.04	2.06	2.01	2.03	4577973	20022698.000
02/20/2012	2.05	2.07	2.00	2.02	14147669	61481336.000
02/21/2012	2.02	2.05	1.95	2.03	12276004	52628440.000
02/22/2012	2.01	2.05	2.00	2.04	7328391	31928244.000
02/23/2012	2.04	2.10	2.03	2.06	9067224	40244032.000
02/24/2012	2.06	2.12	2.04	2.09	7948588	35378652.000
02/27/2012	2.09	2.15	2.09	2.11	9489785	43315872.000
02/28/2012	2.11	2.12	2.01	2.04	7880078	34758800.000
02/29/2012	2.04	2.04	1.95	1.99	9413113	40392836.000
03/01/2012	1.99	2.03	1.97	1.99	4785223	20598816.000
03/02/2012	1.99	2.04	1.99	2.03	6503004	28182172.000
03/05/2012	2.07	2.16	2.05	2.10	15062414	68516760.000
03/06/2012	2.09	2.27	2.08	2.21	36532892	172133856.000
03/07/2012	2.19	2.35	2.18	2.31	26588807	129650672.000
03/08/2012	2.30	2.30	2.23	2.28	12942375	62735260.000
