600571 信雅达 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.81	3.83	3.59	3.61	669627	5415719.000
01/05/2012	3.60	3.64	3.36	3.39	821564	6252039.000
01/06/2012	3.42	3.46	3.28	3.42	667944	4934022.000
01/09/2012	3.43	3.56	3.38	3.56	1940294	14824148.000
01/10/2012	3.55	3.76	3.55	3.71	2072320	16418132.000
01/11/2012	3.69	3.87	3.68	3.77	2665332	21960500.000
01/12/2012	3.73	3.80	3.71	3.75	1555283	12672185.000
01/13/2012	3.73	3.75	3.53	3.56	1231473	9693929.000
01/16/2012	3.53	3.57	3.38	3.40	620183	4710648.000
01/17/2012	3.41	3.63	3.33	3.62	2325441	17713650.000
01/18/2012	3.60	3.65	3.28	3.31	3984703	30169734.000
01/19/2012	3.30	3.35	3.17	3.34	2248316	16116112.000
01/20/2012	3.34	3.37	3.31	3.35	892843	6543256.000
01/30/2012	3.37	3.41	3.35	3.36	1037538	7669272.000
01/31/2012	3.36	3.38	3.27	3.32	745487	5401398.000
02/01/2012	3.32	3.37	3.28	3.34	844581	6152921.000
02/02/2012	3.34	3.42	3.31	3.42	1161181	8564310.000
02/03/2012	3.40	3.52	3.40	3.51	1871137	14188991.000
02/06/2012	3.50	3.54	3.48	3.52	1121748	8589062.000
02/07/2012	3.50	3.60	3.43	3.54	1752035	13252859.000
02/08/2012	3.51	3.61	3.48	3.60	2899991	22467840.000
02/09/2012	3.60	3.70	3.58	3.62	2997082	23670626.000
02/10/2012	3.61	3.65	3.57	3.58	2164300	16982324.000
02/13/2012	3.54	3.71	3.54	3.69	2938970	23350668.000
02/14/2012	3.72	3.72	3.63	3.65	1488670	11830194.000
02/15/2012	3.66	3.76	3.63	3.75	2292850	18559284.000
02/16/2012	3.75	3.82	3.68	3.80	2642487	21602306.000
02/17/2012	3.81	3.82	3.71	3.75	2161159	17595012.000
02/20/2012	3.80	3.84	3.75	3.77	2497621	20514304.000
02/21/2012	3.77	3.80	3.69	3.79	1839262	14979235.000
02/22/2012	3.79	3.91	3.79	3.87	3394081	28269374.000
02/23/2012	3.84	3.91	3.82	3.84	2582388	21561150.000
02/24/2012	3.87	3.89	3.82	3.88	2608911	21791196.000
02/27/2012	3.93	4.03	3.86	4.00	5076709	43202888.000
02/28/2012	3.99	4.06	3.88	3.94	4234746	36144288.000
02/29/2012	3.94	3.94	3.82	3.84	2608242	21760732.000
03/01/2012	3.84	3.91	3.82	3.90	2340917	19633656.000
03/02/2012	3.90	3.95	3.88	3.94	2002808	16970156.000
03/05/2012	3.94	3.97	3.92	3.95	1973165	16817654.000
03/06/2012	3.95	3.95	3.84	3.91	2133016	17914608.000
03/07/2012	3.90	3.95	3.86	3.92	1839228	15563651.000
03/08/2012	3.96	4.34	3.95	4.04	8723590	78638704.000
03/09/2012	4.05	4.06	3.98	4.04	4926154	42804256.000
03/12/2012	4.05	4.12	4.03	4.11	3764700	32951080.000
03/13/2012	4.10	4.11	4.04	4.10	2374407	20866644.000
03/14/2012	4.11	4.17	3.87	3.87	5748594	50213816.000
03/15/2012	3.85	3.90	3.67	3.74	4346468	35506792.000
03/16/2012	3.74	3.86	3.74	3.85	2822938	23217806.000
03/19/2012	3.83	3.91	3.83	3.90	2774025	23213856.000
03/20/2012	3.89	3.89	3.80	3.86	2665410	22223860.000
03/21/2012	3.85	4.27	3.85	4.17	14619300	129412560.000
03/22/2012	4.13	4.31	4.08	4.19	15045349	136514560.000
03/23/2012	4.06	4.31	4.05	4.27	13580995	123250568.000
03/26/2012	4.19	4.38	4.19	4.28	10468443	96493472.000
03/27/2012	4.33	4.42	4.20	4.22	8106654	74401072.000
03/28/2012	4.28	4.28	3.76	3.82	7280103	61531752.000
03/29/2012	3.72	3.72	3.51	3.54	5079365	39775768.000
03/30/2012	3.52	3.58	3.41	3.53	2640529	20158380.000
04/05/2012	3.53	3.66	3.47	3.64	2370871	18509992.000
04/06/2012	3.62	3.72	3.60	3.68	2922011	23270614.000
04/09/2012	3.64	3.67	3.53	3.54	2641422	20679740.000
04/10/2012	3.56	3.56	3.28	3.52	4602700	34415576.000
04/11/2012	3.45	3.56	3.40	3.55	2287445	17465044.000
04/12/2012	3.56	3.72	3.56	3.69	4373212	34879368.000
04/13/2012	3.69	3.76	3.67	3.74	4352741	35184032.000
04/16/2012	3.72	3.81	3.69	3.78	3321035	27190388.000
04/17/2012	3.78	3.81	3.71	3.72	2794294	22758600.000
04/18/2012	3.74	3.85	3.74	3.84	3799974	31301900.000
04/19/2012	3.84	3.90	3.81	3.85	4004789	33389944.000
04/20/2012	3.83	3.90	3.76	3.88	3222512	26819520.000
04/23/2012	3.87	3.87	3.71	3.72	3528353	28921418.000
04/24/2012	3.72	3.76	3.50	3.66	3124284	24701656.000
04/25/2012	3.66	3.76	3.64	3.74	2380703	19197178.000
04/26/2012	3.76	3.98	3.76	3.85	5571867	46794268.000
04/27/2012	3.91	3.91	3.72	3.77	2722669	22343976.000
05/02/2012	3.82	3.88	3.75	3.85	2785710	23066940.000
05/03/2012	3.85	3.88	3.80	3.87	2157750	17942888.000
05/04/2012	3.91	3.95	3.83	3.88	3242465	27269668.000
05/07/2012	3.87	3.93	3.83	3.92	2437263	20453200.000
05/08/2012	3.93	3.99	3.90	3.93	2775152	23629562.000
05/09/2012	3.92	4.00	3.89	3.98	4857997	41513316.000
05/10/2012	3.98	3.99	3.89	3.90	3109036	26418356.000
05/14/2012	3.90	3.96	3.82	3.85	2258300	18875312.000
05/15/2012	3.84	3.84	3.71	3.80	1974773	16101421.000
05/16/2012	3.79	3.82	3.72	3.76	1544637	12641130.000
05/17/2012	3.73	3.84	3.73	3.81	1351301	11110865.000
05/18/2012	3.77	3.80	3.70	3.71	1478068	12021423.000
05/21/2012	3.67	3.75	3.66	3.71	632821	5103341.000
05/22/2012	3.72	3.77	3.72	3.77	812109	6613991.000
05/23/2012	3.77	3.77	3.61	3.67	1987437	15912628.000
05/24/2012	3.66	3.75	3.65	3.71	1319162	10595244.000
05/25/2012	3.73	3.73	3.59	3.59	1424100	11296627.000
05/28/2012	3.55	3.67	3.51	3.66	989578	7735873.000
05/29/2012	3.64	3.75	3.64	3.72	1665221	13441059.000
05/30/2012	3.72	3.79	3.72	3.75	1301366	10606703.000
05/31/2012	3.73	3.78	3.73	3.76	1382070	11254856.000
06/01/2012	3.77	3.79	3.70	3.72	922371	7495515.000
06/04/2012	3.66	3.66	3.53	3.56	1452090	11405606.000
06/05/2012	3.56	3.58	3.52	3.53	1124155	8696942.000
