600577 精达股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	2.18	2.21	2.10	2.11	1554601	13939096.000
01/05/2012	2.07	2.12	2.01	2.03	1079856	9372530.000
01/06/2012	2.03	2.08	1.98	2.07	1126163	9555117.000
01/09/2012	2.07	2.18	2.07	2.17	1473356	13168442.000
01/10/2012	2.17	2.22	2.16	2.20	1956348	17909546.000
01/11/2012	2.18	2.21	2.17	2.19	913126	8328652.000
01/12/2012	2.19	2.28	2.18	2.23	1405511	13121254.000
01/13/2012	2.21	2.23	2.15	2.18	885349	8050049.000
01/16/2012	2.11	2.20	2.11	2.16	382798	3472889.000
01/17/2012	2.16	2.27	2.16	2.26	1269330	11813781.000
01/18/2012	2.26	2.29	2.21	2.21	610995	5719973.000
01/19/2012	2.21	2.26	2.20	2.21	677680	6291356.000
01/20/2012	2.19	2.25	2.19	2.23	996491	9222453.000
01/30/2012	2.24	2.26	2.20	2.20	425041	3955740.000
01/31/2012	2.20	2.22	2.18	2.20	287687	2637618.000
02/01/2012	2.19	2.22	2.19	2.20	331700	3044587.000
02/02/2012	2.22	2.31	2.19	2.26	767284	7162757.000
02/03/2012	2.25	2.35	2.23	2.33	1946981	18780108.000
02/06/2012	2.35	2.41	2.33	2.40	3016673	29824036.000
02/07/2012	2.40	2.46	2.36	2.40	4656250	46899204.000
02/08/2012	2.39	2.46	2.38	2.44	1795317	18126224.000
02/09/2012	2.44	2.48	2.42	2.45	1751007	17774368.000
02/10/2012	2.46	2.47	2.41	2.42	1610598	16346785.000
02/13/2012	2.40	2.48	2.39	2.47	1416624	14422701.000
02/14/2012	2.46	2.47	2.42	2.44	1206470	12256598.000
02/15/2012	2.44	2.56	2.44	2.52	3642311	38161716.000
02/16/2012	2.53	2.56	2.49	2.50	1575811	16517134.000
02/17/2012	2.51	2.56	2.47	2.55	2567094	26767456.000
02/20/2012	2.57	2.65	2.55	2.58	2796585	30085580.000
02/21/2012	2.56	2.65	2.56	2.63	2198436	23894784.000
02/22/2012	2.63	2.67	2.61	2.64	2858206	31318312.000
02/23/2012	2.66	2.68	2.62	2.63	2734119	29985416.000
02/24/2012	2.63	2.68	2.61	2.64	3928938	43190312.000
02/27/2012	2.64	2.67	2.58	2.62	5421555	58825168.000
02/29/2012	2.63	2.68	2.50	2.53	9300292	100633016.000
03/01/2012	2.52	2.57	2.48	2.54	3852174	40405516.000
03/02/2012	2.54	2.62	2.54	2.60	4067919	43622500.000
03/05/2012	2.61	2.72	2.59	2.71	6514676	71877248.000
03/06/2012	2.70	2.73	2.67	2.70	5006995	56093156.000
03/07/2012	2.68	2.71	2.61	2.63	4374313	48174664.000
03/08/2012	2.63	2.68	2.62	2.65	3080793	33871096.000
03/09/2012	2.66	2.73	2.66	2.71	3414384	38135364.000
03/12/2012	2.73	2.80	2.72	2.78	4729791	53991176.000
03/13/2012	2.78	2.80	2.74	2.78	3223929	36869832.000
03/14/2012	2.79	2.99	2.66	2.77	13321756	157478752.000
03/15/2012	2.75	2.94	2.75	2.86	13849624	164276304.000
03/16/2012	2.85	2.99	2.81	2.99	11382880	136344640.000
03/19/2012	2.99	3.01	2.91	2.97	6828830	83266648.000
03/21/2012	2.89	2.93	2.76	2.89	9291061	109916648.000
03/22/2012	2.88	2.98	2.84	2.94	5660000	68254512.000
03/23/2012	2.91	2.93	2.81	2.84	4709336	55534456.000
03/26/2012	2.84	2.86	2.75	2.79	3029718	34729976.000
03/27/2012	2.81	2.82	2.74	2.77	3062277	35251988.000
03/28/2012	2.75	2.76	2.48	2.51	6176123	66417624.000
03/29/2012	2.50	2.57	2.48	2.56	2745895	28890742.000
03/30/2012	2.58	2.58	2.46	2.53	3800753	39481368.000
04/05/2012	2.57	2.67	2.52	2.66	4954195	53363680.000
04/06/2012	2.63	2.67	2.62	2.63	2880054	31559644.000
04/09/2012	2.62	2.65	2.59	2.60	2980818	32337928.000
04/10/2012	2.59	2.63	2.51	2.63	3616619	38523888.000
04/11/2012	2.63	2.82	2.57	2.68	6426790	35979320.000
04/12/2012	2.62	2.70	2.59	2.69	8175560	44575844.000
04/13/2012	2.69	2.71	2.62	2.65	6057252	33007708.000
04/16/2012	2.60	2.76	2.59	2.74	8292367	45669016.000
04/17/2012	2.71	2.76	2.66	2.67	4860795	26866026.000
04/18/2012	2.67	2.75	2.64	2.73	5323006	29582760.000
04/19/2012	2.71	2.76	2.67	2.70	5166887	28730426.000
04/20/2012	2.68	2.76	2.67	2.72	4074945	22716816.000
04/23/2012	2.73	2.76	2.68	2.70	4262286	23704188.000
04/24/2012	2.69	2.71	2.56	2.62	5553926	29863972.000
04/25/2012	2.62	2.62	2.55	2.60	5140098	27244964.000
04/26/2012	2.60	2.66	2.57	2.63	4363973	23430048.000
04/27/2012	2.61	2.64	2.58	2.59	2310141	12322061.000
05/02/2012	2.65	2.83	2.61	2.82	15085740	85533728.000
05/03/2012	2.82	2.83	2.76	2.79	7260275	41497272.000
05/04/2012	2.80	2.82	2.76	2.80	5410252	30968732.000
05/07/2012	2.85	2.85	2.77	2.81	5806118	33445824.000
05/08/2012	2.83	2.83	2.76	2.78	3950091	22522084.000
05/09/2012	2.76	2.77	2.71	2.71	3895408	21817582.000
05/10/2012	2.71	2.83	2.71	2.78	4098351	23431874.000
05/11/2012	2.78	2.97	2.78	2.93	15097738	89261712.000
05/14/2012	2.96	3.06	2.88	2.98	14213101	87010016.000
05/15/2012	2.90	3.06	2.90	3.04	10362966	63599752.000
05/16/2012	3.04	3.25	3.04	3.09	16963146	108849744.000
05/17/2012	3.09	3.40	3.04	3.40	30594686	203941904.000
05/18/2012	3.40	3.47	3.25	3.31	23534822	160342736.000
05/21/2012	3.33	3.39	3.10	3.24	18035712	118516536.000
05/22/2012	3.23	3.39	3.22	3.24	16835924	113016456.000
05/23/2012	3.19	3.35	3.15	3.32	16111354	106533224.000
05/24/2012	3.28	3.32	3.17	3.25	9327600	61770072.000
05/25/2012	3.24	3.37	3.18	3.30	11689890	78357968.000
05/28/2012	3.23	3.27	3.09	3.20	15924676	103011016.000
05/29/2012	3.20	3.28	3.14	3.25	10433977	68715648.000
05/30/2012	3.23	3.34	3.21	3.26	8424760	56311204.000
05/31/2012	3.22	3.36	3.19	3.32	11375287	77002592.000
06/01/2012	3.33	3.35	3.21	3.22	8300103	55500820.000
06/04/2012	3.17	3.26	3.11	3.14	13708067	88921840.000
06/05/2012	3.14	3.31	3.14	3.30	11462400	76017248.000
06/06/2012	3.31	3.43	3.31	3.43	19705291	136289792.000
06/07/2012	3.43	3.45	3.27	3.32	18255735	125178976.000
06/08/2012	3.31	3.35	3.08	3.28	13797467	90576368.000
06/11/2012	3.20	3.29	3.18	3.23	7662192	50807924.000
06/12/2012	3.23	3.25	3.18	3.20	5954063	39031620.000
06/13/2012	3.20	3.26	3.18	3.23	5059117	33328764.000
06/14/2012	3.23	3.29	3.20	3.23	6211725	41261104.000
06/15/2012	3.25	3.28	3.21	3.24	3930856	26008144.000
06/18/2012	3.21	3.57	3.21	3.48	22416093	157516736.000
06/19/2012	3.43	3.51	3.40	3.47	11331100	79671064.000
06/20/2012	3.44	3.52	3.39	3.41	9261113	64930352.000
06/25/2012	3.31	3.38	3.23	3.26	9242881	62013592.000
06/26/2012	3.26	3.31	3.00	3.16	12184477	78241800.000
06/27/2012	3.15	3.16	3.03	3.07	9260398	58356848.000
06/28/2012	3.07	3.15	2.76	2.76	16130448	95442544.000
06/29/2012	2.69	2.79	2.56	2.75	11757760	64236308.000
07/02/2012	2.74	2.82	2.73	2.78	6740518	38358824.000
07/03/2012	2.77	2.81	2.55	2.62	11726814	64082672.000
07/04/2012	2.62	2.70	2.57	2.65	6533479	35506408.000
07/05/2012	2.65	2.65	2.58	2.59	3007554	16098630.000
07/06/2012	2.59	2.65	2.57	2.64	4976162	26730852.000
07/09/2012	2.64	2.75	2.63	2.74	8394151	46641264.000
07/10/2012	2.74	2.88	2.73	2.83	9213278	53499528.000
07/11/2012	2.81	2.91	2.74	2.85	6815869	39916996.000
07/12/2012	2.85	2.86	2.78	2.85	5737379	33122552.000
07/13/2012	2.83	2.87	2.73	2.74	5289133	30045866.000
07/16/2012	2.74	2.77	2.53	2.53	5746501	30873712.000
07/17/2012	2.52	2.59	2.52	2.56	4291906	22481702.000
07/18/2012	2.57	2.59	2.48	2.54	4389391	22804640.000
07/19/2012	2.56	2.57	2.51	2.53	6798952	35381480.000
07/20/2012	2.52	2.52	2.43	2.45	6075806	30851150.000
07/23/2012	2.39	2.48	2.28	2.47	6666613	32490148.000
07/24/2012	2.47	2.54	2.42	2.47	6247750	31882152.000
07/25/2012	2.44	2.55	2.44	2.50	4063854	20961768.000
07/26/2012	2.53	2.60	2.49	2.54	4586343	24015160.000
07/27/2012	2.54	2.57	2.50	2.51	1899831	9843680.000
07/30/2012	2.53	2.53	2.45	2.45	1714503	8772166.000
07/31/2012	2.46	2.48	2.34	2.43	3609953	17737304.000
08/01/2012	2.41	2.48	2.41	2.47	1964015	9880115.000
08/02/2012	2.47	2.52	2.41	2.46	3181199	16149162.000
08/03/2012	2.46	2.50	2.45	2.49	2307401	11733309.000
08/06/2012	2.46	2.55	2.45	2.54	5164046	26448796.000
08/07/2012	2.56	2.59	2.51	2.58	4851700	25448468.000
08/08/2012	2.58	2.61	2.55	2.58	2950666	15609930.000
08/09/2012	2.58	2.63	2.51	2.63	6635056	35151440.000
08/10/2012	2.63	2.63	2.57	2.58	3293379	17540586.000
08/13/2012	2.58	2.58	2.49	2.50	2436919	12679091.000
08/14/2012	2.47	2.55	2.47	2.52	3586196	18412500.000
08/15/2012	2.49	2.54	2.43	2.45	4824018	24433908.000
08/16/2012	2.44	2.49	2.43	2.49	1756255	8867975.000
08/17/2012	2.48	2.50	2.45	2.49	2002500	10213474.000
08/20/2012	2.46	2.50	2.44	2.48	1901147	9608744.000
08/21/2012	2.47	2.74	2.45	2.70	14107304	77024456.000
08/22/2012	2.63	2.70	2.62	2.64	5724170	31114644.000
08/23/2012	2.64	2.66	2.59	2.64	3394968	18326116.000
08/24/2012	2.64	2.73	2.62	2.69	7839668	43339180.000
08/27/2012	2.67	2.77	2.61	2.64	5336755	29305416.000
08/28/2012	2.61	2.69	2.59	2.67	3242817	17609636.000
08/29/2012	2.63	2.73	2.63	2.67	4621100	25546796.000
08/30/2012	2.67	2.76	2.64	2.73	7316851	40626496.000
08/31/2012	2.72	2.87	2.71	2.83	8857755	51068388.000
09/03/2012	2.82	2.90	2.79	2.84	5759039	33399470.000
09/04/2012	2.83	2.90	2.78	2.80	4860411	28169760.000
09/05/2012	2.83	2.83	2.74	2.80	4014282	22964462.000
09/06/2012	2.80	2.84	2.78	2.82	3098471	17815158.000
09/07/2012	2.84	2.95	2.83	2.91	6943303	41184692.000
09/10/2012	2.90	2.93	2.85	2.91	4522422	26662886.000
09/11/2012	2.88	2.89	2.82	2.84	4152268	24168572.000
09/12/2012	2.88	2.88	2.76	2.81	4364738	25068556.000
09/13/2012	2.83	2.83	2.78	2.79	3608689	20714412.000
09/14/2012	2.82	2.84	2.73	2.75	5226265	29537468.000
09/17/2012	2.77	2.78	2.69	2.69	2647918	14725898.000
09/18/2012	2.67	2.72	2.64	2.72	2377075	13069768.000
09/19/2012	2.73	2.73	2.68	2.71	2205504	12249344.000
09/20/2012	2.68	2.71	2.48	2.52	3736480	19775836.000
09/21/2012	2.55	2.57	2.52	2.54	1796191	9393441.000
09/24/2012	2.54	2.57	2.48	2.54	1867963	9691197.000
09/25/2012	2.56	2.56	2.50	2.53	1039030	5378791.000
09/26/2012	2.54	2.54	2.36	2.38	3933709	19487152.000
09/27/2012	2.39	2.55	2.36	2.47	4303827	21889654.000
09/28/2012	2.47	2.53	2.44	2.48	4364196	22376588.000
10/08/2012	2.53	2.54	2.45	2.47	2155658	11002344.000
10/09/2012	2.47	2.53	2.47	2.53	4715222	24185228.000
10/10/2012	2.53	2.56	2.51	2.55	3076144	16020035.000
10/11/2012	2.54	2.55	2.49	2.50	2764014	14301989.000
10/12/2012	2.48	2.55	2.45	2.51	2923819	15032583.000
10/15/2012	2.49	2.53	2.45	2.49	2949698	15066318.000
10/16/2012	2.49	2.50	2.46	2.47	2310200	11759288.000
10/17/2012	2.48	2.49	2.44	2.47	1168589	5919552.000
10/18/2012	2.47	2.56	2.47	2.54	4574274	23771388.000
10/19/2012	2.54	2.56	2.50	2.52	2322859	12051293.000
10/22/2012	2.52	2.54	2.48	2.53	2670944	13783535.000
10/26/2012	2.42	2.63	2.27	2.56	13548594	66357572.000
10/29/2012	2.42	2.50	2.38	2.44	5266823	26406516.000
10/30/2012	2.42	2.49	2.39	2.44	3704705	18424138.000
10/31/2012	2.42	2.46	2.39	2.41	2425574	12015787.000
11/01/2012	2.41	2.45	2.40	2.42	3036514	15179493.000
11/02/2012	2.42	2.44	2.40	2.41	2394677	11889900.000
11/05/2012	2.42	2.49	2.35	2.48	7793510	38827524.000
11/06/2012	2.46	2.54	2.44	2.52	8673083	44523028.000
11/07/2012	2.51	2.52	2.47	2.48	4194398	21409184.000
11/08/2012	2.44	2.48	2.36	2.48	3889903	19389160.000
11/09/2012	2.43	2.46	2.41	2.44	1606922	8030571.000
11/12/2012	2.42	2.45	2.38	2.39	2777868	13774688.000
11/13/2012	2.38	2.41	2.31	2.39	5173844	24975460.000
11/14/2012	2.38	2.53	2.36	2.44	5143502	25535656.000
11/15/2012	2.43	2.43	2.38	2.39	2176602	10720950.000
11/16/2012	2.38	2.48	2.34	2.36	2726589	13285551.000
11/19/2012	2.35	2.36	2.31	2.34	2894772	13927190.000
11/20/2012	2.34	2.35	2.29	2.29	2176933	10398595.000
11/21/2012	2.29	2.31	2.18	2.23	8805724	40127044.000
11/22/2012	2.20	2.20	2.08	2.10	9557275	41995660.000
11/23/2012	2.09	2.14	2.08	2.09	7165266	31139128.000
11/26/2012	2.09	2.10	2.00	2.01	5653766	23906216.000
11/27/2012	2.01	2.03	1.93	1.94	6507192	26377308.000
12/18/2012	2.14	2.14	2.14	2.14	6930155	30631284.000
12/19/2012	2.23	2.36	2.18	2.36	76368914	358725056.000
12/20/2012	2.26	2.30	2.22	2.26	30879830	143702784.000
12/21/2012	2.31	2.35	2.18	2.19	35901443	167408720.000
12/24/2012	2.20	2.22	2.14	2.15	21345440	95261016.000
12/25/2012	2.15	2.21	2.13	2.19	24537063	110754808.000
12/26/2012	2.19	2.22	2.17	2.20	20588395	92929864.000
12/27/2012	2.22	2.23	2.18	2.20	22718271	103017600.000
12/28/2012	2.20	2.26	2.19	2.23	22882580	105095416.000
12/31/2012	2.26	2.27	2.21	2.27	21519900	99630808.000
01/04/2013	2.29	2.31	2.21	2.23	16076714	74490056.000
01/07/2013	2.23	2.25	2.20	2.24	13221321	60511960.000
01/08/2013	2.25	2.27	2.21	2.26	17460839	80666168.000
01/09/2013	2.24	2.34	2.24	2.31	26955304	127447920.000
01/10/2013	2.30	2.34	2.28	2.33	21977590	104528400.000
01/11/2013	2.33	2.34	2.24	2.26	16711887	78695352.000
01/14/2013	2.24	2.32	2.24	2.31	22209547	104591808.000
01/15/2013	2.36	2.50	2.36	2.40	42275837	210545856.000
01/16/2013	2.38	2.43	2.35	2.40	20557994	101098320.000
01/17/2013	2.41	2.42	2.35	2.36	12538183	61217392.000
01/18/2013	2.36	2.38	2.32	2.38	15035306	72964960.000
01/21/2013	2.38	2.38	2.35	2.38	12087183	58840416.000
01/22/2013	2.38	2.38	2.30	2.32	14170584	68131392.000
01/23/2013	2.30	2.47	2.29	2.43	26554522	130160832.000
01/24/2013	2.40	2.45	2.32	2.40	26645150	131035296.000
01/25/2013	2.38	2.42	2.36	2.41	20128110	99117376.000
01/28/2013	2.41	2.44	2.40	2.44	23209986	115535296.000
01/29/2013	2.44	2.44	2.40	2.42	14603123	72631536.000
01/30/2013	2.42	2.42	2.37	2.39	12952230	63710032.000
01/31/2013	2.39	2.40	2.36	2.38	9054757	44298844.000
02/01/2013	2.38	2.40	2.35	2.38	8862761	43445536.000
02/04/2013	2.38	2.46	2.38	2.40	13528246	67079332.000
02/05/2013	2.38	2.45	2.34	2.45	21138926	104232896.000
02/06/2013	2.46	2.55	2.43	2.51	38337261	196500960.000
02/07/2013	2.51	2.53	2.46	2.49	17188007	87746608.000
02/08/2013	2.49	2.52	2.48	2.51	10886435	55944088.000
02/18/2013	2.51	2.52	2.46	2.47	13049771	66404496.000
02/19/2013	2.47	2.48	2.41	2.42	12203582	61196172.000
02/20/2013	2.42	2.52	2.40	2.49	14635225	74103160.000
02/21/2013	2.47	2.48	2.42	2.43	9800615	49162360.000
02/22/2013	2.42	2.46	2.41	2.44	7776349	38941160.000
02/25/2013	2.44	2.49	2.37	2.46	15420911	77114536.000
02/26/2013	2.42	2.71	2.39	2.47	44707956	231018672.000
02/27/2013	2.47	2.49	2.40	2.42	19610166	98247104.000
02/28/2013	2.44	2.48	2.40	2.45	15389996	77012536.000
03/01/2013	2.43	2.49	2.41	2.43	26223631	131603280.000
03/04/2013	2.42	2.42	2.29	2.30	16509627	80171544.000
03/05/2013	2.31	2.34	2.28	2.34	11160707	53230708.000
03/06/2013	2.34	2.36	2.32	2.36	10718041	51809648.000
03/07/2013	2.36	2.39	2.34	2.36	9791915	47518912.000
03/08/2013	2.36	2.36	2.29	2.30	10214105	48877088.000
03/11/2013	2.29	2.32	2.28	2.30	7054209	33457192.000
03/12/2013	2.29	2.32	2.18	2.24	11925848	55224372.000
03/13/2013	2.23	2.23	2.17	2.20	6647049	30149994.000
03/14/2013	2.20	2.22	2.18	2.19	6633378	29986636.000
03/15/2013	2.19	2.22	2.14	2.18	6476777	29174624.000
03/18/2013	2.17	2.18	2.14	2.15	5676931	25186608.000
03/19/2013	2.16	2.19	2.12	2.19	7083625	31443668.000
03/20/2013	2.20	2.22	2.18	2.21	7578254	34401864.000
03/21/2013	2.21	2.24	2.20	2.23	8415397	38541288.000
03/22/2013	2.22	2.27	2.21	2.26	8552659	39549272.000
03/25/2013	2.26	2.31	2.24	2.30	10781805	50455100.000
03/26/2013	2.29	2.30	2.25	2.26	7696749	35980408.000
03/27/2013	2.26	2.27	2.23	2.24	4737314	21949326.000
03/28/2013	2.23	2.23	2.12	2.13	8502762	37860760.000
03/29/2013	2.14	2.33	2.10	2.20	16328347	73639048.000
04/01/2013	2.18	2.26	2.16	2.22	9855283	45062864.000
04/02/2013	2.21	2.29	2.18	2.24	12764412	59234540.000
04/03/2013	2.26	2.27	2.21	2.24	8482216	39192384.000
04/08/2013	2.22	2.22	2.12	2.20	4262787	19211562.000
04/09/2013	2.20	2.24	2.19	2.22	3761408	17212080.000
04/10/2013	2.22	2.24	2.18	2.20	3218635	14661085.000
04/11/2013	2.22	2.27	2.20	2.23	5197404	23915854.000
04/12/2013	2.23	2.25	2.20	2.21	3955094	18142306.000
04/15/2013	2.19	2.21	2.13	2.15	4292943	19119088.000
04/16/2013	2.13	2.16	2.10	2.15	4708587	20664620.000
04/17/2013	2.14	2.16	2.13	2.15	2815324	12462539.000
04/18/2013	2.13	2.16	2.12	2.13	3178584	14011538.000
04/19/2013	2.14	2.20	2.13	2.20	8383741	37483216.000
04/25/2013	2.25	2.37	2.21	2.26	22135008	103605736.000
04/26/2013	2.22	2.25	2.20	2.21	5755497	26280306.000
05/02/2013	2.21	2.24	2.16	2.19	5505742	24914824.000
05/03/2013	2.19	2.30	2.19	2.24	14580303	67468720.000
05/06/2013	2.23	2.29	2.22	2.26	10516849	48924492.000
05/07/2013	2.31	2.35	2.26	2.27	12774636	60523552.000
05/08/2013	2.24	2.27	2.23	2.25	10128159	46795212.000
05/09/2013	2.24	2.25	2.20	2.22	5922323	27110744.000
05/10/2013	2.19	2.26	2.19	2.26	5473082	25123176.000
05/13/2013	2.25	2.27	2.22	2.25	8670739	40095640.000
05/14/2013	2.24	2.25	2.20	2.23	6095325	27870124.000
05/15/2013	2.22	2.27	2.21	2.26	11517127	53306648.000
05/16/2013	2.24	2.31	2.23	2.30	21408687	100799136.000
05/17/2013	2.31	2.31	2.28	2.30	7972942	37604608.000
05/20/2013	2.30	2.33	2.29	2.31	10010894	47335112.000
05/21/2013	2.31	2.33	2.27	2.30	11004923	51868248.000
