600586 金晶科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.85	4.85	4.56	4.58	4279455	20212956.000
01/05/2012	4.58	4.63	4.48	4.49	5622342	25575246.000
01/06/2012	4.47	4.51	4.25	4.48	8126650	35653524.000
01/09/2012	4.48	4.67	4.38	4.67	7631398	35136560.000
01/10/2012	4.68	5.01	4.63	4.91	11710347	56868520.000
01/11/2012	4.92	4.93	4.79	4.83	9114571	44451552.000
01/12/2012	4.80	4.99	4.79	4.87	9922250	48956976.000
01/13/2012	4.87	4.91	4.58	4.63	8407430	39820268.000
01/16/2012	4.60	4.68	4.51	4.60	4719663	21787580.000
01/17/2012	4.54	4.91	4.54	4.87	8538607	40922980.000
01/18/2012	4.88	4.93	4.75	4.78	9868400	47772320.000
01/19/2012	4.79	4.89	4.76	4.83	6725561	32655352.000
01/20/2012	4.86	4.88	4.81	4.87	5408766	26343048.000
01/30/2012	4.89	4.90	4.77	4.78	5341501	26027872.000
01/31/2012	4.79	4.81	4.70	4.77	4395955	20993464.000
02/01/2012	4.78	4.82	4.70	4.71	3577492	17103308.000
02/02/2012	4.71	4.77	4.66	4.75	7949525	37735152.000
02/03/2012	4.81	4.96	4.78	4.89	15260775	74881464.000
02/06/2012	4.84	5.12	4.83	5.09	23484754	118107792.000
02/07/2012	5.01	5.02	4.86	4.91	13342304	66066312.000
02/08/2012	4.92	5.06	4.86	5.02	10908263	54554792.000
02/09/2012	5.02	5.13	4.99	5.06	14697411	74829976.000
02/10/2012	5.06	5.17	5.02	5.11	14386271	73848656.000
02/13/2012	5.03	5.16	5.00	5.07	12743789	65023244.000
02/14/2012	5.05	5.11	5.03	5.05	7827854	39737824.000
02/15/2012	5.04	5.25	5.00	5.20	17459383	90366312.000
02/16/2012	5.19	5.26	5.11	5.18	15983847	83274272.000
02/17/2012	5.19	5.22	5.08	5.11	11624366	59892104.000
02/20/2012	5.17	5.62	5.13	5.62	87659990	485899072.000
02/21/2012	5.56	5.71	5.54	5.69	67548547	381513344.000
02/22/2012	5.64	5.73	5.58	5.71	43736427	248763584.000
02/23/2012	5.69	5.90	5.65	5.76	60844902	353257696.000
02/24/2012	5.72	5.75	5.60	5.73	34100936	194490928.000
02/27/2012	5.74	5.78	5.64	5.65	33912285	194657168.000
02/28/2012	5.60	5.67	5.55	5.63	19284913	108518048.000
02/29/2012	5.61	5.76	5.59	5.61	20195366	115129288.000
03/01/2012	5.58	5.66	5.56	5.61	12285910	69169664.000
03/02/2012	5.60	5.73	5.59	5.71	19496453	111091552.000
03/05/2012	5.72	5.75	5.61	5.64	20518341	116594032.000
03/06/2012	5.61	5.71	5.58	5.67	18270010	103669184.000
03/07/2012	5.64	5.86	5.58	5.82	38290448	220747536.000
03/08/2012	5.83	5.93	5.78	5.82	38429409	226003280.000
03/09/2012	5.82	5.86	5.65	5.75	28301606	162530480.000
03/12/2012	5.77	5.77	5.64	5.72	18901073	107925616.000
03/13/2012	5.68	6.06	5.66	5.91	43811056	257924928.000
03/14/2012	5.90	5.91	5.43	5.49	37989797	217343696.000
03/15/2012	5.48	5.56	5.19	5.27	20267836	108613600.000
03/16/2012	5.27	5.38	5.23	5.37	13164547	70255480.000
03/19/2012	5.37	5.43	5.30	5.42	11339233	61056840.000
03/20/2012	5.43	5.44	5.20	5.23	12853457	68424536.000
03/21/2012	5.25	5.37	5.20	5.29	15147900	80219208.000
03/22/2012	5.28	5.39	5.22	5.30	11883291	63353372.000
03/23/2012	5.28	5.28	5.16	5.19	9461942	49520760.000
03/26/2012	5.20	5.22	5.13	5.18	5381169	27914908.000
03/27/2012	5.20	5.23	5.15	5.17	8543632	44505928.000
03/28/2012	5.14	5.17	4.78	4.88	12427284	62074624.000
03/29/2012	4.86	4.87	4.66	4.69	9074518	43339828.000
03/30/2012	4.69	4.75	4.62	4.67	7124697	33451570.000
04/05/2012	4.66	4.93	4.66	4.87	9839917	47311768.000
04/06/2012	4.88	4.94	4.78	4.82	12714506	61930220.000
04/09/2012	4.98	5.16	4.87	4.88	19682567	99441128.000
04/10/2012	4.74	5.05	4.63	5.03	16639134	80793008.000
04/11/2012	4.88	5.02	4.83	4.95	9978613	49553828.000
04/12/2012	4.95	5.07	4.95	5.05	13360964	67404320.000
04/13/2012	5.07	5.11	5.01	5.05	13697309	69539168.000
04/16/2012	5.00	5.10	4.97	5.07	8698951	44046832.000
04/17/2012	5.06	5.12	5.01	5.04	11562874	58805776.000
04/18/2012	5.04	5.19	4.98	5.14	17980746	91986544.000
04/19/2012	5.13	5.19	5.06	5.12	11646728	59885956.000
04/20/2012	5.10	5.19	5.06	5.15	13524472	69742376.000
04/23/2012	5.15	5.23	5.10	5.12	13548317	69994128.000
04/24/2012	5.13	5.14	4.85	4.99	16852830	84344720.000
04/25/2012	4.98	5.10	4.94	5.05	13368351	67409328.000
04/26/2012	5.07	5.24	5.04	5.18	23117631	119978144.000
04/27/2012	5.17	5.17	5.02	5.06	14987358	76451104.000
05/02/2012	5.11	5.16	5.04	5.11	11686759	59751084.000
05/03/2012	5.10	5.12	5.03	5.06	8886658	45121708.000
05/04/2012	5.07	5.10	4.99	5.04	8892154	44952508.000
05/07/2012	5.01	5.05	4.91	4.98	11036198	55045884.000
05/08/2012	4.97	4.98	4.87	4.94	9701582	47924128.000
05/09/2012	4.92	4.92	4.84	4.85	8376136	40963360.000
05/10/2012	4.84	4.91	4.80	4.86	6834508	33360336.000
05/11/2012	4.86	4.90	4.77	4.79	6213534	30196970.000
05/14/2012	4.85	4.93	4.81	4.83	5924864	28931428.000
05/15/2012	4.80	4.81	4.74	4.81	4907355	23515170.000
05/16/2012	4.83	4.87	4.79	4.80	5486829	26600146.000
05/17/2012	4.81	4.86	4.77	4.85	6388479	30918684.000
05/18/2012	4.83	4.83	4.69	4.70	6979883	33360860.000
