600597 光明乳业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	8.07	8.09	7.77	7.78	1346984	11939871.000
01/05/2012	7.70	7.76	7.07	7.15	3827245	31726332.000
01/06/2012	7.07	7.31	6.99	7.17	1361236	11029018.000
01/09/2012	7.25	7.54	7.25	7.45	2205629	18317732.000
01/10/2012	7.42	7.77	7.34	7.71	2427507	20772616.000
01/11/2012	7.67	7.80	7.59	7.65	1700885	14647419.000
01/12/2012	7.64	7.71	7.57	7.61	1189350	10190577.000
01/13/2012	7.60	7.70	7.37	7.47	1425801	12059351.000
01/16/2012	7.44	7.51	7.09	7.15	919256	7546404.000
01/17/2012	7.26	7.47	7.13	7.45	2503800	20762180.000
01/18/2012	7.46	7.54	7.12	7.13	3244672	26681838.000
01/19/2012	7.14	7.24	7.08	7.14	2324447	18777078.000
01/20/2012	7.21	7.35	7.17	7.28	1453840	11902893.000
01/30/2012	7.31	7.31	7.10	7.27	2196251	17871916.000
01/31/2012	7.22	7.30	7.18	7.26	925307	7568680.000
02/01/2012	7.26	7.36	7.15	7.21	1277346	10465834.000
02/02/2012	7.25	7.29	7.17	7.28	2107230	17198888.000
02/03/2012	7.24	7.37	7.21	7.35	3124955	25770102.000
02/06/2012	7.35	7.47	7.27	7.45	3245516	27003736.000
02/07/2012	7.46	7.64	7.38	7.55	4831479	40799300.000
02/08/2012	7.54	7.63	7.49	7.60	3699737	31474332.000
02/09/2012	7.60	7.77	7.57	7.59	3324561	28641460.000
02/10/2012	7.60	7.66	7.47	7.59	3997836	33826712.000
02/13/2012	7.57	7.78	7.50	7.65	3672913	31543706.000
02/14/2012	7.62	7.81	7.61	7.80	3948567	34287556.000
02/15/2012	7.80	7.83	7.73	7.82	2857126	24896412.000
02/16/2012	7.79	7.88	7.68	7.84	3714953	32468272.000
02/17/2012	7.85	7.86	7.74	7.85	2293557	20009764.000
02/20/2012	7.89	7.92	7.70	7.73	2380283	20796070.000
02/21/2012	7.70	7.88	7.60	7.86	2750096	23943518.000
02/22/2012	7.88	7.92	7.80	7.87	2843133	25000992.000
02/23/2012	8.27	8.27	7.86	7.96	6688913	59714364.000
02/24/2012	7.93	8.01	7.87	7.98	4045031	35875064.000
02/27/2012	7.97	8.11	7.94	7.99	4088323	36590696.000
02/28/2012	7.93	8.04	7.85	7.99	3580041	31753368.000
02/29/2012	8.02	8.09	7.96	7.96	2800807	25061384.000
03/01/2012	7.94	7.97	7.83	7.86	2820059	24871520.000
03/02/2012	7.87	7.98	7.84	7.96	2529312	22431824.000
03/05/2012	7.98	8.04	7.89	7.94	3310308	29425004.000
03/06/2012	7.92	7.98	7.85	7.87	1769117	15634389.000
03/07/2012	7.87	8.08	7.79	8.02	3905015	34767600.000
03/08/2012	7.99	8.27	7.96	8.26	6975775	63366456.000
03/09/2012	8.26	8.31	8.16	8.26	3468716	31783364.000
03/12/2012	8.24	8.52	8.22	8.45	5793948	54178924.000
03/13/2012	8.43	8.53	8.33	8.47	3716274	34798024.000
03/14/2012	8.52	8.58	7.96	8.13	4934233	45822668.000
03/15/2012	8.15	8.52	8.12	8.20	7271965	67439672.000
03/16/2012	8.20	8.96	8.20	8.94	13634304	131039968.000
03/19/2012	9.05	9.06	8.78	8.90	6844404	67329648.000
03/20/2012	8.91	8.91	8.59	8.62	4503089	43303384.000
03/21/2012	8.58	8.89	8.52	8.62	6071371	58351348.000
03/22/2012	8.64	8.66	8.26	8.43	4797287	44741688.000
03/23/2012	8.37	8.62	8.27	8.50	3457458	32562860.000
03/26/2012	8.47	8.90	8.40	8.89	5493890	53225256.000
03/27/2012	8.90	8.90	8.64	8.67	3634527	35249544.000
03/28/2012	8.59	8.63	8.28	8.39	3302817	30858794.000
03/29/2012	8.28	8.51	8.14	8.32	3339317	31102598.000
03/30/2012	8.33	8.33	7.95	7.98	4004640	36149672.000
04/05/2012	8.02	8.41	8.00	8.32	2826552	25876788.000
04/06/2012	8.28	8.45	8.25	8.35	2641562	24529372.000
04/09/2012	8.32	8.55	8.29	8.41	3113002	29103466.000
04/10/2012	8.37	8.65	8.22	8.63	3848675	35993296.000
04/11/2012	8.54	8.74	8.50	8.66	2851151	27309260.000
04/12/2012	8.67	8.72	8.47	8.70	3395093	32441094.000
04/13/2012	8.66	8.77	8.54	8.62	4101218	39213768.000
04/16/2012	8.57	8.62	8.46	8.52	3083887	29174190.000
04/17/2012	8.48	8.60	8.46	8.51	2137893	20248816.000
04/18/2012	8.56	8.72	8.50	8.66	3169480	30329440.000
04/19/2012	8.66	8.68	8.28	8.51	7338858	68553792.000
04/20/2012	8.44	8.53	8.35	8.47	4291544	40249356.000
04/23/2012	8.43	8.46	8.34	8.34	2379944	22179596.000
04/24/2012	8.32	8.45	8.15	8.33	2256854	20837278.000
04/25/2012	8.34	8.60	8.28	8.51	3117366	29363978.000
04/26/2012	8.53	8.62	8.35	8.43	3165767	29681180.000
05/02/2012	8.52	8.70	8.40	8.65	4575668	43600296.000
05/03/2012	8.68	8.93	8.61	8.78	7067656	68954944.000
05/04/2012	8.80	9.13	8.80	8.95	8050886	79754768.000
05/07/2012	8.97	9.15	8.87	8.94	7635401	75516728.000
05/08/2012	8.94	9.06	8.82	8.92	3828960	37699920.000
05/09/2012	8.88	8.90	8.77	8.80	2332437	22748368.000
05/10/2012	8.82	8.96	8.77	8.89	2202714	21612792.000
05/11/2012	8.89	9.10	8.80	8.91	3866558	38323504.000
05/14/2012	8.99	8.99	8.73	8.74	3499385	34217008.000
05/15/2012	8.67	9.16	8.64	9.06	6612009	65239200.000
05/16/2012	9.07	9.37	8.97	9.00	6302970	62629884.000
05/17/2012	8.99	9.24	8.99	9.20	5436671	53950568.000
05/18/2012	9.12	9.18	8.91	9.02	4084216	40002160.000
05/21/2012	9.02	9.21	8.92	9.15	3780254	37356512.000
05/22/2012	9.17	9.57	9.11	9.39	10995291	112006376.000
05/23/2012	9.39	9.62	9.32	9.58	9596322	98246224.000
05/24/2012	9.59	9.63	9.22	9.31	7439668	76110048.000
05/25/2012	9.31	9.36	8.97	8.98	6101529	60657200.000
05/28/2012	8.97	9.39	8.87	9.34	5233173	51787988.000
05/29/2012	9.31	9.46	9.21	9.26	5777767	58294524.000
05/30/2012	9.25	9.32	9.10	9.15	4010404	39985400.000
05/31/2012	9.09	9.30	9.05	9.15	3181269	31662520.000
06/01/2012	9.13	9.21	9.03	9.19	2937692	29127974.000
06/04/2012	9.05	9.13	8.70	8.83	6657343	64594176.000
06/05/2012	8.83	8.97	8.76	8.87	4028667	38758068.000
06/06/2012	8.89	8.91	8.59	8.63	4147912	39426912.000
06/07/2012	8.71	8.80	8.57	8.63	2145746	20333692.000
06/08/2012	8.70	8.77	8.52	8.59	1979024	18667432.000
06/11/2012	8.59	8.98	8.58	8.95	5607701	53833060.000
06/12/2012	8.88	9.01	8.80	8.97	2186945	21217724.000
06/13/2012	8.98	9.10	8.88	9.01	3464788	33914820.000
06/14/2012	8.95	9.28	8.95	9.11	5063804	50339048.000
06/15/2012	8.88	9.62	8.88	9.30	10707990	108874280.000
06/18/2012	9.23	9.30	9.06	9.10	9748056	96656280.000
06/19/2012	9.12	9.27	8.96	9.00	3764396	37106056.000
06/20/2012	9.00	9.09	8.37	8.49	14982866	140329936.000
06/21/2012	8.43	8.64	8.42	8.62	9722772	90782232.000
06/25/2012	8.52	8.52	8.31	8.39	6289034	57722536.000
06/26/2012	8.40	8.46	8.33	8.42	3658305	33619976.000
06/27/2012	8.43	8.63	8.39	8.46	3911182	36278588.000
06/28/2012	8.37	8.67	8.03	8.57	6914072	63724632.000
06/29/2012	8.47	8.57	8.37	8.54	2813620	26064732.000
07/02/2012	8.60	8.79	8.52	8.67	4035409	38202656.000
07/03/2012	8.66	8.71	8.48	8.55	3072540	28841444.000
07/04/2012	8.55	8.63	8.43	8.52	3384929	31463860.000
07/05/2012	8.44	8.52	8.38	8.44	2624474	24148080.000
07/06/2012	8.52	8.69	8.36	8.61	4284901	39762320.000
07/09/2012	8.56	8.91	8.53	8.80	9126350	87347656.000
07/10/2012	8.76	9.00	8.72	8.96	5200649	50279568.000
07/11/2012	8.93	9.00	8.80	8.86	2872227	27719888.000
07/12/2012	8.89	9.18	8.83	9.08	8769903	86167768.000
07/13/2012	9.05	9.14	8.87	9.04	3529926	34535544.000
07/16/2012	8.99	9.12	8.52	8.57	5844203	55488604.000
07/17/2012	8.47	8.64	8.37	8.61	2621187	24360594.000
07/18/2012	8.60	8.67	8.42	8.63	1614926	15055889.000
07/19/2012	8.63	8.79	8.55	8.68	2540877	24110852.000
07/20/2012	8.67	8.76	8.48	8.53	2052336	19208758.000
07/23/2012	8.10	8.79	8.07	8.38	2713562	24729984.000
07/24/2012	8.27	8.45	8.23	8.43	2017928	18431432.000
07/25/2012	8.40	8.40	8.26	8.32	2165095	19681836.000
07/26/2012	8.32	8.38	8.21	8.26	2449712	22199292.000
07/27/2012	8.30	8.30	7.91	8.03	2918819	25793788.000
07/30/2012	8.06	8.22	7.96	8.05	1975379	17591484.000
07/31/2012	8.00	8.27	7.82	8.14	1961263	17293092.000
08/01/2012	8.07	8.27	8.07	8.18	836240	7513035.000
08/02/2012	8.24	8.24	8.07	8.07	1299394	11576789.000
08/03/2012	8.13	8.23	8.09	8.21	2039389	18261572.000
08/06/2012	8.21	8.30	8.00	8.28	2409125	21644522.000
08/07/2012	8.25	8.28	8.16	8.23	2123115	19110094.000
08/08/2012	8.23	8.32	8.18	8.21	1661805	15009792.000
08/09/2012	8.19	8.33	8.10	8.30	2603173	23474498.000
08/10/2012	8.29	8.30	8.21	8.27	985040	8889402.000
08/13/2012	8.26	8.29	8.10	8.11	967556	8696461.000
08/14/2012	8.11	8.11	7.89	8.02	2164662	18975062.000
08/15/2012	7.97	8.02	7.89	7.96	1276425	11155254.000
08/16/2012	7.92	8.02	7.89	7.98	966071	8455791.000
08/17/2012	7.92	8.04	7.92	8.04	1416619	12446626.000
08/20/2012	8.01	8.10	7.93	8.06	712787	6261242.000
08/21/2012	8.06	8.32	8.02	8.27	4527532	40667568.000
08/22/2012	8.26	8.30	8.12	8.19	1953759	17552754.000
08/23/2012	8.08	8.53	8.08	8.41	5424312	49636808.000
08/24/2012	8.42	8.62	8.35	8.48	5359430	49729736.000
08/27/2012	8.48	8.59	8.40	8.49	2517121	23317980.000
08/28/2012	8.49	8.56	8.28	8.32	2084927	19078836.000
08/29/2012	8.36	8.36	8.28	8.32	1113929	10132554.000
08/30/2012	8.27	8.41	8.04	8.07	2935599	26591616.000
08/31/2012	8.09	8.24	8.07	8.17	796342	7105814.000
09/03/2012	8.14	8.48	8.14	8.40	2281550	20801226.000
09/04/2012	8.40	8.46	8.22	8.35	2118923	19328380.000
09/05/2012	8.35	8.38	8.17	8.35	2678046	24221548.000
09/06/2012	8.32	8.39	8.27	8.32	1329496	12103116.000
09/07/2012	8.40	8.63	8.37	8.50	3319357	30850900.000
09/10/2012	8.32	8.44	8.18	8.28	10139237	91630624.000
09/11/2012	8.17	8.27	8.13	8.25	2492534	22342322.000
09/12/2012	8.22	8.33	8.20	8.27	2623031	23724804.000
09/13/2012	8.24	8.26	8.17	8.18	1989924	17901024.000
09/14/2012	8.17	8.28	8.13	8.20	2227633	20035500.000
09/17/2012	8.20	8.20	7.92	7.96	2571819	22620852.000
09/18/2012	7.91	7.99	7.87	7.93	1341971	11710869.000
09/19/2012	7.92	7.92	7.67	7.72	4773197	40618496.000
09/20/2012	7.70	7.72	7.60	7.65	2062116	17388244.000
09/21/2012	7.62	7.69	7.44	7.51	4066872	34077712.000
09/24/2012	7.47	7.64	7.32	7.63	1796953	14946211.000
09/25/2012	7.62	7.70	7.59	7.66	1078906	9098508.000
09/26/2012	7.65	7.69	7.41	7.47	814350	6772923.000
09/27/2012	7.47	7.67	7.44	7.62	882765	7360523.000
09/28/2012	7.61	7.75	7.53	7.74	1076681	9117828.000
10/08/2012	7.75	7.75	7.59	7.62	1997123	16840666.000
10/09/2012	7.64	7.87	7.64	7.82	1386500	11899628.000
10/10/2012	7.83	7.87	7.76	7.81	1082634	9308475.000
10/11/2012	7.81	7.93	7.75	7.78	862734	7444648.000
10/12/2012	7.77	7.88	7.77	7.84	816845	7047709.000
10/15/2012	7.88	7.88	7.74	7.79	903388	7747954.000
10/16/2012	7.74	7.88	7.74	7.81	697698	6013351.000
10/17/2012	7.87	7.95	7.82	7.88	912900	7927533.000
10/18/2012	7.84	7.96	7.84	7.94	957527	8333926.000
10/19/2012	7.98	7.98	7.87	7.88	437286	3797228.000
10/22/2012	7.84	8.13	7.79	7.92	792507	6901581.000
10/23/2012	7.97	8.21	7.94	8.06	3785487	33641784.000
10/24/2012	8.05	8.14	7.97	8.09	1375148	12175955.000
10/25/2012	8.08	8.13	7.98	8.00	1455986	12868714.000
10/26/2012	8.00	8.09	7.82	7.90	2097435	18146950.000
10/29/2012	7.91	8.04	7.78	8.02	1744109	15170916.000
10/30/2012	8.02	8.07	7.85	7.91	924269	8048246.000
10/31/2012	7.97	8.05	7.90	8.01	1803042	15804270.000
11/01/2012	8.01	8.22	8.00	8.19	2530701	22616368.000
11/02/2012	8.19	8.26	8.06	8.24	1022527	9163031.000
11/05/2012	8.23	8.27	8.09	8.23	783124	7010175.000
11/06/2012	8.15	8.21	8.11	8.17	1281884	11451962.000
11/07/2012	8.18	8.20	8.10	8.14	899140	8027253.000
11/08/2012	8.10	8.22	8.10	8.13	1225645	10936230.000
11/09/2012	8.13	8.17	8.05	8.16	874387	7788221.000
