600638 新黄浦 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.46	6.63	6.39	6.44	2068996	14579493.000
01/05/2012	6.35	6.49	6.20	6.28	1545841	10639064.000
01/06/2012	6.32	6.32	5.92	6.29	2305992	15468672.000
01/09/2012	6.24	6.63	6.12	6.63	3040190	21398240.000
01/10/2012	6.73	6.89	6.62	6.85	2576395	18905170.000
01/11/2012	6.86	6.99	6.74	6.95	3845261	28660606.000
01/12/2012	6.86	7.12	6.84	6.88	2146720	16168299.000
01/13/2012	6.84	6.92	6.62	6.65	1424736	10359608.000
01/16/2012	6.60	6.75	6.58	6.74	903675	6532368.000
01/17/2012	6.72	7.03	6.64	7.01	1382833	10323740.000
01/18/2012	6.98	7.06	6.82	6.92	1171052	8771939.000
01/19/2012	6.98	7.04	6.90	7.01	1391033	10469701.000
01/20/2012	7.01	7.36	6.94	7.23	2568793	19709594.000
01/30/2012	7.18	7.24	7.04	7.06	1332516	10243638.000
01/31/2012	7.09	7.21	6.99	7.13	625026	4774975.000
02/01/2012	7.05	7.24	7.00	7.07	862989	6633731.000
02/02/2012	7.07	7.17	6.95	7.13	1054847	8050342.000
02/03/2012	7.13	7.28	7.08	7.22	1079159	8361207.000
02/06/2012	7.22	7.26	7.16	7.21	1223144	9514007.000
02/07/2012	7.24	7.24	6.79	7.13	3499047	26478884.000
02/08/2012	7.03	7.30	6.96	7.28	4550559	35267520.000
02/09/2012	7.31	7.57	7.31	7.44	5807439	46600488.000
02/10/2012	7.44	7.66	7.34	7.49	4409699	35519344.000
02/13/2012	7.42	7.54	7.30	7.52	2865248	22904722.000
02/14/2012	7.52	7.70	7.35	7.56	4938391	40117536.000
02/15/2012	7.54	7.80	7.44	7.71	3599619	29476446.000
02/16/2012	7.64	7.87	7.64	7.73	7441310	61998828.000
02/17/2012	7.77	8.15	7.69	7.97	7994361	68218344.000
02/20/2012	8.09	8.29	7.96	8.08	5243750	45491464.000
02/21/2012	8.08	8.09	7.87	8.04	2686537	22944112.000
02/22/2012	8.06	8.20	7.98	8.10	3220893	27925712.000
02/23/2012	8.14	8.17	7.91	7.97	3776951	32451364.000
02/24/2012	7.93	8.24	7.89	8.15	4999783	43281608.000
02/27/2012	8.15	8.38	8.10	8.27	5115428	45035824.000
02/28/2012	8.19	8.27	8.07	8.18	2742454	23999748.000
02/29/2012	8.10	8.43	8.06	8.19	4483063	39703352.000
03/01/2012	8.12	8.29	8.06	8.12	1603500	13995048.000
03/02/2012	8.14	8.32	8.05	8.30	2877625	25343400.000
03/05/2012	8.29	8.42	8.17	8.20	2101100	18600088.000
03/06/2012	8.16	8.31	7.99	8.23	2875769	24974486.000
03/07/2012	8.05	8.29	8.05	8.20	1875069	16453048.000
03/08/2012	8.16	8.39	8.16	8.32	3295315	29201252.000
03/09/2012	8.33	8.78	8.25	8.70	8247836	75256736.000
03/12/2012	8.67	9.21	8.62	9.13	9088670	86787624.000
03/13/2012	9.04	9.20	8.98	9.17	3303146	31856492.000
03/14/2012	9.16	9.25	8.36	8.53	6291004	59200088.000
03/15/2012	8.49	8.68	8.04	8.17	6359646	56595968.000
03/16/2012	8.18	8.68	8.18	8.67	3295416	29671336.000
03/19/2012	8.66	9.15	8.65	8.99	5982115	56976572.000
03/20/2012	8.93	8.94	8.70	8.81	2204577	20637170.000
03/21/2012	8.82	8.88	8.63	8.84	2206480	20491964.000
03/22/2012	8.76	9.10	8.65	8.79	2766053	26125058.000
03/23/2012	8.72	8.90	8.17	8.20	4203370	37879760.000
03/26/2012	8.21	8.41	8.09	8.17	2594669	22871280.000
03/27/2012	8.23	8.40	8.17	8.18	1460759	12895380.000
03/28/2012	8.18	8.23	7.67	7.74	2270355	19206444.000
03/29/2012	7.74	7.84	7.53	7.60	4150455	34167408.000
03/30/2012	7.59	8.00	7.58	7.84	2832190	23732258.000
04/05/2012	7.93	8.12	7.79	8.08	1947026	16659443.000
04/06/2012	7.95	8.12	7.95	8.10	1565442	13443723.000
04/09/2012	7.91	8.19	7.91	7.98	1103595	9539345.000
04/10/2012	7.91	8.38	7.84	8.30	2119046	18485008.000
04/11/2012	8.13	8.61	8.13	8.52	3460154	31291030.000
04/12/2012	8.48	8.78	8.47	8.73	3167880	29183188.000
04/13/2012	8.75	8.87	8.58	8.77	3204183	29807024.000
04/16/2012	8.76	8.98	8.67	8.93	5621857	52979876.000
04/17/2012	8.84	9.27	8.57	8.62	4670747	44281632.000
04/18/2012	8.60	9.14	8.55	9.11	5676710	53803080.000
04/19/2012	9.12	9.24	8.94	9.10	5252807	50782908.000
04/23/2012	9.63	10.07	9.61	10.07	41792749	442204256.000
04/24/2012	9.84	10.13	9.38	9.93	30358184	314938944.000
04/25/2012	9.89	10.92	9.80	10.47	33659230	368705600.000
04/26/2012	10.29	10.41	9.96	10.10	18422654	197459824.000
05/15/2012	9.84	9.84	9.03	9.03	20698213	200436528.000
05/16/2012	8.89	9.26	8.65	9.15	14774037	139982576.000
05/17/2012	9.04	9.32	8.96	9.22	9564905	93232880.000
05/18/2012	9.14	9.23	8.83	8.84	7489358	71898416.000
05/21/2012	8.78	8.96	8.57	8.70	4617239	42892040.000
05/22/2012	8.81	9.03	8.74	8.95	4752566	44916444.000
05/23/2012	8.99	9.19	8.79	8.91	4656933	44330760.000
05/24/2012	8.83	9.00	8.81	8.86	3897628	36825240.000
05/25/2012	8.83	9.02	8.81	8.89	3879032	36759904.000
05/28/2012	8.90	9.00	8.32	8.97	6677042	61804720.000
05/29/2012	8.94	9.17	8.90	9.07	5331563	51328156.000
05/30/2012	9.06	9.29	9.03	9.18	4528800	44243324.000
05/31/2012	9.15	9.43	9.10	9.41	6548947	64611760.000
06/01/2012	9.38	9.51	9.26	9.29	4336605	43032772.000
06/04/2012	9.04	9.13	8.55	8.57	6871511	64399540.000
06/05/2012	8.58	8.77	8.58	8.68	2474614	22847958.000
06/06/2012	8.67	8.72	8.35	8.51	2663858	24252616.000
06/07/2012	8.60	8.69	8.45	8.64	2512431	22979960.000
06/08/2012	8.79	8.79	8.50	8.51	2468311	22776324.000
06/11/2012	8.55	8.70	8.36	8.63	2255805	20468716.000
06/12/2012	8.59	8.70	8.56	8.62	1793576	16489288.000
06/13/2012	8.63	9.04	8.60	9.01	4628955	43628272.000
06/14/2012	8.95	9.01	8.82	8.89	3121034	29489946.000
06/15/2012	8.86	8.93	8.55	8.66	2358764	21928468.000
06/18/2012	8.72	8.81	8.66	8.71	1565750	14569844.000
06/19/2012	8.67	8.74	8.53	8.55	2293047	21014112.000
06/20/2012	8.57	8.61	8.46	8.49	1548531	14048514.000
06/21/2012	8.45	8.59	8.43	8.52	2033818	18444128.000
06/25/2012	8.45	8.47	7.82	7.93	5493562	47417920.000
06/26/2012	7.92	8.00	7.76	7.93	1921224	16218519.000
06/27/2012	7.93	8.02	7.84	7.86	1162651	9879353.000
06/28/2012	7.92	8.10	7.78	7.78	2121573	18080212.000
06/29/2012	7.74	7.88	7.56	7.85	2474488	20520312.000
07/02/2012	7.95	7.96	7.86	7.87	1365194	11552734.000
07/03/2012	7.81	8.02	7.81	7.93	1758521	14975449.000
07/04/2012	7.90	7.99	7.81	7.84	1228450	10381604.000
07/05/2012	7.80	7.90	7.64	7.75	1600768	13287999.000
07/06/2012	7.94	7.94	7.76	7.89	1728815	14572154.000
07/09/2012	7.88	7.91	7.69	7.77	1617702	13513656.000
07/10/2012	7.76	8.14	7.67	8.07	3319615	28170644.000
07/11/2012	8.07	8.14	7.97	8.12	1782512	15326584.000
07/12/2012	8.12	8.42	8.00	8.38	3896815	34367436.000
07/13/2012	8.32	8.42	8.23	8.31	1624881	14442597.000
07/16/2012	8.27	8.29	7.97	8.22	1739499	15112837.000
07/17/2012	8.22	8.30	8.09	8.22	1139038	9979877.000
07/18/2012	8.20	8.24	7.85	8.21	2238472	19311628.000
07/19/2012	8.09	8.72	8.06	8.52	5067399	45727132.000
07/20/2012	8.52	8.52	8.31	8.34	2612343	23353406.000
07/23/2012	8.06	8.16	7.84	8.13	2650384	22667882.000
07/24/2012	8.08	8.25	7.96	8.16	1341555	11650669.000
07/25/2012	8.14	8.17	7.93	8.12	1654086	14211385.000
07/26/2012	8.06	8.24	8.06	8.20	1703535	14842367.000
07/27/2012	8.15	8.40	8.15	8.24	1606900	14172762.000
07/30/2012	8.23	8.25	7.96	7.96	1261469	10873585.000
07/31/2012	7.96	7.99	7.76	7.91	1368155	11499373.000
08/01/2012	7.81	8.01	7.81	7.92	1510810	12825851.000
08/02/2012	7.94	7.99	7.64	7.84	2210328	18389144.000
08/03/2012	7.84	8.16	7.83	8.13	3011936	25855844.000
08/06/2012	8.05	8.29	8.05	8.23	1367864	11968456.000
08/07/2012	8.25	8.29	8.18	8.25	1129246	9941254.000
08/08/2012	8.27	8.36	8.16	8.27	1426780	12590491.000
08/09/2012	8.28	8.41	8.15	8.37	3351670	29757646.000
08/10/2012	8.37	8.56	8.32	8.45	5799661	52380524.000
08/13/2012	8.36	8.56	8.21	8.29	6315947	56757468.000
08/14/2012	8.24	8.34	8.04	8.30	2102640	18446246.000
08/15/2012	8.26	8.28	8.13	8.19	1303326	11412928.000
08/16/2012	8.23	8.23	8.03	8.10	798100	6922690.000
08/17/2012	8.00	8.24	8.00	8.22	1907010	16664663.000
08/20/2012	8.15	8.22	8.02	8.21	1936347	16825702.000
08/21/2012	8.14	8.39	8.14	8.36	1833735	16321981.000
08/22/2012	8.37	8.38	8.24	8.30	1611432	14296397.000
08/23/2012	8.34	8.40	8.27	8.39	1544513	13765481.000
08/24/2012	8.30	8.36	8.27	8.32	1104093	9801792.000
08/27/2012	8.22	8.35	8.20	8.27	934535	8269067.000
08/28/2012	8.24	8.38	8.23	8.35	1526195	13557891.000
08/29/2012	8.34	8.43	8.32	8.34	1625345	14513703.000
08/30/2012	8.34	8.37	8.06	8.24	1891173	16624183.000
08/31/2012	8.23	8.29	8.15	8.29	934042	8222223.000
09/03/2012	8.29	8.50	8.29	8.43	2079123	18647832.000
09/04/2012	8.43	8.56	8.42	8.44	1390518	12567747.000
09/05/2012	8.44	8.68	8.42	8.67	2930560	26845872.000
09/06/2012	8.68	8.69	8.55	8.60	2142435	19643724.000
09/07/2012	8.63	8.92	8.63	8.76	3444851	32228658.000
09/10/2012	8.75	8.87	8.67	8.70	2505139	23325208.000
09/11/2012	8.64	8.66	8.56	8.64	2087803	19137208.000
09/12/2012	8.64	8.69	8.61	8.67	1414190	13014250.000
09/13/2012	8.67	8.72	8.45	8.46	1948046	17785808.000
09/14/2012	8.58	8.58	8.41	8.44	1706296	15454258.000
09/17/2012	8.54	8.54	8.26	8.27	1494500	13389930.000
09/18/2012	8.26	8.31	8.15	8.29	926759	8189254.000
09/19/2012	8.29	8.40	8.25	8.39	852032	7594773.000
09/20/2012	8.37	8.42	8.08	8.10	1273907	11196282.000
09/21/2012	8.16	8.26	8.10	8.19	1169077	10244067.000
09/24/2012	8.13	8.33	8.13	8.33	681221	5991697.000
09/25/2012	8.37	8.53	8.33	8.47	1583414	14254385.000
09/26/2012	8.47	8.50	8.32	8.36	855700	7666830.000
09/27/2012	8.36	8.61	8.36	8.45	2583263	23375644.000
09/28/2012	8.42	8.60	8.36	8.53	1535931	13964372.000
10/08/2012	8.53	8.62	8.53	8.58	963737	8797202.000
10/09/2012	8.56	8.73	8.56	8.69	1651286	15256383.000
10/10/2012	8.68	8.72	8.61	8.70	1344683	12440263.000
10/11/2012	8.70	8.70	8.56	8.57	938376	8596345.000
10/12/2012	8.64	8.67	8.46	8.49	1722166	15635069.000
10/15/2012	8.48	8.54	8.45	8.50	678451	6138053.000
10/16/2012	8.47	8.60	8.47	8.55	767928	7001035.000
10/17/2012	8.57	8.63	8.50	8.54	617164	5621771.000
10/18/2012	8.59	8.82	8.54	8.72	1540896	14244360.000
10/19/2012	8.71	8.81	8.59	8.61	1223635	11338958.000
10/22/2012	8.61	8.70	8.58	8.67	813129	7479150.000
10/23/2012	8.69	8.83	8.63	8.63	1994569	18579872.000
10/24/2012	8.54	8.73	8.50	8.55	1588323	14521585.000
10/25/2012	8.55	8.62	8.55	8.57	1069857	9783267.000
10/26/2012	8.50	8.71	8.40	8.43	1604894	14527203.000
10/29/2012	8.44	8.55	8.41	8.50	505242	4583345.000
10/30/2012	8.50	8.62	8.32	8.37	1151200	10454227.000
10/31/2012	8.40	8.55	8.29	8.55	727941	6518578.000
11/01/2012	8.55	8.89	8.52	8.74	3401863	31620024.000
11/02/2012	8.74	9.09	8.66	8.99	8115971	77167640.000
11/05/2012	8.95	9.02	8.86	8.90	3367928	31944344.000
11/06/2012	8.90	8.95	8.67	8.81	2632874	24624100.000
11/07/2012	8.81	8.91	8.73	8.80	1348106	12633086.000
11/08/2012	8.74	8.95	8.63	8.66	2772305	26015624.000
11/09/2012	8.72	8.72	8.49	8.56	2279740	20807404.000
11/12/2012	8.54	8.69	8.47	8.63	2541848	23238986.000
11/13/2012	8.64	8.65	8.30	8.34	2654118	23836268.000
11/14/2012	8.26	8.50	8.26	8.44	1141538	10214175.000
11/15/2012	8.42	8.56	8.29	8.32	1550408	13980434.000
11/16/2012	8.32	8.33	8.25	8.31	3188933	28212184.000
11/19/2012	8.31	8.40	8.29	8.39	1472910	13112255.000
11/20/2012	8.47	8.47	8.37	8.41	1333888	11981516.000
11/21/2012	8.41	8.57	8.26	8.56	1574966	14187761.000
11/22/2012	8.54	8.55	8.44	8.50	918379	8307327.000
11/23/2012	8.47	8.61	8.47	8.56	1243171	11337203.000
11/26/2012	8.52	8.62	8.48	8.59	1147824	10493326.000
11/27/2012	8.51	8.61	8.36	8.38	1986835	17924684.000
11/28/2012	8.36	8.44	8.12	8.18	2168642	19124340.000
11/29/2012	8.20	8.31	8.02	8.05	1307310	11391450.000
11/30/2012	8.05	8.32	7.99	8.25	1029501	9019660.000
12/03/2012	8.16	8.37	8.16	8.30	1067188	9463308.000
12/04/2012	8.22	8.39	8.14	8.34	911277	8029289.000
12/05/2012	8.27	8.69	8.27	8.62	2731303	24944944.000
12/06/2012	8.60	8.73	8.56	8.60	1099111	10094940.000
12/07/2012	8.60	8.72	8.55	8.70	1623145	14972153.000
12/10/2012	8.67	8.75	8.60	8.72	2537003	23504168.000
12/11/2012	8.68	8.76	8.59	8.71	1612456	14878581.000
12/12/2012	8.66	8.72	8.52	8.61	1520772	13943028.000
12/13/2012	8.60	8.66	8.54	8.58	943384	8634513.000
12/14/2012	8.56	9.01	8.56	8.92	4071249	38291280.000
12/17/2012	8.93	9.02	8.88	8.92	2585655	24563456.000
12/18/2012	8.90	9.09	8.83	8.91	2775577	26431994.000
12/19/2012	8.94	8.99	8.84	8.92	1591070	15092310.000
12/20/2012	8.87	8.89	8.76	8.85	1682040	15782114.000
12/21/2012	8.85	8.93	8.76	8.84	1305408	12263857.000
12/24/2012	8.81	8.99	8.74	8.90	1623910	15369494.000
12/25/2012	8.90	9.37	8.86	9.25	5453822	53423580.000
12/26/2012	9.19	9.71	9.19	9.64	10008904	101353072.000
12/27/2012	9.59	9.66	9.26	9.31	5528412	55234532.000
12/28/2012	9.31	9.52	9.30	9.45	4137397	41315872.000
12/31/2012	9.61	9.64	9.39	9.54	4773230	48137624.000
01/04/2013	9.61	9.62	9.27	9.28	4270621	42447808.000
01/07/2013	9.24	9.33	9.00	9.05	11389453	110018904.000
01/08/2013	9.05	9.19	9.03	9.14	5565807	53926312.000
01/09/2013	9.06	9.16	9.00	9.14	5073663	48848864.000
01/10/2013	9.07	9.34	9.07	9.28	6468376	63199496.000
01/11/2013	9.27	9.29	9.01	9.02	5170157	49878100.000
01/14/2013	9.01	9.22	8.90	9.18	5104396	49299696.000
01/15/2013	9.19	9.38	9.15	9.25	6201403	60857032.000
01/16/2013	9.26	9.54	9.23	9.33	5401195	53630080.000
01/17/2013	9.39	9.55	9.22	9.24	5557754	55427152.000
01/18/2013	9.23	9.37	9.05	9.29	5238387	51267360.000
01/21/2013	9.29	9.46	9.24	9.37	5253653	52077624.000
01/22/2013	9.39	9.69	9.25	9.47	8177902	82147208.000
01/23/2013	9.41	9.62	9.30	9.58	7237353	72858480.000
01/24/2013	9.61	9.77	9.26	9.33	8647457	87390408.000
01/25/2013	9.33	9.39	9.05	9.07	3930601	38296752.000
01/28/2013	9.07	9.27	9.06	9.24	3308507	32331304.000
01/29/2013	9.23	9.37	9.23	9.31	4140219	40816288.000
01/30/2013	9.26	9.36	9.07	9.23	4083109	39916832.000
01/31/2013	9.22	9.25	8.90	8.99	4354212	41836664.000
02/01/2013	8.96	9.18	8.94	9.13	3381806	32537040.000
02/04/2013	9.19	9.54	9.14	9.28	7578217	75027152.000
02/05/2013	9.19	9.39	9.08	9.34	8170173	80142616.000
02/06/2013	9.36	9.38	9.24	9.32	3326626	32851848.000
02/07/2013	9.32	9.50	9.31	9.38	4707068	46872064.000
02/08/2013	9.40	9.59	9.34	9.59	8050894	81165752.000
02/18/2013	9.57	9.73	9.48	9.51	4489340	45649340.000
02/19/2013	9.52	9.57	9.12	9.20	4170442	41116432.000
02/20/2013	9.20	9.28	9.08	9.24	2330699	22727404.000
02/21/2013	9.20	9.20	8.86	8.87	3325298	31793068.000
02/22/2013	8.88	9.06	8.84	8.93	2049622	19458372.000
02/25/2013	8.93	9.00	8.85	8.94	1604234	15207630.000
02/26/2013	8.90	9.01	8.83	8.87	1860497	17644502.000
02/27/2013	8.82	9.19	8.79	9.05	3004924	28747034.000
02/28/2013	9.07	9.22	9.02	9.14	3579890	34745516.000
03/01/2013	9.18	9.18	8.95	9.03	2943600	28311594.000
03/04/2013	8.81	8.82	8.07	8.07	10164660	90137544.000
03/05/2013	8.03	8.17	7.98	8.12	3533506	30522336.000
03/06/2013	8.15	8.28	8.12	8.16	3264134	28589480.000
03/07/2013	8.17	8.29	8.04	8.19	2743180	24035424.000
03/08/2013	8.19	8.24	8.08	8.08	2175600	18931190.000
03/11/2013	8.12	8.27	8.08	8.13	1540922	13434106.000
03/12/2013	8.14	8.29	7.90	8.01	3137659	27182394.000
03/13/2013	8.02	8.16	7.84	7.91	2422162	20608870.000
03/14/2013	7.93	8.01	7.79	7.85	1850318	15656211.000
03/15/2013	7.85	7.96	7.81	7.87	2023258	17073916.000
03/18/2013	7.84	7.91	7.82	7.84	1150300	9681933.000
03/19/2013	7.91	8.01	7.79	8.00	1489750	12623225.000
03/20/2013	8.00	8.12	7.96	8.12	2452775	21177784.000
03/21/2013	8.13	8.14	7.98	8.02	2733973	23579972.000
03/22/2013	8.00	8.18	7.99	8.10	1891409	16319806.000
03/25/2013	8.08	8.10	7.98	8.03	1702442	14612762.000
03/26/2013	7.99	8.09	7.94	7.98	2150081	18383514.000
03/27/2013	7.96	8.11	7.94	8.11	2003435	17217236.000
03/28/2013	7.99	7.99	7.73	7.75	2276691	19080484.000
03/29/2013	7.73	7.95	7.73	7.84	1530458	12876985.000
04/01/2013	7.84	7.97	7.84	7.87	1148906	9716247.000
04/02/2013	7.89	7.97	7.84	7.89	1319630	11186500.000
04/03/2013	7.94	8.05	7.72	8.05	3713348	31551676.000
04/08/2013	7.91	7.91	7.66	7.89	1533536	12842579.000
04/09/2013	7.85	8.00	7.79	7.96	1613607	13698280.000
04/10/2013	7.98	8.00	7.90	7.98	1035603	8817086.000
04/11/2013	8.00	8.10	7.90	7.91	980659	8370095.000
04/12/2013	7.91	7.95	7.74	7.76	886307	7446420.000
04/15/2013	7.74	7.97	7.70	7.81	2428079	20440712.000
04/16/2013	7.74	7.93	7.66	7.91	1530515	12853725.000
04/17/2013	7.92	8.06	7.85	8.00	1949410	16633357.000
04/18/2013	7.94	8.05	7.94	8.00	1233651	10561249.000
04/19/2013	8.04	8.17	8.00	8.12	2651655	22992594.000
04/22/2013	8.12	8.12	7.99	8.03	1660388	14246072.000
04/23/2013	8.05	8.05	7.79	7.86	1584169	13350541.000
04/24/2013	7.88	7.95	7.79	7.88	1777760	15013261.000
04/25/2013	7.86	7.91	7.78	7.88	1700761	14290583.000
04/26/2013	7.87	7.88	7.68	7.73	1203300	10033163.000
05/02/2013	7.74	7.81	7.68	7.79	1306191	10845781.000
05/03/2013	7.79	7.99	7.79	7.95	1825110	15482440.000
05/06/2013	7.92	8.01	7.89	7.99	2043814	17395684.000
05/07/2013	7.94	8.01	7.90	7.99	2209234	18846100.000
05/08/2013	7.98	8.04	7.91	7.96	1599822	13616332.000
05/09/2013	7.96	7.96	7.85	7.89	1358622	11486303.000
05/10/2013	7.88	8.42	7.87	8.38	8362312	73081584.000
05/13/2013	8.29	8.95	8.29	8.83	11626526	108254256.000
05/14/2013	8.79	8.92	8.68	8.82	4270836	39819368.000
05/15/2013	8.69	9.00	8.69	8.85	2753219	25900636.000
05/16/2013	8.85	9.12	8.78	9.07	4356848	41511424.000
05/17/2013	9.02	9.20	8.91	8.97	4440771	42619452.000
05/20/2013	8.97	9.17	8.88	9.02	4316958	41451540.000
05/21/2013	9.00	9.10	8.89	8.96	3543960	33785752.000
05/22/2013	8.96	9.03	8.88	8.99	2703064	25720976.000
05/23/2013	8.94	9.37	8.90	9.10	5583035	54224608.000
05/24/2013	9.10	9.24	9.03	9.21	2690360	26127798.000
05/27/2013	9.26	9.26	8.86	8.99	3506506	33643136.000
05/28/2013	9.02	9.14	8.85	9.13	3249568	31036770.000
