600639 浦东金桥 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.14	6.19	5.97	6.01	478620	3207489.000
01/05/2012	5.95	6.00	5.71	5.80	570915	3699965.000
01/06/2012	5.80	5.84	5.54	5.83	612130	3889022.000
01/09/2012	5.88	6.04	5.69	6.03	1254903	8215002.000
01/10/2012	6.03	6.25	5.99	6.21	2438418	16522927.000
01/11/2012	6.19	6.22	6.06	6.08	3960501	26689744.000
01/12/2012	6.07	6.28	6.07	6.12	3692261	25039364.000
01/13/2012	6.11	6.12	5.79	5.81	2531118	16532071.000
01/16/2012	5.75	5.85	5.64	5.67	1250360	7898385.000
01/17/2012	5.67	5.94	5.62	5.92	5106081	32929940.000
01/18/2012	5.92	5.99	5.65	5.69	4251364	27372880.000
01/19/2012	5.71	5.83	5.67	5.79	2641196	16833726.000
01/20/2012	5.84	5.96	5.76	5.91	2134665	13864399.000
01/30/2012	5.93	5.93	5.80	5.80	1585205	10258698.000
01/31/2012	5.80	5.86	5.77	5.86	831513	5344710.000
02/01/2012	5.85	5.89	5.76	5.78	1199109	7711801.000
02/02/2012	5.81	5.89	5.75	5.88	1181390	7600808.000
02/03/2012	5.88	5.99	5.84	5.98	3321885	21762042.000
02/06/2012	5.99	6.07	5.94	6.06	3625864	24000040.000
02/07/2012	6.02	6.02	5.88	5.91	1432817	9365357.000
02/08/2012	5.91	6.11	5.90	6.10	3426094	22814740.000
02/09/2012	6.11	6.28	6.07	6.14	4318388	29346106.000
02/10/2012	6.15	6.33	6.13	6.27	5679826	39068000.000
02/13/2012	6.18	6.26	6.10	6.25	2694949	18326704.000
02/14/2012	6.25	6.26	6.12	6.26	2019703	13742401.000
02/15/2012	6.23	6.41	6.18	6.37	4303189	29836528.000
02/16/2012	6.38	6.43	6.24	6.36	3942886	27477336.000
02/17/2012	6.39	6.42	6.25	6.34	2321584	16140487.000
02/20/2012	6.42	6.47	6.37	6.37	4775564	33508108.000
02/21/2012	6.35	6.44	6.30	6.43	2218064	15482484.000
02/22/2012	6.45	6.74	6.43	6.61	6015727	43449108.000
02/23/2012	6.55	6.66	6.54	6.59	3138238	22619196.000
02/24/2012	6.59	7.26	6.56	7.15	13050765	98736160.000
02/27/2012	7.09	7.24	7.02	7.03	7123588	55131632.000
02/28/2012	7.01	7.12	6.94	7.01	3759272	28629830.000
02/29/2012	6.95	6.95	6.70	6.71	3096087	22932032.000
03/01/2012	6.71	6.80	6.70	6.73	1755591	12928601.000
03/02/2012	6.76	7.37	6.74	7.29	8495565	65567944.000
03/05/2012	7.27	7.44	7.15	7.30	6594436	52060408.000
03/06/2012	7.26	7.29	7.14	7.26	2365437	18541302.000
03/07/2012	7.17	7.62	7.17	7.24	4642120	37163884.000
03/08/2012	7.26	7.49	7.18	7.36	4656066	36913964.000
03/09/2012	7.38	7.49	7.29	7.38	2897225	23115050.000
03/12/2012	7.34	7.36	7.14	7.25	4452528	34862312.000
03/13/2012	7.25	7.26	7.15	7.25	2969604	23213784.000
03/14/2012	7.28	7.33	6.61	6.70	6118949	46915900.000
03/15/2012	6.71	6.77	6.42	6.51	4153996	29635152.000
03/16/2012	6.57	6.70	6.41	6.53	11690727	83340560.000
03/19/2012	6.52	6.55	6.39	6.54	6260161	44328640.000
03/20/2012	6.52	6.57	6.40	6.49	4070962	28958268.000
03/21/2012	6.51	6.64	6.48	6.64	4726444	33864688.000
03/22/2012	6.61	6.66	6.51	6.57	2671276	19211888.000
03/23/2012	6.56	6.56	6.36	6.40	3410825	24084084.000
03/26/2012	6.40	6.44	6.29	6.36	1243586	8667768.000
03/27/2012	6.39	6.44	6.34	6.37	1505944	10544855.000
03/28/2012	6.34	6.38	6.14	6.18	2297310	15821855.000
03/29/2012	6.17	6.23	6.03	6.13	1932485	13006084.000
03/30/2012	6.10	6.19	6.07	6.13	1150721	7753583.000
04/05/2012	6.14	6.31	6.10	6.28	1484769	10158775.000
04/06/2012	6.28	6.42	6.25	6.27	2440602	16895456.000
04/09/2012	6.24	6.26	6.11	6.23	1659539	11321216.000
04/10/2012	6.21	6.34	6.17	6.33	1907842	13097829.000
04/11/2012	6.27	6.58	6.23	6.46	3671638	25973910.000
04/12/2012	6.46	6.67	6.44	6.63	5251071	37639904.000
04/13/2012	6.69	6.87	6.63	6.68	6618340	48676068.000
04/16/2012	6.64	7.07	6.60	6.90	8533475	63832496.000
04/17/2012	6.95	7.59	6.75	6.81	18974505	147396128.000
04/18/2012	6.71	6.96	6.56	6.89	11183091	82357504.000
04/19/2012	6.81	6.97	6.73	6.82	5970018	44529504.000
04/20/2012	6.81	7.13	6.72	7.03	8095092	61317964.000
04/23/2012	7.19	7.49	6.99	7.12	15532891	122999648.000
04/24/2012	7.02	7.29	6.81	7.21	9038776	69551416.000
04/25/2012	7.14	7.57	7.14	7.42	16513120	132907448.000
04/26/2012	7.46	7.47	7.17	7.23	10119997	80019632.000
04/27/2012	7.39	7.53	7.04	7.08	7057627	55654776.000
05/02/2012	7.17	7.20	7.03	7.12	5377172	41493528.000
05/03/2012	7.09	7.12	6.93	7.06	5369957	41007636.000
05/04/2012	7.04	7.13	6.96	7.11	4878277	37385376.000
05/07/2012	7.09	7.10	6.90	7.05	4093264	31128776.000
