600654 中安消 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.90	3.93	3.78	3.78	1491718	6204061.000
01/05/2012	3.80	3.81	3.61	3.63	2803243	11184902.000
01/06/2012	3.64	3.73	3.59	3.70	1897810	7500146.000
01/09/2012	3.71	3.89	3.66	3.86	3061323	12516816.000
01/10/2012	3.84	4.00	3.83	3.99	4323407	18299230.000
01/11/2012	3.96	4.03	3.92	3.97	3578803	15234388.000
01/12/2012	3.97	4.03	3.93	3.97	2274458	9706217.000
01/13/2012	3.93	4.00	3.80	3.83	2593964	10760806.000
01/16/2012	3.81	3.84	3.71	3.72	1367371	5564359.000
01/17/2012	3.71	3.96	3.71	3.95	4016163	16661578.000
01/18/2012	3.97	4.01	3.86	3.87	2542164	10723785.000
01/19/2012	3.86	3.97	3.86	3.93	1895824	8000047.000
01/20/2012	3.99	4.00	3.92	4.00	2104556	8949130.000
01/30/2012	3.97	4.05	3.96	4.02	2858348	12291197.000
01/31/2012	4.02	4.02	3.97	4.00	1869221	7999333.000
02/01/2012	4.01	4.12	3.98	4.08	6293829	27494752.000
02/02/2012	4.08	4.18	4.04	4.17	4127576	18176532.000
02/03/2012	4.17	4.28	4.13	4.26	3827455	17241378.000
02/06/2012	4.27	4.33	4.18	4.20	4677979	21139638.000
02/07/2012	4.19	4.19	4.08	4.13	2927724	12935640.000
02/08/2012	4.14	4.39	4.11	4.34	7746415	35582840.000
02/09/2012	4.31	4.50	4.29	4.43	8327548	39452772.000
02/10/2012	4.46	4.56	4.39	4.53	6487251	30962910.000
02/13/2012	4.49	4.72	4.47	4.68	9681400	47819848.000
02/14/2012	4.68	4.77	4.59	4.76	6597052	32729612.000
02/15/2012	4.74	4.81	4.67	4.75	5169608	25973874.000
02/16/2012	4.71	4.73	4.61	4.66	5211552	25921144.000
02/17/2012	4.75	5.08	4.75	4.79	9492812	49242584.000
02/20/2012	4.79	4.87	4.73	4.74	5163079	26193054.000
02/21/2012	4.72	4.80	4.64	4.79	4262160	21365734.000
02/22/2012	4.79	4.85	4.76	4.82	3192976	16277098.000
02/23/2012	4.81	4.86	4.79	4.83	3620604	18509976.000
02/24/2012	4.83	4.96	4.81	4.94	6534963	33863536.000
02/27/2012	4.92	4.99	4.88	4.90	6413324	33474500.000
02/28/2012	4.86	4.92	4.80	4.90	4937634	25380040.000
02/29/2012	4.90	4.90	4.71	4.71	5730157	29121136.000
03/01/2012	4.66	4.80	4.66	4.75	2653477	13408534.000
03/02/2012	4.79	5.08	4.75	5.01	12706080	66937428.000
03/05/2012	5.12	5.17	5.01	5.04	10670727	57145836.000
03/06/2012	5.00	5.15	4.96	5.06	7432485	39850452.000
03/07/2012	5.00	5.09	4.98	4.99	5443791	29019648.000
03/08/2012	5.03	5.47	5.03	5.38	20976798	117217680.000
03/09/2012	5.36	5.42	5.30	5.36	8110952	45766376.000
03/12/2012	5.39	5.41	5.30	5.37	5115377	28834502.000
03/13/2012	5.38	5.54	5.35	5.44	7142529	41165596.000
03/14/2012	5.45	5.46	4.99	5.05	12190787	67514632.000
03/15/2012	5.11	5.26	5.01	5.12	7791555	42244268.000
03/16/2012	5.19	5.26	5.11	5.23	4320204	23699836.000
03/19/2012	5.23	5.23	5.06	5.21	5007329	27189964.000
03/20/2012	5.21	5.21	5.06	5.10	3479049	18788250.000
03/21/2012	5.10	5.16	5.03	5.10	3394817	18285118.000
03/22/2012	5.07	5.13	5.00	5.01	3422205	18209784.000
03/23/2012	5.01	5.04	4.91	4.92	3374480	17729358.000
03/26/2012	4.92	4.96	4.86	4.92	1438060	7475033.000
