600662 强生控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.87	3.88	3.75	3.76	1983526	8557422.000
01/05/2012	3.65	3.74	3.58	3.59	2435460	10128806.000
01/06/2012	3.58	3.60	3.50	3.59	2114317	8566756.000
01/09/2012	3.61	3.76	3.54	3.75	2898631	12105223.000
01/10/2012	3.75	3.97	3.72	3.95	6318336	27603532.000
01/11/2012	3.97	4.04	3.91	3.98	5939848	26578292.000
01/12/2012	3.95	4.02	3.92	3.92	3694132	16485791.000
01/13/2012	3.92	3.94	3.70	3.71	3675861	15859108.000
01/16/2012	3.69	3.78	3.66	3.69	3066140	12944706.000
01/17/2012	3.69	3.94	3.68	3.94	3635647	15791018.000
01/18/2012	3.94	3.97	3.80	3.82	3875528	16981368.000
01/19/2012	3.86	3.90	3.81	3.89	3517233	15353262.000
01/20/2012	3.93	3.94	3.86	3.91	3159930	13927316.000
01/30/2012	3.92	3.94	3.84	3.86	2031816	8927894.000
01/31/2012	3.86	3.94	3.82	3.94	3017937	13241717.000
02/01/2012	3.90	3.97	3.84	3.87	3144754	13895928.000
02/02/2012	3.87	3.96	3.85	3.95	2458433	10857866.000
02/03/2012	3.95	4.02	3.93	4.00	4397572	19722360.000
02/06/2012	4.01	4.05	3.97	4.03	4993432	22493316.000
02/07/2012	4.03	4.03	3.89	3.91	4621870	20537404.000
02/08/2012	3.91	4.01	3.87	3.99	3496499	15602641.000
02/09/2012	4.00	4.10	3.98	4.04	6412029	29127780.000
02/10/2012	4.04	4.10	4.02	4.09	5398020	24650638.000
02/13/2012	4.08	4.18	4.04	4.15	7089223	32808492.000
02/14/2012	4.13	4.17	4.06	4.11	4079736	18773534.000
02/15/2012	4.10	4.21	4.07	4.19	7275024	33871688.000
02/16/2012	4.19	4.28	4.15	4.22	7471395	35196604.000
02/17/2012	4.24	4.27	4.15	4.18	5169866	24343580.000
02/20/2012	4.22	4.26	4.14	4.15	4811663	22569520.000
02/21/2012	4.17	4.20	4.10	4.19	3818231	17753252.000
02/22/2012	4.21	4.29	4.18	4.28	7318646	34728056.000
02/23/2012	4.27	4.35	4.23	4.35	8659918	41517492.000
02/24/2012	4.35	4.40	4.29	4.38	7808541	37903064.000
02/27/2012	4.39	4.49	4.35	4.35	11706199	57627268.000
02/28/2012	4.35	4.36	4.25	4.32	6396473	30719600.000
02/29/2012	4.32	4.32	4.21	4.22	3461349	16497904.000
03/01/2012	4.23	4.29	4.21	4.27	3183508	15143788.000
03/02/2012	4.28	4.38	4.26	4.38	5235418	25302712.000
03/05/2012	4.40	4.43	4.36	4.36	4328083	21147096.000
03/06/2012	4.35	4.35	4.23	4.29	4709375	22545224.000
03/07/2012	4.23	4.35	4.20	4.26	4488365	21485436.000
03/08/2012	4.27	4.68	4.27	4.54	22927812	114916928.000
03/09/2012	4.54	4.58	4.50	4.56	10521525	53021492.000
03/12/2012	4.57	4.59	4.47	4.57	9344796	47051536.000
03/13/2012	4.57	4.77	4.55	4.69	19099173	98310104.000
03/14/2012	4.69	4.72	4.33	4.38	13594916	68795136.000
03/15/2012	4.35	4.41	4.17	4.22	7584035	36088984.000
03/16/2012	4.21	4.52	4.21	4.47	10574856	51997136.000
03/19/2012	4.45	4.53	4.42	4.51	5627388	28051654.000
03/20/2012	4.45	4.60	4.40	4.51	9802707	49021368.000
03/21/2012	4.51	5.01	4.47	5.01	66647394	362071872.000
03/22/2012	5.03	5.25	4.92	5.03	62546087	347922880.000
03/23/2012	4.96	5.13	4.92	5.03	34115829	189018576.000
03/26/2012	5.02	5.22	4.75	5.02	53712627	296430560.000
03/27/2012	5.00	5.01	4.70	4.72	30268442	162369136.000
03/28/2012	4.68	4.68	4.20	4.27	38285274	185897920.000
03/29/2012	4.20	4.20	4.00	4.04	16150540	74314344.000
03/30/2012	4.03	4.13	4.01	4.11	8977998	41098280.000
04/05/2012	4.11	4.23	4.08	4.22	9285156	43424920.000
04/06/2012	4.22	4.26	4.14	4.25	11127885	52194628.000
04/09/2012	4.24	4.32	4.13	4.16	8027108	37769024.000
04/10/2012	4.14	4.25	4.02	4.23	7606212	35134908.000
04/11/2012	4.14	4.26	4.09	4.25	7544025	35497136.000
04/12/2012	4.23	4.42	4.23	4.35	12414299	60013384.000
04/13/2012	4.34	4.74	4.32	4.57	26844492	135523328.000
04/16/2012	4.50	4.63	4.40	4.53	14836118	74455896.000
04/17/2012	4.53	4.77	4.46	4.49	14919622	76172928.000
