600668 尖峰集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.06	7.12	6.60	6.62	6467919	49930168.000
01/05/2012	6.53	6.60	6.26	6.27	5779922	42218124.000
01/06/2012	6.17	6.61	6.17	6.59	6026007	43730840.000
01/09/2012	6.53	7.13	6.48	7.11	9037767	70086256.000
01/10/2012	7.02	7.57	6.99	7.53	15600010	128702096.000
01/11/2012	7.51	7.51	7.29	7.39	8721417	72136240.000
01/12/2012	7.32	7.52	7.27	7.47	7291416	60628228.000
01/13/2012	7.42	7.51	7.05	7.07	8204780	66529028.000
01/16/2012	7.17	7.47	7.10	7.14	12481058	101963824.000
01/17/2012	7.16	7.77	7.16	7.75	13355863	112057704.000
01/18/2012	7.70	8.15	7.62	7.74	17238028	150925104.000
01/19/2012	7.63	8.00	7.56	7.92	10747522	93519256.000
01/20/2012	7.95	8.19	7.87	8.10	10345551	92282336.000
01/30/2012	8.06	8.06	7.72	7.77	9338895	82051152.000
01/31/2012	7.71	7.82	7.62	7.78	6100953	52341764.000
02/01/2012	7.71	7.81	7.44	7.51	7359196	62599676.000
02/02/2012	7.50	7.72	7.39	7.72	7081362	59703492.000
02/03/2012	7.66	7.76	7.50	7.72	8055875	68801056.000
02/06/2012	7.73	8.00	7.72	7.84	10670371	93243392.000
02/07/2012	7.80	7.80	7.52	7.60	6539895	55604096.000
02/08/2012	7.60	7.90	7.55	7.90	8185659	70737808.000
02/09/2012	7.86	8.08	7.82	7.98	11129005	98546672.000
02/10/2012	7.97	8.28	7.88	8.02	11097206	99750248.000
02/13/2012	7.89	8.07	7.79	8.02	6772911	59859704.000
02/14/2012	7.98	8.05	7.87	8.04	6753182	59625064.000
02/15/2012	8.00	8.18	7.92	8.14	8379351	75014888.000
02/16/2012	8.15	8.35	8.03	8.12	9284504	84258848.000
02/17/2012	8.15	8.22	7.92	8.06	5871858	52316848.000
02/20/2012	8.22	8.32	8.12	8.14	11534669	104937960.000
02/21/2012	8.13	8.29	8.06	8.27	8507454	77269368.000
02/22/2012	8.23	8.36	8.20	8.33	10672834	97890712.000
02/23/2012	8.32	8.39	8.20	8.29	9007397	82710296.000
02/24/2012	8.25	8.89	8.21	8.61	18950171	178882144.000
02/27/2012	8.61	8.71	8.46	8.49	13774745	130707784.000
02/28/2012	8.43	8.57	8.37	8.52	9770784	91382296.000
02/29/2012	8.48	8.50	8.27	8.27	8578245	79433992.000
03/01/2012	8.26	8.41	8.23	8.30	4759891	43815400.000
03/02/2012	8.35	8.54	8.30	8.52	8664278	80874272.000
03/05/2012	8.57	8.69	8.47	8.49	8488134	80351488.000
03/06/2012	8.43	8.43	8.17	8.28	8128285	74471592.000
03/07/2012	8.14	8.28	8.08	8.16	6232063	56559980.000
03/08/2012	8.18	8.30	8.18	8.26	5449504	49752760.000
03/09/2012	8.29	8.39	8.20	8.38	6667239	61220564.000
03/12/2012	8.38	8.47	8.35	8.44	6845117	63519224.000
03/13/2012	8.44	8.61	8.39	8.60	9863312	92884968.000
03/14/2012	8.62	8.67	7.92	7.99	15187039	140235584.000
03/15/2012	7.94	8.00	7.59	7.62	11796390	101937096.000
03/16/2012	7.62	7.89	7.61	7.89	7169773	61958808.000
03/19/2012	7.88	8.04	7.78	8.03	6665366	58585568.000
03/20/2012	7.99	7.99	7.75	7.77	5399470	47139672.000
03/21/2012	7.82	7.86	7.61	7.82	4946864	42643336.000
03/22/2012	7.79	7.91	7.73	7.81	3982526	34738528.000
03/23/2012	7.80	7.80	7.43	7.49	5079147	43017008.000
03/26/2012	7.47	7.54	7.40	7.47	2940562	24547048.000
