600686 金龙汽车 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.37	6.39	5.94	6.03	3324648	22648984.000
01/05/2012	6.04	6.09	5.66	5.68	2960794	19328314.000
01/06/2012	5.67	5.68	5.44	5.62	3396584	21039160.000
01/09/2012	5.62	5.84	5.56	5.83	2755949	17664674.000
01/10/2012	5.84	6.14	5.76	6.11	5101341	34085656.000
01/11/2012	6.04	6.24	6.04	6.22	3553538	24212428.000
01/12/2012	6.13	6.23	6.08	6.11	2720934	18471694.000
01/13/2012	6.10	6.17	5.84	5.99	2302488	15372865.000
01/16/2012	5.97	6.02	5.78	5.80	1661857	10874504.000
01/17/2012	5.80	6.13	5.80	6.12	1953493	13004712.000
01/18/2012	6.14	6.19	6.01	6.08	2240841	15139383.000
01/19/2012	6.05	6.15	6.00	6.13	1922451	13015775.000
01/20/2012	6.15	6.25	6.10	6.18	1904502	13079357.000
01/30/2012	6.22	6.42	6.15	6.26	3042370	21180412.000
01/31/2012	6.26	6.27	6.15	6.26	869348	5976114.000
02/01/2012	6.23	6.28	6.15	6.15	1344693	9230296.000
02/02/2012	6.16	6.24	6.09	6.22	2497059	17035040.000
02/03/2012	6.23	6.25	6.13	6.22	3450407	23699442.000
02/06/2012	6.22	6.26	6.19	6.25	2142136	14751465.000
02/07/2012	6.21	6.21	6.09	6.13	1861522	12624930.000
02/08/2012	6.10	6.26	6.09	6.25	2903557	19869158.000
02/09/2012	6.24	6.35	6.22	6.28	2564622	17808012.000
02/10/2012	6.29	6.36	6.23	6.29	2915820	20272156.000
02/13/2012	6.22	6.34	6.19	6.30	2844549	19730768.000
02/14/2012	6.30	6.52	6.30	6.46	6771233	47968624.000
02/15/2012	6.44	6.52	6.39	6.48	2995880	21346770.000
02/16/2012	6.48	6.65	6.45	6.60	5603129	40623792.000
02/17/2012	6.60	6.76	6.59	6.66	4344192	31873924.000
02/20/2012	6.82	6.94	6.65	6.75	7789977	58384624.000
02/21/2012	6.76	6.89	6.65	6.83	3245858	24067306.000
02/22/2012	6.81	6.98	6.79	6.91	3940071	29839616.000
02/23/2012	6.88	7.09	6.86	7.06	4543502	34858096.000
02/24/2012	7.05	7.09	6.97	7.06	3665009	28182588.000
02/27/2012	7.12	7.35	7.12	7.15	7628332	60302952.000
02/28/2012	7.15	7.59	7.12	7.45	15649433	126617360.000
02/29/2012	7.46	7.69	7.39	7.57	8686537	71536040.000
03/01/2012	7.48	7.64	7.42	7.59	4848218	39863816.000
03/02/2012	7.58	7.63	7.42	7.62	7304113	59822040.000
03/05/2012	7.62	7.62	7.36	7.43	9149899	74234848.000
03/06/2012	7.41	7.54	7.37	7.44	5043233	40909800.000
03/07/2012	7.35	7.52	7.27	7.40	4157718	33561552.000
03/08/2012	7.43	7.50	7.31	7.49	5550307	44779856.000
03/09/2012	7.51	7.56	7.38	7.48	3542283	28702944.000
03/12/2012	7.49	7.49	7.33	7.43	4021974	32489668.000
03/13/2012	7.40	7.55	7.40	7.54	4110487	33504608.000
03/14/2012	7.55	7.60	7.05	7.07	10003093	80145344.000
03/15/2012	7.03	7.12	6.83	7.06	5235737	40178260.000
03/16/2012	7.09	7.25	6.95	7.10	4770090	37016852.000
03/19/2012	7.12	7.17	6.92	7.14	3687082	28474756.000
03/20/2012	7.12	7.12	6.94	6.97	3408795	26114192.000
03/21/2012	6.98	7.00	6.84	6.93	1893268	14348869.000
03/22/2012	7.03	7.16	6.99	7.14	2766146	21424824.000
03/23/2012	7.12	7.18	6.99	7.03	1613019	12484860.000
03/26/2012	7.01	7.25	6.95	7.23	2219490	17382590.000
03/27/2012	7.29	7.56	7.24	7.40	4392756	35663600.000
