600696 匹凸匹 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.95	6.15	5.76	5.90	9558891	56906944.000
01/05/2012	5.70	5.80	5.31	5.31	11435504	61753396.000
01/06/2012	5.14	5.22	4.92	5.20	14986555	76094664.000
01/09/2012	5.13	5.72	5.13	5.72	14301313	78742848.000
01/10/2012	6.01	6.29	5.72	6.29	22685010	140118336.000
01/11/2012	6.55	6.72	6.34	6.66	33943790	221703472.000
01/13/2012	6.30	6.56	6.20	6.22	20463670	130361344.000
01/16/2012	6.25	6.67	6.18	6.29	17421797	112107912.000
01/17/2012	6.40	6.92	6.02	6.83	22969298	150533712.000
01/18/2012	6.74	7.08	6.54	6.83	24439933	167190864.000
01/19/2012	6.80	7.04	6.66	6.73	13696212	93768784.000
01/20/2012	6.80	6.83	6.53	6.55	9304190	61506024.000
01/30/2012	6.65	6.87	6.50	6.70	11302629	75648664.000
01/31/2012	6.75	6.82	6.62	6.72	8073541	54134376.000
02/01/2012	6.65	6.70	6.33	6.39	10041127	65328440.000
02/02/2012	6.39	6.58	6.34	6.56	11136253	72095928.000
02/03/2012	6.55	7.19	6.46	6.97	25456065	176026272.000
02/06/2012	6.91	7.06	6.80	7.03	17463450	121316128.000
02/07/2012	6.95	6.95	6.67	6.80	11755877	79981232.000
02/08/2012	6.82	7.48	6.80	7.48	33387071	244028640.000
02/09/2012	7.39	7.75	7.26	7.44	28671067	215094992.000
02/10/2012	7.46	7.78	7.38	7.71	18274598	139968320.000
02/13/2012	7.70	8.04	7.50	7.85	17869344	139297024.000
02/14/2012	7.85	7.99	7.70	7.86	12248359	96121056.000
02/15/2012	7.80	7.96	7.74	7.88	11913839	93666768.000
02/16/2012	7.88	8.25	7.85	8.06	13435753	108213816.000
02/17/2012	8.05	8.87	8.02	8.78	27469618	233991920.000
02/20/2012	8.81	8.98	8.64	8.70	20720401	181907296.000
02/21/2012	8.67	9.25	8.59	9.16	18020160	162703728.000
02/22/2012	9.17	9.39	9.05	9.25	18542223	169977008.000
02/23/2012	9.23	9.24	8.80	9.00	19801847	178458736.000
02/24/2012	8.99	9.19	8.83	8.96	16027725	143931168.000
02/27/2012	8.96	9.08	8.85	8.90	15590480	139865312.000
02/28/2012	8.91	8.95	8.09	8.40	28159192	239089040.000
02/29/2012	8.32	8.58	8.20	8.46	14098223	118516776.000
03/01/2012	8.45	8.59	8.25	8.49	13483587	113764960.000
03/02/2012	8.42	8.66	8.42	8.58	11805501	100821800.000
03/05/2012	8.62	8.73	8.43	8.47	11047827	94510336.000
03/06/2012	8.44	8.46	8.11	8.43	14802593	122229504.000
03/07/2012	8.30	8.52	8.25	8.32	11407094	95415792.000
03/08/2012	8.32	8.53	8.32	8.45	10217567	86108520.000
03/09/2012	8.49	8.52	8.35	8.50	11060931	93293344.000
03/12/2012	8.48	8.60	8.35	8.47	8685400	73788360.000
03/13/2012	8.47	8.59	8.35	8.59	12466907	105965792.000
03/14/2012	8.63	8.70	8.09	8.33	20680917	174809008.000
03/15/2012	8.23	8.32	7.53	7.66	15427462	120080160.000
03/16/2012	7.66	7.83	7.60	7.75	9672197	74774696.000
03/19/2012	7.73	8.14	7.70	8.05	13289133	105275952.000
03/20/2012	8.04	8.22	7.74	7.81	13719106	110118320.000
03/21/2012	7.81	8.06	7.60	8.03	12062168	94198368.000
03/22/2012	7.95	8.19	7.90	8.07	11220067	90487432.000
03/23/2012	8.00	8.00	7.65	7.67	10153215	78953744.000
03/26/2012	7.70	7.79	7.25	7.32	7310467	55062320.000
03/27/2012	7.34	7.44	7.18	7.22	6407790	46861224.000
03/28/2012	7.23	7.25	6.87	6.96	9065209	63488292.000
03/29/2012	6.90	6.96	6.65	6.74	5651261	38473496.000
03/30/2012	6.70	6.93	6.50	6.83	6125586	41255380.000
04/05/2012	6.80	7.06	6.75	6.94	7150327	49528688.000
04/06/2012	6.93	7.03	6.82	6.94	6749802	46872144.000
04/09/2012	6.95	7.01	6.81	6.81	4361308	30090186.000
04/10/2012	6.79	7.49	6.65	7.49	18208626	130839032.000
04/11/2012	7.59	8.24	7.48	7.98	32827781	260295552.000
04/12/2012	7.99	8.10	7.78	8.09	23783621	189192928.000
04/13/2012	7.90	8.90	7.88	8.35	39541205	332157344.000
04/16/2012	8.21	9.07	8.08	8.80	52740083	458360864.000
04/17/2012	8.65	8.94	8.47	8.61	32794521	285097952.000
04/18/2012	8.61	9.01	8.52	8.80	47059464	412665888.000
04/19/2012	8.66	8.73	8.26	8.41	34949387	294721792.000
04/20/2012	8.29	8.51	8.20	8.31	31201179	261327968.000
04/23/2012	8.21	8.29	7.90	7.98	25253970	203492464.000
04/24/2012	7.92	8.71	7.91	8.64	44710356	372240384.000
04/25/2012	8.55	8.87	8.38	8.67	41002150	354426464.000
04/26/2012	8.67	8.91	8.13	8.20	29863555	254548608.000
04/27/2012	8.15	8.62	8.03	8.32	22241999	186971056.000
05/02/2012	8.46	8.50	8.27	8.33	16181702	135548336.000
05/03/2012	8.28	8.33	8.06	8.13	17911130	145858912.000
05/04/2012	8.07	8.18	7.66	7.74	29933294	234641856.000
05/07/2012	7.72	7.86	7.61	7.83	12454536	96658256.000
05/08/2012	7.79	7.91	7.73	7.81	12808633	100346432.000
05/09/2012	7.77	7.77	7.51	7.56	11109164	84463120.000
05/10/2012	7.56	7.70	7.55	7.63	7477034	56974672.000
05/11/2012	7.63	7.88	7.57	7.74	11515562	89521216.000
05/15/2012	7.63	7.63	7.40	7.56	7833745	58828420.000
05/16/2012	7.49	7.87	7.49	7.72	12576318	97542560.000
05/17/2012	7.74	8.05	7.69	7.97	14416433	113505152.000
05/18/2012	7.87	8.10	7.68	7.93	22035305	174616704.000
05/21/2012	7.84	8.28	7.74	8.19	20819094	167820736.000
05/22/2012	8.22	8.88	8.14	8.62	41669958	355672288.000
05/23/2012	8.51	8.66	8.43	8.63	19763573	168836288.000
05/24/2012	8.55	9.24	8.54	9.12	62746812	559717824.000
05/25/2012	9.29	9.29	8.77	8.91	23745553	212237888.000
05/28/2012	8.84	9.80	8.62	9.74	74666780	693503872.000
05/29/2012	9.68	9.82	9.33	9.76	65058679	622743360.000
05/30/2012	9.62	9.92	9.40	9.60	63426850	613880128.000
05/31/2012	9.60	9.81	9.43	9.52	44171461	424003840.000
06/01/2012	9.48	10.19	9.33	10.17	94004045	926439744.000
06/04/2012	10.60	10.95	9.83	10.21	98742673	1005269440.000
06/05/2012	10.21	10.65	9.60	10.61	109138099	1112489984.000
06/06/2012	10.55	10.55	10.18	10.38	57518729	593216384.000
06/07/2012	10.38	10.53	9.80	10.03	65683701	664884864.000
06/08/2012	10.13	10.13	9.50	9.98	65922874	646355968.000
06/11/2012	9.90	10.15	9.73	10.03	60327435	602711360.000
06/12/2012	10.02	10.11	9.80	10.00	58110412	577721344.000
06/13/2012	10.02	10.94	9.88	10.63	85442018	875558656.000
06/14/2012	10.40	10.48	9.83	9.86	56087641	570626624.000
06/15/2012	9.74	9.75	9.02	9.05	49003338	454922976.000
06/18/2012	9.05	9.24	9.00	9.03	25739125	233928960.000
06/19/2012	9.02	9.49	8.81	9.21	36733804	336689440.000
06/20/2012	9.13	9.22	8.83	8.90	19330754	174320080.000
06/21/2012	8.92	9.00	8.74	8.78	15524781	137921392.000
06/25/2012	8.67	8.84	8.20	8.30	15635353	133964088.000
06/26/2012	8.21	8.43	8.01	8.33	15883679	130187480.000
06/27/2012	8.29	8.44	8.08	8.12	13023407	107921728.000
06/28/2012	8.16	8.32	7.91	7.93	14192057	115565760.000
06/29/2012	7.81	7.97	7.65	7.91	14011497	109749760.000
07/02/2012	8.00	8.68	8.00	8.59	33019809	279312576.000
07/03/2012	8.51	8.69	8.45	8.58	21901724	187808656.000
07/04/2012	8.58	8.67	8.36	8.46	13078987	110773360.000
07/05/2012	8.35	8.35	7.98	8.00	16446788	133609512.000
07/06/2012	8.15	8.44	8.15	8.30	20738582	172354160.000
07/09/2012	8.19	8.38	8.00	8.08	15368949	126003928.000
07/10/2012	8.00	8.07	7.54	7.56	19910806	153119664.000
